"Word","Frequency"
"('hochwasser', 'starkregen')",12
"('bayern', 'hochwassernachrichtendienst')",11
"('hochwassernachrichtendienst', 'laut')",10
"('hochwassers', 'wegen')",9
"('hochwasser', 'mittleres')",9
"('hochwasser', 'murenabgängen')",8
"('entlang', 'hochwasserschutz')",8
"('artikel', 'hochwasser-hilfen')",8
"('hochwasser-hilfen', 'wissen')",8
"('großes', 'hochwasser')",8
"('hochwasser', 'schützen')",7
"('hochwasser', 'hundertjährlichen')",7
"('hochwasserschutz', 'maßnahmen')",7
"('bayern', 'hochwasser')",6
"('beim', 'hochwasser')",6
"('hochwasser', 'überschwemmungen')",6
"('artikel', 'hochwasser')",6
"('betroffen', 'hochwasser')",6
"('hochwasser', 'wochenende')",6
"('ausbau', 'hochwasserschutzes')",5
"('hochwasser', 'mittleren')",5
"('hochwasser', 'menschen')",5
"('2002', 'hochwasser')",5
"('hochwasser', 'schlamm')",5
"('hochwasser', 'schutz')",5
"('hochwasser', 'starkem')",5
"('hochwassergefahr', 'steigt')",5
"('aufgebaut', 'hochwasserschutz')",5
"('hitze', 'hochwasser')",4
"('bayern', 'hochwassernachrichtendienstes')",4
"('hochwasser', 'unwetter')",4
"('hochwassernachrichtendienst', 'landesamts')",4
"('hochwassermeldestufe', 'zwei')",4
"('hochwasserkatastrophe', 'vergangenen')",4
"('2013', 'hochwasser')",4
"('extremen', 'hochwasser')",4
"('hochwasserereignisse', 'starkregen-')",4
"('hochwasser', 'kommt')",4
"('hochwasser', 'muren')",4
"('artikel', 'hochwasser-schäden')",4
"('hochwasser-schäden', 'staatsregierung')",4
"('aufgrund', 'hochwasser')",4
"('erdbeben', 'hochwasser')",4
"('größeren', 'hochwasser')",4
"('hochwasser', 'kleines')",4
"('erreicht', 'hochwassermeldestufe')",4
"('1997', 'oderhochwasser')",4
"('hochwasser-ereignissen', 'liste')",4
"('bayerische', 'hochwassernachrichtendienst')",3
"('hochwassernachrichtendienst', 'kommen')",3
"('beim', 'hochwassernachrichtendienst')",3
"('baubeginn', 'hochwasserschutz')",3
"('hochwasserschutz', 'simbach')",3
"('einklang', 'naturhochwasserschutz')",3
"('kostet', 'naturhochwasserschutz')",3
"('hochwasserschutzprojekt', 'laufende')",3
"('bereich', 'hochwasserschutzprojekt')",3
"('deiche', 'hochwasserschutzwände')",3
"('ausschotterungsbecken', 'hochwasserschutzwände')",3
"('bieten.hochwasserschutz', 'hochwasser')",3
"('bieten.hochwasserschutz', 'trotz')",3
"('hochwasser', 'irgendwann')",3
"('hochwasser', 'kommen')",3
"('hochwasserschutzmaßnahmen', 'planung')",3
"('herausforderung', 'hochwasserschutzmaßnahmen')",3
"('froh', 'hochwasserschutz')",3
"('hochwasserschutz', 'vorangehe')",3
"('hochwasserschutzdeichen', 'simbach')",3
"('hochwasserschutzdeichen', 'verlaufen')",3
"('hochwasser', 'rechnen')",3
"('hochwasser', 'vorwarnung')",3
"('hochwasser', 'könnten')",3
"('geflutet', 'hochwasser')",3
"('geschützt', 'hochwasser')",3
"('betriebe', 'hochwasser')",3
"('hochwasser', 'landkreis')",3
"('besser', 'hochwasser')",3
"('extremem', 'hochwasser')",3
"('jahrhunderthochwassers', 'überschritten')",3
"('flüssen', 'hochwasser')",3
"('artikel', 'hochwasserschutz')",3
"('berchtesgadener', 'hochwasser')",3
"('großen', 'hochwasser')",3
"('hochwasser', 'laut')",3
"('hochwasser', 'sommer')",3
"('hochwasser', 'nächste')",3
"('bereich', 'hochwasser')",3
"('hochwasserkatastrophe', 'juli')",3
"('benelux-staaten', 'hochwasser')",3
"('hochwasser', 'verheerende')",3
"('bezeichnete', 'hochwasser')",3
"('hochwasser', 'jahrhundertkatastrophe')",3
"('hochwassergebieten', 'unwettergefahr')",3
"('hochwassergebieten', 'westen')",3
"('betroffenen', 'hochwasser')",3
"('betroffene', 'hochwasser')",3
"('artikel', 'hochwassergebiet')",3
"('hochwassergebiet', 'regnet')",3
"('hochwasser', 'sorgt')",3
"('falle', 'hochwassers')",3
"('hochwasser', 'katastrophenschutz')",3
"('folgen', 'hochwassers')",3
"('derzeit', 'hochwasserscheitel')",3
"('getroffen', 'hochwasser')",3
"('hochwassermaßnahmen', 'kosteten')",3
"('denen', 'hochwassermaßnahmen')",3
"('hochwasser', 'passau')",3
"('hochwasser', 'mögliches')",3
"('geplante', 'hochwasserschutzmauer')",3
"('hochwasser', 'regensburg')",3
"('hochwasserschutz', 'mobile')",3
"('beim', 'hochwasserschutz')",3
"('drei', 'hochwasserwarnstufe')",3
"('ausgerufen', 'hochwassermeldestufe')",3
"('auswirkungen', 'hochwasser')",3
"('ahrtal', 'hochwasserkatastrophe')",3
"('hochwasserereignisse', 'juli')",3
"('hagel', 'hochwasser')",3
"('2002', 'elbehochwasser')",3
"('hochwasser', 'west-')",3
"('bezeichnung', 'hochwasser')",3
"('hochwasser', 'sturmflut')",3
"('hochwasser', 'niedrigwasser')",3
"('hochwasserhöhe', 'hwh')",3
"('dauerregen', 'hochwasser')",3
"('euro', 'hochwasserschutz')",2
"('donau', 'hochwasserschutz')",2
"('hochwassernachrichtendienstes', 'internetseite')",2
"('hochwasserwarnungen', 'sein.aktuell')",2
"('finden', 'hochwasserwarnungen')",2
"('bayernalpenrand', 'hochwassernachrichtendienst')",2
"('hochwasser', 'vorgestellt')",2
"('drohende', 'hochwassergefahr')",2
"('bestimmte', 'hochwassergefahr')",2
"('hochwasser-warnsystems', 'vierstufigen')",2
"('erreicht', 'hochwasser-warnsystems')",2
"('hochwassernachrichtendienst', 'registrierte')",2
"('hochwasser.zum', 'warnungen')",2
"('artikel', 'hochwasser.zum')",2
"('hochwasser', 'warnen')",2
"('hochwasser', 'warnt')",2
"('hochwasser', 'stadt')",2
"('angaben', 'hochwassernachrichtendienst')",2
"('führen', 'hochwasserhöchststände')",2
"('hochwasserhöchststände', 'sonntag')",2
"('drei', 'hochwasserwarnstufen')",2
"('gleiches', 'hochwasserwarnstufen')",2
"('hochwassermeldestufe', 'unterfrankens')",2
"('hochwasser', 'keller')",2
"('hochwasserschutz', 'mediathek')",2
"('bauen', 'hochwasserschutz')",2
"('hochwasserwarnung', 'wegen')",2
"('hochwasser', 'warnung')",2
"('hochwassernachrichtendienst', 'zufolge')",2
"('herausgegeben', 'hochwasser')",2
"('.hochwassergefahr', 'uhr')",2
"('.hochwassergefahr', 'süden')",2
"('hochwassernachrichtendienst', 'unklar')",2
"('hochwasserfachleute', 'sagen')",2
"('angesichts', 'hochwasserkatastrophe')",2
"('hochwasser', 'jahr')",2
"('hochwasser', 'innenstadt')",2
"('gesorgt', 'hochwasser')",2
"('artikel', 'hochwasserschäden')",2
"('hochwasserschäden', 'steuer')",2
"('hochwasserschutz', 'mobilen')",2
"('hochwasser', 'wasser')",2
"('hochwasserschutz-projekt', 'widerstand')",2
"('extremen', 'hochwasserwellen')",2
"('hochwasserwellen', 'kubikmeter')",2
"('hochwasser', 'überflutet')",2
"('hochwasser', 'südlichen')",2
"('beschädigt', 'hochwasser')",2
"('hochwasser-katastrophe', 'menschen')",2
"('hochwasser-katastrophe', 'vergangenen')",2
"('hochwasser', 'jahres')",2
"('hochwasser', 'sturzfluten')",2
"('ahrtal', 'hochwasser')",2
"('bauverbote', 'hochwassergefährdeten')",2
"('gebieten', 'hochwassergefährdeten')",2
"('august', 'hochwasser')",2
"('funktionieren', 'hochwasserschutz')",2
"('hochwasser', 'straßenschäden')",2
"('hochwasser', 'land')",2
"('andas', 'hochwasser')",2
"('gleich', 'hochwasser')",2
"('hochwasser', 'millionenschaden')",2
"('autohaus', 'hochwasser')",2
"('anwesen', 'hochwasser')",2
"('hochwasser', 'künftigem')",2
"('hochwasserführende', 'ramsau')",2
"('ache', 'hochwasserführende')",2
"('hochwasser', 'rechne')",2
"('entstandenen', 'hochwasser')",2
"('hochwasser', 'schaden')",2
"('hochwasser', 'schätzungen')",2
"('gerechnet', 'hochwasser')",2
"('anwohner', 'hochwasser')",2
"('bächen', 'hochwasser')",2
"('hochwasserzentralen', 'internetseiten')",2
"('besuchen', 'hochwasserzentralen')",2
"('erhalten', 'www.hochwasserzentralen.de')",2
"('wetter', 'www.hochwasserzentralen.de')",2
"('hochwassernachrichtendienst', 'wiederder')",2
"('hochwassernachrichtendienst', 'landkreis')",2
"('hochwasser', 'schock')",2
"('hochwasser', 'juli')",2
"('fordern', 'hochwasserschutzin')",2
"('hochwasserschutzin', 'stadt')",2
"('hochwasserschutzes', 'vorhandenen')",2
"('hochwasser', 'hochwasserschutzes')",2
"('anfang', 'hochwasser')",2
"('forderten', 'hochwasserschutz-maßnahmen')",2
"('hochwasserschutz-maßnahmen', 'sprechen')",2
"('hochwasser', 'regenfälle')",2
"('ereignisse', 'hochwasserkatastrophe')",2
"('hochwasser', 'kamen')",2
"('hochwasser', 'schäden')",2
"('erlitten', 'hochwasser')",2
"('hochwasser', 'soforthilfe')",2
"('gemeinden', 'hochwasserregionen')",2
"('hochwasserregionen', 'unterstützt')",2
"('faust', 'hochwassergebiete')",2
"('hochwassergebiete', 'verbreiten')",2
"('hochwasser', 'zerstörung')",2
"('hochwasser', 'zurückgelassen')",2
"('hochwasseropfer', 'prozent')",2
"('hochwasseropfer', 'verspricht')",2
"('hochwasserkatastrophe', 'menschen')",2
"('hochwasserkatastrophe', 'nordrhein-westfalen')",2
"('hochwasser', 'zählen')",2
"('hochwasser', 'lawinenabgänge')",2
"('hochwasserlage', 'jahren')",2
"('aus.auch', 'hochwasserlage')",2
"('hochwasser-erfahrungen', 'stellen')",2
"('hochwasser-erfahrungen', 'lösung')",2
"('hochwasser', 'verwendungszweck')",2
"('2021', 'hochwasser')",2
"('beginn', 'hochwasserkatastrophe')",2
"('bundeskabinett', 'hochwasserkatastrophe')",2
"('hochwasser', 'wetter')",2
"('hochwasser', 'solo-selbständige')",2
"('hochwasseropfer', 'soforthilfe')",2
"('dramatischen', 'hochwasser')",2
"('hochwasser', 'nordrhein-westfalen')",2
"('2007', 'hochwassern')",2
"('hochwassern', 'jahren')",2
"('betragen.hochwasser', 'euro')",2
"('2021', 'betragen.hochwasser')",2
"('diesjährige', 'hochwasser')",2
"('hilfen', 'hochwasser')",2
"('donau', 'hochwasserlage')",2
"('hochwasser', 'massiven')",2
"('hochwasser-erfahrene', 'passau')",2
"('deggendorf', 'hochwasser')",2
"('hochwassernachrichtendienstes', 'prognose')",2
"('untersucht', 'werden.hochwasser-ticker')",2
"('bayern', 'werden.hochwasser-ticker')",2
"('hochwasser', 'nachrichten')",2
"('behindern', 'hochwasser-ticker')",2
"('bayernnicht', 'hochwasser-ticker')",2
"('erwartet', 'hochwasser')",2
"('entwicklung', 'informieren.hochwasser-ticker')",2
"('entwicklungen', 'informieren.hochwasser-ticker')",2
"('erreicht', 'hochwasserscheitel')",2
"('erneuten', 'hochwassernachrichtendienst')",2
"('donauder', 'hochwasser')",2
"('hochwassernachrichtendienst', 'teilte')",2
"('freitag', 'hochwassernachrichtendienst')",2
"('erfahrung', 'hochwasser')",2
"('hochwasser', 'sehen')",2
"('hochwasserkatastrophe', 'tagen')",2
"('ereignet', 'hochwasserkatastrophe')",2
"('geht', 'hochwasser-tickerwarum')",2
"('feuchtigkeit', 'hochwasser-tickerwarum')",2
"('derartigen', 'hochwasserlagen')",2
"('hochwasserlagen', 'kommen')",2
"('dauerregen', 'hochwasser.so')",2
"('führt', 'hochwasser.so')",2
"('hochwasser', 'sterben')",2
"('br24live', 'hochwasserkatastrophe')",2
"('hochwasserkatastrophe', 'passieren')",2
"('hochwassers', 'kraft')",2
"('hochwassers', 'starkregen')",2
"('hochwasser', 'zusammen')",2
"('festlegen', 'hochwasser')",2
"('hochwasserschutzdarüber', 'millionen')",2
"('hinaus', 'hochwasserschutzdarüber')",2
"('hochwasserschutzmaßnahmen', 'simbach')",2
"('hochwasserschutzmaßnahmen', 'höhe')",2
"('brechen', 'hochwasser')",2
"('geflutet', 'hochwassers')",2
"('jahrhunderthochwasser', 'uhr')",2
"('aischam', 'jahrhunderthochwasser')",2
"('jahrhunderthochwassers', 'stand')",2
"('großer', 'hochwasser')",2
"('hochwasserschutz', 'naturschutz')",2
"('gezielt', 'hochwasser')",2
"('auenlandschaft', 'hochwasser')",2
"('hochwasserschutzes', 'simbach')",2
"('geschaffen', 'hochwasser')",2
"('historischen', 'hochwasserschutz')",2
"('hochwasserwelle', 'scheitel')",2
"('donau', 'hochwasserwelle')",2
"('hochwasserschutz', 'usa')",2
"('entspannt', 'hochwasserlage')",2
"('hochwasserschutzes', 'niederbayerischen')",2
"('hochwasser-schutzelemente', 'mobile')",2
"('aufgestellt', 'hochwasser-schutzelemente')",2
"('hochwasser', 'lager')",2
"('hochwasser', 'meldestufe')",2
"('gerade', 'hochwasser')",2
"('allgäu', 'hochwasser')",2
"('hochwasser', 'straßen')",2
"('bewältigbares', 'hochwasser')",2
"('gebracht', 'hochwasser')",2
"('entlang', 'hochwasserlage')",2
"('angestiegen', 'hochwassernachrichtendienst')",2
"('hochwasserschutzwände', 'mobile')",2
"('hochwassernachrichtendienst', 'landesamtes')",2
"('größeres', 'hochwasser')",2
"('hochwasserwarnstufe', 'pressath')",2
"('2012dass', 'hochwasser')",2
"('führen', 'hochwasser')",2
"('kann.hochwassergefahr', 'kommen')",2
"('frankenauch', 'kann.hochwassergefahr')",2
"('frankenauch', 'hochwassergefahr')",2
"('grambow', 'hochwasserexperte')",2
"('bayerischen', 'hochwasserexperte')",2
"('geht', 'hochwasserschutz')",2
"('hochwasserschutz', 'konzept')",2
"('hochwasserkatastrophen', 'verzehnfacht')",2
"('2002', 'hochwasserkatastrophen')",2
"('hochwasserselbst', 'todesfällen.sturzflutartiges')",2
"('hochwasserselbst', 'kleine')",2
"('hochwasserwellen', 'sturzflutartigen')",2
"('hochwasserwellen', 'katastrophal')",2
"('hochwasser', 'zusammenhang')",2
"('2021in', 'hochwasser')",2
"('erdrutschen', 'hochwasser')",2
"('hochwasser', 'waldbrandserie')",2
"('14011', 'oderhochwasser')",2
"('brennen', 'hochwasser')",2
"('hochwasser', 'zurücksinkt')",2
"('hochwasser', 'seebeben')",2
"('hochwasser', 'waldbrände')",2
"('flutkatastrophe', 'hochwasser-ereignissen')",2
"('flutkatastrophe', 'jahrhunderthochwasser')",2
"('jahrhunderthochwasser', 'überschwemmung')",2
"('hochwasser', 'überschwemmung')",2
"('hochwasser', 'überschneiden')",2
"('hauptartikel', 'hochwasserschutz')",2
"('hochwasser', 'nordsee')",2
"('hochwasser', 'siehe')",2
"('hochwasser', 'mitteleuropa')",2
"('hochwasser', 'mhw')",2
"('hochwasser', 'mittlere')",2
"('hochwasserstand', 'mittleren')",2
"('hochwasser', 'wasserstand')",2
"('entstehen', 'hochwasser')",2
"('beim', 'rheinhochwasser')",2
"('heute', 'hochwasserwarnstufen')",2
"('hochwasser', 'selten')",2
"('mittleres', 'tidenhochwasser')",2
"('höchstes', 'tidenhochwasser')",2
"('tidenhochwasser', 'zeitspanne')",2
"('hochwasser', 'niedrig-')",2
"('anschließenden', 'hochwasser')",2
"('details', 'www.hochwasserzentralen.de')",2
"('einzelne', 'www.hochwasserzentralen.de')",2
"('entstehen', 'extremhochwasser')",1
"('extremhochwasser', 'könnten')",1
"('hochwasser', 'schweres')",1
"('donaudamm', 'hochwasser')",1
"('hochwasserkatastrophe', 'kommt')",1
"('dauerte', 'hochwasserkatastrophe')",1
"('dämme', 'hochwasser')",1
"('durchschnitt', 'hochwasser')",1
"('erneuten', 'katastrophenhochwasser')",1
"('2013', 'katastrophenhochwasser')",1
"('größenordnung', 'hochwasserschutz')",1
"('fließt', 'hochwasserschutz')",1
"('hochwassernachrichtendienst', 'lagebericht')",1
"('hochwassernachrichtendienstes', 'karte')",1
"('beispiel', 'hochwassernachrichtendienstes')",1
"('aisch', 'hochwasser-meldestufe')",1
"('drei', 'hochwasser-meldestufe')",1
"('entspannen', 'hochwasser')",1
"('hochwasser', 'norden')",1
"('bayerns', 'hochwasser')",1
"('hochwasser', 'zurückgegangen')",1
"('bericht', 'hochwasserdienstes')",1
"('hochwasserdienstes', 'wenigen')",1
"('hochwasserwirksam', 'pegeln')",1
"('bleiben', 'hochwasserwirksam')",1
"('bayernweit', 'hochwassern')",1
"('führen', 'hochwassern')",1
"('erste', 'hochwassermeldungen')",1
"('hochwassermeldungen', 'pegel')",1
"('derzeit', 'hochwassermeldung')",1
"('hochwassermeldung', 'schnee')",1
"('hochwassernachrichtendienst', 'stufe')",1
"('bayern.hier', 'hochwassernachrichtendienst')",1
"('geben', 'hochwassernachrichtendienst')",1
