"Word","Frequency"
"('bund', 'naturschutz')",30
"('bayern', 'naturschutz')",7
"('extreme', 'naturereignisse')",6
"('natur', 'unbelebten')",5
"('naturgefahren', 'schäden')",5
"('naturkatastrophe', 'schlimmste')",5
"('landwirtschaft', 'natur')",5
"('deutschland', 'naturkatastrophen')",4
"('fachzeitschrift', 'nature')",4
"('erschienen', 'nature')",4
"('fachmagazin', 'nature')",4
"('naturkatastrophen', 'verheerendsten')",4
"('höhe', 'naturgewalten')",4
"('naturgewalten', 'stadt')",4
"('naturkatastrophen', 'technischen')",4
"('menschen', 'natur')",4
"('naturkatastrophen', 'verursachen')",4
"('naturkatastrophen', 'todesopfer')",4
"('halbjahr', 'naturkatastrophen')",4
"('naturschutzgebiet', 'serra')",4
"('freier', 'natur')",4
"('erheblich', 'natur')",4
"('geoscience', 'nature')",4
"('einklang', 'naturhochwasserschutz')",3
"('kostet', 'naturhochwasserschutz')",3
"('mensch', 'natur')",3
"('naturkatastrophe', 'zusammenhang')",3
"('naturkatastrophe', 'tote')",3
"('juli', 'naturkatastrophen')",3
"('beschädigt', 'naturkatastrophen')",3
"('naturkatastrophe', 'schlimmsten')",3
"('naturkatastrophe', 'who-europa-region')",3
"('naturkatastrophen', 'weltweit')",3
"('menschen', 'naturkatastrophen')",3
"('extremen', 'naturereignissen')",3
"('deutschland', 'naturgefahren')",3
"('fordern', 'naturschützer')",3
"('einklang', 'naturmehr')",2
"('naturmehr', 'neun')",2
"('naturgefahrenjahre', 'teuersten')",2
"('naturgefahrenjahre', 'versicherer')",2
"('bestimmte', 'naturgewalten')",2
"('naturgewalten', 'zählen')",2
"('ländern', 'naturkatastrophen')",2
"('finanziell', 'naturkatastrophen')",2
"('naturkatastrophen', 'vier')",2
"('bekam', 'naturkatastrophen')",2
"('befinden', 'naturkatastrophen')",2
"('hilfen', 'naturkatastrophen')",2
"('disasters', 'naturkatastrophe')",2
"('mehrere', 'naturkatastrophe')",2
"('größeren', 'naturkatastrophen')",2
"('0,6', 'naturkatastrophen')",2
"('eu-solidarfonds', 'naturkatastrophe')",2
"('naturkatastrophe', 'stellen.für')",2
"('naturkatastrophen', 'regionale')",2
"('naturkatastrophen', 'referenzwert')",2
"('eu-solidarfonds', 'naturkatastrophen')",2
"('naturkatastrophen', 'übernommen')",2
"('naturkatastrophe', 'zahlenbeispiel')",2
"('deutschland', 'naturkatastrophe')",2
"('naturkatastrophen', 'unterstützen')",2
"('einklang', 'natur')",2
"('heute', 'naturschutz')",2
"('hochwasserschutz', 'naturschutz')",2
"('nature', 'veröffentlicht')",2
"('natur', 'schlägt')",2
"('mal', 'natur')",2
"('bund', 'naturschutzder')",2
"('naturgefahren', 'verursacht')",2
"('naturgefahren', 'schlugen')",2
"('naturkatastrophen', 'schäden')",2
"('naturkatastrophe', 'tage')",2
"('naturkatastrophe', 'schwindet')",2
"('hinterließen', 'naturkatastrophen')",2
"('naturkatastrophe', 'teuerste')",2
"('naturkatastrophe', 'vergangenen')",2
"('gefahren', 'naturkatastrophen')",2
"('naturkatastrophen', 'vergangenen')",2
"('naturkatastrophen', 'überschwemmungen')",2
"('künftig', 'naturkatastrophen')",2
"('erdrutschen', 'naturkatastrophen')",2
"('halbjährlichen', 'naturkatastrophenbericht')",2
"('ausführt', 'naturkatastrophenbericht')",2
"('naturkatastrophenauch', 'tote')",2
"('gab', 'naturkatastrophenauch')",2
"('hintergründe', 'naturkatastrophen')",2
"('naturkatastrophen', 'verstehen')",2
"('betroffenen', 'naturkatastrophen')",2
"('freiheit', 'naturkatastrophe.wenn')",2
"('intendant', 'naturkatastrophe.wenn')",2
"('lautes', 'naturspektakel')",2
"('knall', 'naturspektakel')",2
"('disaster', 'natural')",2
"('betroffen', 'naturkatastrophen')",2
"('beispiel', 'natur')",2
"('natur', 'systemen')",2
"('natur', 'technik')",2
"('naturereignis', 'unglückliches')",2
"('naturereignis', 'usw')",2
"('natur', 'technischer')",2
"('ebenso', 'natur')",2
"('natur', 'vielfältiger')",2
"('denkbar', 'natur')",2
"('naturkatastrophen', 'verkehrsunfällen')",2
"('naturkatastrophen', 'ursache')",2
"('katastrophen', 'naturkatastrophen')",2
"('naturereignisse', 'naturkatastrophen')",2
"('denen', 'naturereignisse')",2
"('naturkatastrophen', 'waldbrände')",2
"('klimakatastrophe', 'naturkatastrophen')",2
"('natur-', 'terminologie')",2
"('katastrophe', 'natur-')",2
"('entfesselte', 'natur')",2
"('bild', 'natur')",2
"('ausmaß', 'naturkatastrophe')",2
"('naturereignisse', 'ostalpenraum')",2
"('naturerfahrung', 'ostalpenraum')",2
"('naturerfahrung', 'spätmittelalter')",2
"('großen', 'naturkatastrophen')",2
"('geschichte', 'naturkatastrophen')",2
"('and', 'natural')",2
"('naturschutz', 'steht')",2
"('flut', 'naturphänomen')",2
"('gezeiten', 'naturphänomen')",2
"('naturgefahren', 'teuersten')",2
"('europa', 'naturkatastrophe')",2
"('häuser', 'naturkatastrophe')",2
"('naturkatastrophe', 'zerstört')",2
"('folgen', 'natur')",2
"('natur', 'niedrigwasser')",2
"('naturschutzgebiet', 'waldbrand')",2
"('nahe', 'naturschutzgebiet')",2
"('landwirtschaft', 'naturschutz')",2
"('einbinden', 'naturschutz')",2
"('aktiv', 'natur')",2
"('natur', 'unterwegs')",2
"('einsatz.im', 'naturpark')",2
"('blidinje', 'naturpark')",2
"('naturkatastrophe', 'schutzgebiet')",2
"('aus.waldbrandfläche', 'naturkatastrophe')",2
"('gegenstände', 'natur')",2
"('auto', 'natur')",2
"('folgenfür', 'natur')",2
"('natur', 'wäre')",2
"('durchgeführt', 'natur')",2
"('natur', 'typischerweise')",2
"('ausflüge', 'natur')",2
"('natur', 'nutzen')",2
"('ausgetrockneten', 'natur')",2
"('ausbreiten', 'natur')",2
"('infrastruktur', 'natur')",2
"('leidet', 'natur')",2
"('fischsterbenaber', 'natur')",2
