"Word","Frequency"
"('bayern', 'bund', 'naturschutz')",7
"('4.000', 'höhe', 'naturgewalten')",4
"('höhe', 'naturgewalten', 'palu')",4
"('1.500', 'naturgewalten', 'palu')",4
"('natur', 'systemen', 'unbelebten')",4
"('katastrophen', 'naturkatastrophen', 'technischen')",4
"('naturkatastrophen', 'todesopfer', 'zahl')",4
"('halbjahr', 'naturkatastrophen', 'todesopfer')",4
"('2021', 'halbjahr', 'naturkatastrophen')",4
"('estrela', 'naturschutzgebiet', 'serra')",4
"('freier', 'lage', 'natur')",4
"('erheblich', 'freier', 'natur')",4
"('drohe', 'erheblich', 'natur')",4
"('bauen', 'einklang', 'naturhochwasserschutz')",3
"('einklang', 'kostet', 'naturhochwasserschutz')",3
"('kostet', 'millionen', 'naturhochwasserschutz')",3
"('beim', 'bund', 'naturschutz')",3
"('naturkatastrophe', 'nordrhein-westfalen', 'zusammenhang')",3
"('naturkatastrophe', 'tote', 'zusammenhang')",3
"('naturkatastrophe', 'rheinland-pfalz', 'tote')",3
"('juli', 'naturkatastrophen', 'regionen')",3
"('beschädigt', 'juli', 'naturkatastrophen')",3
"('berchtesgadener', 'beschädigt', 'naturkatastrophen')",3
"('naturkatastrophe', 'schlimmsten', 'zeugen')",3
"('naturkatastrophe', 'schlimmsten', 'who-europa-region')",3
"('jahrhundert', 'naturkatastrophe', 'who-europa-region')",3
"('ersten', 'naturkatastrophen', 'verursachen')",3
"('bund', 'naturschutz', 'vorsitzende')",3
"('bäume', 'naturverjüngung', 'sturmgebiet')",2
"('bauen', 'einklang', 'naturmehr')",2
"('einklang', 'naturmehr', 'neun')",2
"('millionen', 'naturmehr', 'neun')",2
"('naturgefahrenjahre', 'spitze', 'teuersten')",2
"('naturgefahrenjahre', 'teuersten', 'versicherer')",2
"('folgt', 'naturgefahrenjahre', 'versicherer')",2
"('bestimmte', 'naturgewalten', 'schäden')",2
"('bestimmte', 'naturgewalten', 'zählen')",2
"('hochwasser', 'naturgewalten', 'zählen')",2
"('ländern', 'naturkatastrophen', 'solidarfonds')",2
"('finanziell', 'ländern', 'naturkatastrophen')",2
"('finanziell', 'geholfen', 'naturkatastrophen')",2
"('deutschland', 'naturkatastrophen', 'vier')",2
"('bekam', 'naturkatastrophen', 'vier')",2
"('bekam', 'bundesrepublik', 'naturkatastrophen')",2
"('aufnahme', 'befinden', 'naturkatastrophen')",2
"('befinden', 'hilfen', 'naturkatastrophen')",2
"('hilfen', 'naturkatastrophen', 'topf')",2
"('disasters', 'naturkatastrophe', 'regional')",2
"('disasters', 'naturkatastrophe', 'regionen')",2
"('land', 'naturkatastrophe', 'regionen')",2
"('größeren', 'liegt', 'naturkatastrophen')",2
"('0,6', 'größeren', 'naturkatastrophen')",2
"('0,6', 'bruttonationaleinkommens', 'naturkatastrophen')",2
"('eu-solidarfonds', 'hilfen', 'naturkatastrophe')",2
"('eu-solidarfonds', 'naturkatastrophe', 'naturkatastrophen')",2
"('naturkatastrophe', 'naturkatastrophen', 'referenzwert')",2
"('anteil', 'naturkatastrophen', 'referenzwert')",2
"('eu-solidarfonds', 'liegt', 'naturkatastrophen')",2
"('eu-solidarfonds', 'naturkatastrophen', 'übernommen')",2
"('naturkatastrophen', 'zahlenbeispiel', 'übernommen')",2
"('naturkatastrophe', 'zahlenbeispiel', 'übernommen')",2
"('deutschland', 'naturkatastrophe', 'zahlenbeispiel')",2
"('deutschland', 'naturkatastrophe', 'schaden')",2
"('deutschland', 'naturkatastrophen', 'vorwurf')",2
"('deutschland', 'naturkatastrophen', 'unterstützen')",2
"('naturkatastrophen', 'trifft', 'unterstützen')",2
"('mensch', 'natur', 'ziel')",2
"('einklang', 'mensch', 'natur')",2
"('einklang', 'leben', 'natur')",2
"('natur', 'schlägt', 'umwelt')",2
"('mal', 'natur', 'schlägt')",2
"('mal', 'natur', 'zurück')",2
"('naturgefahren', 'schäden', 'verursacht')",2
"('naturgefahren', 'schlugen', 'verursacht')",2
"('naturgefahren', 'schlugen', 'vergangenen')",2
"('naturkatastrophe', 'tage', 'zwei')",2
"('naturkatastrophe', 'schwindet', 'tage')",2
"('hoffnung', 'naturkatastrophe', 'schwindet')",2
"('hinterließen', 'naturkatastrophen', 'vergangenen')",2
"('hinterließen', 'naturkatastrophen', 'weltweit')",2
"('hohe', 'naturkatastrophen', 'weltweit')",2
"('betroffendie', 'naturkatastrophe', 'teuerste')",2
"('naturkatastrophe', 'teuerste', 'vergangenen')",2
"('hurrikan', 'naturkatastrophe', 'vergangenen')",2
"('erdrutschen', 'künftig', 'naturkatastrophen')",2
