"Word","Frequency"
"('erschweren', 'rettungsaktionenallerdings', 'schneefälle')",4
"('betroffen', 'rettung', 'unwetter')",3
"('betroffen', 'menschenleben', 'rettung')",3
"('menschenleben', 'oberste', 'rettung')",3
"('rettungsdienste', 'schultern', 'teils')",3
"('einsatz', 'rettungsdienste', 'schultern')",3
"('einsatz', 'menschen', 'rettungsdienste')",3
"('meist', 'rettungskräfte', 'unfallort')",3
"('meist', 'nachbarn.bevölkerungsschützer', 'rettungskräfte')",3
"('nachbarn.bevölkerungsschützer', 'nachbarschaftshilfedie', 'rettungskräfte')",3
"('eisigen', 'rettungskräfte', 'temperaturen')",3
"('kontakt', 'laufen', 'rettungskräften')",3
"('aufnehmen', 'kontakt', 'rettungskräften')",3
"('aufnehmen', 'können.wegen', 'rettungskräften')",3
"('ehrenamtliche', 'luftrettungsstaffel', 'mittelfranken')",3
"('ehrenamtlichen', 'luftrettungsstaffel', 'oberpfälzer')",3
"('luftrettungsstaffel', 'oberpfälzer', 'starten')",3
"('flugplätzen', 'luftrettungsstaffel', 'starten')",3
"('bayern', 'luftrettungsstaffel', 'stellt')",3
"('alarmbereitschaft', 'erhöhte', 'rettungskräfte')",3
"('abgegangen', 'felssturz', 'rettungskräfte')",3
"('abgegangen', 'hätten', 'rettungskräfte')",3
"('dienstagnachmittag', 'hätten', 'rettungskräfte')",3
"('rettungskräfte', 'sagte', 'sprecherin')",2
"('angaben', 'rettungskräfte', 'sprecherin')",2
"('angaben', 'anzahl', 'rettungskräfte')",2
"('können.suche', 'rettungsstaffeln', 'verschüttetenmehrere')",2
"('hunden', 'rettungsstaffeln', 'verschüttetenmehrere')",2
"('einsatzgebiet', 'hunden', 'rettungsstaffeln')",2
"('damals', 'packten', 'rettungskräfte')",2
"('damals', 'feuerwehr', 'rettungskräfte')",2
"('feuerwehr', 'katastrophenschutz', 'rettungskräfte')",2
"('mitgerissen', 'rettungsteams', 'vermisst')",2
"('rettungsteams', 'suchten', 'vermisst')",2
"('rettungsteams', 'spürhunden', 'suchten')",2
"('polizei', 'rettungskräfte', 'sicher')",2
"('flutgebieten', 'polizei', 'rettungskräfte')",2
"('flutgebieten', 'rettungskräfte', 'ständig')",2
"('bitten', 'rettungskräfte', 'wiederholten')",2
"('bitten', 'reisen', 'rettungskräfte')",2
"('eigene', 'reisen', 'rettungskräfte')",2
"('flutgebiet', 'polizei', 'rettungskräfte')",2
"('anzahl', 'polizei', 'rettungskräfte')",2
"('anzahl', 'einsatzkräfte', 'rettungskräfte')",2
"('eingesetzten', 'geachtet', 'rettungskräfte')",2
"('behindern', 'eingesetzten', 'rettungskräfte')",2
"('behindern', 'hochwasser-ticker', 'rettungskräfte')",2
"('gerettet', 'hubschrauber', 'rettungskräfte')",2
"('gerettet', 'kämpften', 'rettungskräfte')",2
"('fluten', 'kämpften', 'rettungskräfte')",2
"('gekommen', 'leben', 'rettungskräfte')",2
"('bargen', 'gekommen', 'rettungskräfte')",2
"('ausgerüstet', 'bergrettung', 'konnte')",2
"('bergrettung', 'konnte', 'unterstützung')",2
"('bergrettung', 'eintraf', 'unterstützung')",2
"('rettung', 'suche', 'verschütteten')",2
"('begonnen', 'rettung', 'verschütteten')",2
"('begonnen', 'rettung', 'zwei')",2
"('bergrettung', 'polizei', 'tiroler')",2
"('bergrettung', 'hubschrauber', 'polizei')",2
"('bergrettung', 'einsatz', 'hubschrauber')",2
"('indische', 'militär', 'rettungsteams')",2
"('konnten', 'rettungskräfte', 'überflogen')",2
"('gebiet', 'rettungskräfte', 'überflogen')",2
"('drohnen', 'gebiet', 'rettungskräfte')",2
"('bergrettung', 'chef', 'sagte')",2
"('bergrettung', 'chef', 'maurizio')",2
"('bergrettung', 'dellantonio', 'maurizio')",2
"('geröll', 'mitgerissen', 'rettungsarbeiten')",2
"('mitgerissen', 'rettungsarbeiten', 'zwei')",2
"('kilometer', 'rettungsarbeiten', 'zwei')",2
"('bergrettungschef', 'gebracht', 'sagte')",2
"('bergrettungschef', 'dellantonio.mit', 'sagte')",2
"('bergrettungschef', 'dellantonio.mit', 'material')",2
"('dankte', 'deutschen', 'rettungs-')",2
"('bergungsteams', 'deutschen', 'rettungs-')",2
"('bergungsteams', 'rettungs-', 'zurückgekehrt')",2
"('rettungskräfte', 'schwerem', 'temperaturen')",2
"('gerät', 'rettungskräfte', 'schwerem')",2
"('betroffene', 'rettungsteams', 'syrien')",2
"('1.200', 'rettungskräfte', 'such-')",2
"('medizinische', 'rettungskräfte', 'such-')",2
