"Word","Frequency"
"('behörde', 'schrieb', 'tornado')",2
"('behörde', 'bundesstaat', 'tornado')",2
"('bundesstaat', 'gefegt', 'tornado')",2
"('berichte', 'tornados', 'us-medien')",2
"('berichte', 'lesen', 'tornados')",2
"('kamen', 'lesen', 'tornados')",2
"('alabama', 'bundesstaat', 'tornado')",2
"('alabama', 'schützen', 'tornado')",2
"('-jets', 'eurofighter', 'tornado')",2
"('deutschland', 'gehören', 'tornados')",2
"('deutschland', 'jährlich', 'tornados')",2
"('jährlich', 'nachgewiesen', 'tornados')",2
"('berichtet', 'nachgewiesen', 'tornados')",2
"('deutsche', 'tornados', 'wetterdienst')",2
"('großer', 'tornados', 'wetterdienst')",2
"('großer', 'tornados', 'zerstörungskraft')",2
"('sirenen', 'tornados', 'warnungen')",2
"('entstehen', 'sirenen', 'tornados')",2
"('entstehen', 'sommerlichen', 'tornados')",2
"('kleinräumig', 'tornadoerkennung', 'treten')",2
"('echte', 'kleinräumig', 'tornadoerkennung')",2
"('detektivarbeit', 'echte', 'tornadoerkennung')",2
"('meint', 'tornados', 'wetterdienst')",2
"('bayern', 'meint', 'tornados')",2
"('bayern', 'häufiger', 'tornados')",2
"('erkennt', 'früher', 'tornado')",2
"('erkennt', 'tornado', 'tornado')",2
"('lässt', 'tornado', 'tornado')",2
"('leicht', 'lässt', 'tornado')",2
"('schneise', 'tornados', 'verwüstung')",2
"('bayern', 'deutschland', 'tornados')",2
"('bayern', 'tornados', 'treten')",2
"('häufiger', 'tornados', 'treten')",2
"('bestätigt', 'drei', 'tornados')",2
"('drei', 'tornados', 'ursache')",2
"('superzellen', 'tornados', 'ursache')",2
"('stärker', 'tornado', 'wind')",2
"('rauskommen', 'tornado', 'wind')",2
"('paderborn', 'rauskommen', 'tornado')",2
"('bayern', 'br24-redaktion', 'tornados')",2
"('br24-redaktion', 'deutschland', 'tornados')",2
"('deutschland', 'klingt', 'tornados')",2
"('amberger', 'gerhard', 'tornados')",2
"('amberger', 'deutschland', 'tornados')",2
"('deutschland', 'früher', 'tornados')",2
"('begriff', 'gesprochen', 'tornado')",2
"('begriff', 'kennen', 'tornado')",2
"('bildern', 'kennen', 'tornado')",2
