"Word","Frequency"
"('hitze', 'pausen', 'schatten', 'tipps')",14
"('erwartet', 'hitzewelle', 'hohe', 'temperaturen')",12
"('extreme', 'hitze', 'trockenheit', 'urlauber')",6
"('affenhitze', 'bayernwetter', 'langen', 'wochenende')",5
"('affenhitze', 'langen', 'statt', 'wochenende')",5
"('affenhitze', 'schafskälte', 'statt', 'wochenende')",5
"('erholsame', 'hitze', 'nächte', 'schlafen')",5
"('falle', 'hitze', 'kinder', 'tödliche')",5
"('dürre', 'gestiegen', 'hitze', 'waldbrände')",4
"('dürre', 'hitze', 'nehmen', 'waldbrände')",4
"('acht', 'extreme', 'hitzewellen', 'klimakrise')",4
"('faktenfuchs', 'hitzeperioden', 'verharmlost', 'zerstört')",4
"('alkohol', 'belasten', 'hitzewelle', 'körper')",4
"('affenhitze', 'hitze', 'schafskälte', 'statt')",4
"('einstellen', 'hitze', 'waldbrände', 'übermäßige')",4
"('autos', 'falle', 'hitze', 'tödliche')",4
"('hitze-mythen', 'kaltes', 'pickel', 'wasser')",4
"('hitze-mythen', 'kaltes', 'prüfstand', 'wasser')",4
"('dauerhitze', 'deutsche', 'extreme', 'trockenheit')",3
"('aktuelle', 'halten', 'hitzewelle', 'wald')",3
"('aktuelle', 'herrschende', 'hitzewelle', 'trockenheit')",3
"('herrschende', 'hitzewelle', 'sorgen', 'trockenheit')",3
"('hitze', 'main-wasser', 'weinberge', 'winzer')",3
"('aushalten', 'hitze', 'temperaturen', 'tipps')",3
"('bevölkerung', 'freizeitaktivitäten', 'hitze', 'waldbrandgefahr')",3
"('dürre', 'hitze', 'unterfranken', 'warum')",3
"('bayerns', 'hitze', 'unterfranken', 'warum')",3
"('bayerns', 'fische', 'hitze', 'niedrigwasser')",3
"('hitze', 'hitzewelle', 'thema', 'tipps')",3
"('hitze', 'hitzewelle', 'temperaturen', 'tipps')",3
"('aufgeklärt', 'hitze', 'sommer', 'wirklich')",3
"('gefährdet', 'hitzewelle', 'indien', 'lebensmittelsicherheit')",3
"('größere', 'hitzewellen', 'problem', 'wobei')",3
"('hauptsächlich', 'hitzegewitter', 'reine', 'süden')",2
"('entstanden.br24-redaktion', 'hauptsächlich', 'hitzegewitter', 'reine')",2
"('entstanden.br24-redaktion', 'hitzegewitter', 'reine', 'unwetterprognosen')",2
"('bayern', 'entstanden.br24-redaktion', 'hitzegewitter', 'unwetterprognosen')",2
"('aufenthaltsqualität', 'hitze', 'politiker', 'steigern')",2
"('aufenthaltsqualität', 'hitze', 'hochwasser', 'steigern')",2
"('hitze', 'hochwasser', 'schützen', 'steigern')",2
"('hitze', 'hochwasser', 'schützen', 'städte')",2
"('hitze', 'klimawandels', 'trockenheit', 'wappnen')",2
"('hitze', 'starkregen', 'trockenheit', 'wappnen')",2
