"Word","Frequency"
"('fluten', 'schwammen', 'stromversorgung', 'wasser-')",3
"('fluten', 'stromversorgung', 'vielerorts', 'wasser-')",3
"('stromversorgung', 'unterbrochen', 'vielerorts', 'wasser-')",3
"('stromversorgung', 'unterbrochen', 'verkehr', 'vielerorts')",3
"('haushalte', 'stromversorgung', 'tausende', 'unwetter')",3
"('abgeschnitten', 'haushalte', 'stromversorgung', 'tausende')",3
"('französische', 'stromversorgung', 'teilte', 'wetterbehörde')",3
"('45.000', 'französische', 'stromversorgung', 'wetterbehörde')",3
"('45.000', 'haushalten', 'stromversorgung', 'wetterbehörde')",3
"('angeschlossen', 'kunden', 'stromversorgung', 'zimmerhof')",2
"('angeschlossen', 'feuerwehren', 'stromversorgung', 'zimmerhof')",2
"('grundwasser', 'macht', 'trinkwasserversorgung', 'unserer')",2
"('grundwasser', 'grundwasserneubildung', 'trinkwasserversorgung', 'unserer')",2
"('findet', 'grundwasserneubildung', 'trinkwasserversorgung', 'unserer')",2
"('brücken', 'müssten', 'versorgung', 'wiederhergestellt')",2
"('ausgezahlt', 'deckung', 'grundversorgung', 'unbürokratisch')",2
"('außen', 'nahrung', 'versorgt.erneut', 'wasser')",2
"('flammen', 'nahrung', 'versorgt.erneut', 'wasser')",2
"('chemiefabrikin', 'flammen', 'versorgt.erneut', 'überschwemmten')",2
"('genf', 'mitteilung.die', 'versorgung', 'veröffentlichten')",2
"('millionen', 'mitteilung.die', 'versorgung', 'veröffentlichten')",2
"('al-hawa', 'bab', 'versorgt', 'übergang')",2
"('elektrische', 'stromversorgung', 'systeme', 'unterstützen')",2
"('brücken', 'energieversorgung', 'straßen', 'wasserversorgung')",2
"('beeinträchtigt', 'brücken', 'energieversorgung', 'wasserversorgung')",2
"('beeinträchtigt', 'energieversorgung', 'wasserversorgung', 'zerstört')",2
"('beeinträchtigt', 'energieversorgung', 'und/oder', 'zerstört')",2
"('gefahren', 'menschen', 'unversorgte', 'verletzungen')",2
"('hunger', 'menschen', 'unversorgte', 'verletzungen')",2
"('hunger', 'seuchen', 'unversorgte', 'verletzungen')",2
"('behelfsmäßiger', 'unterbringung', 'versorgung', 'wiederaufbau')",2
"('einsatzkräfte', 'hätten', 'löschversorgung', 'unabhängige')",2
"('abendstunden', 'hätten', 'löschversorgung', 'unabhängige')",2
"('abendstunden', 'löschversorgung', 'unabhängige', 'vorne')",2
"('abendstunden', 'gingen', 'löschversorgung', 'vorne')",2
"('rief', 'sparen', 'trinkwasserversorgung', 'wasser')",2
"('hierzulande', 'sparen', 'trinkwasserversorgung', 'wasser')",2
"('flächenbränden', 'gelände', 'löschwasserversorgung', 'unwegsamem')",2
"('begrenzt.auch', 'gelände', 'löschwasserversorgung', 'unwegsamem')",2
"('begrenzt.auch', 'landkreis', 'löschwasserversorgung', 'straubing-bogen')",2
"('notarzt', 'radler', 'versorgte', 'zwei')",2
"('infusionen', 'radler', 'versorgte', 'zwei')",2
"('auswirkungen', 'energieversorgung', 'feuers', 'vergangener')",2
"('auswirkungen', 'energieversorgung', 'extremen', 'feuers')",2
"('energieversorgung', 'extremen', 'feuers', 'hitze')",2
"('energieversorgung', 'extremen', 'hitze', 'notstand')",2
"('bäume', 'klimawandel', 'versorgen', 'wasser')",2
"('deutschen', 'gasversorgung', 'kliniken', 'studie')",2
"('eingeschränkt', 'menschen', 'versorgen', 'ältere')",2
"('erstversorgt', 'etagen', 'jugendlichen', 'zwei')",2
"('erstversorgt', 'etagen', 'jugendlichen', 'krankenhaus')",2
"('erstversorgt', 'jugendlichen', 'krankenhaus', 'zustand')",2
