"Word","Frequency"
"('frühwarnsystem', 'landshut', 'neuartiges', 'völlig')",2
"('frühwarnsystem', 'neuartiges', 'unwetter', 'völlig')",2
"('frühwarnsystem', 'hochwasser', 'neuartiges', 'unwetter')",2
"('frühwarnsystem', 'hochwasser', 'unwetter', 'vorgestellt')",2
"('heißt', 'ki-warnsystem', 'ministerium', 'neue')",2
"('ki-warnsystem', 'ministerium', 'neue', 'unwetter')",2
"('ki-warnsystem', 'neue', 'nutzt', 'unwetter')",2
"('daten', 'ki-warnsystem', 'nutzt', 'unwetter')",2
"('grüne', 'mängel', 'warnsystem', 'zehn-punkte-plan')",2
"('eben', 'frühwarnsystem', 'hilft', 'minute')",2
"('befreit', 'bevölkerung', 'warnsystem', 'wassermassen')",2
"('eins', 'hochwasser-warnsystems', 'meldestufe', 'vierstufigen')",1
"('cham', 'eins', 'hochwasser-warnsystems', 'vierstufigen')",1
"('cham', 'hochwasser-warnsystems', 'regen', 'vierstufigen')",1
"('cham', 'hochwasser-warnsystems', 'regen', 'warmbach')",1
"('flüssen', 'frühwarnsystems', 'sensoren', 'teil')",1
"('frühwarnsystems', 'passau', 'sensoren', 'teil')",1
"('2013', 'frühwarnsystems', 'passau', 'teil')",1
"('2013', 'frühwarnsystems', 'passau', 'zuletzt')",1
"('abfließen', 'frühwarnsystem', 'kann.neues', 'schneller')",1
"('abfließen', 'arbeitaußerdem', 'frühwarnsystem', 'kann.neues')",1
"('arbeitaußerdem', 'arbeiten', 'frühwarnsystem', 'kann.neues')",1
"('arbeitaußerdem', 'arbeiten', 'frühwarnsystem', 'katastrophenschutz')",1
"('frühwarnsystem', 'katastrophenschutz', 'landshut', 'neuen')",1
"('bürger', 'frühwarnsystem', 'landshut', 'neuen')",1
"('bürger', 'einsatzkräfte', 'frühwarnsystem', 'neuen')",1
"('bürger', 'einsatzkräfte', 'frühwarnsystem', 'künftig')",1
"('eben', 'frühwarnsystem', 'minute', 'zählt')",1
"('bürger', 'frühwarnsystem', 'hilft', 'minute')",1
"('hochwasser-warnsystems', 'meldestufe', 'vielerorts', 'vierstufigen')",1
"('brennpunkt', 'hochwasser-warnsystems', 'meldestufe', 'vierstufigen')",1
"('brennpunkt', 'chammeldestufe', 'hochwasser-warnsystems', 'vierstufigen')",1
"('brennpunkt', 'chammeldestufe', 'hochwasser-warnsystems', 'zwei')",1
"('-warnsystems', 'broadcast', 'cell', 'einführung')",1
"('-warnsystems', 'beauftragt', 'broadcast', 'cell')",1
"('-warnsystems', 'beauftragt', 'broadcast', 'experten')",1
"('-warnsystems', 'beauftragt', 'experten', 'jahren')",1
"('cdu', 'offen', 'sms-warnsystem', 'zeigt')",1
"('bestehenden', 'offen', 'sms-warnsystem', 'zeigt')",1
"('bestehenden', 'offen', 'sms-warnsystem', 'warnsysteme')",1
"('bestehenden', 'ergänzen', 'sms-warnsystem', 'warnsysteme')",1
"('abwasserüberwachung', 'frühwarnsystem', 'hoffnung', 'schließen')",1
"('abwasserüberwachung', 'auftauchen', 'frühwarnsystem', 'hoffnung')",1
"('abwasserüberwachung', 'auftauchen', 'frühwarnsystem', 'zirkulation')",1
"('auftauchen', 'frühwarnsystem', 'virus', 'zirkulation')",1
"('erledigen', 'frühwarnsystemdie', 'kamera', 'können.die')",1
"('frühwarnsystemdie', 'kamera', 'können.die', 'webcam')",1
"('frühwarnsystemdie', 'kamera', 'webcam', 'willen')",1
"('frühwarnsystemdie', 'stadtrats', 'webcam', 'willen')",1
"('daten', 'frühwarnsystem', 'homepage', 'liefern')",1
"('frühwarnsystem', 'homepage', 'liefern', 'sagt')",1
"('frühwarnsystem', 'liefern', 'sagt', 'schuhbauer')",1
"('frühwarnsystem', 'pegelstände', 'sagt', 'schuhbauer')",1
"('angrenzenden', 'frühwarnsystem', 'pazifik', 'staaten')",1
"('angrenzenden', 'frühwarnsystem', 'pacific', 'staaten')",1
"('frühwarnsystem', 'pacific', 'staaten', 'tsunami')",1
"('frühwarnsystem', 'pacific', 'tsunami', 'warning')",1
"('frühwarnsystem', 'indischen', 'ozean', 'starben')",1
"('errichtet', 'frühwarnsystem', 'ozean', 'starben')",1
"('errichtet', 'flachgründige', 'frühwarnsystem', 'starben')",1
"('errichtet', 'flachgründige', 'frühwarnsystem', 'lokal')",1
"('geomorphologie', 'ingenieurvermessung', 'warnsysteme', 'zugehörige')",1
"('geomorphologie', 'jüngst', 'warnsysteme', 'zugehörige')",1
"('entstandenen', 'jüngst', 'warnsysteme', 'zugehörige')",1
"('meteo', 'mobiliar', 'unwetterwarnsystem', 'wind')",1
"('meteo', 'unwetterwarnsystem', 'weather', 'wind')",1
"('information', 'unwetterwarnsystem', 'weather', 'wind')",1
"('demand', 'information', 'unwetterwarnsystem', 'weather')",1
"('gewitterfallböen', 'hagel', 'kurzfrist-warnsystem', 'sturzfluten')",1
