"Word,""Frequency"""
('gefahr', 'lawinen'),10
('lawinen', 'müssen'),10
('erfasst', 'lawine'),9
('bayern', 'lawinenwarndienst'),8
('lawine', 'mitgerissen'),7
('laut', 'lawinenwarndienst'),6
('alpen', 'lawinengefahr'),5
('lawine', 'verschüttet'),5
('lawinengefahr', 'mäßige'),5
('lawine', 'skifahrer'),5
('lawinen', 'muren'),5
('eis', 'lawine'),5
('mehrere', 'schlammlawinen'),5
('abgehen', 'lawinen'),4
('erhebliche', 'lawinengefahr'),4
('lawine', 'unterwegs'),4
('lawinenwarndienstes', 'leiter'),4
('lawinenschutz', 'technischer'),4
('lawine', 'sonntagmittag'),3
('lawinengefahr', 'schnee'),3
('lawine', 'schnee'),3
('lawinenlagebericht', 'lesen'),3
('auslösen', 'lawine'),3
('bayerischen', 'lawinenwarndienst'),3
('großer', 'lawinengefahr'),3
('entstehen', 'lawinen'),3
('allgäuer', 'lawinengefahr'),3
('angaben', 'lawinenwarndienstes'),3
('gelöst', 'lawine'),3
('abgegangen', 'lawine'),3
('erdrutsch', 'schlammlawine'),3
('lawinenforschung', 'schnee-'),3
('auswirkungen', 'lawinenabganges'),3
('lawinenkunde', 'strategische'),3
('lawine', 'massive'),3
('machten', 'schlammlawinen'),3
('gerölllawinen', 'schlamm-'),2
('abgegangen', 'gerölllawinen'),2
('schlammlawine', 'verzweiflung'),2
('schlammlawine', 'wälzt'),2
('geröll-lawine', 'siloballen'),2
('geröll-lawine', 'rollt'),2
('schlammlawine', 'starkregen'),2
('schlammlawine', 'wohnräume'),2
('hochwasser', 'lawinenabgänge'),2
('erdbeben', 'lawinenabgänge'),2
('ansteigen', 'lawinengefahr'),2
('lockerschneelawinen', 'schneebretter'),2
('allgäudie', 'lawinengefahr'),2
('lawine', 'schlamm'),2
('lawinengefahr', 'oberhalb'),2
('begraben', 'lawine'),2
('artikel', 'lawinengefahr'),2
('dritten', 'lawine'),2
('gams', 'lawine'),2
('beim', 'lawinenwarndienst'),2
('lawine', 'rollen'),2
('gewarnt', 'lawinengefahr'),2
('genau', 'lawinenlagebericht'),2
('gefährlich', 'lawinengefahr'),2
('lawine', 'menschen'),2
('erhöhter', 'lawinengefahr'),2
('lawinenabgang', 'minuten'),2
('lawinengefahr', 'steigt'),2
('lawine', 'schneebrett'),2
('lawine', 'wintersportler'),2
('lawinenlagebericht', 'pflichtlektüre'),2
('lawinenschaufel', 'sonde'),2
('lawinengefahr', 'samstag'),2
('lawine', 'ums'),2
('artikel', 'lawinen'),2
('abgegangen', 'lawinen'),2
('bayerischen', 'lawinenwarnzentrale'),2
('geboten', 'lawinen'),2
('könnten', 'lawinen'),2
('altschneedecke', 'lawinensituation'),2
('lawinensituation', 'voraussichtlich'),2
('hauptproblem', 'lawinengefahr'),2
('lawinengefahr', 'wind'),2
('lawinenwarndienstes', 'tirol'),2
('britin', 'lawine'),2
('lawinenunglück', 'österreich'),2
('plötzlich', 'schneebrettlawine'),2
('gelöst', 'schneebrettlawine'),2
('alpen', 'lawine'),2
('lawinen', 'sicher'),2
('angaben', 'lawinengefahr'),2
('lawine', 'vorarlberg'),2
('bayern', 'lawinenkommissionen'),2
('lawinengefahr', 'straßen'),2
('erstellt', 'lawinenwarndienst'),2
('lawinen-unglück', 'tödlichen'),2
('italienischen', 'lawinen-unglück'),2
('chancen', 'lawinenmasse'),2
('lawinenmasse', 'menschen'),2
('lawinen', 'weitere'),2
('ausschließen', 'lawinen'),2
('gesperrt.nach', 'lawinenunglück'),2
('kleidung', 'lawinenunglück'),2
('eislawine', 'marmolata'),2
('300', 'eislawine'),2
('langen', 'lawinenzunge'),2
('lawinenzunge', 'schwierig'),2
('kleinere', 'lawine'),2
('lawinenkatastrophe', 'machte'),2
('klimawandel', 'lawinenkatastrophe'),2
('draghi.lawine', 'unterstrich'),2
('draghi.lawine', 'festgesetzt'),2
('geborgen', 'lawine'),2
('lawinen', 'schnee'),2
('lawine', 'überrascht'),2
('lawine', 'löst'),2
('alpenraum', 'lawinengefahr'),2
('bayerische', 'lawinenwarndienst'),2
('lawinen', 'vulkanausbrüche'),2
('erd-', 'lawinen'),2
('schlammlawine', 'überschwemmung'),2
('erdrutschen', 'lawinen'),2
('große', 'lawinen'),2
('kommen', 'lawinen'),2
('lockerschneelawinen', 'nasse'),2
('entstehung', 'lawine'),2
('lawinenforschung', 'slf'),2
('lawinenkommissionen', 'örtliche'),2
('aktive', 'lawinenschutzmaßnahmen'),2
('1999', 'lawinenunglück'),2
('dramatische', 'kostenlawine'),2
('schlammlawinen', 'überschwemmungen'),2
('davon', 'schlammlawinen'),2
('schlammlawinen', 'weniger'),1
('hoffen', 'schlammlawinen'),1
('erosion', 'schlammlawinen'),1
('bekämpfen', 'schlammlawinen'),1
('schlammlawinen', 'wohngebietevon'),1
('schlammlawinen', 'schlimmsten'),1
('schlammlawine', 'schwappte'),1
('darunter', 'schlammlawine'),1
('gehabt', 'schlammlawine'),1
('haus', 'schlammlawine'),1
('lawinengefahr', 'neuschneemengen'),1
('oberstdorf', 'schlammlawine'),1
('2015', 'schlammlawine'),1
('lawinenwarnstufe', 'prognostiziert.nach'),1
('5vom', 'lawinenwarnstufe'),1
('alpen', 'lawinenwarnstufe'),1
('lawinenwarnstufe', 'vier'),1
('heißt', 'lawinen'),1
('lawinen', 'lösen'),1
('lawinenwarnstufe', 'sorgt'),1
('lawinenwarnstufe', 'tieferen'),1
('lockerschneelawinen', 'schon'),1
('kommen', 'lawinenbeobachter'),1
('kristian', 'lawinenbeobachter'),1
('davon', 'lawinensituation'),1
('angespannt', 'lawinensituation'),1
('allerhöchste', 'lawinenwarnstufe'),1
('erreicht', 'lawinenwarnstufe'),1
('empfehlung', 'lawinenwarndienst'),1
('abseits', 'lawinenwarndienst'),1
('erreicht', 'lawinenabgang'),1
('kals', 'lawinenabgang'),1
('groß.mit', 'lawinengefahr'),1
('lawinengefahr', 'regenrückgangs'),1
('lawinengefahr', 'morgen'),1
('lawinen', 'störanfällig'),1
('lawinen', 'weiterhin'),1
('lawinengefahr', 'nimmt'),1
('lawinengefahr', 'pegel'),1
('2015', 'lawine'),1
('informiert', 'lawinenabgang'),1
('lawinenabgang', 'norditalienischen'),1
('lawine', 'teilgenommen'),1
('aufgenommen', 'lawinengefahr'),1
('lawinengefahr', 'teils'),1
('lawinen', 'meist'),1
('heißt', 'lawinenlagebericht.lawinenwarndienst'),1
('bayern', 'lawinenlagebericht.lawinenwarndienst'),1
('lawinenlageberichten', 'links'),1
('alpenregionen', 'lawinenlageberichten'),1
('dpa', 'lawine'),1
('große', 'lawine'),1
('großer', 'lawine'),1
('lawine', 'präfektur'),1
('100', 'lawine'),1
('großen', 'lawine'),1
('lawine', 'rede'),1
('lawinen-abgangs', 'video-aufnahmen'),1
('lawinen-abgangs', 'lawinenabgang'),1
('lawinenabgang', 'österreichischen'),1
('lawinenwarnbericht', 'sachsen-anhalt.zum'),1
('alpenlawinenabgang', 'lawinenwarnbericht'),1
('alpenlawinenabgang', 'schruns'),1
('komplett', 'lawine'),1
('lawine', 'selbstständig'),1
('knapp', 'lawine'),1
('beteiligt.erhebliche', 'lawinengefahr'),1
('lawinengefahr', 'unglückszeitpunktzu'),1
('lawinengefahr', 'wegen'),1
('lawinenausrüstung', 'vollständiger'),1
('lawinenausrüstung', 'ortung'),1
('lawinenairbags', 'trugen'),1
('dabei', 'lawinenairbags'),1
('lawinenunglück', 'passau'),1
('lawinenunglück', 'rocky'),1
('lawine', 'wirdverunglückte'),1
('.hergang', 'lawinenunglücks'),1
('lawinenunglücks', 'weitestgehend'),1
('hergang', 'lawinenunglücks'),1
('lawinenunglücks', 'wisse'),1
('amt', 'lawine'),1
('ausgelöst', 'lawine'),1
('lawine', 'verschüttete'),1
('lawine', 'mittwoch'),1
('lawine', 'tote'),1
('kanada', 'lawine'),1
('lawine', 'nachfrage'),1
('erfasst.auftrag', 'lawine'),1
('lawine', 'versehentlich'),1
('auslöst', 'lawine'),1
('beinahe', 'lawine'),1
('lawine', 'pisten'),1
('lawinenlage', 'tourengeher'),1
('lawinenlage', 'richtig'),1
('lawinenlagebericht', 'richtigeinen'),1
('lawinenparagrafen', 'richtigeinen'),1
('italienfast', 'lawinenparagrafen'),1
('fremdgefährdung', 'lawine'),1
('beschäftigt', 'lawine'),1
('einzugsgebiet', 'lawine'),1
('gebäude', 'lawine'),1
('lawine', 'praxis'),1
('gleich', 'lawine'),1
('lawinenschaufel', 'wer'),1
('lawinenschaufel', 'lawinenverschütteten-suchgerät'),1
('lawinenverschütteten-suchgerät', 'lvs'),1
('gleichermaßen', 'lawine'),1
('häufigen', 'lawinen'),1
('lawinen', 'wildtiere'),1
('lawinenrinnen', 'sogenannten'),1
('aufhalten', 'lawinenrinnen'),1
('lawinen', 'zuletzt'),1
('bringen', 'lawinen'),1
('lawinenlagebericht', 'neuen'),1
('lawinenlagebericht', 'wer'),1
('lawine', 'sorge'),1
('bewegen', 'lawinengefahr'),1
('lawinengefahr', 'unterschätzen'),1
('deutsche', 'lawinenwarndienst'),1
('entspricht', 'lawinengefahr'),1
('erheblichen', 'lawinengefahr'),1
('angebracht', 'lawinenwarndienst'),1
('einschätzung', 'lawinengefahr'),1
('erheblich.zum', 'lawinengefahr'),1
('artikel', 'lawinenunglück'),1
