"Word","Frequency"
"('ausbruch', 'vulkans')",9
"('asche', 'vulkanische')",8
"('tanz', 'vulkan')",6
"('aktivität', 'vulkanische')",6
"('erdbeben', 'vulkanausbrüchen')",5
"('erdbeben', 'vulkanausbrüche')",5
"('tsunami', 'vulkanausbruchnach')",4
"('erdbeben', 'vulkanausbruchnach')",4
"('entfernt', 'vulkanausbruch')",4
"('vulkan', 'vulkanausbruch')",4
"('soputan', 'vulkan')",4
"('opfer', 'vulkanausbruchs')",4
"('bekannt', 'vulkanausbruchs')",4
"('ausbruch', 'unterwasservulkans')",4
"('kanareninsel', 'vulkanausbruch')",4
"('eruption', 'vulkans')",4
"('agung', 'vulkan')",4
"('eruption', 'vulkanianische')",4
"('asche', 'vulkanischer')",4
"('altiplano–puna', 'vulkan')",4
"('komplex', 'vulkan')",4
"('aktive', 'vulkan')",3
"('fünf', 'vulkanen')",3
"('kilauea', 'vulkan')",3
"('aktiven', 'vulkanen')",3
"('gebiet', 'vulkan')",3
"('vulkanexperte', 'wassermann')",3
"('chef', 'vulkanexperte')",3
"('hintergrund', 'vulkane')",3
"('feuerspuckenden', 'vulkane')",3
"('gefahr', 'vulkanausbruchsder')",3
"('vulkanausbruch', 'vulkanausbruchsder')",3
"('vielen', 'vulkanausbruch')",3
"('spalten', 'vulkan')",3
"('geöffnet', 'vulkan')",3
"('beiden', 'vulkanausbrüche')",3
"('verbindung', 'vulkanausbrüche')",3
"('beiden', 'vulkane')",3
"('gehören', 'vulkane')",3
"('forschern', 'vulkanausbruch')",3
"('experimentelle', 'vulkanologie')",3
"('lmu', 'vulkanologie')",3
"('kanarischen', 'vulkans')",3
"('stärke', 'vulkans')",3
"('gingen', 'vulkans')",3
"('frage', 'vulkanologen')",3
"('menschen', 'vulkanologen')",3
"('hohen', 'vulkan')",3
"('mount', 'vulkan')",3
"('vulkanischer', 'winter')",3
"('ausbruch', 'supervulkans')",3
"('magmakammer', 'vulkans')",3
"('liste', 'vulkanen')",3
"('schmincke', 'vulkanismus')",3
"('entsprechenden', 'vulkan')",3
"('bekam', 'vulkanausbrüchen')",2
"('erdbeben', 'vulkanausbruch')",2
"('guatemala', 'vulkanausbruch')",2
"('vulkan', 'zuletzt')",2
"('bringen', 'vulkan')",2
"('mauna', 'vulkan')",2
"('eruptionen', 'vulkans')",2
"('frühen', 'vulkans')",2
"('big', 'vulkanen')",2
"('kleinere', 'vulkan')",2
"('gase', 'vulkanische')",2
"('liegt', 'vulkanen')",2
"('beschreibt', 'vulkan')",2
"('palma', 'vulkanausbruch')",2
"('geophysik', 'vulkanologie')",2
"('südpazifik', 'unterwasservulkans')",2
"('ausbruch', 'unterwasser-vulkans')",2
"('spüren', 'unterwasser-vulkans')",2
"('vermutet', 'vulkanausbruch')",2
"('tonga', 'vulkanausbruch')",2
"('südpazifischen', 'unterwasservulkans')",2
"('aufgehoben.vulkan', 'später')",2
"('aufgehoben.vulkan', ""hunga-tonga-hunga-ha'apai"")",2
"('metern', 'unterwasservulkan')",2
"('hunga', 'unterwasservulkan')",2
"('lavastrom', 'vulkans')",2
"('umgebung', 'vulkans')",2
"('aktivsten', 'vulkane')",2
"('bricht', 'vulkan')",2
"('gestein', 'vulkanisches')",2
"('vulkane', 'welt')",2
"('agung', 'vulkans')",2
"('mittlerweile', 'vulkanasche')",2
"('aktive', 'vulkane')",2
"('alarmstufe', 'vulkan')",2
"('indonesien', 'vulkanen')",2
"('eruptionen', 'vulkanischen')",2
"('meteoreinschläge', 'vulkanausbrüche')",2
"('lawinen', 'vulkanausbrüche')",2
"('menschen', 'vulkanabhänge')",2
"('besiedelt', 'vulkanabhänge')",2
"('supervulkans', 'toba')",2
"('bekannten', 'vulkane')",2
"('bomben', 'vulkanische')",2
"('meeresoberfläche', 'vulkangebäude')",2
"('ausbruch', 'vulkan')",2
"('gestiegene', 'vulkanische')",2
"('historischer', 'vulkanausbrüche')",2
"('ablagerungen', 'vulkanische')",2
"('lapilli', 'vulkanischen')",2
"('asche', 'vulkanologischen')",2
"('sinn', 'vulkanologischen')",2
"('aschen', 'vulkanische')",2
"('eyjafjallajökull', 'vulkans')",2
"('luftraum', 'vulkanasche')",2
"('vulkanasche', 'überwachen')",2
"('milligramm', 'vulkanasche')",2
"('pro', 'vulkanasche')",2
"('vei-8', 'vulkanexplosivitätsindex-wert')",2
"('vulkanischen', 'winter')",2
"('vulkanischen', 'winters')",2
"('grímsvötn', 'zentralvulkan')",2
"('ausgelöst', 'vulkanausbruch')",2
"('lockermassen', 'vulkanischen')",2
"('lahar', 'vulkans')",2
"('magnetische', 'vulkanausbrüche')",2
"('tonga', 'untersee-vulkan')",2
"('steht', 'vulkan')",1
"('heißt', 'vulkan')",1
"('erdkörpersvulkane', 'poren')",1
"('erdkörpersvulkane', 'regeln')",1
"('sorgen', 'vulkane')",1
"('aschetürmen', 'vulkane')",1
"('böllerbatterien', 'vulkane')",1
"('erhältlich', 'vulkane')",1
"('eruption', 'vulkan')",1
"('semeru', 'vulkan')",1
"('vulkanologie', 'zentrum')",1
"('geologische', 'vulkanologie')",1
"('höheder', 'vulkan')",1
"('frühen', 'vulkan')",1
"('podcast', 'vulkanismus')",1
"('lava', 'vulkanismus')",1
"('heimgesucht', 'vulkanasche')",1
"('vermischte', 'vulkanasche')",1
"('sperrzone', 'vulkan')",1
"('errichtetdas', 'vulkan')",1
"('erklärte', 'vulkanologiebehörde')",1
"('behörden', 'vulkanologiebehörde')",1
"('ausbruchder', 'vulkan')",1
"('beliebt', 'vulkan')",1
"('knapp', 'vulkan')",1
"('inselstaates', 'vulkanausbrüche')",1
"('java', 'vulkanausbrüche')",1
"('erde', 'vulkanausbrüchen')",1
"('vulkan', 'welt')",1
"('hawaiider', 'vulkanen')",1
"('jahren', 'vulkan')",1
"('vulkan', 'welt.zum')",1
"('artikel', 'vulkane')",1
"('deutschland', 'vulkane')",1
"('aktiv', 'vulkane')",1
"('eifel', 'vulkane')",1
"('vulkanische', 'winde')",1
"('faust', 'vulkanausbruch')",1
"('geflohen', 'vulkanausbruch')",1
"('podcast', 'vulkanausbruch')",1
"('kommt', 'vulkanausbruch')",1
"('gelegenen', 'vulkanlandschaft')",1
"('phlegräische', 'vulkanlandschaft')",1
"('gleichnamige', 'vulkan')",1
"('obwohl', 'vulkan')",1
"('ereignis', 'vulkan')",1
"('bohrung', 'vulkan')",1
"('unbekannten', 'vulkanausbruch')",1
"('steinzeit', 'vulkanausbruch')",1
"('entsteht', 'vulkan')",1
"('jungen', 'vulkane')",1
"('größer', 'vulkane')",1
"('gebiet', 'vulkane')",1
"('erst', 'vulkane')",1
"('jungen', 'vulkanausbruch')",1
"('nachweisen', 'vulkanausbruch')",1
"('verherrenden', 'vulkanausbruch')",1
"('erneut', 'vulkan')",1
"('rauch', 'vulkan')",1
"('auswirkungen', 'vulkanausbruchsin')",1
"('livebildern', 'vulkanausbruchsin')",1
"('gehört', 'vulkansystem')",1
"('krysuvik', 'vulkansystem')",1
"('tagen', 'vulkanausbruch')",1
"('angekündigtbereits', 'vulkanausbruch')",1
"('samstag', 'vulkan')",1
"('intensive', 'vulkan')",1
"('hielt', 'vulkanische')",1
"('jahr', 'vulkanausbrüchen')",1
"('eyjafjallajokull', 'vulkans')",1
"('ausstellung', 'vulkane')",1
"('vulkane', 'zweck')",1
"('thema', 'vulkane')",1
"('tun', 'vulkane')",1
"('feuerspeiende', 'kunststoff-vulkane')",1
"('kunststoff-vulkane', 'lokschuppen')",1
"('morscheiser', 'vulkane')",1
"('bewerben', 'vulkane')",1
"('foto', 'vulkane')",1
"('lokschuppen-team', 'vulkane')",1
"('eiszeit', 'vulkan')",1
"('vulkan', 'ätna')",1
"('europa', 'vulkan')",1
"('ingv', 'vulkanologie')",1
"('trat', 'vulkan')",1
"('mittelmeerinsel', 'vulkan')",1
"('gestört.mehrere', 'vulkanausbrüche')",1
"('2021im', 'vulkanausbrüche')",1
"('ausbrüchen', 'vulkans')",1
"('gekommen', 'vulkans')",1
"('aktiven', 'vulkan')",1
"('kanareninsel', 'vulkan')",1
"('aridane', 'vulkanforscher')",1
"('bemerkt', 'vulkanforscher')",1
"('palmader', 'vulkan')",1
"('cumbre', 'vulkan')",1
"('cumbre', 'vulkans')",1
"('sprecher', 'vulkanologischen')",1
"('instituts', 'vulkanologischen')",1
"('kanarischen', 'vulkan')",1
"('gesteinsbrocken', 'vulkantätigkeit')",1
"('flaute', 'vulkantätigkeit')",1
"('jahren', 'vulkans')",1
"('mengen', 'vulkanasche')",1
"('kommerzielle', 'vulkanasche')",1
"('häuser', 'vulkanausbruch')",1
"('vulkanausbruch', 'zerstörtdie')",1
"('südseite', 'vulkankette')",1
"('kanareninsel', 'vulkankette')",1
"('spielt', 'vulkanausbruch')",1
"('erste', 'vulkanausbruch')",1
"('riss', 'vulkanflanke')",1
"('cumbre', 'vulkanflanke')",1
"('gelegenen', 'vulkans')",1
"('dünn', 'vulkans')",1
"('laut', 'vulkanologischen')",1
"('institut', 'vulkanologischen')",1
"('sánchezvulkanausbruch', 'verfügung')",1
"('erdbeben', 'sánchezvulkanausbruch')",1
"('mittwoch', 'vulkan')",1
"('höchste', 'vulkan')",1
"('hob', 'vulkans')",1
"('innern', 'vulkans')",1
"('vulkans', 'zusammen')",1
"('vulkanologische', 'zusammen')",1
"('institut', 'vulkanologische')",1
"('gehören', 'vulkanischen')",1
"('ursprungs', 'vulkanischen')",1
"('schlafender', 'vulkan')",1
"('2011', 'vulkanausbruch')",1
"('meeresboden', 'vulkanausbruch')",1
"('kīlauea', 'vulkans')",1
"('vulkanausbrüche', 'wissen')",1
"('auslösen', 'vulkanausbrüche')",1
"('hawaiis', 'vulkane')",1
"('phase', 'vulkan')",1
"('schleuderte', 'vulkan')",1
"('innerhalb', 'vulkans')",1
"('laufe', 'vulkans')",1
"('letztendlich', 'vulkanische')",1
"('magmabewegungen', 'vulkan')",1
"('erleichtert', 'vulkan')",1
"('erde', 'vulkan')",1
"('monaten', 'vulkan')",1
"('aufwölbte', 'vulkan')",1
"('regenwetterbei', 'vulkanen')",1
"('kleine', 'vulkanen')",1
"('dampfexplosionen', 'vulkanische')",1
"('erdbeben', 'vulkanische')",1
"('faszinierend', 'vulkane')",1
"('untersuchen', 'vulkane')",1
"('niederschlag', 'vulkanismus')",1
"('besteht', 'vulkanismus')",1
"('verbundenen', 'vulkangefahren')",1
"('vulkangefahren', 'warnen')",1
"('besteigt', 'vulkan')",1
"('chimborazo', 'vulkan')",1
"('mineralogie', 'vulkanologie')",1
"('ozeanographie', 'vulkanologie')",1
"('aktiven', 'vulkans')",1
"('bollywood-tänzer', 'vulkans')",1
"('schwarmbeben', 'vulkanisches')",1
"('vulkan', 'wanderer')",1
"('rinjani', 'vulkan')",1
"('schlamm', 'vulkan')",1
"('niedergegangen', 'vulkan')",1
"('bebt', 'vulkane')",1
"('ausbrechen', 'vulkane')",1
"('menschen', 'vulkanausbruch')",1
"('betroffen', 'vulkanausbruch')",1
"('kilometer', 'vulkan')",1
"('feuervulkan', 'mitteilte.der')",1
"('ende', 'feuervulkan')",1
"('seismologie', 'vulkanologie')",1
"('guatemalas', 'vulkanologie')",1
"('vulkan', 'zeigt')",1
"('demnach', 'vulkan')",1
"('ausbrüche', 'feuervulkans')",1
"('feuervulkans', 'gehen')",1
"('18.', 'vulkan')",1
"('bezeichnet', 'vulkan')",1
"('unweit', 'vulkans')",1
"('kilauea', 'vulkans')",1
"('tag', 'vulkanausbruch')",1
"('brachen', 'vulkanausbruch')",1
"('spucke', 'vulkan')",1
"('schildvulkane', 'typischen')",1
"('lava', 'schildvulkane')",1
"('inselder', 'vulkan')",1
"('mehrere', 'vulkane')",1
"('kilauea', 'vulkane')",1
"('aschewolke', 'vulkans')",1
"('betrieb', 'vulkanasche')",1
"('vulkanasche', 'öffnen')",1
"('bali.drohender', 'vulkanausbruchder')",1
"('vulkan', 'vulkanausbruchder')",1
"('umkreis', 'vulkans')",1
"('erweitert', 'vulkans')",1
"('verlassen', 'vulkans')",1
"('befürchten', 'vulkan-asche')",1
"('triebwerke', 'vulkan-asche')",1
"('drohenden', 'vulkanausbruchs')",1
"('indonesischen', 'vulkanausbruchs')",1
"('abflugrouten', 'vulkanasche-wolken')",1
"('erwarten', 'vulkanasche-wolken')",1
"('urlauber', 'vulkan')",1
"('gewaltigen', 'vulkan-ausbruch')",1
"('kommt', 'vulkan-ausbruch')",1
"('rauchwolke', 'vulkan')",1
"('internationale', 'vulkan')",1
"('möglich', 'vulkanausbruch')",1
"('genau', 'vulkanausbruch')",1
"('vulkanen', 'überzogen')",1
"('regelrecht', 'vulkane')",1
"('vulkane', 'überwacht')",1
"('alarmstufe', 'vulkane')",1
"('gegend', 'vulkan')",1
"('verlassen', 'vulkan')",1
"('rumorende', 'vulkan')",1
"('landessprache', 'vulkan')",1
"('flüge', 'vulkanasche')",1
"('triebwerke', 'vulkanasche')",1
"('vulkan', 'zweiten')",1
"('deutet', 'vulkanologen')",1
"('vulkanologen', 'zufolge')",1
"('passiert', 'vulkanforscher')",1
"('gede', 'vulkanforscher')",1
"('suantika', 'vulkanforscher1.100')",1
"('tote', 'vulkanforscher1.100')",1
"('bogen', 'vulkanen')",1
"('verwerfungslinien', 'vulkanen')",1
"('vulkan', 'zeigten')",1
"('vulkan', 'wochen')",1
"('schutz', 'vulkan')",1
"('behörden', 'vulkan')",1
"('kilometern', 'vulkan')",1
"('aufgefordert', 'vulkan')",1
"('erdbeben', 'vulkanischen')",1
"('angst', 'vulkane')",1
"('menschen', 'vulkan')",1
"('sicherheit', 'vulkan')",1
"('aktivität', 'vulkans')",1
"('aufgezeichnet', 'vulkans')",1
"('leben', 'vulkan')",1
"('liegt', 'vulkan')",1
"('schlafenden', 'supervulkan')",1
"('supervulkan', 'tun')",1
"('bohnhoff.dieser', 'vulkan')",1
"('lange', 'vulkan')",1
"('unterhalb', 'vulkans')",1
"('führt', 'vulkans')",1
"('folge', 'vulkanausbrüche')",1
"('lavafluss', 'vulkanausbrüche')",1
"('strömen', 'vulkanexplosionen')",1
"('folgen', 'vulkanexplosionen')",1
"('vulkanischer', 'wetteranomalien')",1
"('tsunamis', 'vulkanologische')",1
"('geodynamische', 'vulkanologische')",1
"('giftgasausbrüche', 'vulkanischen')",1
"('becken', 'vulkanischen')",1
"('schlammfluten', 'vulkanismus')",1
"('klimatische', 'vulkanismus')",1
"('ursprungs', 'vulkanausbrüche')",1
"('auftretenden', 'vulkanismus')",1
"('umfangreichen', 'vulkanismus')",1
"('produkte', 'vulkanismus')",1
"('beobachtet', 'vulkanismus')",1
"('umgebung', 'vulkanischen')",1
"('ausdünstungen', 'vulkanischen')",1
"('vulkanismus', 'zurückzuführen')",1
"('hervorgerufene', 'vulkanismus')",1
"('gefahren', 'vulkanausbruchs')",1
"('gletscherlauf', 'vulkanausbruchs')",1
"('befinden', 'vulkan')",1
"('cayambe', 'vulkan')",1
"('maße', 'vulkanische')",1
"('treten', 'vulkanisch')",1
"('aktiven', 'vulkanisch')",1
"('entstehen', 'vulkanausbrüche')",1
"('magma', 'vulkanischen')",1
"('vulkanischen', 'zonen')",1
"('ozeanischer', 'vulkane')",1
"('beim', 'vulkane')",1
"('taschenatlas', 'vulkane')",1
"('erdbeben', 'vulkane')",1
"('englisch', 'vulkanausbruch')",1
"('eruption', 'vulkanausbruch')",1
"('form', 'vulkanismus')",1
"('dabei', 'vulkanismus')",1
"('magma', 'vulkans')",1
"('eruptionen', 'vulkan')",1
"('fall', 'schildvulkanen')",1
"('ruheperioden', 'schildvulkanen')",1
"('cottrell', 'vulkanüberwachungsprogramm')",1
"('smithsonian', 'vulkanüberwachungsprogramm')",1
"('durchschnittlich', 'vulkane')",1
"('augenblick', 'vulkane')",1
"('meeresgrund', 'vulkane')",1
"('phreatische', 'vulkans')",1
"('größeren', 'vulkanausbrüche')",1
"('gletschern', 'vulkanausbrüche')",1
"('subglazialer', 'vulkan')",1
"('einbruch', 'vulkan')",1
"('ausbrüchen', 'vulkangebäude')",1
"('vulkangebäude', 'zusammenbricht')",1
"('explosiven', 'vulkanismus')",1
"('lahare', 'vulkanismus')",1
"('neigen', 'stratovulkane')",1
"('pazifischen', 'stratovulkane')",1
"('flüssiger', 'spaltenvulkane')",1
"('schildvulkane', 'spaltenvulkane')",1
"('neigen', 'schildvulkane')",1
"('ansteigender', 'vulkankegel')",1
"('aufgebaut', 'vulkankegel')",1
"('beispiel', 'schildvulkans')",1
"('schildvulkans', 'skjaldbreiður')",1
"('ausbrüche', 'vulkanen')",1
"('hawaii', 'vulkanen')",1
"('1783–1784', 'zentralvulkan')",1
"('krafla', 'zentralvulkan')",1
"('ausbrüche', 'vulkanische')",1
