"Word","Frequency"
"('hoch', 'vulkan')",6
"('tanz', 'vulkan')",6
"('agung', 'vulkan')",6
"('kilauea', 'vulkan')",5
"('gebiet', 'vulkan')",5
"('ausbruch', 'vulkan')",5
"('eruption', 'vulkan')",4
"('vulkan', 'welt')",4
"('fünf', 'vulkan')",3
"('liegen', 'vulkan')",3
"('spucken', 'vulkan')",3
"('lavastrom', 'vulkan')",3
"('120', 'vulkan')",3
"('alarmstufe', 'vulkan')",3
"('vulkan', 'zuletzt')",2
"('130', 'vulkan')",2
"('erdbeben', 'vulkanausbrüchen')",2
"('bringen', 'vulkan')",2
"('mauna', 'vulkan')",2
"('stadie', 'vulkan')",2
"('big', 'vulkan')",2
"('grenzen', 'vulkan')",2
"('jahr', 'vulkan')",2
"('deutschland', 'vulkan')",2
"('beschreiben', 'vulkan')",2
"('tag', 'vulkanausbruch')",2
"('aktivität', 'vulkanisch')",2
"('ausbruch', 'unterwasservulkan')",2
"('cumbre', 'vulkan')",2
"('institut', 'vulkanologischen')",2
"('kanarisch', 'vulkan')",2
"('umgebung', 'vulkan')",2
"('aktivst', 'vulkan')",2
"('erdbeben', 'vulkanisch')",2
"('kilometer', 'vulkan')",2
"('vulkan', 'zeigen')",2
"('mittlerweile', 'vulkanasch')",2
"('verlassen', 'vulkan')",2
"('mount', 'vulkan')",2
"('indonesien', 'vulkan')",2
"('stehen', 'vulkan')",1
"('heißen', 'vulkan')",1
"('erdkörpersvulkane', 'por')",1
"('erdkörpersvulkane', 'regeln')",1
"('sorgen', 'vulkan')",1
"('aschetürmen', 'vulkan')",1
"('böllerbatterien', 'vulkane')",1
"('erhältlich', 'vulkane')",1
"('semeru', 'vulkan')",1
"('vulkanologie', 'zentrum')",1
"('geologisch', 'vulkanologie')",1
"('höheder', 'vulkan')",1
"('morgenstunde', 'vulkan')",1
"('verdecken', 'vulkanismus')",1
"('lava', 'vulkanismus')",1
"('heimsuchen', 'vulkanasch')",1
"('vermischen', 'vulkanasch')",1
"('sperrzone', 'vulkan')",1
"('errichtetdas', 'vulkan')",1
"('erklären', 'vulkanologiebehörde')",1
"('behörde', 'vulkanologiebehörde')",1
