"Word","Frequency"
"('erdbebenopfer', 'syrien', 'türkei')",6
"('recife', 'todesopfer', 'zwei')",4
"('leben', 'opfer', 'ums')",4
"('katastrophenopfer', 'paten', 'verein')",4
"('1.500', 'palu', 'todesopfer')",4
"('1.500', 'forderte', 'todesopfer')",4
"('forderte', 'opfer', 'todesopfer')",4
"('forderte', 'opfer', 'vulkanausbruchs')",4
"('bekannt', 'opfer', 'vulkanausbruchs')",4
"('todesopfer', 'wetterkatastrophen', 'zahl')",4
"('naturkatastrophen', 'todesopfer', 'zahl')",4
"('halbjahr', 'naturkatastrophen', 'todesopfer')",4
"('befürchtet', 'leben', 'opfer')",3
"('befürchtet', 'opfer', 'provinz')",3
"('italien', 'opfer', 'weint')",3
"('italien', 'opfer', 'sagte')",3
"('erdbebens', 'opfer', 'türkei')",3
"('erdbebenopfer', 'hilfe', 'syrischen')",3
"('opfer', 'steigen', 'zahl')",3
"('mögliche', 'opfer', 'überflogen')",3
"('auszuschließen', 'mögliche', 'opfer')",3
"('auszuschließen', 'opfer', 'teilte')",3
"('syrien', 'todesopfer', 'türkei')",3
"('anteilnahme', 'nochmal', 'opfern')",2
"('anteilnahme', 'damals', 'opfern')",2
"('damals', 'opfern', 'spendenkonto')",2
"('2016', 'mehreren', 'todesopfern')",2
"('mehreren', 'simbach', 'todesopfern')",2
"('inn', 'simbach', 'todesopfern')",2
"('angehörigen', 'opfer', 'trauern')",2
"('angehörigen', 'denken', 'opfer')",2
"('betroffenen', 'denken', 'opfer')",2
"('flutopfer', 'gedenkgottesdienst', 'herz-jesu-kirche')",2
"('flutopfer', 'gedenkgottesdienst', 'nordrhein-westfalen')",2
"('flutopfer', 'nordrhein-westfalen', 'teilzunehmen')",2
"('gedenken', 'opfer', 'rheinland-pfälzischen')",2
"('flutkatastrophe', 'opfer', 'rheinland-pfälzischen')",2
"('flutkatastrophe', 'kurpark', 'opfer')",2
"('bolsonaro', 'sprach', 'unglücksopfern')",2
"('mitgefühl', 'sprach', 'unglücksopfern')",2
"('mitgefühl', 'sagte', 'unglücksopfern')",2
"('erdrutsch', 'sechs', 'todesopfern')",2
"('sechs', 'todesopfern', 'zwei')",2
"('todesopfer', 'todesopfern', 'zwei')",2
"('flutopfer', 'gedenken', 'westen')",2
"('deutschland', 'flutopfer', 'gedenken')",2
"('deutschland', 'flutopfer', 'glocken')",2
"('gesamtzahl', 'köln', 'todesopfer')",2
"('175', 'gesamtzahl', 'todesopfer')",2
"('175', 'gestiegen', 'todesopfer')",2
"('anteilnahme', 'flutopfern', 'solidarität')",2
"('flutopfern', 'solidarität', 'vielerorts')",2
"('flutopfern', 'geistliche', 'vielerorts')",2
"('flutopfern', 'solidarität', 'spenden')",2
"('flut', 'flutopfern', 'solidarität')",2
"('flut', 'flutopfern', 'seele')",2
"('geld', 'opfer', 'vermutet')",2
"('700.000', 'geld', 'opfer')",2
"('700.000', 'euro', 'opfer')",2
"('100', 'gingen', 'hochwasseropfer')",2
"('100', 'hochwasseropfer', 'verspricht')",2
"('hochwasseropfer', 'schiffmann', 'verspricht')",2
"('170', 'katastrophe', 'todesopfern')",2
"('170', 'kanzlerin', 'todesopfern')",2
"('angela', 'kanzlerin', 'todesopfern')",2
"('bergführerkurs', 'opfer', 'teil')",2
"('opfern', 'suche', 'weiteren')",2
"('dienstagmorgen', 'opfern', 'weiteren')",2
"('dienstagmorgen', 'fortgesetzt', 'opfern')",2
"('opfer', 'sagte', 'sichtlich')",2
"('angehörige', 'opfer', 'ort')",2
"('angehörige', 'besuch', 'opfer')",2
"('besuch', 'opfer', 'ort')",2
"('katastrophenopfer', 'menschen', 'paten')",2
"('steigende', 'todesopfern', 'zahl')",2
"('sagte', 'todesopfern', 'zahl')",2
"('endgültige', 'sagte', 'todesopfern')",2
"('endgültige', 'opferzahl', 'sagte')",2
"('endgültige', 'opferzahl', 'unvorstellbar')",2
"('opferzahl', 'unvorstellbar', 'who-regionaldirektor')",2
"('erdbebenopfer', 'hilfe', 'vielen')",2
"('bedarf', 'erdbebenopfer', 'vielen')",2
"('bedarf', 'erdbebenopfer', 'wachse')",2
"('opferzahlen', 'steigenden', 'verschütteten')",2
"('gerechnet', 'opferzahlen', 'steigenden')",2
"('gerechnet', 'heißt', 'opferzahlen')",2
"('erdbebenopfer', 'spenden', 'vereins')",2
"('erdbebenopfer', 'spenden', 'türkei')",2
"('erdbebenopfer', 'münchen', 'unterstützt')",2
"('erdbebenopfer', 'südosten', 'unterstützt')",2
"('erdbebenopfer', 'südosten', 'türkei')",2
"('erdbebenopfern', 'hilft', 'oberbayern')",2
"('erdbebenopfern', 'hilft', 'türkeigedenken')",2
"('erdbeben-opfer', 'erdbebenopfern', 'türkeigedenken')",2
"('bayernzudem', 'erdbeben-opfer', 'türkeigedenken')",2
"('bayernzudem', 'erdbeben-opfer', 'erste')",2
"('bayern', 'gedenken', 'opfer')",2
"('erdbebens', 'gedenken', 'opfer')",2
"('monaten', 'opfer', 'sechs')",2
"('beklagen', 'monaten', 'opfer')",2
"('beklagen', 'früheren', 'opfer')",2
"('erdrutsche', 'opfer', 'zahl')",2
"('opfer', 'treiben', 'zahl')",2
