"Word","Frequency"
"('erdbeben', 'tsunami', 'vulkanausbruchnach')",12
"('entfernt', 'palu', 'vulkanausbruch')",4
"('entfernt', 'vulkan', 'vulkanausbruch')",4
"('soputan', 'vulkan', 'vulkanausbruch')",4
"('nordosten', 'soputan', 'vulkan')",4
"('forderte', 'opfer', 'vulkanausbruchs')",4
"('bekannt', 'opfer', 'vulkanausbruchs')",4
"('kanareninsel', 'palma', 'vulkanausbruch')",4
"('altiplano–puna', 'komplex', 'vulkan')",4
"('apvc', 'komplex', 'vulkan')",4
"('joachim', 'vulkanexperte', 'wassermann')",3
"('chef', 'vulkanexperte', 'wassermann')",3
"('chef', 'seismologie', 'vulkanexperte')",3
"('hintergrund', 'ist.zum', 'vulkane')",3
"('feuerspuckenden', 'hintergrund', 'vulkane')",3
"('feuerspuckenden', 'rachen', 'vulkane')",3
"('gefahr', 'größte', 'vulkanausbruchsder')",3
"('gefahr', 'vulkanausbruch', 'vulkanausbruchsder')",3
"('vielen', 'vulkanausbruch', 'vulkanausbruchsder')",3
"('beben', 'vielen', 'vulkanausbruch')",3
"('begleitet', 'spalten', 'vulkan')",3
"('geöffnet', 'spalten', 'vulkan')",3
"('geöffnet', 'lava', 'vulkan')",3
"('beiden', 'frage', 'vulkanausbrüche')",3
"('beiden', 'verbindung', 'vulkanausbrüche')",3
"('verbindung', 'vulkanausbrüche', 'zueinander')",3
"('beiden', 'entschieden', 'vulkane')",3
"('beiden', 'gehören', 'vulkane')",3
"('gehören', 'räumlichen', 'vulkane')",3
"('britischen', 'forschern', 'vulkanausbruch')",3
"('forschern', 'kanareninsel', 'vulkanausbruch')",3
"('experimentelle', 'professor', 'vulkanologie')",3
"('experimentelle', 'lmu', 'vulkanologie')",3
"('lmu', 'münchen.wenn', 'vulkanologie')",3
"('ausbruch', 'kanarischen', 'vulkans')",3
"('kanarischen', 'stärke', 'vulkans')",3
"('her', 'stärke', 'vulkans')",3
"('eruption', 'eruptionen', 'vulkans')",3
"('eruption', 'gingen', 'vulkans')",3
"('gingen', 'tausende', 'vulkans')",3
"('frage', 'voraus', 'vulkanologen')",3
"('frage', 'menschen', 'vulkanologen')",3
"('menschen', 'palma', 'vulkanologen')",3
"('hans-ulrich', 'schmincke', 'vulkanismus')",3
"('erdbeben', 'hochwasser', 'vulkanausbrüchen')",2
"('bekam', 'erdbeben', 'vulkanausbrüchen')",2
"('bekam', 'rom', 'vulkanausbrüchen')",2
"('erdbeben', 'unwettern', 'vulkanausbruch')",2
"('erdbeben', 'guatemala', 'vulkanausbruch')",2
"('guatemala', 'ums', 'vulkanausbruch')",2
"('bringen', 'sicherheit', 'vulkan')",2
"('loa', 'mauna', 'vulkan')",2
"('aktive', 'höchste', 'vulkan')",2
"('eruptionen', 'gezeigt', 'vulkans')",2
"('eruptionen', 'frühen', 'vulkans')",2
"('frühen', 'stadien', 'vulkans')",2
"('fünf', 'loa', 'vulkanen')",2
"('big', 'fünf', 'vulkanen')",2
"('big', 'island', 'vulkanen')",2
"('grenzt', 'kleinere', 'vulkan')",2
"('kilauea', 'kleinere', 'vulkan')",2
"('ausbruch', 'kilauea', 'vulkan')",2
"('beschreibt', 'tanz', 'vulkan')",2
"('geophysik', 'institut', 'vulkanologie')",2
"('ausbruch', 'südpazifik', 'unterwasservulkans')",2
"('auskunft', 'südpazifik', 'unterwasservulkans')",2
"('ausbruch', 'gewaltige', 'unterwasser-vulkans')",2
"('ausbruch', 'spüren', 'unterwasser-vulkans')",2
"('spüren', 'unterwasser-vulkans', 'zumindest')",2
"('geografie-experte', 'vermutet', 'vulkanausbruch')",2
"('tonga', 'vermutet', 'vulkanausbruch')",2
"('lautes', 'tonga', 'vulkanausbruch')",2
"('ausbruch', 'loher', 'unterwasservulkans')",2
"('ausbruch', 'südpazifischen', 'unterwasservulkans')",2
"('inselstaat', 'südpazifischen', 'unterwasservulkans')",2
"('aufgehoben.vulkan', 'später', 'wenig')",2
"('aufgehoben.vulkan', ""hunga-tonga-hunga-ha'apai"", 'später')",2
"('aufgehoben.vulkan', ""hunga-tonga-hunga-ha'apai"", 'schleudert')",2
"('1,2', 'metern', 'unterwasservulkan')",2
"('hunga', 'metern', 'unterwasservulkan')",2
"('hunga', 'tonga-hunga', 'unterwasservulkan')",2
"('auslösen', 'vulkanausbrüche', 'wissen')",2
"('aktivsten', 'hawaiis', 'vulkane')",2
"('mittlerweile', 'richtung', 'vulkanasche')",2
"('agung', 'stößt', 'vulkan')",2
"('agung', 'mount', 'vulkan')",2
"('120', 'aktiven', 'vulkanen')",2
"('aktiven', 'indonesien', 'vulkanen')",2
"('führen', 'meteoreinschläge', 'vulkanausbrüche')",2
"('lawinen', 'meteoreinschläge', 'vulkanausbrüche')",2
"('erd-', 'lawinen', 'vulkanausbrüche')",2
"('hungersnot', 'menschen', 'vulkanabhänge')",2
"('besiedelt', 'menschen', 'vulkanabhänge')",2
"('besiedelt', 'hätten', 'vulkanabhänge')",2
"('ausbruch', 'supervulkans', 'toba')",2
"('ausbruch', 'submarinen', 'vulkan')",2
"('eruptieren', 'moment', 'vulkan')",2
"('aktivität', 'gestiegene', 'vulkanische')",2
"('großer', 'historischer', 'vulkanausbrüche')",2
"('asche', 'sinn', 'vulkanologischen')",2
"('asche', 'ausschließlich', 'vulkanische')",2
"('bestimmten', 'entfernung', 'vulkan')",2
"('ausbruch', 'eyjafjallajökull', 'vulkans')",2
"('luftraum', 'vulkanasche', 'weltweit')",2
"('luftraum', 'vulkanasche', 'überwachen')",2
"('milligramm', 'pro', 'vulkanasche')",2
"('kubikmeter', 'pro', 'vulkanasche')",2
"('einführung', 'vulkane', 'welt')",2
"('fernsehfilm', 'gleichnamigen', 'supervulkan')",2
"('entstanden', 'flankenabbrüche', 'vulkane')",2
"('magnetische', 'stürme', 'vulkanausbrüche')",2
"('bekannt', 'künftig', 'vulkanausbruchs')",1
"('antarktis', 'steht', 'vulkan')",1
"('heißt', 'steht', 'vulkan')",1
"('heißt', 'mount', 'vulkan')",1
"('erdkörpersvulkane', 'geliefert', 'poren')",1
"('erdkörpersvulkane', 'poren', 'regeln')",1
"('erdkörpersvulkane', 'regeln', 'wärmehaushalt')",1
"('natürlich', 'sorgen', 'vulkane')",1
"('aschetürmen', 'sorgen', 'vulkane')",1
"('aschetürmen', 'stratosphäre', 'vulkane')",1
"('böllerbatterien', 'knaller', 'vulkane')",1
"('böllerbatterien', 'erhältlich', 'vulkane')",1
"('branche', 'erhältlich', 'vulkane')",1
"('eruption', 'exakt', 'vulkan')",1
"('eruption', 'semeru', 'vulkan')",1
"('osten', 'semeru', 'vulkan')",1
"('ausgebrochen', 'vulkanologie', 'zentrum')",1
"('geologische', 'vulkanologie', 'zentrum')",1
"('gefahrenvorbeugung', 'geologische', 'vulkanologie')",1
"('1.500', 'höheder', 'vulkan')",1
"('frühen', 'höheder', 'vulkan')",1
"('frühen', 'morgenstunden', 'vulkan')",1
"('sonne', 'verdeckte', 'vulkanismus')",1
"('lava', 'verdeckte', 'vulkanismus')",1
