"Word","Frequency"
"('straßen', 'örtliche', 'überschwemmungen')",9
"('bächen', 'örtliche', 'überschwemmungen')",9
"('bächen', 'kleineren', 'überschwemmungen')",6
"('nordrhein-westfalen', 'rheinland-pfalz', 'überschwemmungen')",5
"('ausuferungen', 'warnung', 'überschwemmungen')",4
"('schützen', 'städte', 'überschwemmungen')",4
"('regenfälle', 'schlimme', 'überschwemmungen')",4
"('australien', 'schlimme', 'überschwemmungen')",4
"('australien', 'führten', 'überschwemmungen')",4
"('bächen', 'kleinen', 'überschwemmungen')",4
"('hochwasser', 'verheerende', 'überschwemmungen')",3
"('ausgelöst', 'verheerende', 'überschwemmungen')",3
"('ausgelöst', 'nordrhein-westfalen', 'überschwemmungen')",3
"('hochwasser', 'sorgt', 'überschwemmungen')",3
"('massive', 'umliegenden', 'überschwemmungen')",3
"('massive', 'verursacht', 'überschwemmungen')",3
"('behörden', 'verursacht', 'überschwemmungen')",3
"('corona-pandemie', 'städte', 'überschwemmungen')",3
"('corona-pandemie', 'klimawandel', 'überschwemmungen')",3
"('führten', 'zahlreichen', 'überschwemmungen')",3
"('ausuferungen', 'quasi', 'überschwemmungen')",2
"('nordbayern', 'quasi', 'überschwemmungen')",2
"('bebaute', 'gebiete', 'überschwemmungen')",2
"('bamberg', 'landkreis', 'überschwemmungen')",2
"('bamberg', 'bamberg', 'überschwemmungen')",2
"('bamberg', 'gerechnet', 'überschwemmungen')",2
"('feuerwehr', 'grund', 'überschwemmungen')",2
"('grund', 'hagelkörner', 'überschwemmungen')",2
"('hagelkörner', 'teil', 'überschwemmungen')",2
"('los', 'sehen', 'überschwemmung')",2
"('erst', 'los', 'überschwemmung')",2
"('drei', 'erst', 'überschwemmung')",2
"('landkreisen', 'oberbayern', 'überschwemmungen')",2
"('betroffen', 'oberbayern', 'überschwemmungen')",2
"('betroffen', 'landkreis', 'überschwemmungen')",2
"('hilfe', 'leisten', 'überschwemmungskatastrophe')",2
"('leisten', 'pakistan', 'überschwemmungskatastrophe')",2
"('dürre', 'pakistan', 'überschwemmungskatastrophe')",2
"('fällen', 'menschen', 'überschwemmungen')",2
"('menschen', 'notlagen', 'überschwemmungen')",2
"('notlagen', 'zuschüsse', 'überschwemmungen')",2
"('lauter', 'querdenkern', 'überschwemmungen')",2
"('geplant', 'lauter', 'überschwemmungen')",2
"('daraus', 'geplant', 'überschwemmungen')",2
"('haus', 'hochwasser', 'überschwemmungen')",2
"('familie', 'haus', 'überschwemmungen')",2
"('bayerns', 'wochenende', 'überschwemmungen')",2
"('ausgeschlossen', 'wochenende', 'überschwemmungen')",2
"('ausgeschlossen', 'sonntagmorgen', 'überschwemmungen')",2
"('hochwasser', 'passau', 'überschwemmungen')",2
"('gerechnet', 'hochwasser', 'überschwemmungen')",2
"('gerechnet', 'teilte', 'überschwemmungen')",2
"('inn', 'salzach', 'überschwemmungen')",2
"('inn', 'kommen.der', 'überschwemmungen')",2
"('dwd', 'kommen.der', 'überschwemmungen')",2
"('betroffen', 'regensburg', 'überschwemmungen')",2
"('ausgleichsflächen', 'außerhalb', 'überschwemmungsgebiete')",2
"('2016', 'höchsten', 'überschwemmungsschäden')",2
"('höchsten', 'jüngsten', 'überschwemmungsschäden')",2
"('jüngsten', 'zeit', 'überschwemmungsschäden')",2
"('meteorologen', 'zunehmen', 'überschwemmungen')",2
"('höhepunkt', 'meteorologen', 'überschwemmungen')",2
"('höhepunkt', 'mitte', 'überschwemmungen')",2
"('betroffen', 'trafen', 'überschwemmungen')",2
"('rheinland-pfalz', 'trafen', 'überschwemmungen')",2
"('geblieben', 'stehen', 'überschwemmungen')",2
"('gebiete', 'geblieben', 'überschwemmungen')",2
"('entlang', 'gebiete', 'überschwemmungen')",2
"('immobiliensachverständige', 'unternehmen', 'überschwemmungen')",2
"('immobiliensachverständige', 'vergangenen', 'überschwemmungen')",2
"('juli', 'vergangenen', 'überschwemmungen')",2
"('ort', 'weiteren', 'überschwemmungen')",2
"('dolhain', 'weiteren', 'überschwemmungen')",2
"('dolhain', 'vorort', 'überschwemmungen')",2
"('belastungen', 'störungen', 'überschwemmungsgebieten')",2
"('störungen', 'thw-helfer', 'überschwemmungsgebieten')",2
"('thw-helfer', 'vergangenen', 'überschwemmungsgebieten')",2
"('fabrik', 'gekommen', 'überschwemmungen')",2
"('fabrik', 'kühlanlage', 'überschwemmungen')",2
"('ausgefallen.trump', 'kühlanlage', 'überschwemmungen')",2
"('gebäude', 'sorgte', 'überschwemmungen')",2
"('blieb', 'sorgte', 'überschwemmungen')",2
"('blieb', 'wirbelsturm', 'überschwemmungen')",2
"('zahlreichen', 'zehntausende', 'überschwemmungen')",2
"('häuser', 'zehntausende', 'überschwemmungen')",2
"('flutkatastrophe', 'jahrhunderthochwasser', 'überschwemmung')",2
"('hochwasser', 'jahrhunderthochwasser', 'überschwemmung')",2
"('hochwasser', 'überschneiden', 'überschwemmung')",2
"('erdrutsch', 'schlammlawine', 'überschwemmung')",2
"('ausgelöst', 'erdrutsche', 'überschwemmungen')",2
"('aktuellen', 'dürre', 'überschwemmungsgefahrwegen')",2
"('mehreren', 'murenabgängen', 'überschwemmungen')",2
"('gekommen', 'murenabgängen', 'überschwemmungen')",2
"('gekommen', 'straßen', 'überschwemmungen')",2
"('gewitter', 'starkregen', 'überschwemmungen')",2
"('ersten', 'straßen', 'überschwemmungen')",2
"('gesperrt', 'straßen', 'überschwemmungen')",2
"('gesperrt', 'später', 'überschwemmungen')",2
"('hagel', 'starkregen', 'überschwemmungen')",2
"('starke', 'unwetter', 'überschwemmungen')",2
"('unwetter', 'zwanzig', 'überschwemmungen')",2
"('minuten', 'zwanzig', 'überschwemmungen')",2
"('begannen', 'behörden', 'überschwemmung')",1
"('begannen', 'verstärkung', 'überschwemmung')",1
"('dämme', 'verstärkung', 'überschwemmung')",1
"('gleichzeitig', 'starkregenereignisse', 'überschwemmungen')",1
"('starkregenereignisse', 'ziel', 'überschwemmungen')",1
"('erster', 'ziel', 'überschwemmungen')",1
"('ausuferungen', 'warnungen', 'überschwemmungen')",1
"('ausuferungen', 'überschwemmungen', 'überschwemmungen')",1
"('landwirtschaftlichen', 'überschwemmungen', 'überschwemmungen')",1
"('flächen', 'landwirtschaftlichen', 'überschwemmungen')",1
"('eckental-eschenau', 'meldet', 'überschwemmungsgebiet')",1
"('gebäude', 'meldet', 'überschwemmungsgebiet')",1
"('gebäude', 'überflutet', 'überschwemmungsgebiet')",1
"('ausuferungen', 'hochwasser', 'überschwemmungen')",1
"('ausuferungen', 'dauerregen', 'überschwemmungen')",1
"('dauerregen', 'schwerpunkt', 'überschwemmungen')",1
"('anstieg', 'wasserstände', 'überschwemmungen')",1
"('bebauten', 'wasserstände', 'überschwemmungen')",1
"('bebauten', 'pegel', 'überschwemmungen')",1
"('kronach', 'lichtenfels', 'überschwemmungen')",1
"('bebaute', 'lichtenfels', 'überschwemmungen')",1
"('leichte', 'treten', 'überschwemmungen')",1
"('leichte', 'teilen', 'überschwemmungen')",1
"('frankens', 'teilen', 'überschwemmungen')",1
"('leichte', 'wasserstände', 'überschwemmungen')",1
"('informationen', 'leichte', 'überschwemmungen')",1
"('bayerischen', 'informationen', 'überschwemmungen')",1
"('bad', 'kissingen', 'überschwemmungen')",1
"('kissingen', 'ober-', 'überschwemmungen')",1
"('ober-', 'unterfrankeneine', 'überschwemmungen')",1
"('ausuferungen', 'oberfranken', 'überschwemmungen')",1
"('landkreis', 'oberfranken', 'überschwemmungen')",1
"('ausuferungen', 'betroffen', 'überschwemmungen')",1
"('ausuferungen', 'kleineren', 'überschwemmungen')",1
"('gewässern', 'kleineren', 'überschwemmungen')",1
"('größere', 'schäden', 'überschwemmungen')",1
"('chamzu', 'schäden', 'überschwemmungen')",1
"('chamzu', 'häufige', 'überschwemmungen')",1
"('beschäftigen', 'gemeinden', 'überschwemmungen')",1
"('beschäftigen', 'möglicherweise', 'überschwemmungen')",1
"('möglicherweise', 'sturzfluten', 'überschwemmungen')",1
"('möglichen', 'schutz', 'überschwemmungen')",1
"('dramatische', 'möglichen', 'überschwemmungen')",1
"('dramatische', 'hochwasser', 'überschwemmungen')",1
"('flussabwärts', 'gekappt', 'überschwemmungsschäden')",1
"('flussabwärts', 'vermindert', 'überschwemmungsschäden')",1
"('vermindert', 'wasserwirtschaftsamt', 'überschwemmungsschäden')",1
"('infolge', 'schäden', 'überschwemmungen')",1
"('infolge', 'vermindert', 'überschwemmungen')",1
"('vermindert', 'wasserwirtschaftsamt', 'überschwemmungen')",1
"('monaten', 'wiederholt', 'überschwemmungen')",1
"('heimgesucht', 'wiederholt', 'überschwemmungen')",1
"('heimgesucht', 'märz', 'überschwemmungen')",1
"('ministerium', 'städte', 'überschwemmungen')",1
"('klimawandel', 'ministerium', 'überschwemmungen')",1
"('massiven', 'menschen', 'überschwemmungen')",1
"('bewahren', 'massiven', 'überschwemmungen')",1
"('bewahren', 'regierung', 'überschwemmungen')",1
"('extreme', 'schadenspotenzial', 'überschwemmung')",1
"('extreme', 'große', 'überschwemmung')",1
"('große', 'polder', 'überschwemmung')",1
"('mittelfranken', 'schweren', 'überschwemmungen')",1
"('gekommen', 'schweren', 'überschwemmungen')",1
"('betroffen', 'gekommen', 'überschwemmungen')",1
"('hintergründe', 'wetter', 'überschwemmungen')",1
"('rheinland-pfalz', 'wetter', 'überschwemmungen')",1
"('eisschmelze', 'reporte', 'überschwemmungen')",1
"('dürren', 'eisschmelze', 'überschwemmungen')",1
"('dürren', 'überschwemmungen', 'überschwemmungen')",1
"('dürren', 'nordrhein-westfalen', 'überschwemmungen')",1
"('hingegen', 'kommt', 'überschwemmungen')",1
"('grund', 'hingegen', 'überschwemmungen')",1
"('dichten', 'grund', 'überschwemmungen')",1
"('feuerwehren', 'landkreis', 'material.überschwemmungen')",1
"('hurrikane', 'landkreis', 'material.überschwemmungen')",1
"('erdbeben', 'hurrikane', 'material.überschwemmungen')",1
"('erdbeben', 'nepal', 'überschwemmungen')",1
"('nepal', 'sri', 'überschwemmungen')",1
"('lanka', 'sri', 'überschwemmungen')",1
"('einsätze', 'waldkraiburg', 'überschwemmungen')",1
"('einsätze', 'freiwilligen', 'überschwemmungen')",1
"('feuerwehren', 'freiwilligen', 'überschwemmungen')",1
"('auen', 'natürlichen', 'überschwemmungsgebiete')",1
"('natürlichen', 'unserer', 'überschwemmungsgebiete')",1
"('flüsse', 'unserer', 'überschwemmungsgebiete')",1
"('hochwasser', 'stehen', 'überschwemmungsflächen')",1
"('hochwasser', 'verfügung', 'überschwemmungsflächen')",1
"('strömen', 'verfügung', 'überschwemmungsflächen')",1
"('hochwasser-gefahr', 'steigt', 'überschwemmungen')",1
"('flussauen', 'hochwasser-gefahr', 'überschwemmungen')",1
"('abgemildert', 'flussauen', 'überschwemmungen')",1
"('flüssen', 'verlust', 'überschwemmungsflächen')",1
"('stand', 'verlust', 'überschwemmungsflächen')",1
"('auenrenaturierung', 'stand', 'überschwemmungsflächen')",1
"('beteiligt', 'untersuchungen', 'überschwemmungen')",1
"('untersuchungen', 'vergangenen', 'überschwemmungen')",1
"('jahrzehnten', 'vergangenen', 'überschwemmungen')",1
"('ausmaß', 'traten', 'überschwemmungen')",1
"('früher', 'traten', 'überschwemmungen')",1
"('früher', 'häufiger', 'überschwemmungen')",1
"('merkmale', 'zahl.die', 'überschwemmungen')",1
"('jahrzehnte', 'merkmale', 'überschwemmungen')",1
"('jahrzehnte', 'vergangenen', 'überschwemmungen')",1
"('europa', 'regionen', 'überschwemmungstrends')",1
"('europa', 'folgen', 'überschwemmungstrends')",1
"('folgen', 'ähnlichen', 'überschwemmungstrends')",1
"('gemeinsam', 'zusammengetan', 'überschwemmungen')",1
"('gemeinsam', 'vermeiden', 'überschwemmungen')",1
"('flüssen', 'vermeiden', 'überschwemmungen')",1
"('isar', 'menschen', 'überschwemmungen')",1
"('dramatisch', 'menschen', 'überschwemmungen')",1
"('dramatisch', 'niemand', 'überschwemmungen')",1
"('donau.überschwemmungen', 'fluten', 'unerschrockene')",1
"('donau.überschwemmungen', 'fluten', 'teilen')",1
"('bayernswegen', 'donau.überschwemmungen', 'teilen')",1
"('bayerns', 'landesteilen', 'überschwemmungen')",1
"('bayerns', 'landesamt', 'überschwemmungen')",1
"('landesamt', 'umwelt', 'überschwemmungen')",1
"('gerechnet', 'meldestufe', 'überschwemmungen')",1
"('baugebieten', 'gerechnet', 'überschwemmungen')",1
"('baugebieten', 'hochwassernachrichtendienst', 'überschwemmungen')",1
"('ausuferungen', 'hochwasserwarnung', 'überschwemmungen')",1
"('ausuferungen', 'landkreise', 'überschwemmungen')",1
"('dillingen', 'landkreise', 'überschwemmungen')",1
"('erreicht', 'werden.überschwemmungen', 'überschritten')",1
"('werden.überschwemmungen', 'überflutungen', 'überschritten')",1
"('donauwörthdie', 'werden.überschwemmungen', 'überflutungen')",1
"('menschen', 'schweren', 'überschwemmungen')",1
"('bedroht.wissenschaftler', 'schweren', 'überschwemmungen')",1
"('bedroht.wissenschaftler', 'hätten', 'überschwemmungen')",1
"('kleinere', 'orten', 'überschwemmungen')",1
"('allgäu', 'kleinere', 'überschwemmungen')",1
"('allgäu', 'hochwasser', 'überschwemmungen')",1
"('burgthann', 'fahrbahnüberschwemmungen', 'gehweg-')",1
"('fahrbahnüberschwemmungen', 'gehweg-', 'regensburg')",1
"('donau', 'fahrbahnüberschwemmungen', 'regensburg')",1
"('feuerwehr-chef', 'hoch', 'überschwemmungsgefahr')",1
"('hoch', 'ostbayern', 'überschwemmungsgefahr')",1
"('ostbayern', 'regensburg', 'überschwemmungsgefahr')",1
"('größeren', 'kelheim', 'überschwemmungen')",1
"('ganzer', 'größeren', 'überschwemmungen')",1
"('ganzer', 'wohngebiete', 'überschwemmungen')",1
"('airbus', 'gesperrt.kleinere', 'überschwemmungen')",1
"('gesperrt.kleinere', 'harburg', 'überschwemmungen')",1
"('harburg', 'nördlingenan', 'überschwemmungen')",1
"('gehen', 'größeren', 'überschwemmungen')",1
"('größeren', 'kommt.regensburg', 'überschwemmungen')",1
"('gewappnetdie', 'kommt.regensburg', 'überschwemmungen')",1
"('abgesagt', 'größeren', 'überschwemmungen')",1
"('größeren', 'wasserwirtschaftsämter', 'überschwemmungen')",1
"('straubing', 'wasserwirtschaftsämter', 'überschwemmungen')",1
"('donauwörth', 'kleinere', 'überschwemmungen')",1
"('donau', 'kleinere', 'überschwemmungen')",1
"('donau', 'donauwörth', 'überschwemmungen')",1
"('bahnim', 'verkehr', 'überschwemmungen')",1
"('behinderungen', 'verkehr', 'überschwemmungen')",1
"('b308', 'behinderungen', 'überschwemmungen')",1
"('straßen', 'ufernähe', 'überschwemmungsgefahr')",1
"('folgen', 'ufernähe', 'überschwemmungsgefahr')",1
"('folgen', 'starkregens', 'überschwemmungsgefahr')",1
"('burgthann', 'fahrbahnüberschwemmungen.ruhige', 'gehweg-')",1
"('fahrbahnüberschwemmungen.ruhige', 'gehweg-', 'lage')",1
"('fahrbahnüberschwemmungen.ruhige', 'lage', 'oberfrankeneine')",1
"('straßen', 'ufernähe', 'überschwemmungsgefahr.regen')",1
"('sorgt', 'ufernähe', 'überschwemmungsgefahr.regen')",1
"('sorgt', 'überflutete', 'überschwemmungsgefahr.regen')",1
"('raum', 'regensburg', 'überschwemmungen')",1
"('kleineren', 'lokalen', 'überschwemmungen')",1
"('lokalen', 'nördlichen', 'überschwemmungen')",1
"('nördlichen', 'oberpfalz', 'überschwemmungen')",1
"('bayreuth', 'coburg', 'überschwemmungen')",1
"('coburg', 'meldestufe', 'überschwemmungen')",1
"('gegenden', 'meldestufe', 'überschwemmungen')",1
"('werden.erste', 'überschwemmt', 'überschwemmungen')",1
"('gemeldetentlang', 'werden.erste', 'überschwemmungen')",1
"('flüsse', 'gemeldetentlang', 'überschwemmungen')",1
"('kleinere', 'oberpfalz', 'überschwemmungen')",1
"('betroffen', 'kleinere', 'überschwemmungen')",1
"('betroffen', 'waldnaab', 'überschwemmungen')",1
"('ersten', 'regensburg', 'überschwemmungen')",1
"('ersten', 'schlimmsten', 'überschwemmungen')",1
"('fall', 'schlimmsten', 'überschwemmungen')",1
"('geparkt', 'sind.mit', 'überschwemmungen')",1
"('kommenden', 'sind.mit', 'überschwemmungen')",1
"('kommenden', 'raum', 'überschwemmungen')",1
"('flüssen', 'rott', 'überschwemmungen')",1
"('abo', 'rott', 'überschwemmungen')",1
"('abo', 'liste', 'überschwemmungen')",1
"('hnd', 'morgigen', 'überschwemmungen')",1
"('betroffen', 'morgigen', 'überschwemmungen')",1
"('betroffen', 'franken', 'überschwemmungen')",1
"('ostbayernüberschwemmungsgefahr', 'schwaben', 'steigen')",1
"('besteht', 'ostbayernüberschwemmungsgefahr', 'schwaben')",1
"('besteht', 'hnd', 'ostbayernüberschwemmungsgefahr')",1
"('ausgewiesen', 'außerhalb', 'überschwemmungsgebiete')",1
"('ausgewiesen', 'unterstützung', 'überschwemmungsgebiete')",1
"('außerhalb', 'wertvollen', 'überschwemmungsgebiete')",1
"('flächen', 'wertvollen', 'überschwemmungsgebiete')",1
"('große', 'nächste', 'überschwemmung')",1
"('anrollt', 'große', 'überschwemmung')",1
"('anrollt', 'weiß', 'überschwemmung')",1
"('abflussprofile', 'freigehalten', 'überschwemmungsgebiete')",1
"('freigehalten', 'vorhanden', 'überschwemmungsgebiete')",1
"('gehören', 'vorhanden', 'überschwemmungsgebiete')",1
"('ausuferungen', 'erreicht', 'überschwemmungen')",1
"('ausuferungen', 'bebaute', 'überschwemmungen')",1
"('bangladesch', 'nepal', 'überschwemmungen')",1
"('bangladesch', 'betroffen', 'überschwemmungen')",1
"('betroffen', 'nähere', 'überschwemmungen')",1
"('erdrutsch', 'toten', 'überschwemmungen')",1
"('erdrutsch', 'freetown', 'überschwemmungen')",1
"('freetown', 'gesprochen', 'überschwemmungen')",1
"('alljährlich', 'ereignen', 'überschwemmungen')",1
"('alljährlich', 'infolge', 'überschwemmungen')",1
"('heftiger', 'infolge', 'überschwemmungen')",1
"('2021', 'katastrophale', 'überschwemmungen')",1
"('flüssen', 'katastrophale', 'überschwemmungen')",1
"('flüssen', 'rheinland-pfalz', 'überschwemmungen')",1
"('niederschläge', 'tödlichen', 'überschwemmungen')",1
"('berchtesgadener', 'tödlichen', 'überschwemmungen')",1
"('berchtesgadener', 'land', 'überschwemmungen')",1
"('verheerende', 'wochen', 'überschwemmungen')",1
"('flüssen', 'verheerende', 'überschwemmungen')",1
"('flüssen', 'nordrhein-westfalen', 'überschwemmungen')",1
"('beginn', 'hochwasser', 'überschwemmungen')",1
"('beginn', 'hochwasserkatastrophe', 'überschwemmungen')",1
"('gezeigt', 'sturzfluten', 'überschwemmungen')",1
"('flüssen', 'sturzfluten', 'überschwemmungen')",1
"('ereignen.viele', 'flüssen', 'überschwemmungen')",1
"('naturkatastrophen', 'verfügung', 'überschwemmungen')",1
"('flächenbrände', 'naturkatastrophen', 'überschwemmungen')",1
"('flächenbrände', 'schneller', 'überschwemmungen')",1
"('millionen', 'toten', 'überschwemmungen')",1
"('indien', 'toten', 'überschwemmungen')",1
"('1955', 'indien', 'überschwemmungen')",1
"('abholzung', 'eindeichungen', 'überschwemmungen')",1
"('abholzung', 'überschwemmungen', 'überweidung')",1
"('dürreereignissen', 'überschwemmungen', 'überweidung')",1
"('effizienz', 'steigerung', 'überschwemmungen')",1
"('effizienz', 'europa', 'überschwemmungen')",1
"('2021', 'europa', 'überschwemmungen')",1
"('auftretende', 'el-niño-phänomen', 'überschwemmungen')",1
"('el-niño-phänomen', 'südamerika', 'überschwemmungen')",1
"('dürren', 'südamerika', 'überschwemmungen')",1
"('2008', 'april', 'überschwemmungen')",1
"('2008', 'andalusien', 'überschwemmungen')",1
"('andalusien', 'spanischen', 'überschwemmungen')",1
"('genutzt', 'katastrophenfällen', 'überschwemmungen')",1
"('genutzt', 'waldbrände', 'überschwemmungen')",1
"('erdbeben', 'waldbrände', 'überschwemmungen')",1
"('flut', 'große', 'überschwemmungen')",1
"('große', 'kilometer', 'überschwemmungen')",1
"('festland', 'kilometer', 'überschwemmungen')",1
"('abzugrenzen', 'anleitung', 'überschwemmung')",1
"('anleitung', 'bezeichnet', 'überschwemmung')",1
"('bezeichnet', 'zustand', 'überschwemmung')",1
"('folgenreichsten', 'naturkatastrophen', 'überschwemmungen')",1
"('meistens', 'naturkatastrophen', 'überschwemmungen')",1
"('meistens', 'naturereignisse', 'überschwemmungen')",1
"('begrenzten', 'lokal', 'überschwemmungen')",1
"('begrenzten', 'zumeist', 'überschwemmungen')",1
"('sorgen', 'zumeist', 'überschwemmungen')",1
"('geplante', 'regenrückhaltebecken', 'überschwemmungsflächen')",1
"('erweisen', 'geplante', 'überschwemmungsflächen')",1
"('erweisen', 'unterdimensioniert', 'überschwemmungsflächen')",1
