"Word","Frequency"
"('deutschland', 'sonnig', 'sturmin', 'wochenende')",4
"('beeinträchtigungen', 'burglind', 'sturmtief', 'verkehr')",3
"('beseitigen', 'oberleitungen', 'sturmschäden', 'umgestürzte')",3
"('berühmten', 'kärnten', 'markusturm', 'niederösterreich')",3
"('berühmten', 'markusturm', 'niederösterreich', 'venedig')",3
"('berühmten', 'fielen', 'markusturm', 'venedig')",3
"('fielen', 'markusturm', 'venedig', 'ziegel')",3
"('salzburg', 'sturmböen', 'umgeleitet.durch', 'zurück')",3
"('salzburg', 'sturmböen', 'stürzten', 'umgeleitet.durch')",3
"('dutzende', 'sturmböen', 'stürzten', 'umgeleitet.durch')",3
"('bäume', 'dutzende', 'sturmböen', 'stürzten')",3
"('erreichten', 'frankreich', 'sturmböen', 'windgeschwindigkeiten')",3
"('220', 'erreichten', 'sturmböen', 'windgeschwindigkeiten')",3
"('220', 'kilometer', 'sturmböen', 'windgeschwindigkeiten')",3
"('hagel', 'starkregen', 'sturmböen', 'vereinzelt')",3
"('hagel', 'schwere', 'sturmböen', 'zeit')",3
"('bäume', 'sturms', 'umgestürzte', 'verkehrsbehinderungen')",3
"('bleibt', 'regnerisch', 'sturmböen', 'vereinzelt')",2
"('110', 'gerechnet', 'sturmböen', 'werden.wegen')",2
"('bergbahnen', 'gerechnet', 'sturmböen', 'werden.wegen')",2
"('bergbahnen', 'oberbayern', 'sturmböen', 'werden.wegen')",2
"('anlagen', 'augsburg', 'sturmböen', 'öffentliche')",2
"('alpenam', 'nördlich', 'oberbayernsturmböen', 'schwaben')",2
"('alpennähe', 'bayerischen', 'sturmböen', 'wald')",2
"('100', 'bayerischen', 'sturmböen', 'wald')",2
"('100', 'kilometern', 'sturmböen', 'wald')",2
"('halten', 'regen', 'sturmtiefs', 'winter')",2
"('markantes', 'sturmböen', 'warnungen', 'wetter')",2
"('markantes', 'ostbayernim', 'sturmböen', 'wetter')",2
"('ostbayernim', 'osten', 'sturmböen', 'wetter')",2
"('hagel', 'korngrößen', 'sturmböen', 'zwei')",2
"('ausmaß', 'tropensturm', 'volle', 'zerstörung')",2
"('ausmaß', 'harvey', 'tropensturm', 'zerstörung')",2
"('harvey', 'sichtbar', 'tropensturm', 'zerstörung')",2
