Entity Type,Entity Text,Count
ORG,munich re,9
ORG,special insurance,1
ORG,erstversicherungstochter,1
ORG,belgische who-regionaldirektor,1
ORG,who-region,1
ORG,un-kinderhilfswerk,2
ORG,internationale gemeinschaft,1
ORG,türkisch-syrische erdbebenregion bisher hilfsgüter,1
ORG,spd,7
ORG,afp,1
ORG,ap,1
ORG,dpa,2
ORG,epd,1
ORG,weltgesundheitsorganisation,1
ORG,who,1
ORG,humedica,1
ORG,rettungsaktionenallerdings,1
ORG,aktion deutschland,1
ORG,erdbeben-opfer,1
ORG,ditib-türkisch-islamische gemeinde,1
ORG,bundesamt für bevölkerungsschutz,2
ORG,bbk,2
ORG,deutschen bahn,1
ORG,gaspipelines nord stream 1,1
ORG,afd-fraktion,1
ORG,fdp-fraktion,1
ORG,potsdam-instituts,1
ORG,pik,1
ORG,universität augsburg,1
ORG,humboldt-universität zu berlin,1
ORG,münchner rückversicherers,1
ORG,landratsamtes,1
ORG,dienstagnachmittag,1
ORG,katastrophenfalls,1
ORG,polizei,1
ORG,cdu,2
ORG,bundeswehr,3
ORG,cell broadcast,1
ORG,deutschen presse-agentur,1
ORG,funke-mediengruppe,1
ORG,"überschwemmungen?""wegen corona-pandemie",1
ORG,kna,1
ORG,internal displacement monitoring centre,1
ORG,nrc,2
ORG,oxfam international,1
ORG,pandemie,3
ORG,staatengemeinschaft,1
ORG,ambrosia-bestände,1
ORG,freistaates bayern,1
ORG,ambrosia,1
ORG,den grünen,1
ORG,die grünen,2
ORG,kommune,1
ORG,csu-fraktion,1
ORG,aloisius-schule,2
ORG,rheinland-pfälzische familienministerium,1
ORG,thw,1
ORG,polizei koblenz,2
ORG,cemas,1
ORG,querdenker,1
ORG,swr,1
ORG,eu,9
ORG,europäische union,1
ORG,eu-länder,1
ORG,major disasters,1
ORG,eu-solidarfonds,3
ORG,europäischen parlament,1
ORG,europäischen rat,1
ORG,icarus,1
ORG,iss,1
ORG,eu-erdbeobachtungsprogramms copernicus,1
ORG,dlr,2
ORG,deutschen zentrum für luft- und raumfahrt,1
ORG,edrs-netzwerk,2
ORG,esa,1
ORG,deutschen zentrums für luft- und raumfahrt,1
ORG,dlr-wissenschaftler,1
ORG,stuttgarter produktionsteam,1
PER,joachim wenning,1
PER,vorstandsvorsitzender,1
PER,policen,1
PER,wenning,1
PER,daniela bergdolt,2
PER,bergdolt,1
PER,hans kluge,1
PER,recep tayyip erdogan,1
PER,erdogan,1
PER,unicef-sprecher james elder,1
PER,antónio guterres,1
PER,bashar al-assad,1
PER,al ra'ee,1
PER,guterres,1
PER,assad,1
PER,nancy faeser,4
PER,katar,2
PER,hilfsgüter,3
PER,erkundungsteamdie kaufbeurer hilfsorganisation,1
PER,johannes peter,1
PER,peter,1
PER,heizstrahler,1
PER,hilfsgüter sendendie,1
PER,hilfsorganisation space-eye,1
PER,space-eye,2
PER,aykan inan,1
PER,faeser,2
PER,elliot,1
PER,la niña,1
PER,ernst rauch,2
PER,joachim herrmann,1
PER,herrmann,3
PER,bayerns,1
PER,bund,1
PER,risikoanalysen,1
PER,resilienzpläne,1
PER,lükex,1
PER,richard graupner,1
PER,alexander muthmann,1
PER,stefan schuster,1
PER,handlungsbedarf,1
PER,katharina schulze,1
PER,sirenen,1
PER,johan rockström,1
PER,hans joachim schellnhuber,1
PER,rockström,1
PER,wolfgang kießling,1
PER,harald kunstmann,1
PER,realistischman,1
PER,hitze,1
PER,dürre,1
PER,produktionsausfälle,1
PER,"das?""das",1
PER,michael stübgen,1
PER,windböen,1
PER,innenministerin nancy faeser,1
PER,ralph tiesler,4
PER,faeserdas,1
PER,behördenchef ralph tiesler,1
PER,angelika schorer,1
PER,brk-präsidentin schorer verbesserungsbedarf,1
PER,jährenden flutkatastrophe,1
PER,tiesler,3
PER,katastrophenhilfetiesler,1
PER,unicef,1
PER,michele servadei von unicef,1
PER,gabriela bucher,1
PER,jan egeland,1
PER,alexandra bilak,1
PER,un-angaben,1
PER,jahren weiterder,1
PER,stefan nawrath,2
PER,claudia traidl-hoffmann,2
PER,traidl-hoffmann.klimawandel,1
PER,traidl-hoffmann,1
PER,heuschnupfen leiden,1
PER,hochgeschwindigkeitszügen,1
PER,thomas schwab,2
PER,rodeldamenstart schneller,1
PER,schwab,1
PER,felix loch,1
PER,peter ramsauer,1
PER,bartl wimmer,1
PER,armin laschet,1
PER,staatsversagens,1
PER,corona-maßnahmen,1
PER,nikolai nerling,1
PER,nerling,3
PER,falschinformationenfür,1
PER,straßen zuparken,1
PER,paypal,1
PER,bodo schiffmann,1
PER,schiffmann,2
PER,herbert reul,1
PER,cemas,1
PER,lamberty,1
PER,holm hümmler,1
PER,hümmler,2
PER,detlef placzek,1
PER,landesjugendamtes,1
PER,xi jinping von staatsmedien,1
PER,rettungsdienste,1
PER,olaf scholz,1
PER,ministerpräsident söder,1
PER,soforthilfengibt,1
PER,sturm kyrill,1
PER,oleg artemjew,1
PER,sergej prokopjew,1
PER,vernetzte satellitenkommunikation,1
PER,uwe kippnich,1
PER,tornados,1
PER,brk-projektleiter uwe kippnich.geländegängiger fuhrparkzur,1
PER,kippnich,1
PER,dlrdamit,1
PER,hurrikan-saison,1
PER,heinrich von kleists,1
PER,marcel beyer,2
PER,toshio hosokawa,1
PER,heinrich von kleist,1
PER,jossi wieler,3
PER,kleist,1
PER,bühnenbildnerin,1
PER,anna viebrock,1
PER,esther dierkes,1
PER,jossi wielerer,1
PER,sylvain cambreling,1
PER,jossi wielerwieder,1
PER,gerda hasselfeldt,1
PER,hasselfeldt,1
MISC,klimawandels,3
MISC,münchner,3
MISC,deutschen,6
MISC,deutsche,3
MISC,risikoscheuen anteilseignern,1
MISC,sozialen,4
MISC,soziale,1
MISC,türkische,1
MISC,geborgendie,1
MISC,unicef-sprecher,1
MISC,wassersystems,1
MISC,who-regionaldirektor kluge,1
MISC,syrischen,1
MISC,bürgerkrieg,1
MISC,arabischen,1
MISC,fußballweltmeisterschaft,1
MISC,katarischen,1
MISC,katastrophe in der türkei,1
MISC,weltmeisterschaft ins land,1
MISC,syrischen regierung,1
MISC,bitterkaltviele,1
MISC,türkischen,1
MISC,türkischer,1
MISC,nicht-mitglieder.zum,1
MISC,thw,3
MISC,wasseraufbereitungs-einheiten,1
MISC,klima-rückblick,1
MISC,hurrikan ian,1
MISC,vorjahren,1
