"Word,""Frequency"""
('erdbeben', 'türkei'),67
('erdbeben', 'schweren'),31
('artikel', 'erdbeben'),25
('erdbeben', 'stärke'),22
('erdbeben', 'verheerenden'),20
('erdbeben', 'türkisch-syrischen'),16
('betroffenen', 'erdbeben'),13
('us-erdbebenwarte', 'usgs'),13
('erdbeben', 'menschen'),11
('beim', 'erdbeben'),10
('erdbeben', 'tsunami'),9
('erdbeben', 'schweres'),9
('erdbeben', 'starkes'),8
('erdbeben', 'erschüttert'),8
('erdbeben', 'schwere'),8
('artikel', 'erdbeben-katastrophe'),8
('erdbeben', 'syrien'),6
('erdbebenopfer', 'türkei'),6
('erdbeben', 'welt'),6
('erdbeben', 'starken'),6
('erdbebenopfer', 'hilfe'),6
('erdbeben', 'februar'),6
('erdbebengebiet', 'menschen'),6
('erdbebengebieten', 'menschen'),6
('erdbebengebiet', 'türkei'),6
('erdbeben', 'vulkanausbrüchen'),5
('erdbeben', 'verheerende'),5
('erdbebens', 'türkei'),5
('2004', 'erdbeben'),5
('erdbeben', 'vulkanausbrüche'),5
('erdbeben', 'liste'),5
('erdbebengebiet', 'syrische'),5
('erdbebengebiet', 'türkischen'),5
('erdbeben', 'funktioniert'),5
('erdbeben', 'tage'),5
('betroffene', 'erdbeben'),5
('erdbebens', 'zentrum'),5
('erdbeben-tote', 'versorgung'),5
('erdbeben', 'hochwasser'),4
('anfang', 'erdbeben'),4
('erdbebengebiet', 'steigt'),4
('erdbeben-tote', 'türkei'),4
('erdbebens', 'opfer'),4
('erdbeben', 'erreichten'),4
('erdbeben', 'vulkanausbruchnach'),4
('laut', 'us-erdbebenwarte'),4
('angaben', 'us-erdbebenwarte'),4
('erdbeben', 'folgen'),4
('erdbeben', 'ereignis'),4
('erdbebens', 'stärke'),4
('erdbeben', 'obdachlos'),4
('erdbebenopfer', 'syrischen'),4
('erdbebenopfer', 'syrien'),4
('erdbeben', 'verloren'),4
('erdbeben', 'sorge'),4
('angst', 'erdbeben'),4
('erdbebens', 'türkisch-syrischen'),4
('erdbeben', 'stärksten'),4
('erdbeben', 'zehn'),3
('erdbebenopfer', 'vielen'),3
('erdbebenregion', 'türkisch-syrische'),3
('erdbebenregion', 'hilfsgüter'),3
('artikel', 'erdbebengebiet'),3
('16.000', 'erdbeben-tote'),3
('erdbeben', 'schwersten'),3
('einsatz', 'erdbebengebiet'),3
('erdbeben', 'gut'),3
('erdbeben', 'vorbereitet'),3
('erdbebenopfer', 'spenden'),3
('erdbeben', 'japans'),3
('erdbeben', 'schäden.nach'),3
('erdbeben', 'zugverkehr'),3
('erdbebengefährdeten', 'stärksten'),3
('erdbebengefährdeten', 'länder'),3
('erdbeben', 'oft'),3
('erdbeben', 'mehrere'),3
('anschließenden', 'erdbeben'),3
('erdbeben', 'hintergrund'),3
('erdbeben', 'kōbe'),3
('erdbeben', 'starke'),3
('erdbeben', 'magnitude'),3
('erdbeben', 'tote'),3
('erdbeben', 'land'),3
('ausmaß', 'erdbeben'),3
('deutschland', 'erdbeben'),3
('betroffen', 'erdbeben'),3
('erdbebengebiet', 'geschickt'),3
('erdbebengebiet', 'kahramanmaras'),3
('erdbeben', 'weiteres'),3
('erdbeben', 'indonesien'),3
('erdbebens', 'schweren'),3
('erdbeben', 'zerstört'),3
('erdbebenregion', 'sichern'),3
('erdbebenregion', 'weitere'),3
('erdbeben', 'wochen'),3
('erdbebenkatastrophe', 'türkisch-syrischen'),3
('erdbebengebiet', 'türkisch-syrischen'),3
('erdbeben', 'grenzgebiet'),3
('erdbebengebieten', 'türkei'),3
('bayern', 'erdbeben'),3
