"Word","Frequency"
"('straßen', 'überflutet')",25
"('keller', 'überflutet')",23
"('ahrtal', 'flutkatastrophe')",16
"('straßen', 'überflutete')",15
"('kellern', 'überflutungen')",13
"('flutpolder', 'katzau')",8
"('geflutet', 'keller')",7
"('keller', 'überflutete')",7
"('wegen', 'überflutung')",7
"('ebbe', 'flut')",7
"('flächen', 'überflutet')",6
"('flutkatastrophen', 'unwetterkatastrophen')",6
"('könnten', 'überflutet')",5
"('2016', 'flutkatastrophe')",5
"('betroffen', 'flutkatastrophe')",5
"('flutkatastrophe', 'rheinland-pfalz')",5
"('regenfällen', 'sintflutartigen')",5
"('flutkatastrophe', 'juli')",5
"('weitere', 'überflutungen')",5
"('straßen', 'überfluteten')",5
"('flutwelle', 'hohe')",5
"('flutpolder', 'geplante')",4
"('flutwelle', 'höllentalklamm')",4
"('betroffenen', 'flutkatastrophe')",4
"('flutkatastrophe', 'verheerenden')",4
"('flutkatastrophe', 'westen')",4
"('flutopfern', 'solidarität')",4
"('2016', 'überflutet')",4
"('simbach', 'sturzfluten')",4
"('sturzfluten', 'ufer')",4
"('erdrutsche', 'überflutungen')",4
"('2013', 'flut')",4
"('flut', 'verwüstet')",4
"('flut', 'zerstörte')",4
"('geschützt', 'überflutungen')",4
"('kellern', 'überfluteten')",4
"('flut', 'große')",4
"('flutwellen', 'kleinere')",4
"('worden', 'überflutet')",4
"('nordsee', 'sturmfluten')",4
"('schwere', 'sturmflut')",4
"('1962', 'sturmflut')",4
"('flutwelle', 'gigantische')",4
"('flut', 'riss')",4
"('damals', 'flut')",4
"('zwei', 'überflutet')",4
"('flutpolder', 'geplanten')",3
"('leichte', 'überflutet')",3
"('flut', 'großen')",3
"('flut', 'kreis')",3
"('stadtgebiets', 'überflutet')",3
"('geflutet', 'straßen')",3
"('geflutet', 'straßenzüge')",3
"('geflutet', 'hochwasser')",3
"('fluten', 'gerettet')",3
"('2013', 'flutkatastrophe')",3
"('ahrtal', 'flut')",3
"('flutkatastrophe', 'forderte')",3
"('flutkatastrophe', 'jüngsten')",3
"('flutkatastrophe', 'westeuropa')",3
"('deutschlands', 'flutkatastrophe')",3
"('flutkatastrophe', 'heimgesucht')",3
"('fluten', 'schwammen')",3
"('fluten', 'wasser-')",3
"('fluten', 'lahmgelegt')",3
"('fluten', 'überschwemmten')",3
"('u-bahnstationen', 'überflutet')",3
"('internet', 'überflutet')",3
"('flut', 'jahren')",3
"('kleine', 'überflutet')",3
"('flut', 'jetztsimbach')",3
"('beispiel', 'flut')",3
"('komplett', 'überflutet')",3
"('gab', 'überflutet')",3
"('stadt', 'überflutet')",3
"('flutwelle', 'verwandelt')",3
"('flutwelle', 'rollte')",3
"('starkregen', 'überflutete')",3
"('altstadt', 'überflutet')",3
"('besiedelt', 'flutkatastrophen')",3
"('flutkatastrophe', 'jährenden')",3
"('flutkatastrophen', 'wiederbesiedelt')",3
"('flutkatastrophe', 'jahrestages')",3
"('bevölkerungsschutz', 'flutkatastrophe')",3
"('gewitter', 'sturzfluten')",3
"('sturmflut', 'verursachte')",3
"('liste', 'sturmfluten')",3
"('schweren', 'sturmflut')",3
"('hochwasser', 'sturmflut')",3
"('ausmaß', 'überflutungen')",3
"('möglich', 'sturzfluten')",3
"('unterführung', 'überfluteten')",3
"('entstehen', 'flutpolder')",2
"('starkregen', 'überflutungsflächen')",2
"('rest', 'überflutungsflächen')",2
"('gefährliche', 'sturzfluten')",2
"('hervorrufen', 'sturzfluten')",2
"('sowie', 'überflutet')",2
"('verkehrsbehinderungen', 'überflutet')",2
"('flutkatastrophe', 'simbach')",2
"('2016', 'gefluteten')",2
"('gebäude', 'gefluteten')",2
"('werden.zum', 'überflutet')",2
"('teilt', 'überflutet')",2
"('flutpolder', 'möchte')",2
"('flutpolder', 'rückhaltebecken')",2
"('geflutet', 'weise')",2
"('flutpolder', 'ingolstadt')",2
"('hektar', 'überflutet')",2
"('hochwasser', 'überflutet')",2
"('flutkatastrophe', 'tödlichen')",2
"('flutgeschädigten', 'weiteren')",2
"('ahr-weinbaugemeinde', 'flutgeschädigten')",2
"('artikel', 'flutkatastrophen')",2
"('flutkatastrophen', 'zivilschützer')",2
"('flutopfer', 'gedenkgottesdienst')",2
"('flutopfer', 'nordrhein-westfalen')",2
"('flutkatastrophe', 'opfer')",2
"('flutkatastrophe', 'kurpark')",2
"('flut', 'tote')",2
"('flut', 'jahrmehr')",2
"('flut', 'starben')",2
"('flut', 'menschen')",2
"('braunen', 'fluten')",2
"('fluten', 'gewächshäusern')",2
"('gurken-gewächshaus', 'überflutung')",2
"('umgefallen', 'überflutung')",2
"('flutkein', 'regenwürmer')",2
"('einzelfall', 'flutkein')",2
"('donau', 'flut')",2
"('begutachtet', 'flut')",2
"('dabei', 'überflutungen')",2
"('flut', 'verursachte')",2
"('hochwasser', 'sturzfluten')",2
"('donau', 'flutpoldern')",2
"('erdrutschen', 'überflutungen')",2
"('fast', 'überflutungen')",2
"('veröffentlicht', 'überflutete')",2
"('flutkatastrophe', 'sorgte')",2
"('flutpolder', 'funktionieren')",2
"('artikel', 'flutpolder-studie')",2
"('flutpolder-studie', 'sorgt')",2
"('werdennach', 'überflutet')",2
"('empfohlen', 'überflutet')",2
"('flut', 'winter')",2
"('flutkatastrophe', 'folgen')",2
"('flutkatastrophe', 'stellt')",2
"('flutkatastrophe', 'mitte')",2
"('flut', 'situation')",2
"('betroffenen', 'flut')",2
"('flutopfer', 'gedenken')",2
"('deutschland', 'flutopfer')",2
"('flutopfern', 'geben')",2
