"Word","Frequency"
"('schwere', 'unwetter')",20
"('sturm', 'unwetter')",15
"('artikel', 'unwetter')",14
"('heftiges', 'unwetter')",12
"('starkregen', 'unwetter')",12
"('schweres', 'unwetter')",11
"('heftige', 'unwetter')",11
"('schweren', 'unwetter')",10
"('orkan', 'unwetter')",9
"('bayern', 'unwetter')",9
"('betroffen', 'unwetter')",9
"('unwetters', 'wegen')",9
"('starke', 'unwetter')",8
"('herausgegeben', 'unwetterwarnung')",8
"('bayern', 'unwetterschäden')",8
"('schweren', 'unwettern')",8
"('heftigen', 'unwettern')",8
"('extremes', 'unwetter')",8
"('unwetter', 'zog')",8
"('unwettern', 'versicherung')",7
"('heftigen', 'unwetter')",7
"('teile', 'unwetterwarnung')",7
"('gab', 'unwetter')",6
"('nacht', 'unwetter')",6
"('bedrohung', 'unwetterkatastrophen')",6
"('flutkatastrophen', 'unwetterkatastrophen')",6
"('toter', 'unwetter')",6
"('unwetter', 'verhält')",6
"('unwetter', 'überrascht')",5
"('deutschen', 'unwetterwarnung')",5
"('unwetter', 'verheerende')",5
"('neue', 'unwetter')",5
"('menschen', 'unwetter')",5
"('unwetter', 'verheerenden')",5
"('unwetter', 'vergangenen')",5
"('unwetterschäden', 'wegen')",5
"('unwetter', 'überschwemmungen')",5
"('entstehen', 'unwetterwarnungen')",5
"('hätten', 'unwetter')",4
"('hochwasser', 'unwetter')",4
"('juli', 'unwetter')",4
"('starken', 'unwetter')",4
"('mitte', 'unwetter')",4
"('abend', 'unwetter')",4
"('unwetterlage', 'wetter-')",4
"('dwd', 'unwetterwarnung')",4
"('oberbayern', 'unwetter')",4
"('donnerstagabend', 'unwetter')",4
"('richtung', 'unwetter')",4
"('unwetterwarnung', 'zuvor')",4
"('extreme', 'unwetter')",4
"('teile', 'unwetter')",3
"('tag', 'unwetter')",3
"('moosburg', 'unwetter')",3
"('sonne', 'unwetter')",3
"('schützen', 'unwetter')",3
"('unwetterwarnung', 'warnstufe')",3
"('juli', 'unwettern')",3
"('unwettern', 'verheerenden')",3
"('artikel', 'unwettergefahr')",3
"('hochwassergebieten', 'unwettergefahr')",3
"('deutsche', 'unwetter')",3
"('punktuell', 'unwetterbereich')",3
"('gehen', 'unwetterbereich')",3
"('unwetter', 'westdeutschland')",3
"('kräftiges', 'unwetter')",3
"('unwetter', 'wochenende')",3
"('dabei', 'unwetter')",3
"('getroffen', 'unwetter')",3
"('hallstadt', 'unwetter')",3
"('unwetterwarnung', 'wetterdienst')",3
"('14.', 'unwetter')",3
"('trifft', 'unwetter')",3
"('dazufügen', 'unwetter')",3
"('heftigen', 'unwettern.kärnten')",3
"('unwettern.kärnten', 'zwei')",3
"('unwetter', 'wüteten')",3
"('süden', 'unwetter')",3
"('unwetter', 'österreich')",3
"('tausende', 'unwetter')",3
"('lage', 'unwettern')",3
"('korsika', 'unwettern')",3
"('freistaats', 'unwetterwarnung')",3
"('dwd', 'unwetter')",3
"('ausfallen', 'unwetterartig')",3
"('unwetter', 'verlief')",3
"('amtliche', 'unwetterwarnung')",3
"('unwettern', 'überschwemmungen')",3
"('artikel', 'unwetterwarnungen')",3
"('teilen', 'unwettern')",3
"('landkreise', 'unwetterwarnung')",3
"('alpenrand', 'unwetter')",3
"('extremen', 'unwettern')",3
"('unwetter', 'zieht')",3
"('teilen', 'unwetter')",3
"('aufgrund', 'unwetterschäden')",3
"('aufgrund', 'unwetters')",3
"('starkes', 'unwetter')",3
"('oberfranken', 'unwetter')",3
"('neuen', 'unwettern')",2
"('außerdem', 'unwetter')",2
"('unwetter', 'verhältstromausfall')",2
"('unwetter', 'zeitweise')",2
"('häufiger', 'unwetter')",2
"('stehen', 'unwetter')",2
"('spalt', 'unwetter')",2
"('schwerpunkt', 'unwetter-tiefs')",2
"('franken', 'unwetter-tiefs')",2
"('entstanden.br24-redaktion', 'unwetterprognosen')",2
"('bayern', 'unwetterprognosen')",2
"('unwetterwarnung', 'vorab')",2
"('heißt', 'unwetterwarnung')",2
"('einstellen', 'unwetter')",2
"('entstehen', 'unwetter')",2
"('berichtet.unwetterwarnung', 'verletzten')",2
"('berichtet.unwetterwarnung', 'samstag')",2
"('samstag', 'unwetterwarnung')",2
"('an.zur', 'unwetter-karte')",2
"('unwetter-karte', 'wetterwarnungen')",2
"('tschechien', 'unwetter')",2
"('donnerstag', 'unwetterwarnung')",2
"('frühwarnsystem', 'unwetter')",2
"('ki-warnsystem', 'unwetter')",2
"('nutzt', 'unwetter')",2
"('ki-gestützten', 'unwetterfrühwarnsystems')",2
"('fertigstellung', 'unwetterfrühwarnsystems')",2
"('oberbayern', 'unwetterwarnung')",2
"('berchtesgadener', 'unwetterwarnung')",2
"('20.8', 'unwetterwarnung')",2
"('deutlich', 'steigen.unwetterwarnung')",2
"('oberpfalzin', 'steigen.unwetterwarnung')",2
"('murenabgängen', 'unwetter')",2
"('interessant', 'unwetterschäden')",2
"('stellen', 'unwetter')",2
"('folgen', 'unwetters')",2
"('sehen', 'unwetters')",2
"('unwetter', 'österreichischen')",2
