"Word","Frequency"
"('afad', 'katastrophenschutzbehörde')",12
"('katastrophenschutzbehörde', 'türkisch')",9
"('katastrophenschutz', 'türkisch')",8
"('afad', 'katastrophenschutz')",5
"('katastrophe', 'türkei')",4
"('diakonie', 'katastrophenhilfe')",4
"('ausmaß', 'katastrophe')",4
"('katastrophenbehörde', 'türkisch')",3
"('betreffen', 'katastrophe')",3
"('katastrophe', 'mensch')",3
"('erdbebenkatastrophe', 'türkisch-syrisch')",3
"('katastrophenregion', 'verwandte')",3
"('erdbeben-katastrophe', 'hilfe')",3
"('erdbeben-katastrophe', 'leid')",3
"('europäisch', 'katastrophenschutz')",3
"('katastrophenschutz', 'lage')",2
"('historisch', 'katastrophe')",2
"('afad', 'katastrophenbehörde')",2
"('katastrophe', 'leben')",2
"('folge', 'katastrophe')",2
"('bevölkerungsschutz', 'katastrophenhilfe')",2
"('hatay', 'katastrophenregion')",2
"('betroffen', 'erdbebenkatastrophe')",2
"('katastrophe', 'ungeschehen')",2
"('aufbrechen', 'katastrophengebiet')",2
"('katastrophengebiet', 'türkisch')",2
"('angabe', 'katastrophe')",2
"('helfer', 'katastrophengebiet')",2
"('katastrophenfall', 'türkei')",2
"('erdbebenkatastrophe', 'türkei')",2
"('katastrophenregion', 'sorgen')",2
"('bayern', 'erdbeben-katastrophe')",2
"('bündeln', 'katastrophenschutz')",2
"('indonesisch', 'katastrophenschutzbehörde')",2
"('haiti', 'naturkatastrophe')",2
"('katastrophenschutz', 'mitarbeiter')",1
"('katastrophe', 'wiederaufbaumaßnahmen')",1
"('katastrophe', 'sammeln')",1
"('3,7', 'katastrophe')",1
"('katastrophe', 'osteuropa')",1
"('katastrophe', 'syrien')",1
"('beteiligen', 'eu-katastrophenschutzverfahr')",1
"('eu-katastrophenschutzverfahr', 'eu-land')",1
"('brauchen', 'katastrophe')",1
"('katastrophe', 'katastrophe')",1
"('aufmerksamkeit', 'katastrophe')",1
"('katastrophenhilfe', 'martin')",1
"('katastrophenschutzbehörde', 'zeigen')",1
"('helfen', 'katastrophenschutzbehörde')",1
"('katastrophe', 'stunde')",1
"('katastrophe', 'sicherheit')",1
"('katastrophenkraft', 'sicherheit')",1
"('erdbebengebiet', 'katastrophenkraft')",1
"('erdbeben', 'katastrophenmanagement')",1
