"Word","Frequency"
"('bayerisch', 'gletscher')",11
"('gletscher', 'jahr')",10
"('gletscher', 'schmelzen')",9
"('alpen', 'gletscher')",9
"('alpengletscher', 'jahr')",6
"('gletscher', 'schmelzend')",6
"('gletscher', 'schweizer')",5
"('geben', 'gletscher')",5
"('alpengletscher', 'warum')",5
"('gehen', 'gletscher')",5
"('fünf', 'gletscher')",5
"('bayern', 'gletscher')",5
"('gletscher', 'weltweit')",5
"('deutsch', 'gletscher')",4
"('gletscher', 'schnell')",4
"('alpengletscher', 'drittel')",4
"('gletscher', 'verlieren')",4
"('gletscher', 'welt')",4
"('gletscher', 'teil')",3
"('gletscher', 'verschwinden')",3
"('gletscher', 'region')",3
"('gletscher', 'status')",3
"('eis', 'gletscher')",3
"('gletscher', 'schneeferner')",3
"('gletscher', 'jahrhundert')",3
"('abschmelzen', 'gletscher')",3
"('gletscher', 'tot')",3
"('gletscher', 'größe')",2
"('gletscher', 'zehn')",2
"('gletscher', 'vier')",2
"('2050', 'gletscher')",2
"('gletscherfläche', 'zugleich')",2
"('forscher', 'gletscher')",2
"('5.000', 'gletscher')",2
"('angehenwenn', 'gletscher')",2
"('gletscher', 'warum')",2
"('einzig', 'gletscher')",2
"('gletscher', 'zugspitze')",2
"('blaueis', 'watzmanngletscher')",2
"('führen', 'gletscherabbruch')",2
"('gletscher', 'zählen')",2
"('gletscher', 'schneeschmelz')",2
"('gletscher', 'skandinavien')",2
"('gletscher', 'nordseite')",2
"('gletscherschmelz', 'steigen')",2
"('dolomite', 'gletscherbruch')",2
"('gletscher', 'zurückziehen')",2
"('gletscher', 'sagen')",2
"('gletschereis', 'turm')",2
"('anstieg', 'gletscher')",2
"('gletscherschmelze', 'weltweit')",2
"('gletscherbericht', 'zukunft')",2
"('gletscher', 'verdunsen')",2
"('alpin', 'gletscher')",2
"('berechnen', 'gletscher')",2
"('gletscher', 'vergleich')",2
"('gletscher', 'mal')",2
"('ganze', 'gletschervolumen')",2
"('china', 'gletscher')",2
"('gletscher', 'nummer')",2
"('fünftel', 'gletscherfläche')",2
