"Word","Frequency"
"('erdbeben', 'türkei')",73
"('beben', 'stärke')",28
"('erdbeben', 'türkisch-syrisch')",19
"('erdbeben', 'tag')",14
"('erdbeben', 'stärke')",12
"('erdbebengebiet', 'mensch')",12
"('betroffen', 'erdbeben')",12
"('beben', 'erde')",10
"('erdbeben', 'mensch')",9
"('erdbebengebiet', 'türkei')",9
"('erdbeben', 'syrien')",8
"('beben', 'folge')",8
"('erdbebenopfer', 'hilfe')",8
"('erdbeben', 'kommen')",7
"('erdbeben', 'opfer')",7
"('erdbebenopfer', 'türkei')",7
"('geben', 'nachbeben')",7
"('us-erdbebenwarte', 'usgs')",6
"('erdbebenopfer', 'syrien')",6
"('erdbeben', 'februar')",6
"('erdbebengebiet', 'türkisch')",6
"('beben', 'stunde')",6
"('beben', 'epizentrum')",5
"('erdbeben', 'funktionieren')",5
"('erdbeben', 'verlieren')",5
"('beben', 'betreffen')",5
"('beben', 'mensch')",5
"('beben', 'montag')",5
"('erdbeben', 'erschüttern')",5
"('erdbeben', 'folge')",5
"('beben', 'ereignen')",5
"('beben', 'sterben')",4
"('erdbeben', 'stunde')",4
"('betreffen', 'erdbeben')",4
"('erdbebenopfer', 'helfen')",4
"('erdbeben', 'zerstören')",4
"('beben', 'zwei')",4
"('beben', 'region')",4
"('erdbeben', 'hilfe')",4
"('angst', 'erdbeben')",4
"('erdbebengebiet', 'syrisch')",4
"('erdbeben', 'welt')",4
"('erdbeben', 'infolge')",3
"('erdbeben', 'region')",3
"('anfang', 'erdbeben')",3
"('beben', 'tag')",3
"('erdbebengebiet', 'vorbereiten')",3
"('erdbeben', 'verwandte')",3
"('erdbeben', 'verletzter')",3
"('erdbeben-tot', 'türkei')",3
"('auswirkung', 'beben')",3
"('erdbebengebiet', 'helfen')",3
"('erdbebenregion', 'türkisch')",3
"('beben', 'türkei')",3
"('beben', 'türkisch')",3
"('erdbebenregion', 'sichern')",3
"('erdbebenregion', 'hilfe')",3
"('beben', 'erst')",3
"('erdbeben', 'geben')",3
"('erdbeben', 'zwei')",3
"('erdbeben', 'nachricht')",3
"('erdbeben', 'haus')",3
"('beben', 'heftig')",3
"('erdbebenkatastrophe', 'türkisch-syrisch')",3
"('beben', 'februar')",3
"('betroffener', 'erdbeben')",3
"('erdbebenregion', 'türkisch-syrisch')",3
"('erdbeben', 'meldung')",3
"('beben', 'erschüttern')",3
"('erdbeben', 'zentrum')",3
"('beben', 'nacht')",3
"('erdbebenregion', 'türkei')",3
"('erdbebengebiet', 'türkisch-syrisch')",3
"('erdbebenregion', 'mensch')",3
"('beben', 'verletzter')",3
"('erdbeben', 'tier')",3
"('bauen', 'erdbebensich')",3
"('erdbebenkatastrophe', 'türkei')",3
"('erdbeben', 'grenzgebiet')",3
"('erdbebengebiet', 'steigen')",3
"('bayern', 'erdbeben')",3
"('erdbeben', 'sorge')",3
"('beben', 'montagmorgen')",3
"('erdbeben-tot', 'versorgung')",3
"('erdbeben-katastrophe', 'hilfe')",3
"('20.000', 'erdbeben-tot')",3
"('erdbeben-tot', 'geschwister')",3
"('erdbeben', 'steigen')",3
"('beben', 'morgen')",3
"('erdbeben', 'japan')",3
"('angabe', 'us-erdbebenwarte')",2
"('erdbeben', 'halten')",2
"('beben', 'wecken')",2
"('erdbeben', 'katastrophal')",2
"('ausmaß', 'erdbeben')",2
"('erdbebenopfer', 'soforthilfe')",2
"('erdbeben', 'welle')",2
"('1999', 'erdbeben')",2
"('erdbebengebiet', 'zerstörung')",2
"('angehörige', 'erdbeben')",2
"('deutschland', 'erdbeben')",2
"('angehörige', 'erdbebengebiet')",2
"('drei', 'erdbebengebiet')",2
"('beide', 'erdbeben')",2
"('erdbebenopfer', 'visum')",2
"('erde', 'gebeben')",2
"('erdbebenwart', 'kandilli')",2
"('beben', 'zunächst')",2
"('nachbeben', 'stunde')",2
"('beben', 'melden')",2
"('erdbebengebiet', 'zugänglich')",2
"('1999', 'beben')",2
"('erdbebenopfer', 'euro')",2
"('erdbebengebiet', 'hilfe')",2
"('erdbeben', 'südosten')",2
"('erdbeben', 'obdachlos')",2
"('nachbeben', 'zahlreich')",2
"('erdbeben', 'warnen')",2
"('dienstag', 'erdbebengebiet')",2
"('betroffen', 'erdbebenkatastrophe')",2
"('erdbebengebiet', 'mitten')",2
"('dutzend', 'nachbeben')",2
"('erdbeben', 'töten')",2
"('erdbebenregion', 'opferzahl')",2
"('erdbebengebiet', 'rettungsarbeit')",2
"('erdbeben', 'lernen')",2
"('erdbeben', 'leben')",2
"('erdbeben', 'euro')",2
"('erdbeben', 'politisch')",2
"('erdbeben', 'falschinformation')",2
"('beben', 'experte')",2
"('beben', 'stattfinden')",2
"('erdbebengebiet', 'unterwegs')",2
"('angehörige', 'erdbebenopfer')",2
"('erdbeben', 'vorhersagen')",2
"('erdbeben-opfer', 'unklar')",2
"('bauen', 'erdbebensicher')",2
"('erdbeben', 'schaden')",2
"('erdbeben', 'tote')",2
"('erdbebengebiet', 'wawrzinek')",2
"('erdbebenregion', 'stehen')",2
"('erdbeben', 'zehn')",2
"('erdbebenregion', 'hilfsgut')",2
"('erdbeben', 'grenzregion')",2
"('erdbebengebiet', 'syrien')",2
"('erdbeben', 'erdoberfläche')",2
"('beben', 'zahl')",2
"('erdbebengebiet', 'herausforderung')",2
"('erdbebengebiet', 'leben')",2
"('erdbeben-tot', 'zahl')",2
"('30.000', 'erdbeben-tot')",2
"('erdbebenopfer', 'visa-erleichterunge')",2
"('erbebenopfer', 'verwandte')",2
"('erdbeben', 'erleichtern')",2
"('erdbebengebiet', 'gelten')",2
"('erdbebengebiet', 'schicken')",2
"('22.000', 'erdbeben-tot')",2
"('erdbebenopfer', 'südosten')",2
"('erdbeben', 'hintergrund')",2
"('erdbeben-tote', 'tausend')",2
"('erdbeben-tote', 'versorgung')",2
"('erdbeben', 'idlib')",2
"('erdbeben', 'montag')",2
"('erdbebenopfer', 'spende')",2
"('erdbeben', 'erreichen')",2
"('erdbeben', 'rettungskraft')",2
"('erdbebengebietinzwischen', 'reisen')",2
"('erdbebengebietinzwischen', 'helfer')",2
"('bayern', 'erdbebengebiete')",2
"('erdbebengebiete', 'flughafen')",2
"('erdbeben-gebiet', 'verschütteter')",2
"('beben', 'erster')",2
"('erdbeben', 'heimsuchen')",2
"('erdbeben', 'todesopfer')",2
"('beobachten', 'erdbeben')",2
"('16.000', 'erdbeben-tot')",2
"('erdbebengebiet', 'hatay')",2
"('bayern', 'erdbeben-katastrophe')",2
"('erdbebenregion', 'hoffnung')",2
"('bleiben', 'erdbeben')",2
"('erdbeben', 'nacht')",2
"('erdbebenregion', 'syrisch')",2
"('einsatz', 'erdbebengebiet')",2
