"Word","Frequency"
"('hochwasser', 'schützen')",10
"('bayern', 'hochwassernachrichtendienst')",10
"('entlang', 'hochwasserschutz')",8
"('hochwasser', 'starkreg')",7
"('bayern', 'hochwasser')",6
"('hochwasser', 'rechnen')",6
"('hochwasserschutz', 'maßnahme')",6
"('hochwasserschutz', 'mobil')",6
"('hochwasser', 'regensburg')",6
"('aufbauen', 'hochwasserschutz')",6
"('hochwasser', 'kommen')",5
"('fall', 'hochwasser')",5
"('hochwassernachrichtendienst', 'landesamt')",5
"('fluten', 'hochwasser')",5
"('hochwasser', 'schaden')",5
"('hochwasser', 'wochenende')",5
"('erreichen', 'hochwassermeldestufe')",5
"('ausbau', 'hochwasserschutz')",4
"('hochwasser', 'murenabgäng')",4
"('extrem', 'hochwasser')",4
"('donau', 'hochwasser')",4
"('hochwassergefahr', 'steigen')",4
"('bayerisch', 'hochwassernachrichtendienst')",3
"('führen', 'hochwasser')",3
"('hochwasser', 'hundertjährlich')",3
"('hochwasser', 'warnen')",3
"('hochwassernachrichtendienst', 'prognose')",3
"('hochwassermeldestufe', 'zwei')",3
"('dramatisch', 'hochwasser')",3
"('hochwasser', 'jahr')",3
"('hochwasser', 'sorgen')",3
"('hochwasser', 'wasser')",3
"('hochwasser', 'nächster')",3
"('hochwasser', 'mensch')",3
"('hochwasser', 'überfluten')",3
"('hochwasser', 'landkreis')",3
"('funktionieren', 'hochwasserschutz')",3
"('hochwasser', 'schlamm')",3
"('hochwasser', 'künftig')",3
"('hochwasser', 'schutz')",3
"('hochwasser', 'überschwemmung')",3
"('hochwasser-hilf', 'wissen')",3
"('betreffen', 'hochwasser')",3
"('betroffen', 'hochwasser')",3
"('aufgrund', 'hochwasser')",3
"('hochwasser', 'katastrophenschutz')",3
"('deggendorf', 'hochwasser')",3
"('erwarten', 'hochwasser')",3
"('hochwasser', 'möglich')",3
"('bringen', 'hochwasser')",3
"('geplant', 'hochwasserschutzmauer')",3
"('hochwasserschutz', 'regensburg')",3
"('drei', 'hochwasserwarnstufe')",3
"('ausrufen', 'hochwassermeldestufe')",3
"('auswirkung', 'hochwasser')",3
