"Word","Frequency"
"('bevölkerungsschutz', 'katastrophenhilfe')",4
"('naturkatastrophe', 'vergangen')",2
"('bbk', 'katastrophenhilfe')",2
"('hochwasserkatastrophe', 'vergangen')",2
"('katastrophenhilfe', 'ralph')",2
"('flutkatastrophe', 'rheinland-pfalz')",2
"('ausrüstung', 'katastrophenfälle')",2
"('flutkatastrophe', 'unwetterkatastroph')",2
"('eu-solidarfonds', 'naturkatastrophe')",2
"('deutschland', 'naturkatastrophe')",2
"('naturkatastrophe', 'zeuge')",1
"('naturkatastrophe', 'who-europa-region')",1
"('erdogan', 'jahrhundertkatastrophe')",1
"('jahrhundertkatastrophe', 'türkei')",1
"('bundesinnenministerium', 'katastrophengebiet')",1
"('katastrophengebiet', 'syrien')",1
"('einsatz', 'katastrophe')",1
"('katastrophe', 'spenden')",1
"('angabe', 'katastrophe')",1
"('katastrophe', 'türkei')",1
"('katastrophenschutzbehörde', 'sitz')",1
"('afad', 'katastrophenschutzbehörde')",1
"('ausmaß', 'katastrophe')",1
"('katastrophe', 'zahl')",1
"('naturkatastrophe', 'tag')",1
"('naturkatastrophe', 'schwinden')",1
"('hinterlassen', 'naturkatastrophe')",1
"('naturkatastrophe', 'weltweit')",1
"('naturkatastrophe', 'teuer')",1
"('gefahr', 'naturkatastrophe')",1
"('betreiber', 'naturkatastrophe')",1
"('hilfskräfte', 'katastrophenschutz')",1
"('beteiligen', 'katastrophenschutz')",1
"('katastrophe', 'schlüssel')",1
"('berechnen', 'katastrophe')",1
"('katastrophenszenarien', 'warum')",1
"('katastrophenszenarien', 'politiker')",1
"('endgültig', 'katastrophe')",1
"('katastrophe', 'skizzieren')",1
"('katastrophe', 'skizziert')",1
"('katastrophe', 'kommen')",1
"('naturkatastrophe', 'schaden')",1
"('beziffern', 'naturkatastrophe')",1
"('grund', 'katastrophenfall')",1
"('katastrophenfall', 'nachmittag')",1
"('ausrufung', 'katastrophenfall')",1
"('dienen', 'katastrophenfall')",1
"('katastrophenfall', 'lesen')",1
"('bayern', 'katastrophenfall')",1
"('katastrophenalarm', 'landkreis')",1
"('katastrophenalarm', 'rehfeld')",1
"('hochwasserkatastrophe', 'jahr')",1
"('katastrophenschutz', 'stattfinden')",1
"('katastrophenschutz', 'tatsächlich')",1
"('hochwasserkatastrophe', 'warnen')",1
"('flutkatastrophe', 'stärken')",1
"('freistaat', 'katastrophenfälle')",1
"('2021', 'katastrophe')",1
"('ahrtal', 'katastrophe')",1
"('besiedelen', 'flutkatastrophe')",1
"('katastrophenfälle', 'müsst')",1
"('flutkatastrophe', 'jährenden')",1
"('flutkatastrophe', 'wiederbesiedeln')",1
"('bevölkerungsschutz', 'katastrophenhilfetiesler')",1
"('katastrophenhilfetiesler', 'plädieren')",1
"('flutkatastrophe', 'jahrestag')",1
"('bevölkerungsschutz', 'flutkatastrophe')",1
"('konflikt', 'naturkatastrophe')",1
"('asien', 'naturkatastrophe')",1
"('naturkatastrophe', 'treffen')",1
"('aufgrund', 'naturkatastrophe')",1
"('naturkatastrophe', 'verzeichneen')",1
"('naturkatastrophe', 'zusammenhang')",1
"('naturkatastrophe', 'tote')",1
"('betreffen', 'flutkatastrophe')",1
"('flutkatastrophe', 'fordern')",1
"('hochwasser', 'jahrhundertkatastrophe')",1
"('andererseits', 'jahrhundertkatastrophe')",1
"('gehören', 'jahrhundertkatastrophe')",1
"('dienstag', 'jahrhundertkatastrophe')",1
"('flutkatastrophe', 'rolle')",1
"('flutkatastrophe', 'westeuropa')",1
"('beginn', 'flutkatastrophe')",1
"('analyse', 'flutkatastrophe')",1
"('land', 'naturkatastrophe')",1
"('finanziell', 'naturkatastrophe')",1
"('naturkatastrophe', 'vier')",1
"('bekommen', 'naturkatastrophe')",1
"('befinden', 'naturkatastrophe')",1
"('hilfe', 'naturkatastrophe')",1
"('disasters', 'naturkatastrophe')",1
"('naturkatastrophe', 'region')",1
"('liegen', 'naturkatastrophe')",1
"('0,6', 'naturkatastrophe')",1
"('naturkatastrophe', 'stellen')",1
"('naturkatastrophe', 'regional')",1
"('geben', 'naturkatastrophe')",1
"('naturkatastrophe', 'übernehmen')",1
"('naturkatastrophe', 'zahlenbeispiel')",1
"('naturkatastrophe', 'unterstützen')",1
"('fall', 'katastrophenschutz')",1
"('katastrophenschutz', 'warnen')",1
"('naturkatastrophe', 'verfügung')",1
"('naturkatastrophe', 'überschwemmung')",1
"('katastrophengebiet', 'verkehrsfluss')",1
"('effektiv', 'katastrophengebiet')",1
"('halbjährlich', 'naturkatastrophenbericht')",1
"('ausführen', 'naturkatastrophenbericht')",1
"('naturkatastrophenauch', 'tote')",1
"('geben', 'naturkatastrophenauch')",1
"('hintergrund', 'naturkatastrophe')",1
"('naturkatastrophe', 'verstehen')",1
"('katastrophe', 'mensch')",1
"('katastrophe', 'natürlich')",1
"('freiheit', 'naturkatastrophe')",1
"('intendant', 'naturkatastrophe')",1
