"Word","Frequency"
"('naturkatastrophe', 'vergangen')",2
"('eu-solidarfonds', 'naturkatastrophe')",2
"('deutschland', 'naturkatastrophe')",2
"('naturkatastrophe', 'zeuge')",1
"('naturkatastrophe', 'who-europa-region')",1
"('naturkatastrophe', 'tag')",1
"('naturkatastrophe', 'schwinden')",1
"('hinterlassen', 'naturkatastrophe')",1
"('naturkatastrophe', 'weltweit')",1
"('naturkatastrophe', 'teuer')",1
"('gefahr', 'naturkatastrophe')",1
"('betreiber', 'naturkatastrophe')",1
"('naturkatastrophe', 'schaden')",1
"('beziffern', 'naturkatastrophe')",1
"('konflikt', 'naturkatastrophe')",1
"('asien', 'naturkatastrophe')",1
"('naturkatastrophe', 'treffen')",1
"('aufgrund', 'naturkatastrophe')",1
"('naturkatastrophe', 'verzeichneen')",1
"('naturkatastrophe', 'zusammenhang')",1
"('naturkatastrophe', 'tote')",1
"('land', 'naturkatastrophe')",1
"('finanziell', 'naturkatastrophe')",1
"('naturkatastrophe', 'vier')",1
"('bekommen', 'naturkatastrophe')",1
"('befinden', 'naturkatastrophe')",1
"('hilfe', 'naturkatastrophe')",1
"('disasters', 'naturkatastrophe')",1
"('naturkatastrophe', 'region')",1
"('liegen', 'naturkatastrophe')",1
"('0,6', 'naturkatastrophe')",1
"('naturkatastrophe', 'stellen')",1
"('naturkatastrophe', 'regional')",1
"('geben', 'naturkatastrophe')",1
"('naturkatastrophe', 'übernehmen')",1
"('naturkatastrophe', 'zahlenbeispiel')",1
"('naturkatastrophe', 'unterstützen')",1
"('naturkatastrophe', 'verfügung')",1
"('naturkatastrophe', 'überschwemmung')",1
"('halbjährlich', 'naturkatastrophenbericht')",1
"('ausführen', 'naturkatastrophenbericht')",1
"('naturkatastrophenauch', 'tote')",1
"('geben', 'naturkatastrophenauch')",1
"('hintergrund', 'naturkatastrophe')",1
"('naturkatastrophe', 'verstehen')",1
"('freiheit', 'naturkatastrophe')",1
"('intendant', 'naturkatastrophe')",1
