"Word","Frequency"
"('ahrtal', 'flutkatastrophe')",7
"('flutkatastrophe', 'jahr')",4
"('flutkatastrophe', 'juli')",4
"('flut', 'zerstören')",3
"('versichern', 'überflutung')",3
"('flut', 'jahr')",2
"('2016', 'flutkatastrophe')",2
"('betroffener', 'flutkatastrophe')",2
"('ahrtal', 'flut')",2
"('flutkatastrophe', 'verheerend')",2
"('betreffen', 'flutkatastrophe')",2
"('flut', 'sterben')",2
"('flutkatastrophe', 'unwetterkatastroph')",2
"('flutkatastrophe', 'vergangen')",2
"('flut', 'verwüsten')",2
"('flutkatastrophe', 'jahrzehnt')",2
"('flutgebiet', 'kind')",2
"('flutopfer', 'solidarität')",2
"('simbach', 'sturzflut')",2
"('flutpolderprogramm', 'sollen')",2
"('flutkatastrophe', 'untersuchungsausschuss')",1
"('flutkatastrophe', 'rücktritt')",1
"('flutnacht', 'ministerpräsidentin')",1
"('flutnacht', 'kümmern')",1
"('fehler', 'flutnacht')",1
"('flutnacht', 'zurückweisen')",1
"('flutnacht', 'situation')",1
"('flutnacht', 'spd-politikerin')",1
"('ahrflut', 'landtag')",1
"('2021', 'ahrflut')",1
"('flutwelle', 'tag')",1
"('flutwelle', 'nacht')",1
"('flut', 'übernehmen')",1
"('134', 'flut')",1
"('flut', 'kreis')",1
"('flutkatastrophe', 'obwohl')",1
"('flutkatastrophe', 'simbach')",1
"('2016', 'geflutet')",1
"('gebäude', 'geflutet')",1
"('flutkatastrophe', 'verantwortung')",1
"('ansetzen', 'flutkatastrophe')",1
"('ausmaß', 'flut')",1
"('flut', 'wussen')",1
"('flut', 'landtag')",1
"('flut', 'september')",1
"('sehen', 'überflutet')",1
"('straße', 'überflutet')",1
"('flutkatastrophe', 'zeitpunkt')",1
"('flutkatastrophe', 'umweltministerin')",1
"('flut', 'jahrestag')",1
"('besuch', 'flutgebietentstanden')",1
"('flutgebietentstanden', 'idee')",1
"('flutkatastrophe', 'ort')",1
"('flut', 'sehen')",1
"('anrichten', 'flut')",1
"('flut', 'schule')",1
"('flutkatastrophe', 'richten')",1
"('berichterstattung', 'flut')",1
"('belgien', 'flut')",1
"('flutkatastrophe', 'zusammenstellung')",1
"('erster', 'flutkatastrophe')",1
"('flutkatastrophe', 'tödlich')",1
"('flutgeschädigt', 'steinmeier')",1
"('ahr-weinbaugemeinde', 'flutgeschädigt')",1
"('beschädigen', 'flutkatastrophen')",1
"('flutkatastrophen', 'zivilschützer')",1
"('flutopfer', 'gedenkgottesdienst')",1
"('flutopfer', 'nordrhein-westfalen')",1
"('flutkatastrophe', 'opfer')",1
"('flutkatastrophe', 'kurpark')",1
"('flut', 'tote')",1
"('flut', 'jahrmehr')",1
"('flut', 'mensch')",1
"('braun', 'flut')",1
"('flut', 'gewächshaus')",1
"('gurken-gewächshaus', 'überflutung')",1
"('umgefallen', 'überflutung')",1
"('flutkein', 'regenwürmer')",1
"('einzelfall', 'flutkein')",1
"('donau', 'flut')",1
"('begutachten', 'flut')",1
"('besiedelen', 'flutkatastrophe')",1
"('flutkatastrophe', 'jährenden')",1
"('flutkatastrophe', 'rheinland-pfalz')",1
"('flutkatastrophe', 'wiederbesiedeln')",1
"('flutkatastrophe', 'jahrestag')",1
"('bevölkerungsschutz', 'flutkatastrophe')",1
"('corona-krise', 'flutkatastrophe')",1
"('bekommen', 'flutkatastrophe')",1
"('ahrtaler', 'flutkatastrophe')",1
"('flutkatastrophe', 'überallauch')",1
"('geben', 'sturzflut')",1
"('klassischerweise', 'sturzflut')",1
"('sehen', 'überflutungsgefahr')",1
"('straße', 'überflutungsgefahr')",1
"('starkreg', 'überfluten')",1
"('davor', 'überfluten')",1
"('trockenheit', 'überflutung')",1
"('juli', 'überflutung')",1
"('schwergewitt', 'sturzflut')",1
"('führen', 'sturzflut')",1
"('flut', 'geben')",1
"('2013', 'flut')",1
"('flutkatastrophe', 'land')",1
"('flut', 'sinzig')",1
"('flut', 'gelände')",1
"('flut', 'gemeinde')",1
"('flutkatastrophe', 'organisieren')",1
"('flutkatastrophe', 'setzen')",1
"('ahrtal-flutkatastrophe', 'geben')",1
"('ahrtal-flutkatastrophe', 'fehler')",1
"('ferien', 'flutkatastrophebereits')",1
"('flutkatastrophebereits', 'sonntagabend')",1
"('flutkatastrophe', 'nachweh')",1
"('135', 'flutkatastrophe')",1
"('flutkatastrophe', 'voran')",1
"('flutkatastrophe', 'passieren')",1
"('flutkatastrophe', 'folge')",1
"('flutkatastrophe', 'rheinland-pfälzisch')",1
"('mensch', 'sintflutartig')",1
"('regenfällen', 'sintflutartig')",1
"('flutwelle', 'sterben')",1
"('flutwelle', 'höllentalklamm')",1
"('flutkatastrophe', 'sommer')",1
"('flutkatastrophe', 'lieber')",1
"('betroffen', 'flutkatastrophe')",1
"('flutkatastrophe', 'sauer')",1
"('flutkatastrophe', 'gemüseanbau')",1
"('flut', 'winter')",1
"('flutkatastrophe', 'monat')",1
"('ehepaar', 'flut')",1
"('angehörige', 'flut')",1
"('ahrweiler', 'flut')",1
"('flutkatastrophe', 'stellen')",1
