"Word","Frequency"
"('bayern', 'lawinenwarndienst')",10
"('gefahr', 'lawine')",10
"('lawine', 'tour')",9
"('erheblich', 'lawinengefahr')",8
"('erfasst', 'lawine')",8
"('auslösen', 'lawine')",5
"('lawine', 'verschütten')",5
"('alpen', 'lawinengefahr')",4
"('bayerisch', 'lawinenwarndienst')",4
"('lawine', 'skifahrer')",4
"('lawine', 'mitreißen')",4
"('abgegangen', 'lawine')",4
"('lawinenwarndienst', 'leiter')",4
"('abgehen', 'lawinen')",3
"('lawinengefahr', 'schnee')",3
"('lawine', 'schnee')",3
"('lawinenlagebericht', 'lesen')",3
"('lawinengefahr', 'warnen')",3
"('erhöht', 'lawinengefahr')",3
"('lawinengefahr', 'wind')",3
"('hoch', 'lawinengefahr')",3
"('lawine', 'unterwegs')",3
"('allgäuer', 'lawinengefahr')",3
"('angabe', 'lawinenwarndienst')",3
"('lawine', 'lösen')",3
"('erheblich', 'lawinenwarndienst')",3
"('lawinengefahr', 'oberhalb')",2
"('heißen', 'lawinenlagebericht')",2
"('lawinenlagebericht', 'lawinenwarndienst')",2
"('lawine', 'sonntagmittag')",2
"('lawinengefahr', 'schneefall')",2
"('lawine', 'mitgerissen')",2
"('dritter', 'lawine')",2
"('gam', 'lawine')",2
"('lawinenlagebericht', 'wetter')",2
"('genau', 'lawinenlagebericht')",2
"('gefährlich', 'lawinengefahr')",2
"('lawinenabgang', 'minute')",2
"('lawinengefahr', 'steigen')",2
"('lawine', 'schneebrett')",2
"('lawine', 'wintersportler')",2
"('lawinenlagebericht', 'pflichtlektüre')",2
"('lawinenschaufel', 'sonde')",2
"('lawinengefahr', 'samstag')",2
"('lawine', 'mann')",2
"('ansteigen', 'lawinengefahr')",2
"('lawinengefahr', 'pist')",2
"('bieten', 'lawinen')",2
"('lawinen', 'zusätzlich')",2
"('altschneedecke', 'lawinensituation')",2
"('lawinensituation', 'voraussichtlich')",2
"('hauptproblem', 'lawinengefahr')",2
"('lawinenwarndienst', 'tirol')",2
"('herrschen', 'lawinenwarndienst')",2
"('britin', 'lawine')",2
"('lawinenunglück', 'österreich')",2
"('plötzlich', 'schneebrettlawine')",2
"('lösen', 'schneebrettlawine')",2
"('alpen', 'lawine')",2
"('herrschen', 'lawinengefahr')",2
"('angabe', 'lawinengefahr')",2
"('lawinengefahr', 'straße')",2
"('erstellen', 'lawinenwarndienst')",2
"('lawinenunglück', 'leben')",2
"('alpenraum', 'lawinengefahr')",2
"('lawinenabgang', 'norditalienisch')",1
"('lawine', 'teilnehmen')",1
"('lawine', 'mitrissen')",1
"('aufnehmen', 'lawinengefahr')",1
"('lawinengefahr', 'teils')",1
"('lawinen', 'meist')",1
"('lawinenlageberichte', 'links')",1
"('alpenregion', 'lawinenlageberichte')",1
"('dpa', 'lawine')",1
"('große', 'lawine')",1
"('fallhöhenach', 'lawine')",1
"('lawine', 'präfektur')",1
"('100', 'lawine')",1
"('lawine', 'presse')",1
"('lawine', 'rede')",1
"('lawinen-abgang', 'video-aufnahm')",1
"('lawinen-abgang', 'lawinenabgang')",1
"('lawinenabgang', 'österreichisch')",1
"('lawinenwarnbericht', 'sachsen-anhalt')",1
"('alpenlawinenabgang', 'lawinenwarnbericht')",1
"('alpenlawinenabgang', 'schruns')",1
"('komplett', 'lawine')",1
"('begraben', 'lawine')",1
"('lawine', 'selbstständig')",1
"('einsatzkraft', 'lawine')",1
"('lawinengefahr', 'unglückszeitpunktzu')",1
"('lawinenausrüstung', 'skiwanderer')",1
"('lawinenausrüstung', 'ortung')",1
"('lawinenairbag', 'tragen')",1
"('helfen', 'lawinenairbag')",1
"('lawinenunglück', 'passau')",1
"('lawinenunglück', 'rocky')",1
"('br.zum', 'lawinengefahr')",1
"('lawine', 'wirdverunglückte')",1
"('.hergang', 'lawinenunglück')",1
"('lawinenunglück', 'weitestgehend')",1
"('hergang', 'lawinenunglück')",1
"('lawinenunglück', 'wissen')",1
"('amt', 'lawine')",1
"('lawine', 'mittwoch')",1
"('lawine', 'tote')",1
"('kanada', 'lawine')",1
"('lawine', 'nachfrage')",1
"('lawine', 'versehentlich')",1
"('beinahe', 'lawine')",1
"('lawine', 'pist')",1
"('lawinenlage', 'tourengeher')",1
"('lawinenlage', 'richtig')",1
"('lawinenlagebericht', 'richtigein')",1
"('lawinenparagrafen', 'richtigein')",1
"('geben', 'lawinenparagrafen')",1
"('fremdgefährdung', 'lawine')",1
"('beschäftigen', 'lawine')",1
"('einzugsgebiet', 'lawine')",1
"('gebäude', 'lawine')",1
"('lawine', 'praxis')",1
"('lawine', 'strafverfahren')",1
"('lawinenschaufel', 'skitour')",1
"('lawinenschaufel', 'lawinenverschütteten-suchgerät')",1
"('lawinenverschütteten-suchgerät', 'lvs')",1
"('gelten', 'lawine')",1
"('häufig', 'lawine')",1
"('lawine', 'wildtier')",1
"('drei', 'lawinenrinn')",1
"('aufhalten', 'lawinenrinn')",1
"('lawinen', 'zuletzt')",1
"('bringen', 'lawinen')",1
"('arbeiten', 'lawinenwarndienst')",1
"('geben', 'lawinenlagebericht')",1
"('lawinenlagebericht', 'schnee')",1
"('lawine', 'sorge')",1
"('lawine', 'rollen')",1
"('bewegen', 'lawinengefahr')",1
"('lawinengefahr', 'unterschätzen')",1
"('deutsch', 'lawinenwarndienst')",1
"('höhe', 'lawinengefahr')",1
"('entsprechen', 'lawinengefahr')",1
"('angebracht', 'lawinenwarndienst')",1
"('allgäuer', 'lawinenwarndienst')",1
"('einschätzung', 'lawinengefahr')",1
"('erheblich', 'lawinenunglück')",1
"('lawinenunglück', 'zugspitze')",1
"('lawinen-ausrüstung', 'richtig')",1
"('lawinen-ausrüstung', 'problematisch')",1
"('schneebrettlawine', 'wintersportler')",1
"('auslösen', 'schneebrettlawine')",1
"('heißen', 'lawinenwarndienst')",1
"('lawinenwarndienst', 'wichtigste')",1
"('anschauen', 'lawinengefahr')",1
"('beurteilen', 'lawinengefahr')",1
"('lawinensuchgerät', 'mitnehmen')",1
"('lawinensuchgerät', 'sonde')",1
"('lawinen-rucksack', 'vielleicht')",1
"('lawinen-rucksack', 'luftkissen')",1
"('lawinentot', 'zehn')",1
"('lawinentot', 'österreichisch')",1
"('lawinenwarndienste', 'tödlich')",1
"('lawinenwarndienste', 'vorfeld')",1
"('explizit', 'lawinengefahr')",1
"('angespannt', 'lawinenlage')",1
"('berg', 'lawinenlage')",1
"('lawinengefahr', 'sinken')",1
"('intensiv', 'lawinengefahr')",1
"('abzufahren', 'lawinengefahr')",1
"('lawinen', 'tag')",1
"('flach', 'lawinen')",1
"('lawinen', 'wälder')",1
"('lawinen', 'schneeverhältnisse')",1
"('lawine', 'rettung')",1
"('entscheidend', 'lawine')",1
"('lawine', 'menschen')",1
"('gruppe', 'lawinenverschütteten-suchgerät')",1
"('lawinenverschütteten-suchgerät', 'sonde')",1
"('lawine', 'überlebenswichtig')",1
"('lawine', 'zugspitzgebiet')",1
"('lawine', 'sofortmaßnahme')",1
"('lawine', 'rettungskraft')",1
"('lawinengefahr', 'rettungskraft')",1
"('lawinenabgang', 'stellen')",1
"('lawinenairbag', 'stellen')",1
"('bieten', 'lawinenairbag')",1
"('information', 'lawinenlage')",1
"('lawinenlage', 'wintersport-treibende')",1
"('informieren', 'lawinenwarndienste')",1
"('geben', 'lawinenwarndienste')",1
"('lawinenwarnstufe', 'stehen')",1
