"Word","Frequency"
"('erdbeben', 'tsunami')",4
"('tsunami', 'warnung')",2
"('gewaltig', 'tsunami')",2
"('tsunami', 'verwüsten')",2
"('anschließend', 'tsunami')",2
"('region', 'tsunami-warnung')",2
"('auslösen', 'tsunami')",2
"('folge', 'tsunami')",2
"('alaska', 'tsunami-warnung')",2
"('colima', 'tsunami-warnbehörde')",1
"('sagen', 'tsunami-warnbehörde')",1
"('gefährlich', 'tsunami-well')",1
"('tsunami-well', 'vorher')",1
"('kosten-tsunami', 'pflegeheime')",1
"('kosten-tsunami', 'zählen')",1
"('beitrags-tsunami', 'einzelmaßnahme')",1
"('aufhaltender', 'beitrags-tsunami')",1
"('absehbar', 'beitrags-tsunami')",1
"('aufhalten', 'beitrags-tsunami')",1
"('befinden', 'tsunami-katastrophe')",1
"('11.', 'tsunami-katastrophe')",1
"('ausgegeben', 'tsunami-warnung')",1
"('aufheben', 'tsunami-warnung')",1
"('meter', 'tsunami')",1
"('hoch', 'tsunami')",1
"('darauf', 'tsunami')",1
"('beben', 'tsunami')",1
"('atomkraftwerk', 'tsunami')",1
"('präfektur', 'tsunami')",1
"('geben', 'tsunami-warnung')",1
"('herausedsan', 'tsunami-warnung')",1
"('beschädigen', 'tsunami')",1
"('tote', 'tsunami')",1
"('jahr', 'tsunami')",1
"('tonga', 'tsunami-warnung')",1
"('teilen', 'us-tsunami-warnzentrum')",1
"('samstag', 'us-tsunami-warnzentrum')",1
"('sprechen', 'tsunami-höhe')",1
"('1,2', 'tsunami-höhe')",1
"('fidschi-insel', 'tsunami-warnung')",1
"('bewohner', 'tsunami-warnung')",1
"('tsunami', 'verursachen')",1
"('tsunami', 'unwahrscheinlich')",1
"('palma', 'tsunami')",1
"('tsunami', 'us-ostküste')",1
"('sumatra', 'tsunami')",1
"('aufstauen', 'tsunami')",1
"('hafenwelle', 'tsunami')",1
"('gebiet', 'tsunami-warnung')",1
"('aufgehobendie', 'tsunami-warnung')",1
"('beben', 'tsunami-warnung')",1
"('heraus', 'tsunami-warnung')",1
"('meeresoberfläche', 'tsunami-warnung')",1
"('tsunami-warnung', 'usgs')",1
"('seebeben', 'tsunami')",1
"('drei', 'tsunami')",1
"('damals', 'tsunami')",1
"('betroffen', 'tsunami')",1
"('entstehen', 'tsunami')",1
"('tsunami', 'welle')",1
"('tsunami', 'vulkanausbruchnach')",1
"('kommen', 'tsunami')",1
"('feuersbrünst', 'tsunami')",1
"('hilf', 'tsunami')",1
"('tsunami', 'verwüstung')",1
"('augenschein', 'tsunami')",1
"('begriff', 'flüchtlingstsunami')",1
"('flüchtlingstsunami', 'rede')",1
"('flüchtlingstsunami', 'panikmach')",1
"('flüchtlingstsunami', 'verb')",1
"('durchführen', 'tsunami-warnung')",1
"('kurzzeitig', 'tsunami-warnungenkurzzeitig')",1
"('tsunami-warnung', 'tsunami-warnungenkurzzeitig')",1
"('honduras', 'tsunami-warnung')",1
"('erfolgn', 'tsunami-hinweis')",1
"('system', 'tsunami-hinweis')",1
"('jähren', 'tsunami')",1
"('2004', 'tsunami')",1
"('kilometer', 'tsunamigefahrdie')",1
"('erschütterung', 'tsunamigefahrdie')",1
"('gefahr', 'tsunami')",1
"('16.', 'tsunami')",1
