"Word","Frequency"
"('erdbeben', 'syrien', 'türkei')",44
"('erdbeben', 'grenzgebiet', 'türkisch-syrischen')",13
"('erdbeben', 'tsunami', 'vulkanausbruchnach')",12
"('erdbeben', 'menschen', 'türkei')",7
"('erdbeben', 'schweren', 'türkei')",7
"('erdbeben', 'erwartbar', 'türkei')",7
"('erdbebenopfer', 'syrien', 'türkei')",6
"('7,4in', 'erdbeben', 'stärke')",6
"('erdbebens', 'syrien', 'türkei')",5
"('erdbeben', 'fugen', 'welt')",5
"('7,7', 'beben', 'stärke')",5
"('bayerische', 'erdbeben', 'funktioniert')",5
"('erdbeben-tote', 'versorgung', 'überlebenden')",5
"('beben', 'leben', 'ums')",4
"('erdbeben-tote', 'syrien', 'türkei')",4
"('erdbeben', 'erreichten', 'metern')",4
"('erdbeben', 'erreichten', 'tsunami')",4
"('erdbeben', 'oktober', 'tsunami')",4
"('7,1', 'beben', 'stärke')",4
"('7,8', 'beben', 'stärke')",4
"('beben', 'februar', 'zwei')",4
"('beben', 'stärke', 'zwei')",4
"('stärke', 'us-erdbebenwarte', 'usgs')",4
"('erdbeben', 'grenzregion', 'türkisch-syrischen')",4
"('erdbeben', 'schweren', 'tage')",4
"('erdbeben', 'schwere', 'türkei')",4
"('erdbebenam', 'jahrestag', 'zwei')",4
"('7,3', 'beben', 'stärke')",4
"('ausgelösten', 'erdbeben', 'stärke')",4
"('erdbeben', 'japan', 'stärksten')",4
"('beben', 'größeres', 'unmittelbar')",4
"('betroffenen', 'erdbeben', 'zehn')",3
"('betroffenen', 'erdbeben', 'provinzen')",3
"('erdbebenregion', 'stellte', 'türkisch-syrische')",3
"('erdbebenregion', 'hilfsgüter', 'türkisch-syrische')",3
"('erdbebengebiet', 'seuchengefahr', 'steigt')",3
"('16.000', 'aktuellen', 'erdbeben-tote')",3
"('16.000', 'erdbeben-tote', 'türkei')",3
"('bebens', 'folgen', 'menschen')",3
"('erdbeben', 'türkei', 'vorbereitet')",3
"('erdbebens', 'opfer', 'türkei')",3
"('erdbeben', 'japans', 'starkes')",3
"('erdbeben', 'hauptstadt', 'japans')",3
"('erdbeben', 'erschüttert', 'tokio')",3
"('erdbeben', 'erschüttert', 'stärke')",3
"('6,1.', 'erdbeben', 'stärke')",3
"('erdbeben', 'schäden.nach', 'verletzte')",3
"('erdbeben', 'schäden.nach', 'zugverkehr')",3
"('erdbeben', 'vorübergehend', 'zugverkehr')",3
"('bewohner', 'möglichen', 'nachbeben')",3
"('gewarnt', 'möglichen', 'nachbeben')",3
"('erdstoß', 'gewarnt', 'nachbeben')",3
"('erdbebengefährdeten', 'japan', 'stärksten')",3
"('erdbebengefährdeten', 'länder', 'stärksten')",3
"('erdbebengefährdeten', 'länder', 'welt')",3
"('beben', 'vielen', 'vulkanausbruch')",3
"('beben', 'begleitet', 'vielen')",3
"('beben', 'begleitet', 'spalten')",3
"('2004', 'auslösen', 'erdbeben')",3
"('2004', 'anschließenden', 'erdbeben')",3
"('anschließenden', 'erdbeben', 'tsunami')",3
"('erdbeben', 'hintergrund', 'verrutscht')",3
"('erdbeben', 'hintergrund', 'welt')",3
"('beben', 'leichter', 'tausende')",3
"('beben', 'leichter', 'voraus')",3
"('beben', 'frage', 'voraus')",3
"('deutschland', 'erdbeben', 'liste')",3
"('erdbeben', 'liste', 'österreich')",3
"('erdbeben', 'liste', 'schweiz')",3
"('erdbeben', 'menschen', 'obdachlos')",3
"('erdbeben', 'kommt', 'schweren')",3
"('auswirkungen', 'bebens', 'land')",3
"('auswirkungen', 'bebens', 'betroffen')",3
"('bebens', 'betroffen', 'syrien')",3
"('beben', 'lebten', 'menschen')",3
"('beben', 'menschen', 'prekären')",3
"('erdbebengebiet', 'sender', 'sky')",3
"('erdbebengebiet', 'kahramanmaras', 'sky')",3
"('beben', 'frühen', 'montagmorgen')",3
"('beben', 'montagmorgen', 'stärke')",3
"('beben', 'deutsche', 'stärke')",3
"('beben', 'folgte', 'montagmittag')",3
"('beben', 'folgte', 'stärke')",3
"('7,6', 'beben', 'stärke')",3
"('7,7', 'erdbeben', 'stärke')",3
"('erdbebenopfer', 'hilfe', 'syrischen')",3
"('erdbeben', 'stärke', 'zerstört')",3
"('erdbebenregion', 'faeser', 'sichern')",3
"('erdbebenregion', 'hilfe', 'sichern')",3
"('beben', 'erschüttert', 'stärke')",3
"('angaben', 'erdbebens', 'zentrum')",3
"('erdbeben', 'schweren', 'türkisch-syrischen')",3
"('erdbebengebiet', 'syrien', 'türkei')",3
"('erdbeben', 'grenzgebiet', 'türkei')",3
"('bayern', 'erdbeben', 'türkei')",3
"('erdbeben-katastrophe', 'hilfe', 'sinnvoll')",3
"('erdbeben-katastrophe', 'großes', 'kleine')",3
"('20.000', 'erdbeben-tote', 'geschwister')",3
"('erdbeben-tote', 'geschwister', 'stunden')",3
"('erdbebens', 'grenzgebiet', 'türkisch-syrischen')",3
"('erdbeben', 'ersten', 'nachrichten')",3
"('erdbeben', 'philippinen', 'taifun')",2
"('erdbeben', 'hochwasser', 'lawinenabgänge')",2
"('eklatante', 'erdbeben', 'lawinenabgänge')",2
"('eklatante', 'erdbeben', 'unterschiede')",2
"('aufgrund', 'erdbeben', 'hochwasser')",2
"('erdbeben', 'hochwasser', 'vulkanausbrüchen')",2
"('bekam', 'erdbeben', 'vulkanausbrüchen')",2
"('erdbeben', 'falschinformationen', 'verheerende')",2
"('erdbeben', 'syrien', 'verheerende')",2
"('erdbeben', 'falschbehauptungen', 'kontexten')",2
"('erdbeben', 'falschbehauptungen', 'haarp-technologie')",2
"('erdbeben', 'haarp-technologie', 'künstlich')",2
"('42.000', 'erdbeben', 'menschen')",2
"('erdbeben', 'falschinformationen', 'verbreiten')",2
"('auffallen', 'erdbeben', 'falschinformationen')",2
"('auffallen', 'erdbeben', 'monitoring')",2
"('1939', 'erdbeben', 'kamen')",2
"('erdbeben', 'erzincan', 'kamen')",2
"('33.000', 'erdbeben', 'erzincan')",2
"('aktuellen', 'beben', 'schreckensbeim')",2
"('aktuellen', 'beben', 'starben')",2
"('beben', 'starben', 'türkei')",2
"('beben', 'eltern', 'kindern')",2
"('beben', 'eltern', 'ums')",2
"('beben', 'kinder', 'tausend')",2
"('beben', 'februar', 'kinder')",2
"('beben', 'februar', 'ums')",2
"('erdbeben', 'lebten', 'zehn')",2
"('erdbebenopfer', 'hilfe', 'vielen')",2
"('bedarf', 'erdbebenopfer', 'vielen')",2
"('bedarf', 'erdbebenopfer', 'wachse')",2
"('betroffenen', 'erdbeben', 'millionen')",2
"('anfang', 'betroffenen', 'erdbeben')",2
"('anfang', 'erdbeben', 'vergangener')",2
"('erdbebenregion', 'hilfsgüter', 'wert')",2
"('arabischen', 'emiraten', 'erdbebengebiet')",2
"('emiraten', 'erdbebengebiet', 'steigt')",2
"('erdbeben', 'freien', 'schwersten')",2
"('erdbeben', 'jahrzehnte', 'schwersten')",2
"('erdbeben', 'jahrzehnte', 'türkei')",2
"('bebens', 'betroffen', 'folgen')",2
"('bebens', 'betroffen', 'menschen')",2
"('betroffen', 'erdbebenregionen', 'menschen')",2
"('erdbebenregionen', 'menschen', 'türkei')",2
"('erdbebenregionen', 'syrien', 'türkei')",2
"('einsatz', 'erdbebengebiet', 'plant')",2
"('einsatz', 'erdbebengebiet', 'pressesprecher')",2
"('dreiköpfiges', 'erdbebengebiet', 'pressesprecher')",2
"('erdbeben', 'können.die', 'türkei')",2
"('erdbeben', 'informationen', 'vorbereitet')",2
"('konten', 'organisationenerdbeben-gebiet', 'syrien')",2
"('konten', 'organisationenerdbeben-gebiet', 'schneefälle')",2
"('erschweren', 'organisationenerdbeben-gebiet', 'schneefälle')",2
"('erdbebenopfer', 'spenden', 'vereins')",2
"('erdbebenopfer', 'spenden', 'türkei')",2
"('erdbebenopfer', 'münchen', 'unterstützt')",2
"('erdbebenopfer', 'südosten', 'unterstützt')",2
"('erdbebenopfer', 'südosten', 'türkei')",2
"('erdbeben', 'lkw', 'mehreren')",2
"('betroffenen', 'erdbeben', 'lkw')",2
"('betroffenen', 'erdbeben', 'gebiete')",2
"('erdbebenopfern', 'hilft', 'oberbayern')",2
"('erdbebenopfern', 'hilft', 'türkeigedenken')",2
"('erdbeben-opfer', 'erdbebenopfern', 'türkeigedenken')",2
"('bayernzudem', 'erdbeben-opfer', 'türkeigedenken')",2
"('bayernzudem', 'erdbeben-opfer', 'erste')",2
"('erdbebens', 'gedenken', 'opfer')",2
"('erdbeben', 'teilnehmen', 'uhr')",2
"('erdbeben', 'teilnehmen', 'türkei')",2
"('erdbeben', 'heftigen', 'unwettern')",2
