"Word","Frequency"
"('dürre', 'hitze', 'waldbrände')",6
"('dürre', 'europa', 'hitze')",5
"('dürre', 'gleicht', 'regen')",5
"('dürre', 'gestiegen', 'hitze')",4
"('dürre', 'nehmen', 'waldbrände')",4
"('dürre', 'europas', 'herrscht')",3
"('dürre', 'herrscht', 'waldbrände')",3
"('dürre', 'kontrolle', 'waldbrände')",3
"('dürre', 'schwerer', 'wochen')",3
"('dürre', 'schwerer', 'waldbrände')",3
"('dürre', 'gefahrenindex', 'höchsten')",3
"('dürre', 'größten', 'höchsten')",3
"('dürre', 'franken', 'größten')",3
"('dürre', 'hitze', 'warum')",3
"('dramatischer', 'dürre', 'italien')",3
"('dürre', 'pakistan', 'überschwemmungskatastrophe')",2
"('dürre', 'ostafrika', 'pakistan')",2
"('dürre', 'ostafrika', 'taifun')",2
"('dürre', 'hitze', 'langanhaltender')",2
"('dürre', 'führen', 'hitze')",2
"('dürre', 'führen', 'nordamerika')",2
"('dürren', 'extremwetterereignissen', 'schweren')",2
"('dürren', 'extremwetterereignissen', 'starkregen')",2
"('dürren', 'folge', 'starkregen')",2
"('dürre', 'hitze', 'schäden')",2
"('anhaltende', 'dürre', 'europa')",2
"('anhaltende', 'dürre', 'hoch')",2
"('ausfälle', 'dürre', 'hoch')",2
"('bezeichnet', 'dürre', 'meteorologische')",2
"('2018', 'dürre', 'hitze')",2
"('dürre', 'folge', 'waldbrandgefahr')",2
"('dürre', 'funktioniert', 'lesen')",2
"('dürre', 'lesen', 'norden')",2
"('dürre', 'extreme', 'norden')",2
"('dürre', 'franken', 'nördlichen')",2
"('dürre', 'franken', 'herrscht')",2
"('bad', 'dürre', 'herrscht')",2
"('dürre', 'wetterexperten', 'zufolge')",2
"('dürre', 'ernte', 'zufolge')",2
"('auswirken', 'dürre', 'ernte')",2
"('arddürre', 'klima', 'wissensangebot')",2
"('arddürre', 'führt', 'wissensangebot')",2
"('arddürre', 'erhöhten', 'führt')",2
"('dürrejahr', 'hoch', 'ähnlich')",2
"('2018.', 'dürrejahr', 'hoch')",2
"('2018.', 'dürrejahr', 'häufung')",2
"('2018.', 'dürresommer', 'häufung')",2
"('dürresommer', 'folge', 'häufung')",2
"('dürresommer', 'folge', 'klimakrisemit')",2
"('daran', 'dürrejahre', 'häufung')",2
"('dürrejahre', 'häufung', 'zwei')",2
"('dürrejahre', 'jahrzehnten', 'zwei')",2
"('anhaltenden', 'dürre', 'monaten')",2
"('anhaltenden', 'dürre', 'großer')",2
"('dürre', 'großer', 'hitze')",2
"('dürre-sommer', 'grün', 'satt')",2
"('2022', 'dürre-sommer', 'grün')",2
"('2022', 'dürre-sommer', 'erscheint')",2
"('anhaltenden', 'dürre', 'orte')",2
"('anhaltenden', 'dürre', 'gesicht')",2
"('dokumentieren', 'dürre', 'gesicht')",2
"('dürre', 'schlimmste', 'zunächst')",2
"('dürre', 'jahrzehntenein', 'schlimmste')",2
"('dürre', 'jahrzehntenein', 'sprecher')",2
"('dürre', 'sagte', 'schlimmste')",2
"('dürre', 'jahrzehnten', 'schlimmste')",2
"('dürre', 'hitze', 'jahrzehnten')",2
"('dürre', 'extreme', 'monaten')",2
"('dürre', 'extreme', 'flammen')",2
"('dürre', 'flammen', 'rasch')",2
"('ausgelöst', 'brand', 'dürre')",2
"('ausgelöst', 'dürre', 'sorgte')",2
"('brand', 'dürre', 'sorgte')",2
"('dwd', 'dürremonitor', 'färbt')",2
"('dürremonitor', 'färbt', 'helmholtz-zentrums')",2
"('dürremonitor', 'helmholtz-zentrums', 'umweltforschung')",2
"('außergewöhnlicher', 'bayern', 'dürre')",2
"('außergewöhnlicher', 'betroffen.umweltministerin', 'dürre')",2
"('betroffen.umweltministerin', 'dürre', 'lemke')",2
"('dürre', 'flüge', 'gleicht')",2
"('dürre', 'flüge', 'nachmittagsstundenschon')",2
"('dürre-notstand', 'rom', 'verhängte')",2
"('dürre-notstand', 'fünf', 'verhängte')",2
"('dürre-notstand', 'fünf', 'regionen')",2
"('brandursache', 'dürre', 'ermittle')",2
"('brandursache', 'dürre', 'grosseto')",2
"('dürre', 'flammen', 'grosseto')",2
"('dürre', 'extremen', 'zusammenhang')",2
"('dürre', 'extremen', 'kämpfen')",2
"('dürre', 'italien', 'kämpfen')",2
"('brandbeschleuniger', 'dürregefahr', 'zusätzlicher')",2
"('brandbeschleuniger', 'dürregefahr', 'wahrscheinlichkeit')",2
"('acht', 'dürregefahr', 'wahrscheinlichkeit')",2
"('bayern', 'dürresituation', 'zuspitzung')",2
"('dürresituation', 'richtung', 'zuspitzung')",2
"('dürresituation', 'mediterraner', 'richtung')",2
"('anhaltenden', 'dürre', 'regierungsbezirks')",2
"('anhaltenden', 'dürre', 'hohe')",2
"('dürre', 'hohe', 'waldbrandgefahr')",2
"('ausehrenamtliche', 'dürre', 'gleicht')",2
"('ausehrenamtliche', 'dürre', 'piloten')",2
"('anhaltenden', 'dürre', 'kämpfen')",2
"('anhaltenden', 'dürre', 'folgen')",2
"('dürre', 'folgen', 'ludwigsstadt')",2
"('dürre', 'landes', 'schweren')",2
"('dürre', 'schweren', 'waldbrand')",2
"('dürre', 'spanien', 'waldbrand')",2
"('aushalten', 'dürre', 'temperaturen')",2
"('aushalten', 'dürre', 'folgenfür')",2
"('dürre', 'folgenfür', 'natur')",2
"('dürre', 'folgen', 'hitze')",2
"('dürreschäden', 'ländern', 'zusammensetzen')",2
"('beraten', 'dürreschäden', 'zusammensetzen')",2
"('beraten', 'dürreschäden', 'müsse')",2
"('dürre', 'hohen', 'temperaturen')",2
"('affenhitze', 'dürre', 'starkregen')",2
"('dürre', 'starkregen', 'städte')",2
"('dürre', 'helfe', 'umzugehen')",2
"('dürre', 'helfe', 'kurzfristig')",2
"('dürre', 'landwirtschaft', 'natur')",2
"('dürre', 'hitze', 'landwirtschaft')",2
"('dürren', 'hitzewellen', 'klimawandel')",2
"('dürren', 'hitzewellen', 'starkregen')",2
"('aktuellen', 'dürre', 'überschwemmungsgefahrwegen')",2
"('befürchtet', 'dürreproblem', 'sachweh')",1
"('befürchtet', 'dürreproblem', 'endete')",1
"('dürreproblem', 'endete', 'erste')",1
"('dürre', 'könne', 'landwirtschaft')",1
"('dürre', 'landwirtschaft', 'schützen')",1
"('dürre', 'forstwirt', 'schützen')",1
"('dürre', 'jahren', 'mehreren')",1
"('buschbränden', 'dürre', 'jahren')",1
"('australiens', 'buschbränden', 'dürre')",1
"('dürre', 'listet', 'schäden')",1
"('borkenkäfer', 'dürre', 'schäden')",1
"('borkenkäfer', 'dürre', 'zahlen')",1
"('dürren', 'eisschmelze', 'überschwemmungen')",1
"('dürren', 'überschwemmungen', 'überschwemmungen')",1
"('dürren', 'nordrhein-westfalen', 'überschwemmungen')",1
"('dürre', 'hitze', 'nähmen')",1
"('dürre', 'vielen', 'waldbrände')",1
