"Word","Frequency"
"('hilfe', 'menschen', 'türkei')",16
"('bevölkerungsschutz', 'bundesamt', 'katastrophenhilfe')",15
"('bbk', 'bevölkerungsschutz', 'katastrophenhilfe')",12
"('hilfe', 'menschen', 'spenden')",11
"('bevölkerungsschutz', 'bundesamts', 'katastrophenhilfe')",9
"('hilfswerk', 'technische', 'thw')",8
"('hilfswerks', 'technischen', 'thw')",7
"('aktion', 'deutschland', 'hilft')",7
"('hilfsorganisation', 'humedica', 'kaufbeurer')",5
"('hilfswerk', 'technischen', 'thw')",5
"('euro', 'millionen', 'soforthilfe')",5
"('bbk', 'katastrophenhilfe', 'ralph')",5
"('bitte', 'entfernt', 'hilf')",5
"('bitte', 'hilf', 'wikipedia')",5
"('angaben', 'hilf', 'wikipedia')",5
"('bevölkerungsschutz', 'bundesamtes', 'katastrophenhilfe')",4
"('bevölkerungsschutz', 'katastrophenhilfe', 'ralph')",4
"('katastrophenhilfe', 'ralph', 'tiesler')",4
"('hilfe', 'thw', 'welt')",4
"('hilf', 'recherchierst', 'wikipedia')",4
"('bitte', 'dar', 'hilf')",4
"('bitte', 'hilf', 'situation')",4
"('hilf', 'situation', 'staaten')",4
"('bundeskabinett', 'fonds', 'wiederaufbauhilfe')",3
"('fonds', 'milliarden', 'wiederaufbauhilfe')",3
"('euro', 'milliarden', 'wiederaufbauhilfe')",3
"('bayerische', 'hilfen', 'kabinett')",3
"('bundeswehr', 'hilfswerk', 'thw')",3
"('feuerwehr', 'hilfswerk', 'technisches')",3
"('hilfswerk', 'mussten', 'technisches')",3
"('fordert', 'nachbarschaftshilfe', 'tiesler')",3
"('fordert', 'nachbarschaftshilfe', 'warnt')",3
"('flächen', 'nachbarschaftshilfe', 'warnt')",3
"('bevölkerungsschutz', 'bundesamt', 'katastrophenhilfetiesler')",3
"('bevölkerungsschutz', 'katastrophenhilfetiesler', 'plädierte')",3
"('katastrophenhilfetiesler', 'nachbarschaftshilfe', 'plädierte')",3
"('besten', 'nachbarschaftshilfe', 'plädierte')",3
"('besten', 'nachbarschaftshilfe', 'sorgt')",3
"('nachbarn.bevölkerungsschützer', 'nachbarschaftshilfedie', 'rettungskräfte')",3
"('hilfsbereitschaft', 'nachbarn.bevölkerungsschützer', 'nachbarschaftshilfedie')",3
"('ahrtal', 'hilfsbereitschaft', 'nachbarschaftshilfedie')",3
"('ahrtal', 'gelte', 'hilfsbereitschaft')",3
"('erdbebenregion', 'hilfsgüter', 'türkisch-syrische')",3
"('8,4', 'hilfsgüter', 'wert')",3
"('benötigt', 'dringend', 'hilfe')",3
"('hilfsorganisation', 'regensburger', 'space-eye')",3
"('hilfslieferungen', 'notstromaggregaten', 'zelten')",3
"('feuerwehren', 'hilfswerk', 'technisches')",3
"('bevölkerungsschutz', 'bonn', 'katastrophenhilfe')",3
"('2006', 'bonn', 'katastrophenhilfe')",3
"('bitte', 'hilf', 'verbessern')",3
"('entferne', 'hilf', 'verbessern')",3
"('germany', 'hilfsorganisation', 'isar')",3
"('erdbebenopfer', 'hilfe', 'syrischen')",3
"('handy', 'hilfe', 'versucht')",3
"('handy', 'hilfe', 'holen')",3
"('fehlenden', 'hilfe', 'holen')",3
"('erdbebenregion', 'hilfe', 'sichern')",3
"('entwicklungszusammenarbeit', 'nothilfe', 'us-behörde')",3
"('entwicklungszusammenarbeit', 'nothilfe', 'usaid')",3
"('gehe', 'hilfe', 'not')",3
"('erdbeben-katastrophe', 'hilfe', 'sinnvoll')",3
"('bündnis', 'entwicklung', 'hilft')",3
"('beeindruckt', 'damaligen', 'hilfsbereitschaft')",2
"('damaligen', 'gegenseitig', 'hilfsbereitschaft')",2
"('gegenseitig', 'hilfsbereitschaft', 'hilft')",2
"('erreichen', 'gegenseitig', 'hilft')",2
"('erreichen', 'gemeinschaft', 'hilft')",2
"('hadern', 'hilfeauch', 'staatlicher')",2
"('hilfeauch', 'staatlicher', 'vertreter')",2
"('hilfeauch', 'staatsregierung', 'vertreter')",2
"('670.000', 'euro', 'soforthilfen')",2
"('bekam', 'euro', 'soforthilfen')",2
"('bekam', 'gästehaus', 'soforthilfen')",2
"('beim', 'hilfswerk', 'technischen')",2
"('hilfswerk', 'prozent.zum', 'thw')",2
"('hilfe', 'pfeiffer', 'unbürokratischen')",2
"('behörden', 'hilfe', 'unbürokratischen')",2
"('behörden', 'gewitter', 'hilfe')",2
"('euro', 'gestiegen240.000', 'soforthilfe')",2
"('euro', 'haushalt', 'soforthilfe')",2
"('haushalt', 'hausrat', 'soforthilfe')",2
"('240.000', 'euro', 'soforthilfen')",2
"('euro', 'haushalt', 'soforthilfen')",2
"('haushalt', 'hausrat', 'soforthilfen')",2
"('hilfe', 'mitgefühl', 'sagte')",2
"('hilfe', 'sagte', 'zu.allein')",2
"('hilfe', 'tote', 'zu.allein')",2
"('euro', 'millionen', 'soforthilfen')",2
"('bleiben', 'erinnerung', 'hilfsbereitschaft')",2
"('bleiben', 'hilfsbereitschaft', 'tagelang')",2
"('freunde', 'hilfsbereitschaft', 'tagelang')",2
"('e.v', 'hilfsorganisation', 'navis')",2
"('hilfe', 'leisten', 'überschwemmungskatastrophe')",2
"('juli', 'soforthilfen', 'staatsregierung')",2
"('landkreise', 'soforthilfen', 'staatsregierung')",2
"('bayern', 'landkreise', 'soforthilfen')",2
"('jeweiligen', 'landesamt', 'soforthilfen')",2
"('beantragen', 'landesamt', 'soforthilfen')",2
"('beantragen', 'digital', 'soforthilfen')",2
"('bekommt', 'getan', 'soforthilfe')",2
"('bekommt', 'härtefälle', 'soforthilfe')",2
"('ausnahmen', 'härtefälle', 'soforthilfe')",2
"('erstattet', 'hochwasser-hilfen', 'schäden')",2
"('erstattet', 'hochwasser-hilfen', 'wissen')",2
"('hochwasser-hilfen', 'soforthilfen', 'wissen')",2
"('auszahlung', 'soforthilfen', 'wissen')",2
"('auszahlung', 'soforthilfen', 'überweisung')",2
"('hilfen', 'kabinett', 'menschen')",2
"('bayerischen', 'hilfen', 'menschen')",2
"('darauf', 'soforthilfen', 'weist')",2
"('darauf', 'soforthilfen', 'steuerliche')",2
"('maßnahmen', 'soforthilfen', 'steuerliche')",2
"('beteiligt', 'bund', 'soforthilfen')",2
"('beteiligt', 'betroffenen', 'soforthilfen')",2
"('betroffenen', 'bundesländer', 'soforthilfen')",2
"('gespräch', 'soforthilfen', 'wiederaufbaufonds')",2
"('hinaus', 'soforthilfen', 'wiederaufbaufonds')",2
"('fdp', 'hinaus', 'soforthilfen')",2
"('ganzes', 'land', 'soforthilfe')",2
"('höhe', 'land', 'soforthilfe')",2
"('höhe', 'soforthilfe', 'vier')",2
"('betroffenen', 'hochwasser', 'soforthilfe')",2
"('hochwasser', 'soforthilfe', 'zukommen')",2
"('soforthilfe', 'wolle', 'zukommen')",2
"('bayern', 'betroffene', 'hilfen')",2
"('bayern', 'beantragenauch', 'hilfen')",2
"('beantragenauch', 'betroffene', 'hilfen')",2
"('diakonie', 'soforthilfen', 'örtliche')",2
"('diakonie', 'höhe', 'soforthilfen')",2
"('300', 'höhe', 'soforthilfen')",2
"('beantragen', 'haushalt', 'katastrophenhilfe')",2
"('beantragen', 'diakonie', 'katastrophenhilfe')",2
"('bayern', 'diakonie', 'katastrophenhilfe')",2
"('große', 'hilfsbereitschaft', 'spenden')",2
"('große', 'hilfsbereitschaft', 'tage')",2
"('hilfsbereitschaft', 'rufen', 'tage')",2
"('bedarf', 'hilfe', 'unterstützen')",2
"('bedarf', 'enorm', 'hilfe')",2
"('enorm', 'hilfe', 'sandra')",2
"('katastrophenhilfe', 'sandra', 'schuhmann')",2
"('diakonischen', 'katastrophenhilfe', 'schuhmann')",2
"('diakonischen', 'katastrophenhilfe', 'werks')",2
"('hilfsgüter', 'lagerraum', 'schule')",2
"('art', 'hilfsgüter', 'lagerraum')",2
"('art', 'genutzt', 'hilfsgüter')",2
"('echte', 'hilfe', 'ort')",2
"('echte', 'hilfe', 'leisteten')",2
"('hilfe', 'hilfe', 'leisteten')",2
"('hilfe', 'leisteten', 'staat')",2
"('gewünscht', 'hilfe', 'staat')",2
"('fälle', 'hilfe', 'sicherlich')",2
"('fälle', 'genug', 'hilfe')",2
"('genug', 'hilfe', 'kommt')",2
"('hilfe', 'steckt', 'videoblogger.wer')",2
"('aloisius-grundschule', 'hilfe', 'steckt')",2
"('aloisius-grundschule', 'familienzentrum', 'hilfe')",2
"('fehlenden', 'hilfeleistung', 'vermeintlich')",2
"('fehlenden', 'gutes', 'hilfeleistung')",2
"('abgewinnen', 'gutes', 'hilfeleistung')",2
"('behörden', 'falschinformationenfür', 'hilfe')",2
"('behörden', 'hilfe', 'querdenken-nahen')",2
"('gruppen', 'hilfe', 'querdenken-nahen')",2
"('hilfsmaßnahmen', 'hingeht', 'wirklich')",2
"('hilfsmaßnahmen', 'wirklich', 'zugutekommt')",2
"('hilfsmaßnahmen', 'zugutekommt', 'überprüfen')",2
"('bereichern', 'hilfeleistungen', 'vermeintlichen')",2
"('hilfeleistungen', 'reul', 'vermeintlichen')",2
"('hilfeleistungen', 'reul', 'suchten')",2
"('fluthilfe', 'vereinnahmung', 'versuch')",2
"('fluthilfe', 'vereinnahmung', 'wenig')",2
"('fluthilfe', 'wenig', 'überrascht')",2
"('bereitzustellen', 'hilfe', 'krisenintervention')",2
"('bereitzustellen', 'hilfe', 'politischen')",2
"('gründen', 'hilfe', 'politischen')",2
"('aufgebaut', 'darstellen', 'nothilfe')",2
"('aufgebaut', 'feinsten', 'nothilfe')",2
"('feinsten', 'nothilfe', 'zuständigen')",2
"('eklatante', 'hochwasser-hilfen', 'unterschiede')",2
"('hochwasser-hilfen', 'unterschiede', 'wissen')",2
"('hochwasser-hilfen', 'müssenausstattungsqualität', 'wissen')",2
"('bundeskabinett', 'millionenschwere', 'soforthilfe')",2
"('gebracht', 'millionenschwere', 'soforthilfe')",2
"('bund', 'gebracht', 'soforthilfe')",2
"('euro', 'hilfen', 'hälfte')",2
"('bundesländern', 'hilfen', 'hälfte')",2
"('bundesländern', 'hilfen', 'hochwasser-hilfen')",2
"('bundesländern', 'hochwasser-hilfen', 'wissen')",2
"('hochwasser-hilfen', 'scholz', 'wissen')",2
"('erhöhen', 'soforthilfen', 'summe')",2
"('dienen', 'erhöhen', 'soforthilfen')",2
"('dienen', 'soforthilfen', 'überbrückung')",2
"('sagte', 'scholz', 'soforthilfen')",2
"('gehe', 'scholz', 'soforthilfen')",2
"('gehe', 'schnelle', 'soforthilfen')",2
"('betroffenen', 'hilfsleistungen', 'kommunen')",2
"('bundes', 'hilfsleistungen', 'kommunen')",2
"('bundes', 'hilfsleistungen', 'katastrophe')",2
"('hilfen', 'schnelle', 'unbürokratische')",2
"('hilfen', 'unbürokratische', 'versprochen')",2
"('hilfen', 'scholz', 'spd')",2
"('freistaat', 'hilfen', 'spd')",2
"('bayern', 'freistaat', 'hilfen')",2
"('beschließt', 'soforthilfengibt', 'staatsregierung')",2
"('beschließt', 'gelder', 'soforthilfengibt')",2
"('gelder', 'kommentarspalten', 'soforthilfengibt')",2
"('ausland', 'gibts', 'hilfsgelder')",2
"('ausland', 'hilfsgelder', 'millionenhöhe')",2
"('hilfsgelder', 'millionenhöhe', 'welt')",2
"('ausgezahlten', 'hilfen', 'überblick')",2
"('2002', 'ausgezahlten', 'hilfen')",2
"('2002', '2019', 'hilfen')",2
"('erhalten.wer', 'hilfe', 'solidarfonds')",2
"('beantragen', 'erhalten.wer', 'hilfe')",2
"('beantragen', 'hilfe', 'land')",2
"('befinden', 'hilfen', 'naturkatastrophen')",2
"('hilfen', 'naturkatastrophen', 'topf')",2
"('beantragen', 'hilfen', 'topf')",2
"('betroffen', 'hat.hilfen', 'land')",2
"('betroffen', 'eu-solidarfonds', 'hat.hilfen')",2
"('eu-solidarfonds', 'grenzwertedie', 'hat.hilfen')",2
"('antrag', 'berechtigt', 'hilfen')",2
"('antrag', 'eu-solidarfonds', 'hilfen')",2
"('eu-solidarfonds', 'hilfen', 'naturkatastrophe')",2
"('0,6', 'hilfe', 'millionen.wie')",2
"('ausbezahlt', 'hilfe', 'millionen.wie')",2
"('ausbezahlt', 'hilfe', 'konkrete')",2
"('2021', 'betragen.hochwasser', 'hilfen')",2
"('2021', 'beantragtdie', 'hilfen')",2
"('beantragtdie', 'eu-kommission', 'hilfen')",2
"('hilfen', 'länder', 'umsetzung')",2
"('hilfen', 'umsetzung', 'zuständig.noch')",2
"('deutschland', 'hilfen', 'zuständig.noch')",2
"('diesjährige', 'hilfen', 'hochwasser')",2
"('beantragt', 'hilfen', 'hochwasser')",2
"('auszugehen', 'beantragt', 'hilfen')",2
"('antrag', 'belgien', 'hilfen')",2
"('antrag', 'eingereicht.der', 'hilfen')",2
"('eingereicht.der', 'hilfen', 'vorwurf')",2
"('beschließt', 'soforthilfen', 'staatsregierung')",2
"('bayerische', 'hilfeersuchen', 'innenministerium')",2
"('fluten', 'hilfskräfte', 'hinterlassenen')",2
"('hilfswerk', 'technische', 'zeit')",2
"('hilfswerks', 'lkw', 'technischen')",2
"('hilfswerks', 'kelheim', 'thw')",2
"('bevölkerungsschutz', 'derartige', 'katastrophenhilfe')",2
"('derartige', 'fälle', 'katastrophenhilfe')",2
"('donnerstagabend', 'hilfswerk', 'mussten')",2
"('hilfeleistung', 'krisenmanagement', 'unterlassene')",2
"('böse', 'hilfeleistung', 'unterlassene')",2
"('absicht', 'böse', 'hilfeleistung')",2
"('einsatzkräfte', 'hilfsorganisationen', 'unterfränkischen')",2
"('gelände', 'hilfswerks', 'technischen')",2
"('hilfswerks', 'richtung', 'technischen')",2
"('ahrtal', 'hilfswerks', 'richtung')",2
"('entfernt', 'hilfsorganisationen', 'polizei')",2
"('entfernt', 'hilfsorganisationen', 'krisen')",2
"('bewältigenum', 'hilfsorganisationen', 'krisen')",2
"('ehrenamtlichen', 'hilfsorganisationen', 'wären')",2
"('bewältigen', 'ehrenamtlichen', 'hilfsorganisationen')",2
"('bewältigen', 'hilfsorganisationen', 'kommt')",2
"('hilft', 'staat', 'verlassen')",2
"('ausgefallen.trump', 'beantragt', 'katastrophenhilfeus-präsident')",2
"('beantragt', 'donald', 'katastrophenhilfeus-präsident')",2
"('donald', 'katastrophenhilfeus-präsident', 'trump')",2
"('beim', 'hilfsmittel', 'kongress')",2
"('hilfsmittel', 'höhe', 'kongress')",2
"('7,9', 'hilfsmittel', 'höhe')",2
"('ausgerichtetes', 'hilfsprogramm', 'unternehmen')",2
"('ausgerichtetes', 'gehen', 'hilfsprogramm')",2
"('erwartet', 'gehen', 'hilfsprogramm')",2
"('faktenfuchs-teams', 'hilfe', 'monitoring')",2
"('faktenfuchs-teams', 'hilfe', 'tools')",2
"('hilfe', 'soziale', 'tools')",2
"('hilfe', 'länder.zum', 'spenden')",2
"('straßen', 'temperaturen', 'un-kinderhilfswerk')",2
"('straßen', 'un-kinderhilfswerk', 'unicef')",2
"('betonte', 'un-kinderhilfswerk', 'unicef')",2
"('betroffen', 'kinder', 'un-kinderhilfswerk')",2
"('betroffen', 'erklärte', 'un-kinderhilfswerk')",2
"('erklärte', 'fürchte', 'un-kinderhilfswerk')",2
"('hilfe', 'rief', 'umfassender')",2
"('hilfe', 'umfassender', 'vielen')",2
"('erdbebenopfer', 'hilfe', 'vielen')",2
"('guterres', 'hilfsorganisationen', 'verschiedene')",2
"('hilfsorganisationen', 'lobten', 'verschiedene')",2
"('hilfsorganisationen', 'lobten', 'öffnung')",2
"('hilfe', 'humanitärer', 'lieferung')",2
"('erklärte', 'hilfe', 'humanitärer')",2
