"Word","Frequency"
"('eurodie', 'maßnahmen', 'millionen')",3
"('eurodie', 'kosten', 'maßnahmen')",3
"('kosten', 'maßnahmen', 'millionen')",3
"('bieten.hochwasserschutz', 'maßnahmen', 'trotz')",3
"('begrenztdie', 'maßnahmen', 'trotz')",3
"('begrenztdie', 'maßnahmen', 'sicherheit')",3
"('baumaßnahme', 'beginn', 'froh')",3
"('baumaßnahme', 'beginn', 'teilabschnitt')",3
"('baumaßnahme', 'froh', 'teilabschnitt')",3
"('architekten', 'hochwasserschutzmaßnahmen', 'planung')",3
"('herausforderung', 'hochwasserschutzmaßnahmen', 'planung')",3
"('herausforderung', 'hochwasserschutzmaßnahmen', 'mitten')",3
"('geklärt', 'hochwassermaßnahmen', 'kosteten')",3
"('bach', 'hochwassermaßnahmen', 'kosteten')",3
"('bach', 'hochwassermaßnahmen', 'platz')",3
"('mure', 'sicherungsmaßnahmen', 'zerstörungeine')",2
"('klingerbach', 'mure', 'sicherungsmaßnahmen')",2
"('klingerbach', 'länge', 'sicherungsmaßnahmen')",2
"('donautal', 'maßnahmen', 'zahlreichen')",2
"('dagegen', 'maßnahmen', 'zahlreichen')",2
"('keller', 'trifft', 'vorsichtsmaßnahmen.brief')",2
"('stadtspitze', 'trifft', 'vorsichtsmaßnahmen.brief')",2
"('bürger', 'stadtspitze', 'vorsichtsmaßnahmen.brief')",2
"('forderten', 'hochwasserschutz-maßnahmen', 'stadtspitze')",2
"('forderten', 'hochwasserschutz-maßnahmen', 'sprechen')",2
"('fehlern', 'hochwasserschutz-maßnahmen', 'sprechen')",2
"('einzelmaßnahmen', 'kleinteiligen', 'vielzahl')",2
"('einzelmaßnahmen', 'kleinteiligen', 'subventionen')",2
"('einzelmaßnahmen', 'subventionen', 'verboten')",2
"('bayern', 'landtags-fdp', 'maßnahmen')",2
"('bayern', 'maßnahmen', 'ort')",2
"('dringend', 'maßnahmen', 'ort')",2
"('maßnahmen', 'soforthilfen', 'steuerliche')",2
"('maßnahmen', 'privatpersonen', 'steuerliche')",2
"('maßnahmen', 'privatpersonen', 'unternehmen')",2
"('gestundet', 'steuern', 'vollstreckungsmaßnahmen')",2
"('aufgeschoben', 'gestundet', 'vollstreckungsmaßnahmen')",2
"('aufgeschoben', 'steuervorauszahlungen', 'vollstreckungsmaßnahmen')",2
"('corona-maßnahmen', 'rheinland-pfalz', 'verein')",2
"('corona-maßnahmen', 'steht', 'verein')",2
"('corona-maßnahmen', 'ruf', 'steht')",2
"('hilfsmaßnahmen', 'hingeht', 'wirklich')",2
"('hilfsmaßnahmen', 'wirklich', 'zugutekommt')",2
"('hilfsmaßnahmen', 'zugutekommt', 'überprüfen')",2
"('maßnahmen', 'pandemie', 'weitergehe')",2
"('maßnahmen', 'pandemie', 'vorbei')",2
"('erwartbar', 'maßnahmen', 'vorbei')",2
"('bekannt', 'maßnahme', 'rechtzeitig')",2
"('bekannt', 'diene', 'maßnahme')",2
"('diene', 'maßnahme', 'sicherheit')",2
"('hinaus', 'hochwasserschutzmaßnahmen', 'simbach')",2
"('hochwasserschutzmaßnahmen', 'höhe', 'simbach')",2
"('hochwasserschutzmaßnahmen', 'höhe', 'millionen')",2
"('2030neben', 'maßnahme', 'vorgestellten')",2
"('maßnahme', 'vorgestellten', 'weiterer')",2
"('maßnahme', 'teilbereich', 'weiterer')",2
"('euro', 'maßnahme', 'millionen')",2
"('herausgebracht', 'schutzmaßnahmen', 'ursachen')",2
"('aufklärt', 'schutzmaßnahmen', 'ursachen')",2
"('beachten.bundesweit', 'internet', 'vorsichtsmaßnahmen')",2
"('beachten.bundesweit', 'deutschen', 'vorsichtsmaßnahmen')",2
"('bahnda', 'deutschen', 'vorsichtsmaßnahmen')",2
"('gehe', 'passgenaue', 'schutzmaßnahmen')",2
"('passgenaue', 'schutzmaßnahmen', 'unterschiedliche')",2
"('regionen', 'schutzmaßnahmen', 'unterschiedliche')",2
"('akuten', 'euro', 'soforthilfemaßnahmen')",2
"('akuten', 'ort', 'soforthilfemaßnahmen')",2
"('ort', 'soforthilfemaßnahmen', 'tätigen')",2
"('anforderung', 'hilfsmaßnahmen', 'weiterer')",2
