"Word","Frequency"
"('mitnehmen', 'notfallausrüstung', 'teil')",2
"('katastrophenmanagement', 'notfall', 'sicherstellen')",2
"('angemessen', 'notfall', 'sicherstellen')",2
"('angemessen', 'notfall', 'reagiert')",2
"('katastrophenfällen', 'notfall', 'überprüfung')",2
"('festgelegten', 'notfall', 'überprüfung')",2
"('festgelegten', 'mittel', 'notfall')",2
"('kommunikationswege', 'mobile', 'notfalleinrichtungen')",2
"('mobile', 'notfalleinrichtungen', 'zuverlässige')",2
"('einsatzlogistik', 'notfalleinrichtungen', 'zuverlässige')",2
"('notfallstab', 'richtete', 'sofort')",2
"('notfallstab', 'shinkansen', 'sofort')",2
"('entgleiste', 'notfallstab', 'shinkansen')",2
"('notfallstab', 'richtete', 'tokio')",2
"('feueralarm', 'notfallstab', 'richtete')",2
"('akw-geländevon', 'feueralarm', 'notfallstab')",2
"('nachrichten-app', 'nina', 'notfall-informations-')",2
"('nina', 'notfall-', 'warn-apps')",1
"('nachrichten-app', 'nina', 'notfall-')",1
"('bundesamtes', 'nachrichten-app', 'notfall-')",1
"('bürger', 'notfall', 'wissen')",1
"('notfall', 'schützen', 'wissen')",1
"('notfall', 'schützen', 'stück')",1
"('behörden', 'geprüft', 'notfalls')",1
"('bar', 'geprüft', 'notfalls')",1
"('ausbezahlt', 'bar', 'notfalls')",1
"('heißen', 'notfallsituation', 'stein')",1
"('hahn', 'notfallsituation', 'stein')",1
"('hahn', 'notfallsituation', 'ungewöhnliche')",1
"('konnte', 'notfallsanitäter', 'zerstört')",1
"('elias', 'konnte', 'notfallsanitäter')",1
"('elias', 'holzheimer', 'notfallsanitäter')",1
"('beschreibt', 'hervorgerufen', 'notfallsanitäter')",1
"('beschreibt', 'notfallsanitäter', 'situation')",1
"('notfallsanitäter', 'ort', 'situation')",1
"('notfallgebiet', 'texas', 'texas')",1
"('erklärt', 'notfallgebiet', 'texas')",1
"('ausgehend', 'erklärt', 'notfallgebiet')",1
"('ausrichten', 'danach', 'notfallausrüstung')",1
"('ausrichten', 'mitnehmen', 'notfallausrüstung')",1
"('notfallausrüstung', 'teil', 'umgang')",1
"('notfallausrüstung', 'umgang', 'übt')",1
"('kameraden', 'notfallausrüstung', 'verschütteten')",1
"('kameraden', 'notfallausrüstung', 'orten')",1
"('ausgraben', 'notfallausrüstung', 'orten')",1
"('gesicherten', 'notfallausrüstung', 'pisten')",1
"('dabeihaben', 'notfallausrüstung', 'pisten')",1
"('dabeihaben', 'erhöht', 'notfallausrüstung')",1
"('ausrüstung', 'notfallder', 'wichtige')",1
"('ausrüstung', 'deutsche', 'notfallder')",1
"('alpenverein', 'deutsche', 'notfallder')",1
"('biwaksack', 'erste-hilfe-set', 'notfall')",1
"('biwaksack', 'erfrieren', 'notfall')",1
"('erfrieren', 'notfall', 'retten')",1
"('begleiterin', 'notfallseelsorgern', 'vergebens')",1
"('begleiterin', 'betreut', 'notfallseelsorgern')",1
"('angeforderter', 'betreut', 'notfallseelsorgern')",1
"('entsprechende', 'notfallausrüstung', 'tourenski')",1
"('entsprechende', 'notfallausrüstung', 'talnähe')",1
"('geräumten', 'notfallausrüstung', 'talnähe')",1
"('bebaute', 'gebiete', 'notfall')",1
"('gebiete', 'geflutet', 'notfall')",1
"('erklärt', 'geflutet', 'notfall')",1
"('mögliche', 'notfallsituation', 'teil')",1
"('durchgespielt', 'mögliche', 'notfallsituation')",1
"('durchgespielt', 'notfallsituation', 'wenigen')",1
"('bevölkerung', 'notfall', 'sehe')",1
"('bevölkerung', 'notfall', 'schulen')",1
"('müsse', 'notfall', 'schulen')",1
"('aufgefordert', 'gemeinden', 'notfalltaschen')",1
"('aufgefordert', 'notfalltaschen', 'packen')",1
"('evakuierung', 'notfalltaschen', 'packen')",1
"('196', 'aeuv', 'notfallabwehrkapazität')",1
"('aeuv', 'gestützt', 'notfallabwehrkapazität')",1
"('entscheidungen', 'gestützt', 'notfallabwehrkapazität')",1
"('funktionsträger', 'notfallmanagements', 'verursachen')",1
"('befürchteten', 'funktionsträger', 'notfallmanagements')",1
"('befürchteten', 'deiche', 'notfallmanagements')",1
"('bundesregierung', 'notfallreaktionen', 'primär')",1
"('new', 'notfallreaktionen', 'primär')",1
"('new', 'notfallreaktionen', 'orleans')",1
"('johanniter-unfall-hilfe', 'medizinische', 'notfallmedizinische')",1
"('medizinische', 'notfallmedizinische', 'versorgung')",1
"('einsatzkräfte', 'notfallmedizinische', 'versorgung')",1
"('notfallprävention', 'umsetzen', 'zählt')",1
"('ausreichende', 'notfallprävention', 'zählt')",1
"('ausreichende', 'notfallprävention', 'zweckmäßige')",1
"('bäumchen', 'notfalls', 'paten')",1
"('bäumchen', 'gießenwie', 'notfalls')",1
"('gießenwie', 'notfalls', 'schwarzkiefersämlinge')",1
"('notfalls', 'stich', 'trockenheit')",1
"('eigenhändig', 'notfalls', 'stich')",1
"('eigenhändig', 'gießen', 'notfalls')",1
"('absoluter', 'notfallplan', 'scheinen')",1
"('absoluter', 'notfallplan', 'wirklich')",1
"('notfallplan', 'verzweifeln', 'wirklich')",1
"('niederlande', 'notfallplan', 'wasser')",1
"('ausgerufen', 'niederlande', 'notfallplan')",1
"('anhaltenden', 'ausgerufen', 'notfallplan')",1
"('entspannt', 'liege', 'notfallsituation')",1
"('gewässer', 'liege', 'notfallsituation')",1
"('gewässer', 'notfallsituation', 'trocken')",1
"('befreien', 'kleinen', 'notfallhammer')",1
"('kleinen', 'notfallhammer', 'schlugen')",1
"('beamten', 'notfallhammer', 'schlugen')",1
"('antwort', 'bahn.notfall-tipps', 'deutschen')",1
"('bahn.notfall-tipps', 'bahnstattdessen', 'deutschen')",1
"('bahn.notfall-tipps', 'bahnstattdessen', 'tipps')",1
"('bahnstattdessen', 'notfall', 'tipps')",1
"('dennoch', 'notfall', 'tipps')",1
"('dennoch', 'klimaanlage', 'notfall')",1
"('enden', 'notfallfallmediziner', 'warnt')",1
"('notfallfallmediziner', 'sefrin.als', 'warnt')",1
