"Word","Frequency"
"('hagel', 'starkregen', 'sturmböen')",9
"('hagel', 'starkregen', 'unwetter')",7
"('schützen', 'starkregen', 'städte')",6
"('gewitter', 'hagel', 'starkregen')",6
"('gewittern', 'hagel', 'starkregen')",5
"('juli', 'regenfälle', 'starke')",4
"('gewitter', 'schauer', 'starkregen')",4
"('hagel', 'heftigem', 'starkregen')",4
"('gewittern', 'schweren', 'starkregen')",4
"('liter', 'pro', 'starkregen')",4
"('starke', 'unwetter', 'verwüstungen')",3
"('starkem', 'warnt', 'wetterdienst')",3
"('bayern', 'experten', 'starkregen')",3
"('bayern', 'starkregen', 'vorbereitet')",3
"('juli', 'mitte', 'starke')",3
"('dauerregen', 'regenfälle', 'starke')",3
"('extremen', 'niederlande', 'starkregenfällen')",3
"('betroffen', 'extremen', 'starkregenfällen')",3
"('betroffen', 'flutkatastrophe', 'starkregenfällen')",3
"('angebot', 'evakuierung', 'starkregen')",3
"('evakuierung', 'möglichwie', 'starkregen')",3
"('meteorologin', 'möglichwie', 'starkregen')",3
"('dwd', 'erklärte', 'starkregen')",3
"('erklärte', 'genau', 'starkregen')",3
"('genau', 'genau', 'starkregen')",3
"('dwd', 'gewitter', 'starkregen')",3
"('dwd', 'heißt', 'starkregen')",3
"('pro', 'quadratmeter', 'starkregen')",3
"('regenfällen', 'starken', 'unwetter')",3
"('extrem', 'heftigen', 'starkregen')",3
"('heftigen', 'niederschlagsmengen', 'starkregen')",3
"('liter', 'niederschlagsmengen', 'starkregen')",3
"('euro', 'milliarde', 'starke')",3
"('euro', 'regenfälle', 'starke')",3
"('kleine', 'regenfälle', 'starke')",3
"('starkregen', 'straßen', 'überflutete')",3
"('bereich', 'starkregen', 'straßen')",3
"('bringt', 'kaltfront', 'starke')",3
"('bringt', 'starke', 'winde')",3
"('erwartet', 'starke', 'winde')",3
"('freistaat', 'katastrophenfälle', 'starkregen-')",3
"('freistaat', 'hochwasserereignisse', 'starkregen-')",3
"('hochwasserereignisse', 'juli', 'starkregen-')",3
"('hingeguckt', 'müsse.zum', 'starkregen')",3
"('müsse.zum', 'schützen', 'starkregen')",3
"('erdbeben', 'japans', 'starkes')",3
"('gewitter', 'kräftige', 'starkregen')",3
"('gewitter', 'starkregen', 'unwetter')",3
"('heftigem', 'herausgegeben', 'starkregen')",3
"('l/m²', 'niederschlagsmengen', 'starkregen')",3
"('hagel', 'regen', 'starkem')",3
"('starkregen', 'unwetter', 'zieht')",3
"('gewittern', 'heftigem', 'starkregen')",3
"('böen', 'orkanartigen', 'starkregen')",3
"('betroffen', 'haushalte', 'starken')",2
"('betroffen', 'starken', 'sturms')",2
"('aufhängungen', 'starken', 'sturms')",2
"('schwere', 'starke', 'unwetter')",2
"('lippstadt', 'starke', 'verwüstungen')",2
"('darin', 'extrem', 'starke')",2
"('extrem', 'getrennte', 'starke')",2
"('auf-', 'getrennte', 'starke')",2
"('enorme', 'mengen', 'starkregen')",2
"('heftige', 'mengen', 'starkregen')",2
"('heftige', 'starkregen', 'windgeschwindigkeiten')",2
"('abwasser-kanäle', 'reicht', 'starkregen')",2
"('abwasser-kanäle', 'aufnehmen', 'starkregen')",2
"('aufnehmen', 'gebiet', 'starkregen')",2
"('geht', 'kann.br24-redaktion', 'starke')",2
"('geht', 'starke', 'unwetter')",2
"('einstellen', 'starke', 'unwetter')",2
"('alpen', 'heraus', 'starkregen')",2
"('hagel', 'heraus', 'starkregen')",2
"('hagel', 'orkanartige', 'starkregen')",2
"('herausgegeben', 'starken', 'unwetterwarnung')",2
"('herausgegeben', 'starken', 'winden')",2
"('niederschlägen', 'starken', 'winden')",2
"('dichten', 'starke', 'wolken')",2
"('starke', 'temperaturunterschiede', 'wolken')",2
"('herrschen', 'starke', 'temperaturunterschiede')",2
"('dienen', 'parks', 'starkregen')",2
"('dienen', 'starkregen', 'überflutungsflächen')",2
"('rest', 'starkregen', 'überflutungsflächen')",2
"('hitze', 'starkregen', 'trockenheit')",2
"('hitze', 'häufiger', 'starkregen')",2
"('auftritt', 'häufiger', 'starkregen')",2
"('halten', 'niederschlägen', 'starke')",2
"('halten', 'starke', 'winde')",2
"('freistaat', 'starke', 'winde')",2
"('schneefall', 'starkem', 'warnt')",2
"('innerhalb', 'schneefall', 'starkem')",2
"('oberpfalz', 'ostbayern', 'starker')",2
"('ostbayern', 'schneefall', 'starker')",2
"('eingesetzt', 'schneefall', 'starker')",2
"('auswegen', 'fallen', 'starken')",2
"('auswegen', 'schneefälle', 'starken')",2
"('schneefälle', 'starken', 'umstürzender')",2
"('deutschen', 'stark-', 'wetterdienstes')",2
"('dauerregen', 'stark-', 'wetterdienstes')",2
"('dauerregen', 'keller', 'stark-')",2
"('oberpfalz', 'stark-', 'warnung')",2
"('dauerregen', 'stark-', 'warnung')",2
"('dauerregen', 'landkreis', 'stark-')",2
"('ergiebigem', 'risiko', 'starkregen')",2
"('ergiebigem', 'getroffen', 'starkregen')",2
"('getroffen', 'richtung', 'starkregen')",2
"('bayern', 'freigeräumt.experten', 'starkregen')",2
"('bayern', 'starkregen', 'vorbereitetkosten')",2
"('material', 'starkregen', 'vorbereitetkosten')",2
"('rodelbahn', 'starkregen', 'verbaut')",2
"('hagel', 'starkregen', 'verbaut')",2
"('freitagvormittag', 'hagel', 'starkregen')",2
"('erbsengröße.der', 'hagel', 'starkregen')",2
"('erbsengröße.der', 'starkregen', 'überschwemmte')",2
"('starkregen', 'straßen', 'überschwemmte')",2
"('hangrutsche', 'königssee', 'starkregen')",2
"('ausgelöst', 'hangrutsche', 'starkregen')",2
"('ausgelöst', 'starkregen', 'wälzten')",2
"('kanal', 'sturz', 'umgekommen.starke')",2
"('kanal', 'regenfälle', 'umgekommen.starke')",2
"('regenfälle', 'umgekommen.starke', 'unglück')",2
"('jahres', 'starkregen', 'vergangenen')",2
"('hochwasser', 'jahres', 'starkregen')",2
"('hochwasser', 'muren', 'starkregen')",2
"('schmelzenstarker', 'schneedecke', 'temperaturen')",2
"('langanhaltender', 'schmelzenstarker', 'schneedecke')",2
"('langanhaltender', 'regen', 'schmelzenstarker')",2
"('führt', 'kombination', 'starkem')",2
"('führt', 'starkem', 'tauwetter')",2
"('großen', 'starkem', 'tauwetter')",2
"('beim', 'passiert', 'starkregen')",2
"('derartige', 'klimawandel', 'starkregenfälle')",2
"('1,2-', 'derartige', 'starkregenfälle')",2
"('1,2-', '9-fache', 'starkregenfälle')",2
"('löste', 'samstagabend', 'starkregen')",2
"('löste', 'schlammlawine', 'starkregen')",2
"('schlammlawine', 'starkregen', 'wohnräume')",2
"('starken', 'unwetter', 'wochenende')",2
"('regenfällen', 'starken', 'vorhergesagt.passau')",2
"('dwd', 'starkregen', 'warnte')",2
"('starkregen', 'südosten', 'warnte')",2
"('bayerns', 'starkregen', 'südosten')",2
"('angekündigten', 'halten', 'starkregens')",2
"('angekündigten', 'salzach', 'starkregens')",2
"('inn', 'salzach', 'starkregens')",2
"('quadratmeter', 'rechnet', 'starkregen')",2
"('dwd', 'rechnet', 'starkregen')",2
"('br-interview', 'dittlmann', 'leistungsstarke')",2
"('br-interview', 'leistungsstarke', 'pumpen')",2
"('beschafft', 'leistungsstarke', 'pumpen')",2
"('führtnun', 'starkregen', 'überflutung')",2
"('erhöhte', 'führtnun', 'starkregen')",2
"('erhöhte', 'flusspegel', 'starkregen')",2
"('bestätigt', 'derartige', 'starkregenfälle')",2
"('derartige', 'dramatische', 'starkregenfälle')",2
"('dramatische', 'konsequenzen', 'starkregenfälle')",2
"('dürren', 'extremwetterereignissen', 'starkregen')",2
"('dürren', 'folge', 'starkregen')",2
"('folge', 'klimawandels', 'starkregen')",2
"('genau', 'nächste', 'starkregen')",2
"('heruntergeht', 'nächste', 'starkregen')",2
"('heruntergeht', 'lässt', 'starkregen')",2
"('birst', 'schmilzt', 'starken')",2
"('birst', 'starken', 'strömungen')",2
"('starken', 'strömungen', 'unterspült')",2
"('hochwassers', 'kraft', 'starkregen')",2
"('hochwassers', 'starkregen', 'tempo')",2
"('kleiner', 'starkregen', 'tempo')",2
"('errichtet', 'stabil', 'starkem')",2
"('errichtet', 'hochwasser', 'starkem')",2
"('brechen', 'hochwasser', 'starkem')",2
"('andauernder', 'meldestufe', 'starkregen')",2
"('andauernder', 'franken', 'starkregen')",2
"('franken', 'starkregen', 'überschwemmte')",2
"('ort', 'starkregen', 'unterfranken')",2
