"Word","Frequency"
"('hagel', 'starkregen', 'sturmböen')",9
"('3,5', 'schwere', 'sturmflut')",4
"('100', 'schwere', 'sturmböen')",4
"('durchsagen', 'gewarnt', 'sturmtief')",3
"('burglind', 'gewarnt', 'sturmtief')",3
"('beeinträchtigungen', 'burglind', 'sturmtief')",3
"('-fahrzeuge', 'bereit', 'sturmschäden')",3
"('bereit', 'oberleitungen', 'sturmschäden')",3
"('beseitigen', 'oberleitungen', 'sturmschäden')",3
"('liste', 'nordsee', 'sturmfluten')",3
"('berühmten', 'markusturm', 'niederösterreich')",3
"('berühmten', 'markusturm', 'venedig')",3
"('fielen', 'markusturm', 'venedig')",3
"('dienst', 'meteorologischen', 'sturmgeschwindigkeiten')",3
"('139', 'dienst', 'sturmgeschwindigkeiten')",3
"('139', 'stundenkilometer', 'sturmgeschwindigkeiten')",3
"('salzburg', 'sturmböen', 'umgeleitet.durch')",3
"('sturmböen', 'stürzten', 'umgeleitet.durch')",3
"('dutzende', 'sturmböen', 'stürzten')",3
"('erreichten', 'frankreich', 'sturmböen')",3
"('erreichten', 'sturmböen', 'windgeschwindigkeiten')",3
"('220', 'sturmböen', 'windgeschwindigkeiten')",3
"('hagel', 'sturmböen', 'vereinzelt')",3
"('hagel', 'schwere', 'sturmböen')",3
"('geschwindigkeiten', 'hagel', 'sturmböen')",3
"('betroffen', 'starken', 'sturms')",2
"('aufhängungen', 'starken', 'sturms')",2
"('aufhängungen', 'freileitungen', 'sturms')",2
"('burglind', 'januar', 'sturmtief')",2
"('bäume', 'naturverjüngung', 'sturmgebiet')",2
"('regnen', 'schauerartig', 'sturmböen')",2
"('bleibt', 'regnen', 'sturmböen')",2
"('bleibt', 'regnerisch', 'sturmböen')",2
"('bergbahnen', 'einschränkungen', 'sturmböenneben')",2
"('bergbahnen', 'niederschlägen', 'sturmböenneben')",2
"('halten', 'niederschlägen', 'sturmböenneben')",2
"('gerechnet', 'sturmböen', 'werden.wegen')",2
"('bergbahnen', 'sturmböen', 'werden.wegen')",2
"('bergbahnen', 'oberbayern', 'sturmböen')",2
"('fällt', 'nachtskilauf', 'sturmböen')",2
"('arber', 'nachtskilauf', 'sturmböen')",2
"('arber', 'bretterschachten', 'sturmböen')",2
"('arber', 'großen', 'sturms')",2
"('arber', 'gondelbahn', 'sturms')",2
"('gondelbahn', 'nordhang', 'sturms')",2
"('anlagen', 'augsburg', 'sturmböen')",2
"('augsburg', 'augsburg', 'sturmböen')",2
"('augsburg', 'blieben', 'sturmböen')",2
"('bayerischen', 'sturmböen', 'wald')",2
"('100', 'sturmböen', 'wald')",2
"('100', 'kilometern', 'sturmböen')",2
"('fränkische', 'saale.zum', 'sturmtiefs')",2
"('bringen', 'saale.zum', 'sturmtiefs')",2
"('bringen', 'regen', 'sturmtiefs')",2
"('100', 'oberösterreich', 'sturmbedingte')",2
"('100', 'feuerwehreinsätze', 'sturmbedingte')",2
"('apa', 'feuerwehreinsätze', 'sturmbedingte')",2
"('markantes', 'sturmböen', 'wetter')",2
"('ostbayernim', 'sturmböen', 'wetter')",2
"('ostbayernim', 'osten', 'sturmböen')",2
"('cham', 'regen', 'sturmböen')",2
"('cham', 'oberhalb', 'sturmböen')",2
"('1.000', 'oberhalb', 'sturmböen')",2
"('pro', 'stunde', 'sturmböen')",2
"('hagel', 'stunde', 'sturmböen')",2
"('hagel', 'korngrößen', 'sturmböen')",2
"('ausmaß', 'tropensturm', 'zerstörung')",2
"('harvey', 'tropensturm', 'zerstörung')",2
"('harvey', 'sichtbar', 'tropensturm')",2
"('gewaltige', 'tropische', 'wirbelsturm')",2
"('ende', 'tropische', 'wirbelsturm')",2
"('ende', 'september', 'wirbelsturm')",2
"('blieb', 'wirbelsturm', 'überschwemmungen')",2
"('blieb', 'usa', 'wirbelsturm')",2
"('usa', 'vergangenen', 'wirbelsturm')",2
"('schäden', 'schätzung', 'sturmtiefs')",2
"('elliot', 'schäden', 'sturmtiefs')",2
