"Word","Frequency"
"('frühwarnsystem', 'neuartiges', 'völlig')",2
"('frühwarnsystem', 'neuartiges', 'unwetter')",2
"('frühwarnsystem', 'hochwasser', 'unwetter')",2
"('ki-warnsystem', 'ministerium', 'neue')",2
"('ki-warnsystem', 'neue', 'unwetter')",2
"('ki-warnsystem', 'nutzt', 'unwetter')",2
"('ki-gestützten', 'prototyp', 'unwetterfrühwarnsystems')",2
"('fertigstellung', 'ki-gestützten', 'unwetterfrühwarnsystems')",2
"('bayerischen', 'fertigstellung', 'unwetterfrühwarnsystems')",2
"('grüne', 'mängel', 'warnsystem')",2
"('beheben', 'mängel', 'warnsystem')",2
"('beheben', 'stefan', 'warnsystem')",2
"('befreit', 'bevölkerung', 'warnsystem')",2
"('bevölkerung', 'katwarn', 'warnsystem')",2
"('informiert', 'katwarn', 'warnsystem')",2
"('eins', 'hochwasser-warnsystems', 'vierstufigen')",1
"('cham', 'hochwasser-warnsystems', 'vierstufigen')",1
"('cham', 'hochwasser-warnsystems', 'regen')",1
"('frühwarnsystems', 'sensoren', 'teil')",1
"('frühwarnsystems', 'passau', 'teil')",1
"('2013', 'frühwarnsystems', 'passau')",1
"('abfließen', 'frühwarnsystem', 'kann.neues')",1
"('arbeitaußerdem', 'frühwarnsystem', 'kann.neues')",1
"('arbeitaußerdem', 'arbeiten', 'frühwarnsystem')",1
"('frühwarnsystem', 'landshut', 'neuen')",1
"('bürger', 'frühwarnsystem', 'neuen')",1
"('bürger', 'einsatzkräfte', 'frühwarnsystem')",1
"('eben', 'frühwarnsystem', 'minute')",1
"('eben', 'frühwarnsystem', 'hilft')",1
"('frühwarnsystem', 'hilft', 'minute')",1
"('hochwasser-warnsystems', 'meldestufe', 'vierstufigen')",1
"('brennpunkt', 'hochwasser-warnsystems', 'vierstufigen')",1
"('brennpunkt', 'chammeldestufe', 'hochwasser-warnsystems')",1
"('broadcast', 'cell', 'warnsystem')",1
"('beauftragteine', 'broadcast', 'warnsystem')",1
"('beauftragteine', 'lehre', 'warnsystem')",1
"('-warnsystems', 'broadcast', 'cell')",1
"('-warnsystems', 'beauftragt', 'broadcast')",1
"('-warnsystems', 'beauftragt', 'experten')",1
"('hangrutsch', 'rede', 'warnsystem')",1
"('geholfen', 'rede', 'warnsystem')",1
"('geholfen', 'gesagt', 'warnsystem')",1
"('alarmiert', 'push-sms', 'warnsystem')",1
"('option', 'push-sms', 'warnsystem')",1
"('bayern', 'option', 'warnsystem')",1
"('offen', 'sms-warnsystem', 'zeigt')",1
"('bestehenden', 'offen', 'sms-warnsystem')",1
"('bestehenden', 'sms-warnsystem', 'warnsysteme')",1
"('bestehenden', 'ergänzen', 'warnsysteme')",1
"('ergänzen', 'ersetzen', 'warnsysteme')",1
"('betroffen', 'fall', 'vorwarnsystem')",1
"('fall', 'funktioniert', 'vorwarnsystem')",1
"('funktioniert', 'sagt', 'vorwarnsystem')",1
"('krise', 'versagt', 'warnsysteme')",1
"('funktioniert', 'krise', 'warnsysteme')",1
"('funktioniert', 'medien', 'warnsysteme')",1
"('abwasserüberwachung', 'frühwarnsystem', 'hoffnung')",1
"('abwasserüberwachung', 'auftauchen', 'frühwarnsystem')",1
"('auftauchen', 'frühwarnsystem', 'zirkulation')",1
"('frühwarnsystemdie', 'kamera', 'können.die')",1
"('frühwarnsystemdie', 'kamera', 'webcam')",1
"('frühwarnsystemdie', 'webcam', 'willen')",1
"('frühwarnsystem', 'homepage', 'liefern')",1
"('frühwarnsystem', 'liefern', 'sagt')",1
"('frühwarnsystem', 'sagt', 'schuhbauer')",1
"('hersteller', 'investieren', 'warnsystemen')",1
"('grenze', 'hersteller', 'warnsystemen')",1
"('grenze', 'sicherlich', 'warnsystemen')",1
"('geschäftsführerin', 'oberbayerischen', 'warnsystem-herstellers')",1
"('oberbayerischen', 'unternehmen', 'warnsystem-herstellers')",1
"('unternehmen', 'vergangenen', 'warnsystem-herstellers')",1
"('begonnen', 'flächendeckendes', 'warnsystem')",1
"('eigener', 'flächendeckendes', 'warnsystem')",1
"('eigener', 'tasche', 'warnsystem')",1
"('flächendeckendes', 'funktionierendes', 'warnsystem')",1
"('flächendeckendes', 'haben.', 'warnsystem')",1
"('...', 'haben.', 'warnsystem')",1
"('angrenzenden', 'frühwarnsystem', 'staaten')",1
"('frühwarnsystem', 'pacific', 'staaten')",1
"('frühwarnsystem', 'pacific', 'tsunami')",1
"('frühwarnsystem', 'ozean', 'starben')",1
"('errichtet', 'frühwarnsystem', 'starben')",1
"('errichtet', 'flachgründige', 'frühwarnsystem')",1
"('geomorphologie', 'warnsysteme', 'zugehörige')",1
"('jüngst', 'warnsysteme', 'zugehörige')",1
"('entstandenen', 'jüngst', 'warnsysteme')",1
"('abzulenken', 'bremsen', 'warnsysteme')",1
"('abzulenken', 'lawinen', 'warnsysteme')",1
"('erkennen', 'lawinen', 'warnsysteme')",1
"('meteo', 'unwetterwarnsystem', 'wind')",1
"('unwetterwarnsystem', 'weather', 'wind')",1
"('information', 'unwetterwarnsystem', 'weather')",1
"('hagel', 'kurzfrist-warnsystem', 'sturzfluten')",1
"('einbringen', 'kurzfrist-warnsystem', 'sturzfluten')",1
"('einbringen', 'kurzfrist-warnsystem', 'spotter')",1
"('dank', 'oklahoma', 'warnsystems')",1
"('dank', 'konnte', 'warnsystems')",1
"('konnte', 'usa', 'warnsystems')",1
"('2013', 'europäische', 'warnsystem')",1
"('europäische', 'gefährliche', 'warnsystem')",1
"('asteroiden', 'gefährliche', 'warnsystem')",1
"('anforderungen', 'anpassen', 'frühwarnsystem')",1
"('anpassen', 'einfacher', 'frühwarnsystem')",1
"('einfacher', 'frühwarnsystem', 'neue')",1
"('legt', 'plan', 'warnsystem')",1
"('fest', 'legt', 'warnsystem')",1
"('fest', 'menschen', 'warnsystem')",1
"('greift', 'hitzewelle', 'warnsystem')",1
"('deutschen', 'greift', 'warnsystem')",1
"('deutschen', 'warnsystem', 'wetterdienstes')",1
"('bäumen', 'gewässern', 'hitzewarnsystem')",1
"('gewässern', 'hitzetote', 'hitzewarnsystem')",1
"('hitzetote', 'hitzewarnsystem', 'vermeiden.tatsächlich')",1
"('beauftragt', 'geeignete', 'warnsysteme')",1
"('geeignete', 'untersuchen', 'warnsysteme')",1
"('alarm', 'untersuchen', 'warnsysteme')",1
"('fordert', 'frühwarnsystem', 'landesfischereiverband')",1
"('fordert', 'frühwarnsystem', 'österreichischem')",1
"('frühwarnsystem', 'vorbild', 'österreichischem')",1
"('kilometern', 'tiefe', 'tsunami-warnsystem')",1
"('kilometern', 'tsunami-warnsystem', 'usa')",1
"('behörden', 'tsunami-warnsystem', 'usa')",1
"('modulare', 'warnsystem', 'warnungen')",1
"('modulare', 'mowas', 'warnsystem')",1
"('bundes', 'mowas', 'warnsystem')",1
"('bindet', 'warnsystemen', 'warnungen')",1
"('einneben', 'warnsystemen', 'warnungen')",1
"('einneben', 'warnmeldungen', 'warnsystemen')",1
"('hochwasserportals', 'lhp', 'warnsysteme')",1
"('biwapp', 'lhp', 'warnsysteme')",1
"('biwapp', 'katwarn', 'warnsysteme')",1
"('dahinter', 'liegenden', 'warnsysteme')",1
"('behörden', 'liegenden', 'warnsysteme')",1
"('behörden', 'funktionieren', 'warnsysteme')",1
"('satellitengestützten', 'software', 'warnsystem')",1
"('daten', 'satellitengestützten', 'warnsystem')",1
"('daten', 'gefüttert', 'warnsystem')",1
"('art', 'schön', 'warnsystem')",1
"('art', 'unmittelbar', 'warnsystem')",1
"('smartphone', 'unmittelbar', 'warnsystem')",1
"('frühwarnsystem', 'ziel', 'überwachungs-')",1
"('frühwarnsystem', 'schaffen', 'überwachungs-')",1
"('erneuten', 'frühwarnsystem', 'schaffen')",1
