"Word","Frequency"
"('akuten', 'bedrohung', 'flutkatastrophen', 'unwetterkatastrophen')",6
"('180', 'flut', 'jahrmehr', 'tote')",4
"('simbach', 'sturzfluten', 'trat', 'ufer')",4
"('fünf', 'sturzfluten', 'trat', 'ufer')",4
"('20.000', 'flut', 'menschen', 'riss')",4
"('damals', 'flut', 'menschen', 'riss')",4
"('keller', 'sperrung', 'überflutet', 'überörtlicher')",3
"('sperrung', 'verkehrsverbindungen', 'überflutet', 'überörtlicher')",3
"('flut', 'fünf', 'großen', 'jahre')",3
"('flut', 'großen', 'jahre', 'kreis')",3
"('flut', 'großen', 'kreis', 'rottal-inn')",3
"('gebäude', 'geflutet', 'standen', 'straßenzüge')",3
"('ersten', 'flutkatastrophe', 'jahrestag', 'tödlichen')",3
"('ahrtal', 'bundespräsident', 'flutkatastrophe', 'frank-walter')",3
"('betroffen', 'extremen', 'flutkatastrophe', 'starkregenfällen')",3
"('betroffen', 'flutkatastrophe', 'forderte', 'starkregenfällen')",3
"('betroffen', 'flutkatastrophe', 'forderte', 'mehre')",3
"('dutzend', 'flutkatastrophe', 'forderte', 'mehre')",3
"('flutkatastrophe', 'jüngsten', 'klimawandel', 'rolle')",3
"('flutkatastrophe', 'jüngsten', 'rolle', 'westeuropa')",3
"('flutkatastrophe', 'gespielt', 'jüngsten', 'westeuropa')",3
"('flutkatastrophe', 'gespielt', 'westeuropa', 'zusammenhänge')",3
"('deutschlands', 'flutkatastrophe', 'heimgesucht', 'westen')",3
"('170', 'deutschlands', 'flutkatastrophe', 'heimgesucht')",3
"('170', 'flutkatastrophe', 'heimgesucht', 'menschen')",3
"('autos', 'fluten', 'schwammen', 'verwandelten')",3
"('autos', 'fluten', 'schwammen', 'wasser-')",3
"('fluten', 'schwammen', 'stromversorgung', 'wasser-')",3
"('fluten', 'stromversorgung', 'vielerorts', 'wasser-')",3
"('fluten', 'lahmgelegt', 'unterbrochen', 'verkehr')",3
"('fluten', 'lahmgelegt', 'verkehr', 'überschwemmten')",3
"('fluten', 'lahmgelegt', 'u-bahn', 'überschwemmten')",3
"('fluten', 'hunderte', 'u-bahn', 'überschwemmten')",3
"('flut', 'fünf', 'inn', 'jahren')",3
"('flut', 'fünf', 'jahren', 'verwüstet')",3
"('aktuelle', 'flut', 'jahren', 'verwüstet')",3
"('aktuelle', 'flut', 'kritik', 'verwüstet')",3
"('bach', 'simbach', 'sturzfluten', 'ufer')",3
"('erst', 'flut', 'jetztsimbach', 'spezial-sirenen')",3
"('erst', 'flut', 'jetztsimbach', 'sirenen')",3
"('beantragt', 'flut', 'jetztsimbach', 'sirenen')",3
"('beantragt', 'durchsagen', 'flut', 'sirenen')",3
"('2016', 'flutkatastrophe', 'sieben', 'starben')",3
"('flutwelle', 'reißende', 'ströme', 'verwandelt')",3
"('flutwelle', 'rollte', 'ströme', 'verwandelt')",3
"('flutwelle', 'rollte', 'simbach', 'verwandelt')",3
"('flutwelle', 'inn', 'rollte', 'simbach')",3
"('bedrohung', 'besiedelt', 'flutkatastrophen', 'unwetterkatastrophen')",3
"('besiedelt', 'flutkatastrophen', 'sollten.brk', 'unwetterkatastrophen')",3
"('allradfahrzeuge', 'besiedelt', 'flutkatastrophen', 'sollten.brk')",3
"('besiedelbar', 'flutkatastrophe', 'hintergrund', 'jährenden')",3
"('flutkatastrophe', 'hintergrund', 'jährenden', 'rheinland-pfalz')",3
"('flutkatastrophe', 'jährenden', 'nordrhein-westfalen', 'rheinland-pfalz')",3
"('flutkatastrophe', 'hält', 'nordrhein-westfalen', 'rheinland-pfalz')",3
"('bedrohung', 'flutkatastrophen', 'unwetterkatastrophen', 'wiederbesiedelt')",3
"('flutkatastrophen', 'sollten', 'unwetterkatastrophen', 'wiederbesiedelt')",3
"('flutkatastrophen', 'küsten', 'sollten', 'wiederbesiedelt')",3
"('anlässlich', 'berlin', 'flutkatastrophe', 'jahrestages')",3
"('anlässlich', 'bevölkerungsschutz', 'flutkatastrophe', 'jahrestages')",3
"('bevölkerungsschutz', 'flutkatastrophe', 'jahrestages', 'äußern.mit')",3
"('bevölkerungsschutz', 'flutkatastrophe', 'material', 'äußern.mit')",3
"('flutopfer', 'hilfe', 'staatlichen', 'töpfen')",3
"('dienstgebäude', 'flutkatastrophe', 'polizei', 'simbach')",2
"('2016', 'flutkatastrophe', 'polizei', 'simbach')",2
"('2016', 'flutkatastrophe', 'mehreren', 'simbach')",2
"('2016', 'flutkatastrophe', 'mehreren', 'todesopfern')",2
"('2016', 'gefluteten', 'polizei', 'simbacher')",2
"('2016', 'gebäude', 'gefluteten', 'polizei')",2
"('containern', 'gebäude', 'gefluteten', 'innbrücke')",2
"('cham', 'geflutet', 'keller', 'kreisbrandinspektion')",2
"('cham', 'geflutet', 'keller', 'straßen')",2
"('bahngleise', 'geflutet', 'keller', 'straßen')",2
"('bahngleise', 'geflutet', 'straßen', 'überschwemmtdemnach')",2
"('geflutet', 'keller', 'niedergegangen', 'zeit')",2
"('geflutet', 'keller', 'niedergegangen', 'straßenzüge')",2
"('gebäude', 'geflutet', 'keller', 'straßenzüge')",2
"('donau', 'flutpolder', 'möchte', 'verbessern')",2
"('flutpolder', 'möchte', 'rückhaltebecken', 'verbessern')",2
"('drohenden', 'flutpolder', 'möchte', 'rückhaltebecken')",2
"('drohenden', 'extremen', 'flutpolder', 'rückhaltebecken')",2
"('drohenden', 'extremen', 'geflutet', 'hochwasser')",2
