"Word","Frequency"
"('güllefässer', 'landwirte', 'vorsorglich', 'wasser')",2
"('füllendie', 'güllefässer', 'vorsorglich', 'wasser')",2
"('entsprechende', 'kommunen', 'vorsorgemaßnahmen', 'zufolge')",1
"('beitrag', 'langfristig', 'vorsorgenden', 'wichtigen')",1
"('beitrag', 'hochwasserschutz', 'vorsorgenden', 'wichtigen')",1
"('regen', 'tagelangem', 'vorsorglich', 'überschwemmt')",1
"('36.', 'umzuparken', 'vorsorglich', 'würzburger')",1
"('erreichen', 'prognose', 'vorsorglich', 'wasserwirtschaftsamtes')",1
"('polling', 'prognose', 'vorsorglich', 'wasserwirtschaftsamtes')",1
"('polling', 'vorsorglich', 'wasserwirtschaftsamtes', 'weilheim')",1
"('feuerwehr', 'polling', 'vorsorglich', 'weilheim')",1
"('brauche', 'funktionieren', 'vorsorge', 'übungen')",1
"('brauche', 'fall', 'vorsorge', 'übungen')",1
"('blackouts.der', 'fall', 'vorsorge', 'übungen')",1
"('registriert', 'september', 'vorsorglich', 'zehntausende')",1
"('anwohner', 'september', 'vorsorglich', 'zehntausende')",1
"('anwohner', 'sicherheit', 'vorsorglich', 'zehntausende')",1
"('1800.', 'naturkatastrophen', 'vorsorge', 'wallstein')",1
"('1800.', 'göttingen', 'vorsorge', 'wallstein')",1
"('bürger', 'kosten', 'vorsorge', 'wetterereignisses')",1
"('camper', 'evakuiert', 'vorsorglich', 'örtliche')",1
"('evakuiert', 'feuerwehr', 'vorsorglich', 'örtliche')",1
"('bahn', 'niederlanden', 'vorsorglich', 'züge')",1
"('einsetzen', 'niederlanden', 'vorsorglich', 'züge')",1
"('einsetzen', 'verspätungen', 'vorsorglich', 'züge')",1
"('helgoland', 'insel', 'vorsorglich', 'wangerooge')",1
"('fielen', 'insel', 'vorsorglich', 'wangerooge')",1
"('drehten', 'einsatzkräfte', 'vorsorglich', 'weihnachtsmarktbuden')",1
"('drehten', 'vorsorglich', 'weihnachtsmarktbuden', 'wind')",1
"('direkt', 'vorsorglich', 'weihnachtsmarktbuden', 'wind')",1
