"Word","Frequency"
"('gletscher', 'schmelzen')",11
"('gletscher', 'größte')",7
"('gletscher', 'schmelzende')",7
"('alpengletscher', 'warum')",6
"('alpengletscher', 'schlimmes')",6
"('gletscher', 'schweizer')",6
"('gletscher-', 'zählt')",5
"('gletscher-', 'schneeschmelze')",5
"('gletscher', 'könnten')",5
"('gletscher', 'skandinavien')",5
"('gletscher', 'jahr')",5
"('gletscher', 'verlieren')",4
"('gletschers', 'teile')",4
"('gletscher', 'gletscher')",4
"('gletscher', 'prozent')",4
"('gletscher', 'jahren')",4
"('alpengletscher', 'drittel')",4
"('gletscher', 'weltweit')",4
"('gletscher', 'welt')",4
"('gletscherabbruch', 'marmolata')",3
"('gletscher', 'nordseite')",3
"('gletscherschmelze', 'steigt')",3
"('gletschers', 'oberfläche')",3
"('gletschers', 'stück')",3
"('gletscher-', 'weitere')",3
"('gletscherabbruch', 'tage')",3
"('gletscherabbruch', 'löste')",3
"('gletscher', 'spalte')",3
"('gletscher', 'status')",3
"('gletscher', 'schneeferner')",3
"('gletscher', 'tot')",3
"('gletscherabbruch', 'sonntag')",2
"('gletscherabbrüche', 'neue')",2
"('gletscherunglück', 'tödlichen')",2
"('gletscherunglück', 'marmolata')",2
"('gletscherabbruch', 'istgebiet')",2
"('gletscher', 'schmelzenin')",2
"('gletscherfläche', 'hälfte')",2
"('gletschern', 'heute')",2
"('alpengletscher', 'restlichen')",2
"('alpengletscher', 'stark')",2
"('gletscher', 'österreich')",2
"('gletscher', 'stammt')",2
"('gletschern', 'temperierten')",2
"('gletscher', 'temperierter')",2
"('gletscher', 'verschiedene')",2
"('gletscherflächen', 'größten')",2
"('gletscher', 'unterhalb')",2
"('fedtschenko-gletscher', 'pamir')",2
"('gletscher', 'schnee')",2
"('gletscher', 'prognostiziert')",2
"('gletscher', 'meer')",2
"('gletscher', 'kategorie')",2
"('gletscher', 'künstlicher')",2
"('gletscher', 'klimawandel')",2
"('gletscherbahnen', 'kaunertaler')",2
"('gletscher', 'verschwinden')",2
"('gletscher', 'größe')",2
"('gletscher', 'vier')",2
"('gletscherfläche', 'zugleich')",2
"('gletscher', 'zugspitze')",2
"('gletschereis', 'turm')",2
"('gletscher', 'verdunsten')",2
"('gletscher', 'große')",2
"('gletscher', 'vergleich')",2
"('gletscher', 'hochgebirge')",2
"('gletschern', 'natürlicher')",1
"('armancette-gletscher', 'sonntagmittag')",1
"('armancette-gletscher', 'nähe')",1
"('gletscher', 'verletzt')",1
"('gletscher', 'samstagnachmittag')",1
"('gletscherabbruch', 'naturereignis')",1
"('gletscherabbruch', 'grönland')",1
"('gletscherlauf', 'wasserstandsanomalien')",1
"('gletscherlauf', 'sowie')",1
"('gletscher', 'vegetation')",1
"('gletscher', 'tirol')",1
"('gletscherregion', 'hochgebirge')",1
"('gletscher', 'speichern')",1
"('gletscher', 'landflächen')",1
"('gletscher', 'rückgang')",1
"('gletscherschwund', 'siehe')",1
"('gletscher', 'hineinreichten')",1
"('feldberg-gletscher', 'schwarzwalds')",1
"('feldberg-gletscher', 'kaltzeiten')",1
"('gletscher', 'wort')",1
"('gletschereis', 'schnees')",1
"('gletschereis', 'herausgepresst')",1
"('gletschereis', 'somit')",1
"('gletschern', 'regel')",1
"('gletscher', 'verlassen')",1
"('gletschers', 'massenverlust')",1
"('gletschereis', 'zuwachs')",1
"('gletschereis', 'oberhalb')",1
"('gletscher', 'schmelzwasser')",1
"('gletscher', 'oberflächlich')",1
"('gletschers', 'massenhaushalt')",1
"('gletschertor', 'meist')",1
"('gletscherzunge', 'öffnung')",1
"('gletscherzunge', 'zehrgebiet')",1
"('gletschersee', 'verborgener')",1
"('gletschersee', 'sog')",1
"('gletscher', 'polare')",1
"('gletscher', 'übergeht')",1
"('gletscher', 'kalbende')",1
"('gletscherdynamik', 'hauptartikel')",1
"('gletschern', 'unterscheiden')",1
"('gletscherabschnitte', 'liegenden')",1
"('gletschersohle', 'sowie')",1
"('gletscher', '−0,35')",1
"('gletscher', '−1,9')",1
"('gletscher', 'reliefbedingt')",1
"('gletscheroberfläche', 'längsdehnung')",1
"('gletschers', 'teil')",1
"('gletschers', 'schneller')",1
"('gletscheroberfläche', 'querdehnung')",1
"('gletscheroberfläche', 'häufig')",1
"('gletscher', 'ziehen')",1
"('gletschers', 'mitte')",1
"('gletschers', 'höher')",1
"('gletscherzunge', 'perito-moreno-gletschers')",1
"('auslassgletscher', 'genannt')",1
"('auslassgletscher', 'bilden')",1
