"Word","Frequency"
"('hitze', 'trockenheit')",75
"('dürre', 'hitze')",27
"('hitze', 'tipps')",26
"('hitze', 'wegen')",22
"('extreme', 'hitze')",18
"('artikel', 'hitzewelle')",18
"('anhaltende', 'hitze')",15
"('artikel', 'hitze')",15
"('großer', 'hitze')",14
"('erwartet', 'hitzewelle')",12
"('hitze', 'lassen')",11
"('bayern', 'hitze')",11
"('folgen', 'hitze')",11
"('gut', 'hitze')",11
"('anhaltenden', 'hitze')",10
"('faktenfuchs', 'hitzeperioden')",10
"('extremer', 'hitze')",10
"('hitze', 'sommer')",10
"('aufgrund', 'hitze')",9
"('große', 'hitze')",9
"('großen', 'hitze')",8
"('hitze', 'macht')",8
"('hitzewelle', 'lange')",7
"('hitze', 'zusammenhang')",7
"('hitze', 'trotz')",7
"('hitzeperioden', 'verharmlost')",6
"('hitze', 'temperaturen')",6
"('hitze', 'schlafen')",6
"('hitze', 'leiden')",5
"('europa', 'hitze')",5
"('hitze', 'verstärkt')",5
"('extreme', 'hitzewellen')",5
"('extremen', 'hitze')",5
"('affenhitze', 'wochenende')",5
"('affenhitze', 'statt')",5
"('hitze', 'warum')",5
"('hitze', 'schützen')",5
"('bayern', 'hitzeschutz')",5
"('hitze', 'menschen')",5
"('gefährdet', 'hitze')",5
"('hitzetoten', 'zahl')",5
"('hitze', 'tödliche')",5
"('hitze', 'hochwasser')",4
"('größten', 'hitze')",4
"('hitze', 'sommerlicher')",4
"('hitze', 'vergangenen')",4
"('europa', 'hitzewellen')",4
"('hitzewelle', 'indien')",4
"('hitzewelle', 'nordamerika')",4
"('dürren', 'hitzewellen')",4
"('gestiegen', 'hitze')",4
"('hitze', 'waldbrände')",4
"('aktuelle', 'hitzewelle')",4
"('chile', 'hitzewelle')",4
"('extreme', 'hitzewelle')",4
"('hitze', 'hält')",4
"('hitzewelle', 'körper')",4
"('hitzewelle', 'vergangenen')",4
"('hitze', 'zwei')",4
"('hitze', 'problematisch')",4
"('erträgliche', 'hitze')",4
"('hitzewelle', 'kommt')",4
"('hitze', 'warnung')",4
"('hitze', 'schafskälte')",4
"('heiß', 'hitze')",4
"('hitze', 'regen')",4
"('besser', 'hitze')",4
"('hitze', 'niedrigwasser')",4
"('artikel', 'hitzeschutz')",4
"('hitze', 'thema')",4
"('autos', 'hitze')",4
"('hitze', 'wirklich')",4
"('hitzewelle', 'thema')",4
"('hitzewelle', 'tipps')",4
"('hitze-mythen', 'wasser')",4
"('hitze-mythen', 'prüfstand')",4
"('hitze', 'starkregen')",3
"('dauerhitze', 'extreme')",3
"('hitze', 'langanhaltender')",3
"('hitzewelle', 'intensiven')",3
"('hitze', 'sommerliche')",3
"('extreme', 'hitzetage')",3
"('enorme', 'hitze')",3
"('2003', 'hitzewelle')",3
"('auswirkungen', 'hitze')",3
"('hitze', 'trockene')",3
"('hitzebedingte', 'sterbefälle')",3
"('europa', 'hitzewelle')",3
"('1960', 'hitzewellen')",3
"('hitzewelle', 'knackige')",3
"('hitze', 'knochentrockene')",3
