"Word","Frequency"
"('erdbeben', 'tsunami')",9
"('entstand', 'tsunami')",4
"('tsunami', 'wellen')",4
"('tsunami', 'vulkanausbruchnach')",4
"('mittwoch', 'tsunami')",4
"('folge', 'tsunami')",4
"('tsunami', 'warnung')",4
"('gewaltigen', 'tsunami')",4
"('tsunami', 'verwüstet')",4
"('tsunami', 'verursacht')",3
"('auslösen', 'tsunami')",3
"('tsunami', 'unwahrscheinlich')",3
"('palma', 'tsunami')",3
"('tsunami', 'us-ostküste')",3
"('anschließenden', 'tsunami')",3
"('sumatra', 'tsunami')",3
"('aufstauen', 'tsunami')",3
"('hafenwelle', 'tsunami')",3
"('seebeben', 'tsunami')",3
"('2004', 'tsunami')",3
"('liste', 'tsunamis')",3
"('alaska', 'tsunami-warnung')",3
"('2004', 'tsunami-einsatz')",2
"('reihen', 'tsunami-einsatz')",2
"('feuersbrünsten', 'tsunamis')",2
"('hilfs-', 'tsunamis')",2
"('tsunami', 'verwüstungen')",2
"('augenschein', 'tsunami')",2
"('tonga', 'tsunami-warnung')",2
"('region', 'tsunami-warnung')",2
"('teilte', 'us-tsunami-warnzentrum')",2
"('samstag', 'us-tsunami-warnzentrum')",2
"('sprach', 'tsunami-höhe')",2
"('1,2', 'tsunami-höhe')",2
"('fidschi-inseln', 'tsunami-warnung')",2
"('bewohner', 'tsunami-warnung')",2
"('entstehen', 'tsunamis')",2
"('colima', 'tsunami-warnbehörde')",2
"('sagte', 'tsunami-warnbehörde')",2
"('gefährliche', 'tsunami-wellen')",2
"('tsunami-wellen', 'vorher')",2
"('befindet', 'tsunami-katastrophe')",2
"('11.', 'tsunami-katastrophe')",2
"('ausgegebene', 'tsunami-warnung')",2
"('später', 'tsunami-warnung')",2
"('meter', 'tsunami')",2
"('hohen', 'tsunami')",2
"('bald', 'tsunami')",2
"('bebens', 'tsunamis')",2
"('atomkraftwerk', 'tsunamis')",2
"('präfekturen', 'tsunami')",2
"('behörde', 'tsunami-warnung')",2
"('herausdas', 'tsunami-warnung')",2
"('anschließendem', 'tsunami')",2
"('schwer', 'tsunami')",2
"('tote', 'tsunami')",2
"('jahr', 'tsunami')",2
"('gebieten', 'tsunami-warnung')",2
"('aufgehobendie', 'tsunami-warnung')",2
"('beben', 'tsunami-warnung')",2
"('heraus', 'tsunami-warnung')",2
"('meeresoberfläche', 'tsunami-warnung')",2
"('tsunami-warnungen', 'usgs')",2
"('region', 'tsunami-warnungen')",2
"('drei', 'tsunami')",2
"('damals', 'tsunami')",2
"('betroffenen', 'tsunami')",2
"('hinab', 'rast.tsunami-warnung')",1
"('japanin', 'rast.tsunami-warnung')",1
"('ausbruch', 'tsunamiwarnung')",1
"('inselketten', 'tsunamiwarnung')",1
"('kleinere', 'tsunami-wellen')",1
"('gefahr', 'tsunami-wellen')",1
"('starkregen', 'tsunamis')",1
"('tsunamis', 'vulkanologische')",1
"('gezählten', 'tsunamis')",1
"('rest', 'tsunamis')",1
"('tsunami', 'zählen')",1
"('großen', 'tsunami')",1
"('entstehung', 'tsunamis')",1
"('jedoch', 'tsunamis')",1
"('tsunamis', 'vernichten')",1
"('lawinen', 'tsunamis')",1
"('sogenannte', 'tsunamis')",1
"('meer', 'tsunamis')",1
"('tsunamis', 'wahrnehmbar')",1
"('pazifik', 'tsunamis')",1
"('pacific', 'tsunami')",1
"('tsunami', 'warning')",1
"('9,3', 'tsunami')",1
"('maximalen', 'tsunami')",1
"('nachfolgenden', 'tsunami')",1
"('starben', 'tsunami')",1
"('nachfolgenden', 'tsunamis')",1
"('fukushima-katastrophe', 'tsunamis')",1
"('and', 'tsunamis')",1
"('the', 'tsunamis')",1
"('japan', 'tsunami')",1
"('nein', 'tsunami')",1
"('2005', 'tsunami')",1
"('sri', 'tsunami')",1
"('deichbrüche', 'tsunamis')",1
"('hoch', 'tsunamis')",1
"('flutwellen', 'tsunamis')",1
"('hervorrufen', 'tsunamis')",1
"('küstennähe', 'tsunamis')",1
"('möglich', 'tsunamis')",1
"('rutschung', 'tsunami')",1
"('tsunami', 'übergehen')",1
"('neufundlandbank-tsunami', 'übergehen')",1
"('1929', 'neufundlandbank-tsunami')",1
"('dagegen', 'tsunamis')",1
"('auslösen', 'tsunamis')",1
"('erreichen', 'megatsunami')",1
"('inseln', 'megatsunami')",1
"('gefährlichen', 'tsunamis')",1
"('schätzungen', 'tsunamis')",1
"('erdrutsche', 'tsunamis')",1
"('tsunami', 'wasser')",1
"('5220', 'binnentsunami')",1
"('binnentsunami', 'pfahlbausiedlungen')",1
"('hineinlief', 'tsunami')",1
"('erzeugte', 'tsunami')",1
"('ereignissen', 'tsunamis')",1
"('sturmfluten', 'tsunamis')",1
"('prinzip', 'tsunami')",1
"('geschwindigkeit', 'tsunami')",1
"('gegensatz', 'tsunami')",1
"('gezeitenwelle', 'tsunami')",1
"('entstehung', 'megatsunamis')",1
"('megatsunamis', 'wellenhöhe')",1
"('ausgelöste', 'tsunami')",1
"('tsunami', 'tötete')",1
"('riesige', 'tsunami-welle')",1
"('139', 'tsunami-welle')",1
"('indischen', 'tsunami')",1
"('häufig', 'tsunamis')",1
"('führen', 'tsunamis')",1
"('beben', 'tsunami-wellen')",1
"('fläche', 'tsunami-wellen')",1
"('not', 'tsunami')",1
"('gigantisch', 'tsunami')",1
"('telefon', 'tsunami-opfer')",1
"('tsunami-opfer', 'versuchen')",1
"('drohenden', 'tsunamis')",1
"('japans', 'tsunamis')",1
"('gebiete', 'tsunami')",1
"('betroffen', 'tsunami')",1
"('hohen', 'tsunami-schutzwall')",1
"('bauen', 'tsunami-schutzwall')",1
"('tsunamiwarnung', 'zunächst')",1
"('heraus', 'tsunamiwarnung')",1
"('tohoku-erdbeben', 'tsunami')",1
"('auslöste', 'tsunami')",1
"('tsunami', 'verbrennungsopfern')",1
"('tonga', 'tsunami')",1
"('löste', 'tsunami-wellen')",1
"('küsten', 'tsunami-wellen')",1
"('erteilten', 'tsunami-warnung')",1
"('standardprozedur', 'tsunami-warnung')",1
"('kilometern', 'tsunami-warnsystem')",1
"('tsunami-warnsystem', 'usa')",1
"('tsunami', 'zunächst')",1
"('gewarnt', 'tsunami')",1
"('erdrutsche', 'tsunami-warnung')",1
"('ausgegeben.beben', 'tsunami-warnung')",1
"('behörden', 'tsunami-warnung')",1
"('ausgegeben', 'tsunami-warnung')",1
"('spüren', 'tsunami-warnung')",1
"('gegeben', 'tsunami-warnung')",1
"('kosten-tsunami', 'pflegeheime')",1
"('kosten-tsunami', 'zählt')",1
"('beitrags-tsunami', 'einzelmaßnahmen')",1
"('aufhaltender', 'beitrags-tsunami')",1
"('absehbaren', 'beitrags-tsunami')",1
"('aufzuhalten', 'beitrags-tsunami')",1
"('begriff', 'flüchtlingstsunami')",1
"('flüchtlingstsunami', 'später')",1
"('flüchtlingstsunami', 'panikmache')",1
"('flüchtlingstsunami', 'verb')",1
"('ausgelöst', 'tsunami')",1
"('durchgeführt', 'tsunami-warnung')",1
"('erdbeben', 'tsunamis')",1
"('folge', 'tsunamis')",1
"('gemeldet.kurzzeitig', 'tsunami-warnungenkurzzeitig')",1
"('tsunami-warnung', 'tsunami-warnungenkurzzeitig')",1
"('honduras', 'tsunami-warnung')",1
"('lediglich', 'tsunami-hinweise.systeme')",1
"('notfall', 'tsunami-hinweise.systeme')",1
"('jährt', 'tsunami')",1
"('kilometern', 'tsunamigefahrdie')",1
"('erschütterungen', 'tsunamigefahrdie')",1
"('gefahr', 'tsunamis')",1
"('16.', 'tsunamis')",1
"('asien', 'tsunami')",1
"('ende', 'tsunami')",1
