"Word","Frequency"
"('artikel', 'waldbrände')",14
"('gefahr', 'waldbränden')",12
"('dürre', 'waldbrände')",10
"('faktenfuchs', 'waldbrände')",9
"('klimawandel', 'waldbrände')",9
"('reiseländern', 'waldbrände')",9
"('kampf', 'waldbrände')",8
"('spanien', 'waldbrände')",8
"('sofort', 'waldbrände')",6
"('kontrolle', 'waldbrände')",5
"('bekämpfung', 'waldbränden')",5
"('bayerns', 'waldbrände')",5
"('gefahr', 'waldbrände')",5
"('frühzeitig', 'waldbrände')",5
"('waldbrände', 'zahlreiche')",5
"('mehreren', 'waldbrände')",5
"('höchsten', 'waldbränden')",5
"('nehmen', 'waldbrände')",4
"('hitze', 'waldbrände')",4
"('steigen', 'waldbränden')",4
"('riesige', 'waldbrände')",4
"('waldbrände', 'wäldern')",4
"('schwere', 'waldbrände')",4
"('portugal', 'waldbrände')",4
"('betroffen', 'waldbränden')",4
"('große', 'waldbrände')",4
"('entstehen', 'waldbrände')",4
"('größere', 'waldbrände')",3
"('derzeit', 'waldbränden')",3
"('schwerer', 'waldbrände')",3
"('waldbrände', 'ziehen')",3
"('verheerenden', 'waldbränden')",3
"('vergangenen', 'waldbrände')",3
"('juni', 'waldbränden')",3
"('sollen', 'waldbrände')",3
"('deutschland', 'waldbränden')",3
"('verheerende', 'waldbrände')",3
"('griechenland', 'waldbrände')",3
"('mehreren', 'waldbränden')",3
"('heftigen', 'waldbränden')",3
"('großen', 'waldbränden')",3
"('frankreich', 'waldbrände')",3
"('schweren', 'waldbränden')",3
"('menschen', 'waldbrände')",3
"('nachrichten', 'waldbrände')",2
"('starken', 'waldbränden')",2
"('lage', 'waldbränden')",2
"('hochwasser', 'waldbrände')",2
"('naturkatastrophen', 'waldbrände')",2
"('waldbränden', 'zahlreichen')",2
"('dürre', 'waldbränden')",2
"('waldbrände', 'überschwemmungen')",2
"('verursacht', 'waldbrände')",2
"('intensiven', 'waldbränden')",2
"('mehrere', 'waldbrände')",2
"('gegeben', 'waldbrände')",2
"('spanischen', 'waldbränden')",2
"('verheerendsten', 'waldbrände')",2
"('2022', 'waldbränden')",2
"('hunderten', 'waldbränden')",2
"('fläche', 'waldbränden')",2
"('mittwoch', 'waldbrände')",2
"('erheblich', 'waldbrände')",2
"('brechen', 'waldbrände')",2
"('buschbrand', 'waldbrände')",2
"('feuerwehr', 'waldbrände')",2
"('griff', 'waldbrände')",2
"('erkennengefahrenstufe', 'waldbrände')",2
"('großen', 'waldbrände')",2
"('bordeaux', 'waldbrände')",2
"('lodern', 'waldbrände')",2
"('feuer', 'waldbrände')",2
"('juliin', 'waldbrände')",2
"('gewütet', 'waldbrände')",2
"('graddie', 'waldbrände')",2
"('juli', 'waldbrände')",2
"('großen', 'waldbrändender')",2
"('waldbrandexperte', 'waldbrändender')",2
"('aufsteigen', 'waldbrände')",2
"('waldbränden', 'wochen')",2
"('franken', 'waldbränden')",2
"('möglichst', 'waldbrände')",2
"('bayern', 'waldbrände')",2
"('angaben', 'waldbränden')",2
"('serie', 'waldbrände')",2
"('torres.alle', 'waldbrände')",2
"('urlaubsregion', 'waldbrände')",2
"('kleine', 'waldbrände')",2
"('norditalienischen', 'waldbrände')",2
"('vielen', 'waldbränden')",2
"('derzeit', 'waldbrände')",2
"('mittelmeerinsel', 'waldbrände')",2
"('2012', 'waldbrände')",2
"('hektar', 'waldbränden')",2
"('stärksten', 'waldbränden')",2
"('slowenienauch', 'waldbrände')",2
"('karstgebiet', 'waldbrände')",2
"('saarland', 'waldbrände')",2
"('europa', 'waldbrände')",2
"('feld-', 'waldbränden')",2
"('könnten', 'waldbränden')",2
"('acker-', 'waldbrände')",2
"('unachtsamkeit', 'waldbrände')",2
"('technik', 'waldbrände')",2
"('feuerwehrmann', 'waldbrände')",2
"('hitzewelle', 'waldbrändeseit')",2
"('waldbrändeseit', 'wochen')",2
"('hitzewellen', 'waldbränden')",2
"('beherrscht', 'waldbränden')",2
"('lösen', 'waldbrände')",2
"('aus.trockenheit', 'waldbrände')",2
"('vegetationsbränden', 'waldbränden')",2
"('komme', 'waldbränden')",2
"('beobachtung', 'waldbränden')",2
"('statt', 'waldbränden')",2
"('steigt', 'waldbränden')",2
"('rüstet', 'waldbrände')",2
"('spezial-löschfahrzeugenauch', 'waldbrände')",2
"('artikel', 'waldbränden')",2
"('viertel', 'waldbrände')",2
"('heuer', 'waldbrände')",2
"('schwaben', 'waldbrände')",2
"('großflächige', 'waldbrände')",2
"('gefahrenstufe', 'waldbrände')",2
"('hört', 'waldbränden')",2
"('schwer', 'waldbränden')",2
"('französischen', 'waldbränden')",2
"('tagen', 'waldbrände')",2
"('waldbrände', 'yosemite-nationalpark')",2
"('brände', 'waldbrände')",2
"('an.zahlreiche', 'waldbrände')",2
"('250', 'waldbränden')",2
"('gemeldet', 'waldbränden')",2
"('katalysator', 'waldbrände')",2
"('verursachen', 'waldbrände')",2
"('seindie', 'waldbrände')",2
"('trockenheit', 'waldbränden')",2
"('mitte', 'waldbränden')",2
"('fahrlässigkeit', 'waldbrände')",2
