Word,Count
die,435
munich,10
re,11
ist,88
bis,27
jetzt,17
recht,2
gut,7
durch,24
krisen,2
gekommen,3
.,602
der,388
vorstand,2
hat,45
im,107
vergangenen,14
jahr,31
sein,13
eigenes,2
gewinnziel,1
übertroffen,1
und,315
erwartet,3
für,108
dieses,4
einen,28
gewinnanstieg,1
auf,84
insgesamt,11
vier,6
milliarden,20
euro,29
``,130
das,146
fußt,1
sehr,13
attraktive,1
marktbedingungen,1
in,292
rückversicherung,1
schaden/unfall,1
ich,8
erwarte,1
ein,76
reguläres,1
wachstum,1
lebensrückversicherung,1
",",690
ergo,2
neuen,3
segment,1
special,2
insurance,2
'',115
sagt,18
joachim,3
wenning,2
vorstandsvorsitzender,1
zu,105
dem,77
sogenannten,1
spezialversicherungsgeschäft,1
gehören,7
zum,40
beispiel,14
absicherung,1
von,127
industrieanlagen,1
oder,35
spezielle,1
haftpflichtversicherungen,1
manager,1
profitiert,1
höheren,5
beiträgenprofitieren,1
konnte,4
rückversicherer,2
auch,87
preisen,2
so,32
sind,48
aufgrund,6
des,77
klimawandels,6
viele,16
versicherungsnehmer,1
bereit,2
höhere,3
beiträge,1
akzeptieren,1
policen,1
bei,53
schäden,15
aus,50
naturkatastrophen,18
aufkommen,1
gestiegenen,2
konzernergebnis,1
zudem,9
erneut,4
erstversicherungstochter,1
beigetragen,1
mit,98
einem,35
gewinn,1
806,1
millionen,30
euro.turbulenzen,1
an,58
finanzmärkten,2
schmälern,1
ergebnisdoch,1
nicht,80
alles,4
lief,1
rund,19
wegen,12
turbulenzen,1
den,110
kapitalanlageergebnis,1
deutlich,6
zurückgegangen,1
"4,9",1
euro.die,1
zinsen,1
werden,70
sich,87
erst,10
zukunft,2
positiv,1
kapitaleinkünfte,1
auswirken,1
zwar,9
indem,1
wertpapiere,1
auslaufen,1
diese,20
hätten,8
oft,3
eine,69
lange,3
laufzeit,1
10,3
20,3
jahren,15
coupon,2
beispielsweise,7
prozent,15
vorstandsvorsitzende,2
wieder,22
angelegt,1
würden,13
sie,46
zweieinhalb,1
drei,13
us-raum,1
viereinhalb,1
jedem,2
weiteren,3
wir,29
portfolio,2
niedrigen,1
coupons,1
umschichten,1
steigen,3
kapitalerträge,1
aktionärsvertreterin,1
kritisiert,2
aktienrückkaufein,1
dickes,1
lob,1
gibt,16
es,103
daniela,2
bergdolt,4
schon,17
münchner,4
anwältin,1
vizepräsidentin,1
deutschen,10
schutzvereinigung,2
wertpapierbesitz,1
erklärte,7
zahlen,4
seien,21
super,1
allerdings,8
angekündigte,2
aktienrückkaufprogramm,2
:,96
denn,11
eigentlich,6
sollte,5
geld,9
unternehmen,6
stärkung,1
geschäfts,1
gehen,6
natürlich,2
aktionäre,1
könnten,10
freuen,1
aber,40
fast,6
armutszeugnis,1
deutsche,3
wertpapierbesitzmunich,1
rückkauf,1
eigener,2
aktien,2
höhe,6
einer,34
milliarde,5
angekündigt,3
zurückgekauften,1
sollen,12
eingezogen,1
damit,10
reduziert,3
zahl,10
handelbaren,1
anteile,1
macht,8
also,13
einzelne,2
aktie,2
wertvoller,1
solches,2
signalisiert,1
regel,1
finanzielle,1
stärke,3
gleichzeitig,1
verringert,1
dadurch,2
jedoch,2
eigenkapital,1
unternehmens,1
etwa,19
investitionen,1
neue,10
geschäftsfelder,2
verwendet,1
kann.warum,1
habe,11
keine,18
um,37
besser,9
gerüstet,1
fragt,1
möglicherweise,3
liegt,9
ja,5
daran,2
dass,60
konzern,1
vorsichtig,2
agiert,1
risikoscheuen,1
anteilseignern,1
seiner,3
stetigen,1
dividendenzahlungen,1
beliebt,1
abgelaufene,1
soll,19
