"Word","Frequency"
"('hohe', 'waldbrandgefahr')",24
"('waldbrand', 'wohl')",18
"('verursachen', 'waldbrand')",16
"('hohen', 'waldbrandgefahr')",12
"('regierung', 'waldbrandgefahr')",12
"('waldbrandgefahr', 'wegen')",10
"('hoher', 'waldbrandgefahr')",10
"('bayern', 'waldbrandgefahr')",8
"('entfachen', 'waldbrand')",8
"('stattfinden', 'waldbrandgefahr')",7
"('höchste', 'waldbrandgefahr')",7
"('statt', 'waldbrandgefahr')",7
"('erhöhte', 'waldbrandgefahr')",7
"('beim', 'waldbrand')",6
"('glasscherbe', 'waldbrand')",6
"('nahe', 'waldbrand')",5
"('verheerendste', 'waldbrand-jahr')",5
"('beginn', 'waldbrand-jahr')",5
"('steigenden', 'waldbrandgefahr')",5
"('hoch', 'waldbrandgefahr')",5
"('waldbrandes', 'wegen')",5
"('geht', 'waldbrandgefahrenindex')",5
"('steigt', 'waldbrandgefahr')",5
"('große', 'waldbrandgefahr')",5
"('höchste', 'waldbrandstufe')",5
"('konnte', 'waldbrand')",4
"('dwd', 'waldbrandgefahr')",4
"('mittelfranken', 'waldbrandgefahr')",4
"('fläche', 'waldbrand')",4
"('herrscht', 'waldbrandgefahr')",4
"('gemeldet', 'waldbrand')",4
"('appelliert', 'waldbrandgefahr')",4
"('groß', 'waldbrandgefahr')",4
"('juni', 'waldbrandgefahr')",4
"('erhöhter', 'waldbrandgefahr')",4
"('nationalpark', 'waldbrand')",3
"('dürre', 'waldbrand')",3
"('tun', 'waldbrand')",3
"('katastrophenfall', 'waldbrand')",3
"('menschen', 'waldbrand')",3
"('waldbrand', 'weiterer')",3
"('südlich', 'waldbrand')",3
"('tagen', 'waldbrandgefahr')",3
"('höchste', 'waldbrand-gefahrenstufe')",3
"('verhindern', 'waldbrands')",3
"('sächsischen', 'waldbrand')",3
"('bleibt', 'waldbrandgefahr')",3
"('waldbrand', 'wütet')",3
"('ausgebrochen', 'waldbrand')",3
"('waldbrandgefahr', 'warnstufe')",3
"('gefahrenindex', 'waldbrandgefahr')",3
"('akuten', 'waldbrandgefahr')",3
"('folgenschweren', 'waldbrand')",3
"('auszulösen', 'waldbrand')",3
"('löschen', 'waldbrandgefahr')",3
"('unterfranken', 'waldbrandgefahr')",3
"('artikel', 'waldbrandgefahr')",3
"('herrmann', 'waldbrandstufe')",3
"('stufe', 'waldbrandgefahr')",3
"('auto', 'waldbrand')",3
"('verhindert', 'waldbrand')",3
"('aufgrund', 'waldbrandgefahr')",3
"('hitze', 'waldbrandgefahr')",3
"('deutsche', 'waldbrandgefahrenindex')",3
"('erhöhten', 'waldbrandgefahr')",3
"('verlief', 'waldbrandsaison')",2
"('kalifornien', 'waldbrandsaison')",2
"('hochwasser', 'waldbrandserie')",2
"('infrastruktur', 'waldbrandserie')",2
"('großen', 'waldbrand')",2
"('kampf', 'waldbrand')",2
