"Word","Frequency"
"('bevölkerungsschutz', 'katastrophenhilfe')",28
"('ahrtal', 'flutkatastrophe')",16
"('afad', 'katastrophenschutzbehörde')",16
"('bbk', 'katastrophenhilfe')",12
"('ausmaß', 'katastrophe')",11
"('artikel', 'erdbeben-katastrophe')",8
"('diakonie', 'katastrophenhilfe')",6
"('katastrophenschutz', 'versagt')",6
"('ausrüstung', 'katastrophenfälle')",6
"('bedrohung', 'unwetterkatastrophen')",6
"('flutkatastrophen', 'unwetterkatastrophen')",6
"('katastrophe', 'menschen')",6
"('betroffen', 'katastrophe')",6
"('2016', 'flutkatastrophe')",5
"('betroffen', 'flutkatastrophe')",5
"('flutkatastrophe', 'rheinland-pfalz')",5
"('flutkatastrophe', 'juli')",5
"('naturkatastrophe', 'schlimmste')",5
"('katastrophenschutzbehörde', 'türkische')",5
"('bevölkerungs-', 'katastrophenschutz')",4
"('artikel', 'katastrophenschutz')",4
"('hochwasserkatastrophe', 'vergangenen')",4
"('geld', 'katastrophenschutz')",4
"('2021', 'katastrophe')",4
"('ahrtal', 'katastrophe')",4
"('betroffenen', 'flutkatastrophe')",4
"('flutkatastrophe', 'verheerenden')",4
"('flutkatastrophe', 'westen')",4
"('deutschland', 'naturkatastrophen')",4
"('naturkatastrophen', 'verheerendsten')",4
"('katastrophenhilfe', 'ralph')",4
"('katastrophenopfer', 'paten')",4
"('katastrophe', 'türkei')",4
"('geschichte', 'katastrophen')",4
"('hrsg', 'katastrophen')",4
"('katastrophe', 'typischerweise')",4
"('katastrophen', 'regel')",4
"('katastrophe', 'katastrophe')",4
"('naturkatastrophen', 'technischen')",4
"('großschadensereignis', 'katastrophe')",4
"('geschlossene', 'katastrophe')",4
"('e-gefahren', 'katastrophen')",4
"('katastrophen', 'technischen')",4
"('historische', 'katastrophenforschung')",4
"('begriffe', 'katastrophenforschung')",4
"('naturkatastrophen', 'verursachen')",4
"('katastrophenregion', 'verwandte')",4
"('summe', 'wetterkatastrophen')",4
"('wetterkatastrophen', 'zahl')",4
"('naturkatastrophen', 'todesopfer')",4
"('halbjahr', 'naturkatastrophen')",4
"('gefährlicher', 'katastrophenjahr')",4
"('2018', 'katastrophenjahr')",4
"('katastrophenschutzbehörde', 'türkischen')",4
"('katastrophenschutz', 'türkischen')",4
"('afad', 'katastrophenschutz')",4
"('katastrophen', 'menschen')",3
"('katastrophen', 'sollen')",3
"('katastrophen', 'kleinstadt')",3
"('gut', 'katastrophenschutz')",3
"('katastrophe', 'sagt')",3
"('katastrophenmeldungen', 'steigendie')",3
"('katastrophenmeldungen', 'kommen')",3
"('2013', 'flutkatastrophe')",3
"('hochwasserkatastrophe', 'juli')",3
"('naturkatastrophe', 'zusammenhang')",3
"('naturkatastrophe', 'tote')",3
"('flutkatastrophe', 'forderte')",3
"('hochwasser', 'jahrhundertkatastrophe')",3
"('andererseits', 'jahrhundertkatastrophe')",3
"('gehört', 'jahrhundertkatastrophe')",3
"('dienstag', 'jahrhundertkatastrophe')",3
"('flutkatastrophe', 'jüngsten')",3
"('flutkatastrophe', 'westeuropa')",3
"('juli', 'naturkatastrophen')",3
"('beschädigt', 'naturkatastrophen')",3
"('deutschlands', 'flutkatastrophe')",3
"('flutkatastrophe', 'heimgesucht')",3
"('hochwasser', 'katastrophenschutz')",3
"('katastrophenschutz', 'kritik')",3
"('gemischten', 'katastrophenschutz')",3
"('denke', 'katastrophenschutz')",3
"('ahrtal', 'hochwasserkatastrophe')",3
"('freistaat', 'katastrophenfälle')",3
"('besiedelt', 'flutkatastrophen')",3
"('katastrophenfälle', 'müssten')",3
"('flutkatastrophe', 'jährenden')",3
"('flutkatastrophen', 'wiederbesiedelt')",3
"('bevölkerungsschutz', 'katastrophenhilfetiesler')",3
