"Word","Frequency"
"('hitze', 'trockenheit')",40
"('hitze', 'tipp')",11
"('hitze', 'sommer')",5
"('hitzeperiode', 'verharmlost')",4
"('hitze', 'sollen')",4
"('hitzewelle', 'lang')",4
"('hitze', 'schützen')",4
"('hitze', 'trotz')",4
"('hitze', 'jahr')",3
"('hitze', 'warum')",3
"('hitze', 'niedrigwasser')",3
"('hitze', 'kind')",3
"('hitze', 'mensch')",3
"('hitze', 'thema')",3
"('hitze', 'trocken')",2
"('affenhitze', 'dürre')",2
"('hitze', 'kartoffelernte')",2
"('hitze', 'vergangen')",2
"('hitze', 'tier')",2
"('hitze', 'langanhaltend')",2
"('hitze', 'jedoch')",2
"('hitze', 'vertragen')",2
"('hitze', 'tun')",2
"('hitze', 'regen')",2
"('hitze', 'knochentrocken')",2
"('hitze', 'temperatur')",2
"('hitze', 'hitze')",2
"('hitze', 'sorgen')",2
"('hitzewelle', 'höhepunkt')",2
"('hitzewelle', 'knackig')",2
"('hitze', 'problem')",2
"('hitze', 'ziel')",2
"('hitzeaktionsplan', 'nürnberg')",2
"('hitze', 'hoch')",2
"('hitzewelle', 'körper')",2
"('hitzefrei', 'recht')",2
"('hitze', 'umgehen')",2
"('hitze', 'leiden')",2
"('hitze', 'lassen')",2
"('hitzewelle', 'jahr')",2
"('hitzeerkrankunge', 'warnsignale')",2
"('hitze', 'steigern')",1
"('hitze', 'hochwasser')",1
"('hitze', 'starkreg')",1
"('hitzeaber', 'schlafproblem')",1
"('hitzeaber', 'äußerer')",1
"('hitze', 'umstand')",1
"('hitze', 'schlaf')",1
"('hitze-sommer', 'vergangen')",1
"('hitze', 'opfer')",1
"('hitzesommer', 'trocken')",1
"('affenhitze', 'teil')",1
"('hitze', 'reißen')",1
"('hitze', 'plötzlich')",1
"('hitze', 'pflanzen')",1
"('hitze', 'wetterextrem')",1
"('hitze', 'wasserder')",1
"('hitzeperiode', 'lang')",1
"('hitzeperiode', 'trockenheit')",1
"('hitzewelle', 'intensiv')",1
"('hitzewelle', 'verharmlost')",1
"('hitzewelle', 'ähnlich')",1
"('rekordhitze', 'vergangen')",1
"('hitze', 'schwarzkiefer')",1
"('hitze', 'wert')",1
"('hitzetag', 'trockenheit')",1
"('hitzetage', 'kommen')",1
"('hitzetage', 'vorjahr')",1
"('hitze', 'winzer')",1
"('hitze', 'sonstunterschiedliche')",1
"('hitze', 'zentimeter')",1
"('hitze', 'menge')",1
"('hitze', 'umgebung')",1
"('erhitzen', 'stadtbach')",1
"('erhitzen', 'vorzubeug')",1
"('hitze', 'reihenfolge')",1
"('hitze', 'wochendie')",1
"('hitze', 'sandig')",1
"('hitze', 'sortieren')",1
"('hitze', 'zugesetzt')",1
"('2021.hitze', 'hallertau')",1
"('2021.hitze', 'hagel')",1
"('hitze', 'profitieren')",1
"('hitze', 'trockenheitdie')",1
"('hitze', 'sonne')",1
"('hitze', 'obstbauer')",1
"('hitzeperiode', 'sammeln')",1
"('hitze', 'schnell')",1
"('hitze', 'rauskommen')",1
"('hitze', 'stellen')",1
"('hitze', 'kid')",1
"('hitze', 'spätestens')",1
"('hitze', 'platz')",1
"('hitze', 'sorge')",1
"('hitze', 'lgl')",1
"('hitze', 'wirken')",1
"('hitzeschäde', 'jahr')",1
"('hitzeperiode', 'trocke')",1
"('hitzeperiode', 'logisch')",1
"('rekord-hitzemonat', 'wahrscheinlich')",1
"('rekord-hitzemonat', 'statistik')",1
"('hitzewell', 'lang')",1
"('hitzeperiode', 'verharmlostgroße')",1
"('hitze', 'verschlechtertfür')",1
"('hitze', 'kolahsa')",1
"('hitze', 'zustand')",1
"('hitze', 'scheinbar')",1
"('hitze', 'pflanze')",1
"('hitze', 'melone')",1
"('hitzesommer', 'sehen')",1
"('hitze', 'sowie')",1
"('hitzeperiode', 'zukommen')",1
"('hitze', 'jahresvergleich')",1
"('hitze', 'trockenheitsfolg')",1
"('hitze', 'sensibel')",1
"('hitze', 'vorbeug')",1
"('hitze', 'trotzen')",1
"('hitzeperiode', 'wiederkehrend')",1
"('hitzewelle', 'stornierung')",1
"('hitze', 'zusammenbruch')",1
"('hitzetod', 'mensch')",1
"('hitzetod', 'sterben')",1
"('hitze', 'luftfeuchtigkeit')",1
"('hitze', 'sediment')",1
"('hitzeperiode', 'werdend')",1
"('hitzeaktionsplan', 'umsetzung')",1
"('hitze', 'sagen')",1
"('hitzewelle', 'juli')",1
"('hitze', 'weitergehen')",1
"('hitzetage', 'nacht')",1
"('hitze', 'verbrauchen')",1
"('hitze', 'trockenheitdas')",1
"('hitze', 'lesen')",1
"('hitze', 'hund')",1
"('hitzewelle', 'land')",1
"('hitze', 'teils')",1
"('affenhitze', 'testphase')",1
"('hitzetage', 'kaltfront')",1
"('hitze', 'wasserwirtschaftsamt')",1
"('hitze', 'wassertemperatur')",1
"('hitze', 'zeit')",1
"('hitze', 'nachmittag')",1
"('hitzebelastung', 'hohes')",1
"('hitze', 'untermain')",1
"('hitze', 'starkregenereignisse')",1
"('hitze', 'wärm')",1
"('hitze', 'nennen')",1
"('hitze', 'wenig')",1
"('hitzewelle', 'sollen')",1
"('hitzewelle', 'kommen')",1
"('hitzeschutz', 'kommen')",1
"('hitzewelle', 'nächster')",1
"('hitzewelle', 'rollen')",1
"('hitze', 'strömen')",1
"('hitzewelle', 'markant')",1
"('hitzezunächst', 'möglich')",1
"('hitzezunächst', 'montag')",1
"('hitze', 'mittwoch')",1
"('hitzewelle', 'wettertrend')",1
"('hitzewelle', 'mensch')",1
"('hitze', 'land')",1
"('hitze', 'wochenende')",1
"('hitze', 'mähdrescher')",1
"('hitze', 'unterfrank')",1
"('hitze', 'köhler')",1
"('hitze', 'oberpfalz')",1
"('hitze', 'senken')",1
"('hitzesommer', 'schramm')",1
"('hitzeaktionsplan', 'weiche')",1
"('hitzeaktionsplan', 'stellen')",1
"('hitzeaktionsplan', 'trinkwasserbrunn')",1
"('hitzeaktionsplan', 'sehen')",1
"('hitzeperiode', 'sehen')",1
"('hitzeperiode', 'mobil')",1
"('hitzewell', 'sehen')",1
"('hitzewell', 'wassersprühanlag')",1
"('hitzeaktionsplan', 'sollen')",1
