"Word","Frequency"
"('eurofighter', 'tornado')",3
"('heftig', 'tornado')",2
"('schützen', 'tornado')",2
"('geben', 'tornado')",2
"('lesen', 'tornado')",2
"('deutsch', 'tornado')",2
"('alternd', 'tornado-flotte')",2
"('ersetzen', 'tornado-flotte')",2
"('tornado-nachfolge', 'warum')",2
"('entstehen', 'tornado')",2
"('kommen', 'tornado')",2
"('bayern', 'tornado')",2
"('berichten', 'tornado')",2
"('deutschland', 'tornado')",2
"('lang', 'tornado')",2
"('tornado', 'windhosen')",2
"('reihe', 'tornado')",1
"('auslösen', 'tornado')",1
"('geschäftshaus', 'tornado')",1
"('liegen', 'tornado')",1
"('süden', 'tornado')",1
"('stromleitung', 'tornado')",1
"('tornadosdie', 'warnen')",1
"('chefin', 'tornadosdie')",1
"('erreichen', 'tornado')",1
"('tornado', 'windböen')",1
"('fork', 'tornado')",1
"('auto', 'tornado')",1
"('bleiben', 'tornado')",1
"('stunde', 'tornado')",1
"('tornado', 'vermuten')",1
"('möglicherweise', 'tornado')",1
"('behörde', 'tornado')",1
"('bundesstaat', 'tornado')",1
"('bericht', 'tornado')",1
"('alabama', 'tornado')",1
"('eurofighter', 'tornadoauf')",1
"('fliegerhorst', 'tornadoauf')",1
"('bereich', 'tornado')",1
"('eingesetzt', 'tornado')",1
"('freigeben', 'tornado-nachfolge')",1
"('nachfolge', 'tornado')",1
"('gefahr', 'tornado')",1
"('f-35', 'tornado-nachfolge')",1
"('raider', 'tornado')",1
"('gehören', 'tornado')",1
"('jährlich', 'tornado')",1
"('nachweisen', 'tornado')",1
"('tornado', 'wetterdienst')",1
"('tornado', 'zerstörungskraft')",1
"('sirene', 'tornado')",1
"('kleinräumig', 'tornadoerkennung')",1
"('echt', 'tornadoerkennung')",1
"('erkennen', 'tornado')",1
"('tornado', 'tornado')",1
"('lässen', 'tornado')",1
"('ohnmacht', 'tornado')",1
"('niederländisch', 'tornado')",1
"('schwach', 'tornado')",1
"('hinterlassen', 'tornado')",1
"('kirchendach', 'tornado')",1
"('tornado', 'zurückkehren')",1
"('schneise', 'tornado')",1
"('tornado', 'treten')",1
"('drei', 'tornado')",1
"('tornado', 'ursache')",1
"('tornado', 'wind')",1
"('rauskommen', 'tornado')",1
"('br24-redaktion', 'tornado')",1
"('amberger', 'tornado')",1
"('begriff', 'tornado')",1
"('kennen', 'tornado')",1
"('jahr', 'tornado')",1
"('bemerken', 'tornado')",1
"('dreht', 'tornado-rüssel')",1
"('tornado-rüssel', 'unbebaut')",1
"('jahr', 'tornado-sichtung')",1
"('privat', 'tornado-sichtung')",1
"('gefühl', 'tornado')",1
"('paderborn', 'tornado')",1
"('minute', 'tornado')",1
"('serie', 'tornado')",1
"('tornado', 'usa')",1
"('katastrophengebiet', 'tornado')",1
"('südöstlich', 'tornado')",1
"('hurrikane', 'tornado')",1
"('entstehentornado', 'hurrikane')",1
"('entstehentornado', 'sechs')",1
"('sechs', 'tornado')",1
"('entstanden', 'tornado')",1
"('nacht', 'tornado')",1
"('reuters', 'tornado')",1
"('italienisch', 'tornado')",1
"('tornado', 'wetterphänomen')",1
"('tornado', 'windhose')",1
"('erzeugen', 'tornado')",1
"('definition', 'tornado')",1
"('richten', 'tornado')",1
"('200.', 'tornado')",1
"('tornado', 'verwüsten')",1
"('bestätigen', 'tornado')",1
"('handeln', 'tornado')",1
"('tornado', 'ziehen')",1
"('250', 'tornado')",1
"('einzig', 'tornado')",1
"('hinweisen', 'tornado')",1
"('fehlen', 'tornado')",1
"('tornado', 'wegrissen')",1
"('folge', 'tornado')",1
"('beschäftigen', 'tornado')",1
"('schlagen', 'tornado')",1
"('kilometer', 'tornado')",1
