"Word","Frequency"
"('deutsch', 'wetterdienst')",119
"('dwd', 'wetterdienst')",59
"('heftig', 'unwetter')",26
"('unwetter', 'ziehen')",16
"('warnen', 'wetterdienst')",15
"('bayern', 'wetter')",15
"('hintergrund', 'wetter')",15
"('extrem', 'unwetter')",14
"('geben', 'unwetter')",12
"('sturm', 'unwetter')",12
"('bayern', 'unwetter')",10
"('starkreg', 'unwetter')",10
"('betreffen', 'unwetter')",8
"('dwd', 'unwetterwarnung')",7
"('orkan', 'unwetter')",7
"('herausgeben', 'unwetterwarnung')",7
"('teil', 'unwetter')",7
"('dach', 'unwetter')",6
"('heftig', 'unwettern')",6
"('unwetter', 'vergangen')",6
"('br-wetterexperte', 'sachweh')",6
"('dwd', 'unwetter')",6
"('kommen', 'unwetter')",6
"('extremwetter', 'klimawandel')",5
"('teil', 'unwetterwarnung')",5
"('unwetter', 'überschwemmung')",5
"('einsatz', 'unwetterbedingt')",5
"('markant', 'wetter')",5
"('nacht', 'unwetter')",5
"('juli', 'unwetter')",5
"('hagel', 'unwetter')",5
"('toter', 'unwetter')",5
"('oberbayern', 'unwetter')",5
"('unwetter', 'verhalten')",5
"('einsatz', 'unwetter')",5
"('glimpflich', 'unwetter')",4
"('sorgen', 'unwetter')",4
"('gelten', 'unwetterwarnung')",4
"('national', 'wetterdienst')",4
"('amtlich', 'unwetterwarnung')",4
"('folge', 'unwetter')",4
"('einsatz', 'wetterbedingt')",4
"('ort', 'wetter')",4
"('beruhigen', 'wetter')",4
"('kräftig', 'unwetter')",4
"('bayern', 'unwetterschäde')",4
"('donnerstagabend', 'unwetter')",4
"('gewitter', 'unwetter')",4
"('unwetter', 'überraschen')",4
"('landkreis', 'unwetter')",4
"('niederbayer', 'unwetter')",4
"('richtung', 'unwetter')",4
"('br-wetterexperte', 'christian')",4
"('unwetter', 'versicherung')",4
"('drohen', 'unwetter')",4
"('mensch', 'unwetter')",4
"('unwetterwarnung', 'wetterdienst')",4
"('feuerwehr', 'unwetter')",3
"('gewitter', 'unwetterwarnung')",3
"('unwetter', 'verlaufen')",3
"('sagen', 'wetterdienst')",3
"('wetterdienst', 'örtlich')",3
"('unwetter', 'wochenende')",3
"('bringen', 'unwetter')",3
"('richten', 'unwetter')",3
"('unwettern', 'überschwemmung')",3
"('region', 'unwetter')",3
