"Word","Frequency"
"('hoch', 'waldbrandgefahr')",36
"('brand', 'geraten')",20
"('glasscherbe', 'waldbrand')",17
"('auslösen', 'brand')",16
"('verursachen', 'waldbrand')",13
"('brand', 'ursache')",10
"('klimawandel', 'waldbrand')",9
"('brand', 'kontrolle')",7
"('kampf', 'waldbrand')",7
"('brand', 'melden')",7
"('feuerwehr', 'waldbrand')",7
"('brand', 'wald')",7
"('brand', 'folgenschwer')",7
"('faktenfuchs', 'waldbrand')",6
"('brand', 'entdecken')",6
"('verhindern', 'waldbrand')",6
"('bayern', 'waldbrandgefahr')",6
"('brand', 'feld')",6
"('regierung', 'waldbrandgefahr')",6
"('erhöht', 'waldbrandgefahr')",6
"('brand', 'feuerwehr')",5
"('mensch', 'waldbrand')",5
"('ausbreiten', 'brand')",5
"('brandgefahr', 'luft')",5
"('brand', 'feststellen')",5
"('reiseländer', 'waldbrand')",5
"('entfachen', 'waldbrand')",5
"('brand', 'unklar')",4
"('geben', 'waldbrand')",4
"('brandstiftung', 'vorsätzlich')",4
"('stattfinden', 'waldbrandgefahr')",4
"('steigend', 'waldbrandgefahr')",4
"('alarmieren', 'brandstelle')",4
"('brandstelle', 'leiten')",4
"('brandgefahr', 'hoch')",4
"('brand', 'einsatz')",4
"('waldbrand', 'wüten')",4
"('amberg-sulzbach', 'kreisbrandinspektion')",4
"('brand', 'setzen')",4
"('brandenburg', 'sachsen')",4
"('spanien', 'waldbrand')",4
"('auslösen', 'waldbrand')",4
"('brand', 'löschen')",4
"('brand', 'dutzend')",3
"('brand', 'einsetzen')",3
"('tun', 'waldbrand')",3
"('katastrophenfall', 'waldbrand')",3
"('italien', 'waldbrand')",3
"('brand', 'feuer')",3
"('brand', 'entstehen')",3
"('flächenbrand', 'wald')",3
"('verheerendst', 'waldbrand-jahr')",3
"('beginn', 'waldbrand-jahr')",3
"('gefahr', 'waldbrand')",3
"('brand', 'freitagnachmittag')",3
"('kommen', 'waldbrand')",3
"('statt', 'waldbrandgefahr')",3
"('absuchen', 'brandgefahr')",3
"('dwd', 'waldbrandgefahr')",3
"('bekämpfen', 'waldbrand')",3
"('bekämpfen', 'brand')",3
"('riesig', 'waldbrand')",3
"('beide', 'brand')",3
"('brand', 'zerstören')",3
"('brand', 'zahl')",3
"('brand', 'zukunft')",3
