"Word","Frequency"
"('dürre', 'hitze')",27
"('anhaltenden', 'dürre')",11
"('dürre', 'waldbrände')",10
"('dürre', 'schlimmste')",7
"('dürre', 'herrscht')",6
"('anhaltende', 'dürre')",6
"('dürre', 'landwirtschaft')",5
"('dürre', 'gleicht')",5
"('dürren', 'starkregen')",4
"('dürre', 'extreme')",4
"('dürren', 'hitzewellen')",4
"('dürre', 'größten')",4
"('dürre', 'italien')",4
"('dürre', 'jahren')",3
"('dürre', 'verheerenden')",3
"('dürre', 'schäden')",3
"('dürre', 'führen')",3
"('dürre', 'vergangenen')",3
"('dürre', 'schweren')",3
"('dürre', 'hoch')",3
"('dürre', 'trockenheit')",3
"('dürre', 'waldbrand')",3
"('dürre', 'norden')",3
"('dürresommer', 'folge')",3
"('dürre', 'wochen')",3
"('dürre', 'schwerer')",3
"('dürre', 'region')",3
"('bayern', 'dürre')",3
"('dürre', 'extremen')",3
"('dürre', 'folgen')",3
"('dürre', 'höchsten')",3
"('betroffen', 'dürre')",3
"('auswirkungen', 'dürre')",3
"('dürre', 'pakistan')",2
"('dürre', 'ostafrika')",2
"('dürren', 'überschwemmungen')",2
"('dürren', 'kommen')",2
"('dürre', 'folge')",2
"('begriffsklärung', 'dürre')",2
"('dürre', 'hydrologischer')",2
"('dürre', 'landwirtschaftlicher')",2
"('dürre', 'sozio-ökonomischer')",2
"('bedingungen', 'dürre')",2
"('dürren', 'südamerika')",2
"('dürren', 'verschiedene')",2
"('dürre', 'waldbränden')",2
"('dürre', 'setzte')",2
"('dürre', 'lesen')",2
"('dürre', 'franken')",2
"('dürre', 'zufolge')",2
"('dürre', 'ernte')",2
"('arddürre', 'wissensangebot')",2
"('arddürre', 'führt')",2
"('dürrejahr', 'hoch')",2
"('2018.', 'dürrejahr')",2
"('dürresommer', 'häufung')",2
"('dürrejahre', 'häufung')",2
"('dürrejahre', 'zwei')",2
"('dürre', 'großer')",2
"('dürre-sommer', 'grün')",2
"('2022', 'dürre-sommer')",2
"('dürre', 'gesicht')",2
"('angesichts', 'dürre')",2
"('ausgetrocknet', 'dürre')",2
"('dürre', 'jahrzehntenein')",2
"('dürre', 'flammen')",2
"('ausgelöst', 'dürre')",2
"('dürre', 'sorgte')",2
"('dürremonitor', 'sogenannte')",2
"('dürremonitor', 'helmholtz-zentrums')",2
"('außergewöhnlicher', 'dürre')",2
"('betroffen.umweltministerin', 'dürre')",2
"('dürre', 'flüge')",2
"('dürre-notstand', 'verhängte')",2
"('dürre-notstand', 'fünf')",2
"('brandursache', 'dürre')",2
"('dürre', 'grosseto')",2
"('dürre', 'kämpfen')",2
"('brandbeschleuniger', 'dürregefahr')",2
"('dürregefahr', 'wahrscheinlichkeit')",2
"('dürresituation', 'zuspitzung')",2
"('dürresituation', 'richtung')",2
"('dürre', 'hohe')",2
"('ausehrenamtliche', 'dürre')",2
"('aushalten', 'dürre')",2
"('dürreschäden', 'zusammensetzen')",2
"('beraten', 'dürreschäden')",2
"('dürre', 'hohen')",2
"('affenhitze', 'dürre')",2
"('dürre', 'starkregen')",2
"('bäume', 'dürre')",2
"('dürre', 'helfe')",2
"('dürre', 'schlimmsten')",2
"('dürre', 'trocken')",2
"('dürre', 'überflutungen')",2
"('befürchtet', 'dürreproblem')",1
"('dürreproblem', 'endete')",1
"('dürre', 'schützen')",1
"('borkenkäfer', 'dürre')",1
"('dürre', 'ließen')",1
"('dürre', 'konflikten')",1
"('dürre', 'schwelenden')",1
"('dürren', 'jahrzehnten')",1
"('dürren', 'klimaschwankungen')",1
"('dürren', 'wären')",1
"('dürren', 'indien')",1
"('dürreereignissen', 'überweidung')",1
"('dürreereignissen', 'endogene/tektonische')",1
"('dürren', 'jahrhundertsommer')",1
"('dürren', 'winterliche')",1
"('dürre', 'siehe')",1
"('dürre', 'extremer')",1
"('dürre', 'erforderlich')",1
"('dürre', 'physikalisches')",1
"('dürre', 'organismen')",1
"('dürre', 'tritt')",1
"('dürre', 'meteorologischer')",1
"('allgemeinen', 'dürre')",1
"('bezeichnet', 'dürre')",1
"('dürre', 'meteorologische')",1
"('dürre', 'klimatologische')",1
"('dürre', 'hydrologische')",1
"('dürre', 'verzeichnen')",1
"('dürre', 'meteorologischen')",1
"('bodentrockenheit', 'dürre')",1
"('dürre', 'landwirtschaftliche')",1
"('dürre', 'gegeben')",1
"('dürre', 'sozio-ökonomische')",1
"('dürreperioden', 'eingeschränkt')",1
"('auftreten', 'dürreperioden')",1
"('klima', 'winterdürre')",1
"('usf.', 'winterdürre')",1
"('afrika', 'dürren')",1
"('dürren', 'quantifizierung')",1
"('palmer-dürre-index', 'systeme')",1
"('palmer-dürre-index', 'siehe')",1
"('dürre-index', 'siehe')",1
"('dürre-index', 'megadürre')",1
"('bezeichnet', 'megadürre')",1
"('allgemeiner', 'dürre')",1
"('anhaltende', 'dürren')",1
"('dürren', 'engpässe')",1
"('dürre', 'risikoanalyse')",1
"('dürre', 'veröffentlicht')",1
"('analysierte', 'dürreszenario')",1
"('dürreszenario', 'erstreckt')",1
"('dürreperiode', 'extremen')",1
