"Word","Frequency"
"('hitze', 'trockenheit')",22
"('hitze', 'tipp')",11
"('hitze', 'lassen')",7
"('hitze', 'mensch')",6
"('hitze', 'schlafen')",6
"('hitzschlag', 'sonnenstich')",6
"('hitzschlag', 'symptom')",6
"('hitze', 'zusammenhang')",5
"('hitzetot', 'zahl')",5
"('hitze', 'tödlich')",5
"('hitze', 'sollen')",4
"('hitze', 'stadt')",4
"('hitze', 'zunehmend')",4
"('hitze', 'verstärken')",4
"('hitzebedingt', 'sterbefälle')",4
"('hitzewelle', 'kommen')",4
"('hitze', 'temperatur')",4
"('hitze', 'jahr')",4
"('hitze', 'schützen')",4
"('hitze', 'trotz')",4
"('hitze', 'wirklich')",4
"('hitzewelle', 'thema')",4
"('hitzewelle', 'tipp')",4
"('hitze-mythe', 'wasser')",4
"('hitze-mythe', 'prüfstand')",4
"('hitzebedingt', 'zahl')",3
"('hitze', 'sommer')",3
"('hitzetage', 'zahl')",3
"('hitze', 'hoch')",3
"('hitze', 'sterben')",3
"('hitze', 'tun')",3
"('hitzetage', 'pro')",3
"('hitzeperiode', 'lang')",3
"('hitzewelle', 'indien')",3
"('hitze', 'warnung')",3
"('hitze', 'wohnung')",3
"('affenhitze', 'wochenende')",3
"('affenhitze', 'statt')",3
"('hitze', 'stauen')",2
"('hitzewell', 'krankenhaus')",2
"('hitzewell', 'vorbereiten')",2
"('hitze', 'vorbereiten')",2
"('hitze', 'problematisch')",2
"('hitzewell', 'klimawandel')",2
"('hitzewelle', 'sprechen')",2
"('hitzewelle', 'tageshöchstwert')",2
"('hitzetot', 'steigen')",2
"('hitzebedingt', 'todesfall')",2
"('hitzeund', 'kurzfristig')",2
"('hitze', 'tag')",2
"('hitze', 'vertragen')",2
"('hitze', 'wirken')",2
"('hitzewell', 'zahl')",2
"('hitze', 'warum')",2
"('hitze', 'hält')",2
"('hitzewelle', 'zeit')",2
"('hitzetot', 'warnen')",2
"('hitzschlag', 'mensch')",2
"('hitze', 'mann')",2
"('hitze', 'mittlerweile')",2
"('hitze', 'zwei')",2
"('hitze', 'leiden')",2
"('hitze', 'kommune')",2
"('hitzetage', 'inzwischen')",2
"('hitzetage', 'klimawandel')",2
"('hitzewelle', 'rechnen')",2
"('hitzestress', 'trocken')",2
"('hitzewelle', 'ordnen')",2
"('hitzewelle', 'monat')",2
"('hitze', 'neben')",2
"('hitzewelle', 'todesopfer')",2
"('hitzeaktionsplan', 'würzburgwürzburg')",2
"('hitzeinsel-effekt', 'urban')",2
"('hitze', 'kämpfen')",2
"('hitze', 'registrieren')",2
"('hitze', 'ächzn')",2
"('hitze', 'sommerlich')",2
"('hitze', 'zeitraum')",2
"('hitze', 'schafskalt')",2
"('hitzewelle', 'jahr')",2
"('hitzschlag', 'tun')",2
"('hitzerisiko', 'stadt')",2
"('hitze', 'vergangenheit')",2
"('hitzewelle', 'wahrscheinlich')",2
"('hitzewell', 'welt')",2
"('hitzewelle', 'nordamerika')",2
"('hitze', 'trocken')",2
"('hitze', 'indien')",2
"('hitzewell', 'tun')",2
"('hitzewell', 'intensiver')",2
"('hitzewell', 'problem')",2
"('hitzewell', 'nachttemperature')",2
"('hitze', 'wassermangel')",2
"('hitzeinselnaber', 'stadt')",2
"('hitze', 'möglich')",2
"('hitze', 'problem')",2
"('hitzebedingt', 'soforthilfe')",2
"('hitze', 'waldbrandgefahr')",2
"('hitze', 'vorbereitung')",2
"('hitzerekord', 'sachsen-anhalt')",2
"('hitze', 'sitzen')",2
"('hitze', 'regen')",2
"('hitze', 'stau')",2
"('hitzeperiode', 'verharmlostwie')",1
"('hitzeperiode', 'nächster')",1
"('hitzeperiode', 'niederbayer')",1
"('hitze', 'maindie')",1
"('aufhitzen', 'region')",1
"('aufhitzen', 'gelten')",1
"('hitze', 'zirkulieren')",1
"('hitze', 'stufe')",1
"('hitzewelle', 'waldbränd')",1
"('gluthitze', 'verschonen')",1
"('hitzeschutzplan', 'national')",1
"('hitzephasen', 'schutzmaßnahmen')",1
"('hitzeschutzplan', 'senioreneinrichtung')",1
"('hitzefrei', 'zumindest')",1
"('hitzewelle', 'mitarbeitend')",1
"('hitzewelle', 'vordergrund')",1
"('hitzefrei', 'verdi')",1
"('hitze', 'mitarbeiter')",1
"('hitzeschutz', 'raum')",1
"('hitze', 'regelung')",1
"('hitzewell', 'wahrscheinlich')",1
"('hitze-warnung', 'widerlegbarauf')",1
"('hitze-warnung', 'vergangen')",1
"('hitzewellenrisike', 'zukünftig')",1
"('hitzewellenrisike', 'westeuropa')",1
"('hitzeextrem', 'zeigen')",1
"('hitzewell', 'westeuropa')",1
"('hitzewell', 'sicht')",1
"('hitzewell', 'wettergeschehen')",1
"('hitzewell', 'offenbach')",1
"('hitzewell', 'pik-studie')",1
"('hitzewell', 'sommerlich')",1
"('hitzewell', 'phänomen')",1
"('hitze', 'jetstream')",1
"('hitzerekord', 'katastrophenfall')",1
"('hitzeder', 'wetterwarnung')",1
"('hitze', 'wetterwarnung')",1
"('hitze', 'rayner')",1
"('hitzerekord', 'schuler')",1
"('hitzewell', 'vorbereitenklinike')",1
"('hitzefall', 'selber')",1
"('hitze', 'künftig')",1
"('hitzschlag', 'richtig')",1
"('hitze-aktionspläne', 'niemand')",1
"('hitzewarnsystem', 'sowie')",1
"('hitzetot', 'hitzewarnsystem')",1
"('hitzetot', 'vermeiden')",1
