"Word","Frequency"
"('feldbrände', 'wald')",4
"('bekämpfung', 'waldbrände')",3
"('brände', 'gefahr')",3
"('brände', 'juni')",3
"('brände', 'geben')",2
"('gefahr', 'waldbrände')",2
"('steigen', 'waldbrände')",2
"('brände', 'lagerfeu')",2
"('brände', 'notruf')",2
"('brände', 'frei')",2
"('unterstützen', 'waldbrände')",2
"('bayern', 'waldbrände')",2
"('feldbränden', 'wald')",2
"('riesig', 'vegetationsbrände')",2
"('feuerwehrverband', 'vegetationsbrände')",2
"('menschengemachten', 'vegetationsbrände')",2
"('brände', 'region')",2
"('brände', 'samstag')",1
"('behörde', 'brände')",1
"('brände', 'hitzewelle')",1
"('verfügung', 'waldbrände')",1
"('hohne', 'waldbränder')",1
"('bayern', 'waldbränder')",1
"('brände', 'jahr')",1
"('brände', 'harz')",1
"('brände', 'überspringen')",1
"('brände', 'verhindern')",1
"('feldbrände', 'trockenheit')",1
"('intensität', 'waldbrändeneb')",1
"('ausdehnung', 'waldbrändeneb')",1
"('integrieren', 'vegetationsbrände')",1
"('vegetationsbrände', 'zukunft')",1
"('berichten', 'brände')",1
"('brände', 'hinweis')",1
"('verheerendst', 'waldbränder')",1
"('vergangen', 'waldbränder')",1
"('bezirk', 'waldbrände')",1
"('brändengeflügel', 'löschen')",1
"('brändengeflügel', 'sterben')",1
"('feuerpatschen', 'waldbrändebei')",1
"('feuerpatsche', 'waldbrändebei')",1
"('hoch', 'waldbrände')",1
"('bordeaux', 'waldbrände')",1
"('faktenfuchs', 'waldbränder')",1
"('klimawandel', 'waldbränder')",1
"('begünstigen', 'feldbrände')",1
"('erfahrung', 'waldbrändender')",1
"('waldbrandexperte', 'waldbrändender')",1
"('ansicht', 'feldbränden')",1
"('feuerwehr', 'vegetationsbrände')",1
"('fit', 'vegetationsbrände')",1
"('feldbrände', 'schulen')",1
"('brände', 'vergleich')",1
"('brände', 'gebäude')",1
"('erfahrung', 'großbrände')",1
"('großbrände', 'vorgehen')",1
"('feldbrände', 'nützlich')",1
"('bekämpfung', 'feldbrände')",1
"('einsetzen', 'feldbrände')",1
"('brände', 'einsatz')",1
"('feldbränden', 'hoch')",1
"('feldbrände', 'tag')",1
"('feldbrände', 'rechnen')",1
"('kurzeinsatz', 'wohnungsbränden')",1
"('denken', 'wohnungsbränden')",1
"('brände', 'mensch')",1
"('brände', 'vermisst')",1
"('brände', 'tag')",1
"('brände', 'fehlen')",1
"('slowenienauch', 'waldbrände')",1
"('karstgebiet', 'waldbrände')",1
"('urlaubshochburg', 'waldbrände')",1
"('betreffen', 'waldbrände')",1
"('brände', 'vier')",1
"('brände', 'waldgebiet')",1
"('160.000', 'eurobrände')",1
"('eurobrände', 'feld')",1
"('brände', 'ernteflächen')",1
"('hitzewell', 'waldbrändeseit')",1
"('teil', 'waldbrändeseit')",1
"('vegetationsbrände', 'vermehrt')",1
"('vegetationsbrände', 'waldbränd')",1
"('dauereinsatz', 'vegetationsbrände')",1
"('brennend', 'vegetationsbrände')",1
"('dürre', 'waldbränder')",1
"('kontrolle', 'waldbränder')",1
"('großbrände', 'zwei')",1
"('großbrände', 'westfranzösisch')",1
"('brände', 'griechenland')",1
"('brände', 'warnen')",1
"('bränderegierung', 'zange')",1
"('bränderegierung', 'warnen')",1
"('vegetationsbrändenam', 'warnen')",1
"('dienstag', 'vegetationsbrändenam')",1
"('brände', 'erwartetden')",1
"('brände', 'südfrankreich')",1
"('250', 'waldbrände')",1
"('melden', 'waldbrände')",1
"('lichtschutzfaktor', 'sonnenbrände')",1
"('außerdem', 'sonnenbrände')",1
"('brände', 'mergner')",1
"('vegetationsbrände', 'ökologisch')",1
"('goldammer', 'vegetationsbrände')",1
"('wald', 'wiesenbrände')",1
"('ober', 'wiesenbrände')",1
"('auslöser', 'brände')",1
"('brände', 'trockenheit')",1
"('drohen', 'waldbrände')",1
"('vermeiden', 'waldbrändeim')",1
"('kreis', 'waldbrändeim')",1
"('brände', 'gewaltig')",1
"('brände', 'sommer')",1
"('regel', 'waldbränder')",1
"('flugzeug', 'waldbränder')",1
"('brände', 'elf')",1
"('brände', 'kalifornien')",1
"('anfällig', 'bränderund')",1
"('5.000', 'bränderund')",1
"('blick', 'waldbrände')",1
"('geschichte', 'waldbrände')",1
"('großflächig', 'waldbränder')",1
"('geben', 'waldbränder')",1
"('brände', 'vogel')",1
"('brände', 'leben')",1
"('brände', 'fünf')",1
"('brände', 'schädigen')",1
"('brände', 'luftbeobachtung')",1
"('absuchen', 'brände')",1
"('flächenbrände', 'regelrecht')",1
"('brandbekämpfung', 'flächenbrände')",1
"('vermisstebei', 'waldbrände')",1
"('mensch', 'waldbrände')",1
"('hubschrauber', 'waldbrändender')",1
"('vorteil', 'waldbrändender')",1
"('brände', 'unterstützung')",1
"('brände', 'kommen')",1
"('ausgebrochen', 'brände')",1
"('brändedie', 'küstennebel')",1
"('brändedie', 'ökologin')",1
"('brände', 'ähnlich')",1
"('brände', 'passt')",1
"('brände', 'gelegt')",1
"('brände', 'frühjahr')",1
"('brände', 'sousa')",1
"('brände', 'gemeinde')",1
"('betreffen', 'brände')",1
