"Word","Frequency"
"('angebot', 'evakuierung', 'regnet')",3
"('angebot', 'evakuierung', 'starkregen')",3
"('evakuierung', 'möglichwie', 'starkregen')",3
"('evakuierung', 'falle', 'haushalt')",2
"('evakuierung', 'falle', 'trifft')",2
"('brechen', 'evakuierung', 'trifft')",2
"('30.000', 'evakuierungszentren', 'menschen')",2
"('evakuierungszentren', 'menschen', 'untergebracht')",2
"('evakuierungszentren', 'rettungskräfte', 'untergebracht')",2
"('evakuierungsaktion', 'verlassen', 'weiteren')",2
"('2.000', 'evakuierungsaktion', 'weiteren')",2
"('2.000', 'evakuierungsaktion', 'menschen')",2
"('evakuierten', 'feuer', 'fliehen')",2
"('evakuierten', 'fliehen', 'juli')",2
"('evakuierten', 'flammen', 'juli')",2
"('evakuierungen', 'hält', 'ort.giffey')",2
"('evakuierungen', 'hält', 'notwendigberlins')",2
"('evakuierungen', 'notwendigberlins', 'regierende')",2
"('evakuierungen', 'notwendigkeit', 'sagte')",2
"('evakuierungen', 'notwendigkeit', 'radius')",2
"('evakuierungen', 'radius', 'zwei')",2
"('evakuierung', 'quadratkilometern', 'wütet')",2
"('6.000', 'evakuierung', 'quadratkilometern')",2
"('6.000', 'evakuierung', 'menschen')",2
"('evakuiert', 'feuerwehr', 'kalifornischen')",2
"('2.100', 'evakuiert', 'feuerwehr')",2
"('2.100', 'einsatzkräfte', 'evakuiert')",2
"('dadia', 'dorf', 'evakuiert')",2
"('dadia', 'evakuiert', 'militär')",2
"('evakuiert', 'forstarbeiter', 'militär')",2
"('evakuiert', 'ortschaft', 'vortag')",2
"('evakuiert', 'häuser', 'ortschaft')",2
"('autos', 'evakuiert', 'häuser')",2
"('evakuierung', 'ordnete', 'west-lesbos')",2
"('evakuierung', 'informationen', 'ordnete')",2
"('evakuierung', 'informationen', 'nachrichtenagentur')",2
"('evakuierten', 'teilte', 'zahl')",2
"('busse', 'evakuierten', 'zahl')",2
"('busse', 'evakuierten', 'kleine')",2
"('evakuiert', 'landes', 'westen')",2
"('1.000', 'evakuiert', 'landes')",2
"('1.000', 'evakuiert', 'feuerwehrleute')",2
"('drei', 'dörfer', 'evakuiert')",2
"('dörfer', 'evakuiert', 'mussten.in')",2
"('evakuiert', 'mussten.in', 'spanien')",2
"('brände', 'evakuierten', 'spanien')",2
"('evakuierten', 'menschen', 'spanien')",2
"('evakuierten', 'konnten', 'menschen')",2
"('beide', 'brände', 'evakuierung')",2
"('brände', 'evakuierung', 'zehntausenden')",2
"('evakuierung', 'menschen', 'zehntausenden')",2
"('erlitten', 'evakuierungen', 'touristen')",2
"('betroffen', 'evakuierungen', 'touristen')",2
"('betroffen', 'evakuierungen', 'zunächst')",2
"('evakuiert', 'fest', 'mussten')",2
"('evakuiert', 'mussten', 'münchner')",2
"('evakuiert', 'münchner', 'zeitungen')",2
"('evakuiert', 'menschen', 'mussten')",1
"('evakuiert', 'mussten', 'versuche')",1
"('evakuiert', 'soldaten', 'versuche')",1
"('evakuiert', 'stück', 'vieh')",1
"('evakuiert', 'soldaten', 'vieh')",1
"('bundeswehr', 'evakuiert', 'soldaten')",1
"('evakuierungen', 'straßen', 'stromausfälle')",1
"('einwohner', 'evakuierungen', 'stromausfälle')",1
"('australischen', 'einwohner', 'evakuierungen')",1
"('evakuiert', 'mussten', 'schlauchbooten')",1
"('ende', 'evakuiert', 'schlauchbooten')",1
"('blieb', 'ende', 'evakuiert')",1
"('ache', 'evakuiert', 'königsseer')",1
"('ache', 'evakuiert', 'vorsichtsmaßnahme')",1
"('danach', 'evakuiert', 'vorsichtsmaßnahme')",1
"('evakuierungs-mitteilungen', 'folgten', 'zwei')",1
"('evakuierungs-mitteilungen', 'warn-apps', 'zwei')",1
"('bestimmte', 'evakuierungs-mitteilungen', 'warn-apps')",1
"('evakuiert', 'geblieben', 'hotel')",1
"('evakuiert', 'hotel', 'unwetternacht')",1
"('evakuiert', 'herrsche', 'unwetternacht')",1
"('evakuiert', 'herrmann', 'mussten')",1
"('evakuiert', 'herrmann', 'werden.glauber')",1
"('evakuiert', 'extremeres', 'werden.glauber')",1
"('bewohner', 'durften', 'evakuierten')",1
"('bewohner', 'evakuierten', 'häuser')",1
"('evakuierten', 'häuser', 'zurück')",1
"('evakuieren', 'hunderte', 'menschen')",1
"('evakuieren', 'hammersbach', 'menschen')",1
"('evakuieren', 'hammersbach', 'ufer')",1
"('evakuierung', 'niemand', 'vorstellen')",1
"('evakuierung', 'junidie', 'vorstellen')",1
"('anwohner', 'evakuierung', 'junidie')",1
"('christi', 'evakuierungeine', 'parteienstreit')",1
"('debatte', 'evakuierungeine', 'parteienstreit')",1
"('debatte', 'evakuierungeine', 'hochwassergefährdete')",1
"('evakuiert', 'houston', 'vorsorglich')",1
"('evakuiert', 'gouverneur', 'vorsorglich')",1
"('abbott', 'evakuiert', 'gouverneur')",1
"('betreuung', 'evakuierten', 'unterbringung')",1
"('betreuung', 'evakuierten', 'geflüchteten')",1
"('evakuierten', 'geflüchteten', 'vertriebenen')",1
"('evakuierung', 'inselregierung', 'ordnete')",1
"('800', 'evakuierung', 'ordnete')",1
"('800', 'evakuierung', 'menschen')",1
"('außerhalb', 'bisherigen', 'evakuierungszone')",1
"('bisherigen', 'evakuierungszone', 'zubewegt.evakuierungen')",1
"('evakuierungszone', 'los', 'zubewegt.evakuierungen')",1
"('llanos', 'los', 'zubewegt.evakuierungen')",1
"('evakuiert', 'teil', 'wohngegend')",1
"('evakuiert', 'vordringens', 'wohngegend')",1
"('evakuiert', 'lavastroms', 'vordringens')",1
"('eruptionen', 'evakuiert', 'zunehmenden')",1
"('eruptionen', 'evakuiert', 'feuerwehrleute')",1
"('evakuiert', 'feuerwehrleute', 'helfer')",1
"('einwohnern', 'evakuiert', 'vorsichtshalber')",1
