"Word","Frequency"
"('grundstücke', 'keller', 'überflutet')",9
"('kellern', 'straßen', 'überflutungen')",9
"('keller', 'straßen', 'überflutet')",8
"('flächen', 'forstwirtschaftliche', 'überflutet')",6
"('bedrohung', 'flutkatastrophen', 'unwetterkatastrophen')",6
"('keller', 'straßen', 'überflutete')",5
"('flutpolder', 'geplante', 'katzau')",4
"('straßen', 'wetterdienst', 'überflutet')",4
"('2016', 'juni', 'überflutet')",4
"('simbach', 'sturzfluten', 'ufer')",4
"('sturzfluten', 'trat', 'ufer')",4
"('2016bei', 'flutkatastrophe', 'juni')",4
"('geschützt', 'sandsäcken', 'überflutungen')",4
"('geschützt', 'keller', 'überflutungen')",4
"('flutkatastrophe', 'nordrhein-westfalen', 'rheinland-pfalz')",4
"('3,5', 'schwere', 'sturmflut')",4
"('flut', 'menschen', 'riss')",4
"('damals', 'flut', 'riss')",4
"('flächen', 'leichte', 'überflutet')",3
"('leichte', 'verkehrsbehinderungen', 'überflutet')",3
"('keller', 'sperrung', 'überflutet')",3
"('sperrung', 'überflutet', 'überörtlicher')",3
"('flut', 'großen', 'jahre')",3
"('flut', 'großen', 'kreis')",3
"('flut', 'kreis', 'rottal-inn')",3
"('stadtgebiets', 'teile', 'überflutet')",3
"('gebäude', 'geflutet', 'straßenzüge')",3
"('ahrtal', 'bundespräsident', 'flutkatastrophe')",3
"('ahrtal', 'flutkatastrophe', 'sommer')",3
"('betroffen', 'flutkatastrophe', 'starkregenfällen')",3
"('betroffen', 'flutkatastrophe', 'forderte')",3
"('flutkatastrophe', 'forderte', 'mehre')",3
"('flutkatastrophe', 'jüngsten', 'rolle')",3
"('flutkatastrophe', 'jüngsten', 'westeuropa')",3
"('flutkatastrophe', 'gespielt', 'westeuropa')",3
"('deutschlands', 'flutkatastrophe', 'westen')",3
"('deutschlands', 'flutkatastrophe', 'heimgesucht')",3
"('170', 'flutkatastrophe', 'heimgesucht')",3
"('autos', 'fluten', 'schwammen')",3
"('fluten', 'schwammen', 'wasser-')",3
"('fluten', 'stromversorgung', 'wasser-')",3
"('fluten', 'lahmgelegt', 'verkehr')",3
"('fluten', 'lahmgelegt', 'überschwemmten')",3
"('fluten', 'u-bahn', 'überschwemmten')",3
"('autos', 'u-bahnstationen', 'überflutet')",3
"('internet', 'u-bahnstationen', 'überflutet')",3
"('internet', 'machten', 'überflutet')",3
"('flut', 'fünf', 'jahren')",3
"('flut', 'jahren', 'verwüstet')",3
"('aktuelle', 'flut', 'verwüstet')",3
"('2016', 'kleine', 'überflutet')",3
"('bach', 'kleine', 'überflutet')",3
"('bach', 'simbach', 'sturzfluten')",3
"('erst', 'flut', 'jetztsimbach')",3
"('flut', 'jetztsimbach', 'sirenen')",3
"('beantragt', 'flut', 'sirenen')",3
"('flut', 'häuser', 'zerstörte')",3
"('2016', 'flutkatastrophe', 'starben')",3
"('flutwelle', 'ströme', 'verwandelt')",3
"('flutwelle', 'rollte', 'verwandelt')",3
"('flutwelle', 'rollte', 'simbach')",3
"('starkregen', 'straßen', 'überflutete')",3
"('kellern', 'straßen', 'überfluteten')",3
"('altstadt', 'wöhrdinsel', 'überflutet')",3
"('besiedelt', 'flutkatastrophen', 'unwetterkatastrophen')",3
"('besiedelt', 'flutkatastrophen', 'sollten.brk')",3
"('flutkatastrophe', 'hintergrund', 'jährenden')",3
"('flutkatastrophe', 'jährenden', 'rheinland-pfalz')",3
"('flutkatastrophen', 'unwetterkatastrophen', 'wiederbesiedelt')",3
"('flutkatastrophen', 'sollten', 'wiederbesiedelt')",3
"('anlässlich', 'flutkatastrophe', 'jahrestages')",3
"('bevölkerungsschutz', 'flutkatastrophe', 'jahrestages')",3
"('bevölkerungsschutz', 'flutkatastrophe', 'äußern.mit')",3
"('liste', 'nordsee', 'sturmfluten')",3
"('dienen', 'starkregen', 'überflutungsflächen')",2
"('rest', 'starkregen', 'überflutungsflächen')",2
"('jahres', 'rest', 'überflutungsflächen')",2
"('auftritt', 'gefährliche', 'sturzfluten')",2
"('gefährliche', 'hervorrufen', 'sturzfluten')",2
"('keller', 'verkehrsbehinderungen', 'überflutet')",2
"('straßensperrungen', 'verkehrsbehinderungen', 'überflutet')",2
"('flutkatastrophe', 'polizei', 'simbach')",2
"('2016', 'flutkatastrophe', 'simbach')",2
"('2016', 'flutkatastrophe', 'mehreren')",2
"('2016', 'gefluteten', 'polizei')",2
"('2016', 'gebäude', 'gefluteten')",2
"('containern', 'gebäude', 'gefluteten')",2
"('straßen', 'werden.zum', 'überflutet')",2
"('bayern-wetter', 'werden.zum', 'überflutet')",2
"('stadtgebiets', 'teilt', 'überflutet')",2
"('kreisbrandinspektion', 'teilt', 'überflutet')",2
"('cham', 'geflutet', 'keller')",2
"('geflutet', 'keller', 'straßen')",2
"('bahngleise', 'geflutet', 'straßen')",2
"('geflutet', 'keller', 'niedergegangen')",2
"('geflutet', 'keller', 'straßenzüge')",2
"('flutpolder', 'katzau', 'kommt')",2
"('flutpolder', 'möchte', 'verbessern')",2
"('flutpolder', 'möchte', 'rückhaltebecken')",2
"('drohenden', 'flutpolder', 'rückhaltebecken')",2
"('extremen', 'geflutet', 'hochwasser')",2
"('geflutet', 'hochwasser', 'weise')",2
"('flusspegel', 'geflutet', 'weise')",2
