"Word","Frequency"
"('2005', 'hurrikan', 'katrina')",8
"('hurrikan', 'kuba', 'usa')",5
"('1992', 'andrew', 'hurrikan')",4
"('hurrikan-saison', 'karibik', 'usa')",3
"('hurrikan', 'katrina', 'louisiana')",3
"('hurrikan', 'karibik', 'usa')",3
"('angaben', 'hurrikan', 'us-wetterbehörden')",2
"('hurrikan', 'kommenden', 'us-wetterbehörden')",2
"('hurrikan', 'kommenden', 'stärke')",2
"('annimmt.neuer', 'hurrikan', 'zügig')",2
"('annimmt.neuer', 'hurrikan', 'unterwegsunterdessen')",2
"('braut', 'hurrikan', 'unterwegsunterdessen')",2
"('atlantik', 'hurrikan', 'nahm')",2
"('hurrikan', 'irma', 'nahm')",2
"('hurrikan', 'irma', 'windgeschwindigkeiten')",2
"('hurrikan', 'naturkatastrophe', 'vergangenen')",2
"('hurrikan', 'ian', 'vergangenen')",2
"('hurrikan', 'ian', 'usa')",2
"('entstehen', 'hurrikan-saison', 'jahreshälfte')",2
"('entstehen', 'hurrikan-saison', 'usa')",2
"('beispiele', 'dkkv', 'hurrikan')",2
"('beispiele', 'hurrikan', 'katrina')",2
"('hurrikan', 'katrina', 'katrina')",2
"('auswirkungen', 'hurrikan', 'katrina')",2
"('1969', 'camille', 'hurrikan')",2
"('august', 'hurrikan', 'katrina')",2
"('dollar', 'hurrikan', 'katrina')",2
"('hurrikan', 'infolge', 'katrina')",2
"('hurrikan', 'rang', 'saison')",2
"('hurrikan', 'mrd', 'usd')",2
"('1989', 'hugo', 'hurrikan')",2
"('großer', 'hurrikan', 'todesopfer')",2
"('1780', 'großer', 'hurrikan')",2
"('1998', 'hurrikan', 'mitch')",2
"('1974', 'fifi', 'hurrikan')",2
"('1963', 'flora', 'hurrikan')",2
"('atlantischen', 'hurrikan', 'ozean')",2
"('hurrikan', 'nordpazifik', 'stärkste')",2
"('entstehen', 'grundsätzlich', 'hurrikane')",2
"('golf', 'hurrikans', 'mexiko')",2
"('1928', 'okeechobee-hurrikan', 'usa')",2
"('1935', 'labor-day-hurrikan', 'usa')",2
"('1980', 'hurrikan', 'karibik')",2
"('honduras', 'hurrikan', 'nicaragua')",2
"('hurrikan', 'katrina', 'usa')",2
"('2018', 'hurrikan', 'ostküste')",2
"('2018', 'hurrikan', 'leslie')",2
"('englisch', 'hurrikan-saisons', 'verzeichnis')",2
"('2016', 'haiti', 'hurrikan')",2
"('haiti', 'hurrikan', 'matthew')",2
"('heimgesucht', 'hurrikan', 'matthew')",2
"('hurrikane', 'lesen', 'tornados')",1
"('entstehentornados', 'hurrikane', 'tornados')",1
"('entstehentornados', 'hurrikane', 'sechs')",1
"('bayerischen', 'hurrikan-saison', 'landtags')",1
"('hurrikan-saison', 'landtags', 'usa')",1
"('hurrikans', 'meereswasser', 'wärmer')",1
"('brauchen', 'hurrikans', 'wärmer')",1
"('brauchen', 'grad', 'hurrikans')",1
"('hurrikans', 'verweht', 'wolken')",1
"('hurrikans', 'könnten', 'verweht')",1
"('bilden', 'hurrikans', 'könnten')",1
"('hurrikane', 'landkreis', 'material.überschwemmungen')",1
"('erdbeben', 'hurrikane', 'material.überschwemmungen')",1
"('ehrenamtliche', 'erdbeben', 'hurrikane')",1
"('folge', 'hurrikans', 'kamen')",1
"('folge', 'harvey', 'hurrikans')",1
"('harvey', 'hurrikans', 'menschen')",1
"('harvey', 'hurrikan', 'mächtiger')",1
"('freitagabend', 'hurrikan', 'mächtiger')",1
"('freitagabend', 'hurrikan', 'ortszeit')",1
"('hurrikan-zentrum', 'küste', 'nationale')",1
"('hurrikan-zentrum', 'nationale', 'nhc')",1
"('hurrikan-zentrum', 'nhc', 'stufte')",1
"('1995', 'hurrikan', 'kōbe')",1
"('1995', 'hurrikan', 'katrina')",1
"('hurrikan/taifun', 'tornado', 'trogorkan')",1
"('hurrikan/taifun', 'tornado', 'typen')",1
"('hurrikan/taifun', 'schneeverwehung', 'typen')",1
"('hurrikan', 'stürme', 'wirbelstürme')",1
"('hurrikan', 'taifun', 'wirbelstürme')",1
"('hocheffizienten', 'hurrikan', 'taifun')",1
"('hurrikane', 'starken', 'stürmen')",1
"('bestimmten', 'hurrikane', 'stürmen')",1
"('bestimmten', 'hurrikane', 'umständen')",1
"('behandelt', 'doi:10.2312/geowissenschaften.1996.14.24', 'hurrikan')",1
"('behandelt', 'hurrikan', 'katrina')",1
"('hurrikan', 'jahres', 'katrina')",1
"('hurrikan', 'katrina', 'sturm')",1
"('hurrikan', 'kategorie-5-hurrikan', 'katrina')",1
"('kategorie-5-hurrikan', 'katrina', 'sshws')",1
"('hurrikan', 'kategorie-5-hurrikan', 'sshws')",1
"('hurrikan', 'katrina', 'sshws')",1
"('größter', 'hurrikan', 'katrina')",1
"('atlantische', 'hurrikansaison', 'saisonübersicht')",1
"('2005', 'atlantische', 'hurrikansaison')",1
"('2005', 'hurrikan', 'hurrikansaison')",1
"('hurrikan', 'katrina', 'verheerendsten')",1
"('hurrikan', 'staaten', 'vereinigten')",1
