"Word","Frequency"
"('erdbeben', 'tsunami', 'vulkanausbruchnach')",12
"('entstand', 'folge', 'tsunami')",4
"('entstand', 'tsunami', 'wellen')",4
"('höhe', 'tsunami', 'wellen')",4
"('erdbeben', 'erreichten', 'tsunami')",4
"('erdbeben', 'oktober', 'tsunami')",4
"('600', 'oktober', 'tsunami')",4
"('ausgelöst', 'tonga', 'tsunami-warnung')",4
"('ausgelösten', 'gewaltigen', 'tsunami')",4
"('gewaltigen', 'tsunami', 'verwüstet')",4
"('hangrutsch', 'tsunami', 'verursacht')",3
"('auslösen', 'tsunami', 'verursacht')",3
"('auslösen', 'theorie', 'tsunami')",3
"('folge', 'tsunami', 'wahrscheinlich')",3
"('folge', 'tsunami', 'unwahrscheinlich')",3
"('ausgeschlossen', 'tsunami', 'unwahrscheinlich')",3
"('kanareninsel', 'palma', 'tsunami')",3
"('palma', 'tsunami', 'us-ostküste')",3
"('auslösen', 'tsunami', 'us-ostküste')",3
"('anschließenden', 'erdbeben', 'tsunami')",3
"('anschließenden', 'sumatra', 'tsunami')",3
"('gesehen', 'sumatra', 'tsunami')",3
"('aufstauen', 'tsunami', 'wellen')",3
"('aufstauen', 'hafenwelle', 'tsunami')",3
"('genannt.dafür', 'hafenwelle', 'tsunami')",3
"('2004', 'e.v', 'tsunami-einsatz')",2
"('2004', 'reihen', 'tsunami-einsatz')",2
"('flughafenfeuerwehr', 'reihen', 'tsunami-einsatz')",2
"('erdbeben', 'feuersbrünsten', 'tsunamis')",2
"('feuersbrünsten', 'hilfs-', 'tsunamis')",2
"('hilfs-', 'opferbereitschaft', 'tsunamis')",2
"('dortigen', 'tsunami', 'verwüstungen')",2
"('augenschein', 'tsunami', 'verwüstungen')",2
"('augenschein', 'nehmen', 'tsunami')",2
"('inselstaat', 'tonga', 'tsunami-warnung')",2
"('registriert', 'teilte', 'us-tsunami-warnzentrum')",2
"('hätten', 'teilte', 'us-tsunami-warnzentrum')",2
"('hätten', 'höhe', 'us-tsunami-warnzentrum')",2
"('australien', 'sprach', 'tsunami-höhe')",2
"('1,2', 'sprach', 'tsunami-höhe')",2
