"Word","Frequency"
"('gemeinden', 'teil.starkregen', 'vorsorge')",1
"('gemeinden', 'treffenbei', 'vorsorge')",1
"('kurzen', 'treffenbei', 'vorsorge')",1
"('gehöre', 'private', 'vorsorge')",1
"('private', 'trifft', 'vorsorge')",1
"('form', 'trifft', 'vorsorge')",1
"('entsprechende', 'kommunen', 'vorsorgemaßnahmen')",1
"('entsprechende', 'treffen', 'vorsorgemaßnahmen')",1
"('treffen', 'unabhängig', 'vorsorgemaßnahmen')",1
"('beitrag', 'vorsorgenden', 'wichtigen')",1
"('beitrag', 'hochwasserschutz', 'vorsorgenden')",1
"('anpassung', 'hochwasserschutz', 'vorsorgenden')",1
"('brauche', 'vorsorge', 'übungen')",1
"('fall', 'vorsorge', 'übungen')",1
"('blackouts.der', 'fall', 'vorsorge')",1
"('gefahren', 'naturkatastrophen', 'vorsorge')",1
"('1800.', 'naturkatastrophen', 'vorsorge')",1
"('1800.', 'vorsorge', 'wallstein')",1
"('freiwillige', 'hauptsächlich', 'vorsorge')",1
"('bürger', 'freiwillige', 'vorsorge')",1
"('bürger', 'kosten', 'vorsorge')",1
"('anfälligkeit', 'hängt', 'vorsorge')",1
"('anfälligkeit', 'gesellschaft', 'vorsorge')",1
"('anzahl', 'gesellschaft', 'vorsorge')",1
"('ausweiten', 'hängt', 'vorsorge')",1
"('gesellschaft', 'hängt', 'vorsorge')",1
"('gesellschaft', 'reaktion', 'vorsorge')",1
"('cdu-politiker', 'investitionen', 'vorsorgenden')",1
"('brandschutz', 'investitionen', 'vorsorgenden')",1
"('brandschutz', 'entsprechende', 'vorsorgenden')",1
"('freistaat', 'kommunen', 'vorsorge')",1
"('freistaat', 'getroffen', 'vorsorge')",1
"('getroffen', 'oberfränkischen', 'vorsorge')",1
"('lösungen', 'nachhaltige', 'vorsorge')",1
"('gefunden', 'nachhaltige', 'vorsorge')",1
"('bachlauf', 'gefunden', 'vorsorge')",1
"('deutschland', 'müsse', 'vorsorge')",1
"('deutschland', 'treffen', 'vorsorge')",1
"('dürre', 'treffen', 'vorsorge')",1
"('gemeinden', 'sollten', 'vorsorgemaßnahmen')",1
"('eigenen', 'sollten', 'vorsorgemaßnahmen')",1
"('eigenen', 'hitzeaktionsplan', 'vorsorgemaßnahmen')",1
