"Word","Frequency"
"('faktenfuchs', 'klimawandel', 'waldbrände')",9
"('rechte', 'reiseländern', 'waldbrände')",9
"('dürre', 'hitze', 'waldbrände')",6
"('bayerns', 'feuerwehren', 'waldbrände')",5
"('gefahr', 'höchsten', 'waldbränden')",5
"('dürre', 'nehmen', 'waldbrände')",4
"('nehmen', 'vielen', 'waldbrände')",4
"('gefahr', 'steigen', 'waldbränden')",4
"('besucher', 'waldbrände', 'wäldern')",4
"('sofort', 'waldbrände', 'wäldern')",4
"('notrufnummer', 'sofort', 'waldbrände')",4
"('kampf', 'mehreren', 'waldbrände')",4
"('ländern', 'mehreren', 'waldbrände')",4
"('entstehen', 'menschen', 'waldbrände')",4
"('dürre', 'herrscht', 'waldbrände')",3
"('dürre', 'kontrolle', 'waldbrände')",3
"('bekommen', 'kontrolle', 'waldbrände')",3
"('dürre', 'schwerer', 'waldbrände')",3
"('schwerer', 'waldbrände', 'ziehen')",3
"('waldbrände', 'ziehen', 'zunehmend')",3
"('drohnen', 'erlangen', 'waldbrände')",3
"('erkennen', 'frühzeitig', 'waldbrände')",3
"('gefahr', 'waldbränden', 'zeit')",3
"('deutschlands', 'starken', 'waldbränden')",2
"('lage', 'starken', 'waldbränden')",2
"('brandenburg', 'lage', 'waldbränden')",2
"('hochwasser', 'seebeben', 'waldbrände')",2
"('hochwasser', 'naturkatastrophen', 'waldbrände')",2
"('klimakatastrophe', 'naturkatastrophen', 'waldbrände')",2
"('hitzewelle', 'intensiven', 'waldbränden')",2
"('böden', 'gefahr', 'waldbränden')",2
"('dwd', 'steigen', 'waldbränden')",2
"('landkreis', 'schwandorf', 'waldbrände')",2
"('angaben', 'schwandorf', 'waldbrände')",2
"('angaben', 'polizei', 'waldbrände')",2
"('faktenfuchs', 'niemand', 'waldbrände')",2
"('klimawandel', 'waldbrände', 'zusammenhängenweiteres')",2
"('lage', 'spanien', 'waldbränden')",2
"('spanien', 'spanischen', 'waldbränden')",2
"('spanischen', 'urlaubsregion', 'waldbränden')",2
"('verheerendsten', 'waldbrände', 'wütete')",2
"('vergangenen', 'verheerendsten', 'waldbrände')",2
"('vergangenen', 'waldbrände', 'zehn')",2
"('juni', 'kommt', 'waldbränden')",2
"('2022', 'juni', 'waldbränden')",2
"('2022', 'spanien', 'waldbränden')",2
"('copernicus', 'hunderten', 'waldbränden')",2
"('fläche', 'hunderten', 'waldbränden')",2
"('fläche', 'größer', 'waldbränden')",2
"('gefahr', 'niederbayern', 'waldbrände')",2
"('niederbayern', 'oberpfalz', 'waldbrände')",2
"('dwd', 'gefahr', 'waldbrände')",2
"('erheblich', 'gefahr', 'waldbrände')",2
"('erheblich', 'gelbe', 'waldbrände')",2
"('brechen', 'trockenheit', 'waldbrände')",2
"('brechen', 'buschbrand', 'waldbrände')",2
"('buschbrand', 'nördlich', 'waldbrände')",2
"('erst', 'feuerwehr', 'waldbrände')",2
"('feuerwehr', 'griff', 'waldbrände')",2
"('brennen', 'griff', 'waldbrände')",2
"('drohnen', 'erkennengefahrenstufe', 'waldbrände')",2
"('erkennengefahrenstufe', 'mittelfränkischen', 'waldbrände')",2
"('bordeaux', 'großen', 'waldbrände')",2
"('bordeaux', 'südwesten', 'waldbrände')",2
"('faktenfuchs', 'waldbrände', 'zerstört')",2
"('klimawandel', 'waldbrände', 'zusammenhängeninnenminister')",2
"('frankreichs', 'lodern', 'waldbrände')",2
"('feuer', 'lodern', 'waldbrände')",2
"('angers', 'feuer', 'waldbrände')",2
"('hat.zwei', 'riesige', 'waldbrände')",2
"('juliin', 'riesige', 'waldbrände')",2
"('gironde', 'juliin', 'waldbrände')",2
"('riesige', 'waldbrände', 'zwei')",2
"('gewütet', 'riesige', 'waldbrände')",2
"('gewütet', 'landiras', 'waldbrände')",2
"('urlaub', 'verbrachten.zum', 'waldbrände')",2
"('reiseländern', 'verbrachten.zum', 'waldbrände')",2
"('graddie', 'temperaturen', 'waldbrände')",2
"('graddie', 'juli', 'waldbrände')",2
"('juli', 'starken', 'waldbrände')",2
"('beim', 'kampf', 'waldbrände')",2
"('fehlt', 'großen', 'waldbrändender')",2
"('großen', 'waldbrandexperte', 'waldbrändender')",2
"('lindon', 'waldbrandexperte', 'waldbrändender')",2
"('klimawandel', 'waldbrände', 'zusammenhängen')",2
"('aufsteigen', 'flugzeuge', 'waldbrände')",2
"('aufsteigen', 'frühzeitig', 'waldbrände')",2
"('vergangenen', 'waldbränden', 'wochen')",2
"('franken', 'waldbränden', 'wochen')",2
"('franken', 'landkreis', 'waldbränden')",2
"('mehreren', 'waldbränden', 'wochen')",2
"('angaben', 'mehreren', 'waldbränden')",2
"('angaben', 'behörden', 'waldbränden')",2
"('serie', 'vergangenen', 'waldbrände')",2
"('serie', 'spanien', 'waldbrände')",2
"('ende', 'spanien', 'waldbrände')",2
"('sagte', 'torres.alle', 'waldbrände')",2
"('spanien', 'torres.alle', 'waldbrände')",2
"('gelöscht', 'spanien', 'waldbrände')",2
"('aufflamme.zum', 'feuer', 'waldbrände')",2
"('aufflamme.zum', 'reiseländern', 'waldbrände')",2
"('südeuropa', 'verheerende', 'waldbrände')",2
"('urlaubsregion', 'verheerende', 'waldbrände')",2
"('südtirol', 'urlaubsregion', 'waldbrände')",2
"('melden', 'waldbrände', 'zahlreiche')",2
"('spanien', 'waldbrände', 'zahlreiche')",2
"('flammen', 'spanien', 'waldbrände')",2
"('gewitter', 'kleine', 'waldbrände')",2
"('kleine', 'norditalienischen', 'waldbrände')",2
"('norditalienischen', 'südtirol', 'waldbrände')",2
"('sommer', 'vielen', 'waldbränden')",2
"('betroffen', 'vielen', 'waldbränden')",2
"('betroffen', 'waldbränden', 'wenig')",2
"('griechenland', 'waldbrände', 'wüten')",2
"('mittelmeerinsel', 'waldbrände', 'wüten')",2
"('lesbos', 'mittelmeerinsel', 'waldbrände')",2
"('2012', 'rekordjahr', 'waldbrände')",2
"('2012', 'spanien', 'waldbrände')",2
"('189.376', 'spanien', 'waldbrände')",2
"('25.000', 'hektar', 'waldbränden')",2
"('hektar', 'stärksten', 'waldbränden')",2
"('betroffene', 'stärksten', 'waldbränden')",2
"('löscharbeiten', 'slowenienauch', 'waldbrände')",2
"('karstgebiet', 'slowenienauch', 'waldbrände')",2
"('karstgebiet', 'sloweniens', 'waldbrände')",2
"('luft', 'vornehmlich', 'waldbrände')",2
"('luft', 'reiseländern', 'waldbrände')",2
"('dauern', 'kampf', 'waldbrände')",2
"('kampf', 'südeuropaim', 'waldbrände')",2
"('doppelt', 'saarland', 'waldbrände')",2
"('europa', 'saarland', 'waldbrände')",2
"('europa', 'fläche', 'waldbrände')",2
"('befüllen', 'feld-', 'waldbränden')",2
"('feld-', 'könnten', 'waldbränden')",2
"('feuerwehren', 'könnten', 'waldbränden')",2
"('acker-', 'waldbrände', 'zugreifen')",2
"('acker-', 'unachtsamkeit', 'waldbrände')",2
"('fahrlässigkeit', 'unachtsamkeit', 'waldbrände')",2
"('neuer', 'technik', 'waldbrände')",2
"('feuerwehrmann', 'technik', 'waldbrände')",2
"('feuerwehrmann', 'franzisko', 'waldbrände')",2
"('hitzewelle', 'leben.europaweit', 'waldbrändeseit')",2
"('hitzewelle', 'waldbrändeseit', 'wochen')",2
