"Word","Frequency"
"('deutsche', 'dwd', 'wetterdienst')",82
"('deutschen', 'dwd', 'wetterdienstes')",43
"('deutschen', 'dwd', 'wetterdienst')",14
"('deutsche', 'warnt', 'wetterdienst')",14
"('angaben', 'deutschen', 'wetterdienstes')",9
"('dwd', 'unwetterwarnung', 'wetterdienst')",8
"('dwd', 'warnt', 'wetterdienst')",8
"('deutschem', 'dwd', 'wetterdienst')",7
"('beim', 'deutschen', 'wetterdienst')",7
"('deutschen', 'sprecher', 'wetterdienstes')",7
"('deutsche', 'unwetterwarnung', 'wetterdienst')",6
"('deutschen', 'meteorologe', 'wetterdienstes')",6
"('deutsche', 'warnte', 'wetterdienst')",6
"('deutsche', 'grad', 'wetterdienst')",6
"('deutsche', 'rechnet', 'wetterdienst')",5
"('dwd', 'mitteilte', 'wetterdienstes')",5
"('dwd', 'teile', 'wetterdienst')",5
"('deutsche', 'gewitter', 'wetterdienst')",5
"('daten', 'deutschen', 'wetterdienstes')",4
"('dwd', 'mitteilte', 'wetterdienst')",4
"('deutschen', 'unwetterwarnung', 'wetterdienstes')",4
"('straßen', 'wetterdienst', 'überflutet')",4
"('deutsche', 'gewarnt', 'wetterdienst')",4
"('deutschen', 'gefahrenindex', 'wetterdienstes')",4
"('dwd', 'fünf', 'wetterdienstes')",4
"('deutsche', 'erwartet', 'wetterdienst')",4
"('deutsche', 'meldet', 'wetterdienst')",4
"('bayern', 'deutsche', 'wetterdienst')",3
"('alpen', 'dwd', 'wetterdienst')",3
"('herausgegeben', 'unwetterwarnung', 'wetterdienst')",3
"('starkem', 'warnt', 'wetterdienst')",3
"('deutsche', 'unwetter', 'wetterdienst')",3
"('dwd', 'erwartet', 'wetterdienst')",3
"('deutsche', 'wetter', 'wetterdienst')",3
"('deutsche', 'vormittag', 'wetterdienst')",3
"('scheint', 'vormittag', 'wetterdienst')",3
"('deutsche', 'teilte', 'wetterdienst')",3
"('deutscher', 'dwd', 'wetterdienst')",3
