"Word","Frequency"
"('hilfe', 'menschen', 'spenden', 'türkei')",11
"('hilfe', 'menschen', 'syrien', 'türkei')",9
"('bevölkerungsschutz', 'bundesamts', 'katastrophenhilfe', 'präsident')",8
"('bbk', 'bevölkerungsschutz', 'katastrophenhilfe', 'ralph')",5
"('bbk', 'katastrophenhilfe', 'ralph', 'tiesler')",5
"('bevölkerungsschutz', 'katastrophenhilfe', 'ralph', 'tiesler')",4
"('expertendass', 'glas', 'hilfe', 'sagen')",4
"('bevölkerungsschutz', 'bundesamts', 'katastrophenhilfe', 'ralph')",3
"('fordert', 'katastrophenhilfe', 'ralph', 'tiesler')",3
"('fordert', 'nachbarschaftshilfe', 'ralph', 'tiesler')",3
"('fordert', 'nachbarschaftshilfe', 'tiesler', 'warnt')",3
"('flächen', 'fordert', 'nachbarschaftshilfe', 'warnt')",3
"('aufgrund', 'flächen', 'nachbarschaftshilfe', 'warnt')",3
"('bevölkerungsschutz', 'bundesamt', 'katastrophenhilfetiesler', 'tiesler')",3
"('bevölkerungsschutz', 'bundesamt', 'katastrophenhilfetiesler', 'plädierte')",3
"('bevölkerungsschutz', 'katastrophenhilfetiesler', 'nachbarschaftshilfe', 'plädierte')",3
"('besten', 'katastrophenhilfetiesler', 'nachbarschaftshilfe', 'plädierte')",3
"('besten', 'nachbarschaftshilfe', 'plädierte', 'sorgt')",3
"('besten', 'nachbarn', 'nachbarschaftshilfe', 'sorgt')",3
"('meist', 'nachbarn.bevölkerungsschützer', 'nachbarschaftshilfedie', 'rettungskräfte')",3
"('hilfsbereitschaft', 'nachbarn.bevölkerungsschützer', 'nachbarschaftshilfedie', 'rettungskräfte')",3
"('frauen', 'handy', 'hilfe', 'versucht')",3
"('handy', 'hilfe', 'holen', 'versucht')",3
"('fehlenden', 'handy', 'hilfe', 'holen')",3
"('fehlenden', 'hilfe', 'holen', 'mobilfunknetzes')",3
"('andie', 'hilfe', 'internationale', 'läuft')",3
"('erdbebenregion', 'faeser', 'hilfe', 'sichern')",3
"('entwicklungszusammenarbeit', 'nothilfe', 'us-behörde', 'usaid')",3
"('flutopfer', 'hilfe', 'staatlichen', 'töpfen')",3
"('hadern', 'hilfeauch', 'staatlicher', 'winklhoferbetroffene')",2
"('hadern', 'hilfeauch', 'staatlicher', 'vertreter')",2
"('hilfeauch', 'staatlicher', 'staatsregierung', 'vertreter')",2
"('hilfeauch', 'machten', 'staatsregierung', 'vertreter')",2
"('670.000', 'euro', 'soforthilfen', 'zahlte')",2
"('bekam', 'gästehaus', 'soforthilfen', 'winter')",2
"('hilfe', 'pfeiffer', 'sagt', 'unbürokratischen')",2
"('behörden', 'hilfe', 'pfeiffer', 'unbürokratischen')",2
"('behörden', 'gewitter', 'hilfe', 'unbürokratischen')",2
"('hilfe', 'mitgefühl', 'sagte', 'unglücksopfern')",2
"('hilfe', 'mitgefühl', 'sagte', 'zu.allein')",2
"('hilfe', 'sagte', 'tote', 'zu.allein')",2
"('erdrutsch', 'hilfe', 'tote', 'zu.allein')",2
"('hilfe', 'leisten', 'pakistan', 'überschwemmungskatastrophe')",2
"('juli', 'soforthilfen', 'staatsregierung', 'unwettern')",2
"('juli', 'landkreise', 'soforthilfen', 'staatsregierung')",2
"('bayern', 'landkreise', 'soforthilfen', 'staatsregierung')",2
"('bekommt', 'getan', 'soforthilfe', 'versichern')",2
"('entstandenen', 'erstattet', 'hochwasser-hilfen', 'schäden')",2
"('erstattet', 'hochwasser-hilfen', 'schäden', 'wissen')",2
"('erstattet', 'hochwasser-hilfen', 'soforthilfen', 'wissen')",2
"('auszahlung', 'hochwasser-hilfen', 'soforthilfen', 'wissen')",2
"('auszahlung', 'soforthilfen', 'wissen', 'überweisung')",2
"('auszahlung', 'bardie', 'soforthilfen', 'überweisung')",2
"('bayerische', 'hilfen', 'kabinett', 'wochen')",2
"('bayerische', 'hilfen', 'kabinett', 'menschen')",2
"('bayerischen', 'hilfen', 'kabinett', 'menschen')",2
"('bayerischen', 'hilfen', 'menschen', 'regionen')",2
"('darauf', 'finanzministerium', 'soforthilfen', 'weist')",2
"('darauf', 'soforthilfen', 'steuerliche', 'weist')",2
"('darauf', 'maßnahmen', 'soforthilfen', 'steuerliche')",2
"('maßnahmen', 'privatpersonen', 'soforthilfen', 'steuerliche')",2
"('beteiligt', 'bund', 'soforthilfen', 'sondersitzungauch')",2
"('euro', 'gespräch', 'soforthilfen', 'wiederaufbaufonds')",2
"('gespräch', 'hinaus', 'soforthilfen', 'wiederaufbaufonds')",2
"('fdp', 'hinaus', 'soforthilfen', 'wiederaufbaufonds')",2
"('ganzes', 'land', 'soforthilfe', 'wissen')",2
"('höhe', 'land', 'soforthilfe', 'vier')",2
"('höhe', 'millionen', 'soforthilfe', 'vier')",2
"('betroffenen', 'hochwasser', 'soforthilfe', 'zukommen')",2
"('hochwasser', 'soforthilfe', 'wolle', 'zukommen')",2
"('menschen', 'soforthilfe', 'wolle', 'zukommen')",2
"('beantragenauch', 'betroffene', 'hilfen', 'hochwasser')",2
"('bayern', 'diakonie', 'soforthilfen', 'örtliche')",2
"('diakonie', 'höhe', 'soforthilfen', 'örtliche')",2
"('beantragen', 'haushalt', 'katastrophenhilfe', 'pro')",2
"('bedarf', 'hilfe', 'spenden', 'unterstützen')",2
"('bedarf', 'enorm', 'hilfe', 'unterstützen')",2
"('bedarf', 'enorm', 'hilfe', 'sandra')",2
"('enorm', 'hilfe', 'sandra', 'schuhmann')",2
"('enorm', 'katastrophenhilfe', 'sandra', 'schuhmann')",2
"('diakonischen', 'katastrophenhilfe', 'sandra', 'schuhmann')",2
"('diakonischen', 'katastrophenhilfe', 'schuhmann', 'werks')",2
"('bayern', 'diakonischen', 'katastrophenhilfe', 'werks')",2
"('echte', 'einzigen', 'hilfe', 'ort')",2
"('echte', 'hilfe', 'leisteten', 'ort')",2
"('echte', 'hilfe', 'hilfe', 'leisteten')",2
"('hilfe', 'hilfe', 'leisteten', 'staat')",2
"('gewünscht', 'hilfe', 'leisteten', 'staat')",2
"('gewünscht', 'hilfe', 'staat', 'trotz')",2
"('fälle', 'hilfe', 'ort', 'sicherlich')",2
"('fälle', 'genug', 'hilfe', 'sicherlich')",2
"('fälle', 'genug', 'hilfe', 'kommt')",2
"('genug', 'hilfe', 'kommt', 'politiker')",2
"('hilfe', 'rechter', 'steckt', 'videoblogger.wer')",2
"('aloisius-grundschule', 'hilfe', 'steckt', 'videoblogger.wer')",2
"('aloisius-grundschule', 'familienzentrum', 'hilfe', 'steckt')",2
"('fehlenden', 'hilfeleistung', 'scheint', 'vermeintlich')",2
"('fehlenden', 'gutes', 'hilfeleistung', 'vermeintlich')",2
"('behörden', 'falschinformationenfür', 'hilfe', 'kinderbetreuung')",2
"('behörden', 'falschinformationenfür', 'hilfe', 'querdenken-nahen')",2
"('behörden', 'gruppen', 'hilfe', 'querdenken-nahen')",2
"('gruppen', 'hilfe', 'problem', 'querdenken-nahen')",2
"('bereichern', 'hilfeleistungen', 'krise', 'vermeintlichen')",2
"('bereichern', 'hilfeleistungen', 'reul', 'vermeintlichen')",2
"('hilfeleistungen', 'reul', 'suchten', 'vermeintlichen')",2
"('anschluss', 'hilfeleistungen', 'reul', 'suchten')",2
"('beschäftigen', 'fluthilfe', 'vereinnahmung', 'versuch')",2
"('fluthilfe', 'vereinnahmung', 'versuch', 'wenig')",2
"('fluthilfe', 'vereinnahmung', 'wenig', 'überrascht')",2
"('fluthilfe', 'parallelstrukturen', 'wenig', 'überrascht')",2
"('benötigte', 'bereitzustellen', 'hilfe', 'krisenintervention')",2
"('bereitzustellen', 'hilfe', 'krisenintervention', 'politischen')",2
"('bereitzustellen', 'gründen', 'hilfe', 'politischen')",2
"('abgelehnt', 'gründen', 'hilfe', 'politischen')",2
"('aufgebaut', 'feinsten', 'nothilfe', 'zuständigen')",2
"('behörden', 'feinsten', 'nothilfe', 'zuständigen')",2
"('eklatante', 'erdbeben', 'hochwasser-hilfen', 'unterschiede')",2
"('eklatante', 'hochwasser-hilfen', 'unterschiede', 'wissen')",2
"('hochwasser-hilfen', 'müssenausstattungsqualität', 'unterschiede', 'wissen')",2
"('hochwasser-hilfen', 'lage', 'müssenausstattungsqualität', 'wissen')",2
"('euro', 'hilfen', 'hälfte', 'millionen')",2
"('bundesländern', 'euro', 'hilfen', 'hälfte')",2
"('bundesländern', 'hilfen', 'hochwasser-hilfen', 'hälfte')",2
"('bundesländern', 'hilfen', 'hochwasser-hilfen', 'wissen')",2
"('bundesländern', 'hochwasser-hilfen', 'scholz', 'wissen')",2
"('hochwasser-hilfen', 'scholz', 'summe', 'wissen')",2
"('erhöhen', 'nötig', 'soforthilfen', 'summe')",2
"('dienen', 'erhöhen', 'soforthilfen', 'summe')",2
"('dienen', 'erhöhen', 'soforthilfen', 'überbrückung')",2
"('besonderen', 'dienen', 'soforthilfen', 'überbrückung')",2
"('gehe', 'schnelle', 'soforthilfen', 'unterstützung')",2
"('hilfen', 'schnelle', 'spd', 'unbürokratische')",2
"('hilfen', 'schnelle', 'unbürokratische', 'versprochen')",2
"('hilfen', 'olaf', 'scholz', 'spd')",2
"('freistaat', 'hilfen', 'scholz', 'spd')",2
"('bayern', 'freistaat', 'hilfen', 'spd')",2
"('bayern', 'freistaat', 'hilfen', 'stellt')",2
"('beschließt', 'hochwasser-schäden', 'soforthilfengibt', 'staatsregierung')",2
"('beschließt', 'gelder', 'soforthilfengibt', 'staatsregierung')",2
"('gelder', 'kommentarspalten', 'soforthilfengibt', 'wünschen')",2
"('ausgezahlten', 'hilfen', 'union', 'überblick')",2
"('2002', 'ausgezahlten', 'hilfen', 'überblick')",2
"('erhalten.wer', 'gelder', 'hilfe', 'solidarfonds')",2
"('beantragen', 'erhalten.wer', 'hilfe', 'solidarfonds')",2
"('beantragen', 'erhalten.wer', 'hilfe', 'land')",2
"('beantragen', 'hilfe', 'land', 'länder')",2
"('aufnahme', 'befinden', 'hilfen', 'naturkatastrophen')",2
"('befinden', 'hilfen', 'naturkatastrophen', 'topf')",2
"('beantragen', 'hilfen', 'naturkatastrophen', 'topf')",2
"('beantragen', 'hilfen', 'topf', 'unterlagen')",2
"('betroffen', 'hat.hilfen', 'land', 'regionen')",2
"('betroffen', 'eu-solidarfonds', 'hat.hilfen', 'land')",2
"('antrag', 'eu-solidarfonds', 'hilfen', 'naturkatastrophe')",2
"('eu-solidarfonds', 'hilfen', 'naturkatastrophe', 'naturkatastrophen')",2
"('0,6', 'hilfe', 'millionen.wie', 'oberfranken')",2
"('0,6', 'ausbezahlt', 'hilfe', 'millionen.wie')",2
"('ausbezahlt', 'hilfe', 'konkrete', 'millionen.wie')",2
"('ausbezahlt', 'hilfe', 'konkrete', 'summe')",2
"('beantragtdie', 'eu-kommission', 'hilfen', 'prüft')",2
"('ausbezahlt', 'hilfen', 'länder', 'umsetzung')",2
"('hilfen', 'länder', 'umsetzung', 'zuständig.noch')",2
"('deutschland', 'hilfen', 'umsetzung', 'zuständig.noch')",2
"('deutschland', 'diesjährige', 'hilfen', 'zuständig.noch')",2
"('deutschland', 'diesjährige', 'hilfen', 'hochwasser')",2
"('beantragt', 'diesjährige', 'hilfen', 'hochwasser')",2
"('auszugehen', 'beantragt', 'hilfen', 'hochwasser')",2
"('auszugehen', 'beantragt', 'hilfen', 'passieren')",2
"('antrag', 'belgien', 'hilfen', 'verbunden')",2
"('antrag', 'eingereicht.der', 'hilfen', 'vorwurf')",2
"('deutschland', 'eingereicht.der', 'hilfen', 'vorwurf')",2
"('beschließt', 'hochwasser-schäden', 'soforthilfen', 'staatsregierung')",2
"('angeboten', 'daraufhin', 'hilfe', 'landratsamt')",2
"('derartige', 'fälle', 'katastrophenhilfe', 'verhaltensregeln')",2
"('hilfeleistung', 'krisenmanagement', 'unterlassene', 'versagen')",2
"('böse', 'hilfeleistung', 'krisenmanagement', 'unterlassene')",2
"('absicht', 'böse', 'hilfeleistung', 'unterlassene')",2
"('ausgefallen.trump', 'beantragt', 'katastrophenhilfeus-präsident', 'kühlanlage')",2
"('beantragt', 'donald', 'katastrophenhilfeus-präsident', 'trump')",2
"('beantragte', 'donald', 'katastrophenhilfeus-präsident', 'trump')",2
"('auffallen', 'faktenfuchs-teams', 'hilfe', 'monitoring')",2
"('faktenfuchs-teams', 'hilfe', 'monitoring', 'tools')",2
"('faktenfuchs-teams', 'hilfe', 'soziale', 'tools')",2
"('hilfe', 'netzwerke', 'soziale', 'tools')",2
"('hilfe', 'länder.zum', 'spenden', 'zentralasiatische')",2
"('hilfe', 'länder.zum', 'menschen', 'spenden')",2
