"Word","Frequency"
"('eurodie', 'kosten', 'maßnahmen', 'millionen')",6
"('baumaßnahme', 'beginn', 'froh', 'teilabschnitt')",6
"('eurodie', 'kostet', 'maßnahmen', 'millionen')",3
"('euro', 'kosten', 'maßnahmen', 'millionen')",3
"('bieten.hochwasserschutz', 'hochwasser', 'maßnahmen', 'trotz')",3
"('begrenztdie', 'bieten.hochwasserschutz', 'maßnahmen', 'trotz')",3
"('begrenztdie', 'maßnahmen', 'sicherheit', 'trotz')",3
"('begrenztdie', 'maßnahmen', 'sicherheit', 'wasserabfluss')",3
"('baumaßnahme', 'beginn', 'froh', 'inn')",3
"('baumaßnahme', 'froh', 'tatsächlich', 'teilabschnitt')",3
"('architekten', 'bauingenieure', 'hochwasserschutzmaßnahmen', 'planung')",3
"('architekten', 'herausforderung', 'hochwasserschutzmaßnahmen', 'planung')",3
"('herausforderung', 'hochwasserschutzmaßnahmen', 'mitten', 'planung')",3
"('herausforderung', 'hochwasserschutzmaßnahmen', 'mauer', 'mitten')",3
"('förderung', 'geklärt', 'hochwassermaßnahmen', 'kosteten')",3
"('bach', 'geklärt', 'hochwassermaßnahmen', 'kosteten')",3
"('bach', 'hochwassermaßnahmen', 'kosteten', 'platz')",3
"('bach', 'hochwassermaßnahmen', 'millionen', 'platz')",3
"('königssee', 'mure', 'sicherungsmaßnahmen', 'zerstörungeine')",2
"('klingerbach', 'mure', 'sicherungsmaßnahmen', 'zerstörungeine')",2
"('donautal', 'landschaftspflegeverein', 'maßnahmen', 'zahlreichen')",2
"('dagegen', 'donautal', 'maßnahmen', 'zahlreichen')",2
"('brief', 'forderten', 'hochwasserschutz-maßnahmen', 'stadtspitze')",2
"('forderten', 'hochwasserschutz-maßnahmen', 'sprechen', 'stadtspitze')",2
"('fehlern', 'forderten', 'hochwasserschutz-maßnahmen', 'sprechen')",2
"('fehlern', 'hochwasserschutz-maßnahmen', 'sprechen', 'versäumnissen')",2
"('angegangen', 'einzelmaßnahmen', 'kleinteiligen', 'vielzahl')",2
"('einzelmaßnahmen', 'kleinteiligen', 'subventionen', 'vielzahl')",2
"('einzelmaßnahmen', 'kleinteiligen', 'subventionen', 'verboten')",2
"('einzelmaßnahmen', 'hagen', 'subventionen', 'verboten')",2
"('bayern', 'landtags-fdp', 'maßnahmen', 'ort')",2
"('bayern', 'dringend', 'maßnahmen', 'ort')",2
"('dringend', 'maßnahmen', 'nötig', 'ort')",2
"('darauf', 'maßnahmen', 'soforthilfen', 'steuerliche')",2
"('maßnahmen', 'privatpersonen', 'soforthilfen', 'steuerliche')",2
"('maßnahmen', 'privatpersonen', 'steuerliche', 'unternehmen')",2
"('greifen', 'maßnahmen', 'privatpersonen', 'unternehmen')",2
"('corona-maßnahmen', 'landesjugendamtes', 'rheinland-pfalz', 'verein')",2
"('corona-maßnahmen', 'rheinland-pfalz', 'steht', 'verein')",2
"('corona-maßnahmen', 'ruf', 'steht', 'verein')",2
"('corona-maßnahmen', 'querdenkern', 'ruf', 'steht')",2
"('geld', 'hilfsmaßnahmen', 'hingeht', 'wirklich')",2
"('hilfsmaßnahmen', 'hingeht', 'wirklich', 'zugutekommt')",2
"('hilfsmaßnahmen', 'wirklich', 'zugutekommt', 'überprüfen')",2
"('hilfsmaßnahmen', 'zugutekommt', 'ähnlich', 'überprüfen')",2
"('maßnahmen', 'pandemie', 'querdenker', 'weitergehe')",2
"('maßnahmen', 'pandemie', 'vorbei', 'weitergehe')",2
"('erwartbar', 'maßnahmen', 'pandemie', 'vorbei')",2
"('erwartbar', 'maßnahmen', 'themen', 'vorbei')",2
"('bekannt', 'bleiben', 'maßnahme', 'rechtzeitig')",2
"('bekannt', 'diene', 'maßnahme', 'rechtzeitig')",2
"('bekannt', 'diene', 'maßnahme', 'sicherheit')",2
"('betroffenen', 'diene', 'maßnahme', 'sicherheit')",2
