Word	Occurrences
beben	336
lawine	225
erdbeben	208
schäden	165
tsunami	139
schutz	128
gefahr	109
hochwasser	108
hilf	102
hurrikan	99
erdrutsch	92
tornado	91
magma	75
naturkatastrophe	73
eruption	68
opfer	67
dürre	61
geologische	52
risiko	52
überschwemmung	49
erdkruste	48
waldbränd	43
klimawandel	40
warnsystem	36
schaden	35
wirbelstürme	35
gletscher	31
evakuierung	30
tote	30
hitze	29
wirbelsturm	27
waldbrand	27
vulkanausbrüche	26
intensität	23
frühwarnsystem	23
magnitude	22
versicherung	21
seismograph	20
unwetter	20
zyklon	19
epizentrum	15
schneedecke	14
bericht	14
krater	12
lahar	12
sturmflut	12
verschüttete	12
flutwelle	12
erdstoß	11
vulkanausbruch	11
meteorologische	11
waldbrandgefahr	11
lawinengefahr	11
schildvulkan	10
starkregen	10
erdbebenwelle	9
maar	9
hitzewelle	8
erdstöße	8
überlebende	8
bodenerosion	7
schneebrett	7
niedrigwasser	7
risiken	7
seebeben	6
biologische	5
richterskala	4
eruptionssäule	4
gerölllawine	4
lockerschneelawine	4
lawinenopfer	4
katastrophenmanagement	4
katastrophenschutz	4
nachbeben	3
hypozentrum	3
vulkantyp	3
fujita-skala	3
waldbrandgefahrenstufe	3
lawinenwarnung	3
klimabedingte	3
flutkatastrophe	3
sachschaden	3
seismische aktivität	2
erdbebenstärke	2
pyroklastischer strom	2
schichtvulkan	2
tornadofolge	2
dürreperiode	2
hydrologische	2
schneekörner	2
schadensbegrenzung	2
ausnahmezustand	2
mercalliskala	1
strombolianische eruption	1
plinianische eruption	1
schlackenkegel	1
windbruch	1
luftwirbel	1
schneekristall	1
lawinenrisiko	1
lawinenabgang	1
lawinenlagebericht	1
hitzeperiode	1
wasserknappheit	1
flutpolder	1
flutopfer	1
starkniederschlag	1
sturmkatastrophe	1
schneesturm	1
sturmwarnung	1
sturmintensität	1
meteoriteneinschlag	1
abholzung	1
evakuierungszone	1
deutsche geoforschungszentrum	1
