Word	Occurrences
beben	267
lawine	159
erdbeben	131
tsunami	128
schutz	103
eruption	101
magma	99
hochwasser	89
gefahr	89
tornado	87
hurrikan	70
erdrutsch	57
schäden	55
gletscher	50
wirbelstürme	46
überschwemmung	41
hilf	40
klimawandel	36
warnsystem	33
risiko	32
naturkatastrophe	28
wirbelsturm	27
frühwarnsystem	27
betroffene	22
geologische	20
evakuierung	20
opfer	20
hitze	19
krater	18
flutwelle	18
schaden	17
vulkanausbrüche	17
maar	16
waldbränd	16
erdkruste	15
bericht	15
waldbrand	14
intensität	12
magnitude	12
erdstöße	12
sturmflut	11
schneebrett	10
seismograph	9
vulkanausbruch	9
verschüttete	9
unwetter	9
tote	9
dürre	8
schneedecke	8
epizentrum	7
schildvulkan	7
lawinengefahr	7
starkregen	7
richterskala	5
lahar	5
schichtvulkan	5
meteorologische	5
flutkatastrophe	5
erdbebenwelle	4
eruptionssäule	4
zyklon	4
fujita-skala	4
schneekristall	4
nachbeben	3
seebeben	3
erdstoß	3
plinianische eruption	3
pyroklastischer strom	3
vulkantyp	3
schlackenkegel	3
schneekörner	3
hitzewelle	3
sturmwarnung	3
schadensbegrenzung	3
ausnahmezustand	3
versicherung	3
überlebende	3
spaltenvulkan	2
superzelle	2
waldbrandgefahr	2
lawinenrisiko	2
biologische	2
katastrophenschutz	2
erdbebenforschung	1
erdbebengefährdung	1
gerölllawine	1
torro-skala	1
waldbrandgefahrenstufe	1
lawinenopfer	1
lawinenabgang	1
lawinenwarnung	1
niedrigwasser	1
flutpolder	1
schneesturm	1
versicherungsschutz	1
rettungseinsatz	1
