Parent IDs;ID;Konzepte;Typ;Synonyme;Wortformen;;;
;1;Naturkatastrophe;intern;ungewöhnliche Naturereignisse, Kataklysmus;Naturkatastrophen, Naturkatastrophe;;;
1;2;Art von Naturkatastrophe;intern;Klassifizierung, Typen;;;;
2;3;Geologische;intern;Endogene, tektonische;geologisch, geologischer, geologische, geologisches;;;
3;4;Erdbeben;intern;Erderschütterung,Erdstöße;Erdbebens;;;
4;5;Erdbebenphänomen;intern;Erderschütterungsphänomen;Erdbebenphänomene;;;
5;6;Erdbebebnschwam;intern;Schwarmbeben;;;;
5;7;Seismische Aktivität;intern;Erdbebenaktivität;Seismische Aktivitäten, Seismischer, Seismisches, Seismischen;;;
5;8;Nachbeben;intern;;Nachbebens, nachbebenartig,nachbebenhaft, nachbebenbedingt, nachbebengefährdet;;;
5;9;Epizentrum;intern;Erdbebenzentrum;Epizentrums, Epizentren, epizentrisch, epizentral;;;
5;10;Hauptbeben;intern;Primärbeben;Hauptbebens, hauptbebenartig, hauptbebengefährdet, hauptbebenbedingt;;;
5;11;Hypozentrum;intern;Bebenherd, Erdbebenfokus;Hypozentrums, hypozentrisch;;;
5;12;Vorbeben;intern;;Vorbebens;;;
5;13;Seebeben;intern;;Seebebens;;;
5;14;Erdstoß;intern;Beben, Erschütterung;Erderschütterung,Erdstöße;;;
4;15;Erdbebenursche;intern;;Erdbebenursachen;;;
15;16;Erdkruste;intern;Erdrinde;Erdkrusten;;;
16;17;Tiefherdbeben;intern;;Tiefherdbebens;;;
15;18;platektonischer Prozess;intern;;platektonisches Prozesses, platektonische Prozesse;;;
18;19;Kontinentalplattendrift;intern;Kontinentaldrift, Kontinentalverschiebung;Kontinentalplattendrifts, Plattentektonik;;;
19;20;Bewegung von Lithosphärenplatten;intern;;;;;
20;21;Spreizungszone;intern;;Spreizungszonen;;;
20;22;Subduktion (Plattentektonik);intern;;Subduktionen;;;
20;23;Transformverwerfung;intern;;Transformverwerfungen;;;
15;24;Verwerfung (Geologie);intern;Sprung, Verschiebung;verwerfen (Gesteinsschichten), Verwerfungen;;;
24;25;anthropogene Erdbeben;intern;;anthropogene, anthropogenem, anthropogenes Erdbeben;;;
25;26;Stausee-Erdbeben;intern;;;;;
26;27;Sichuan-Erdbeben China 2008;intern;;;;;
4;28;Erdbebenfolge;intern;;Erdbebenfolgen;;;
28;29;Erdbebenschaden;intern;;Erdbebenschäden;;;
29;31;Gebäudezerstörung durch Erdbeben;intern;;Gebäudezerstörungen;;;
29;32;Infrastrukturschaden durch Erdbeben;intern;;Infrastrukturschäden durch Erdbeben;;;
29;33;witschaftliche Schaden;intern;;witschaftliche Schäden;;;
28;35;Erdbebenopfer;intern;Erdbebenbetroffene;Erdbebenopfern,Erdbebenopfers, Erdbebenopfer;;;
35;34;Erdbebensuche;intern;;Erdbebensuchen;;;
35;36;Anzahl Erdbebenbetroffenen;intern;;Erdbebenbetroffene, Erdbebenbetroffenen, Erdbebenbetroffener, Erdbebenbetroffenes, Erdbebenbetroffenem;;;
36;37;Erdbeben-Tote;intern;Verstorbene, Leiche;Erdbebentotes, Erdbebentoten, Erdbebentotem, Erdbebentoter;;;
36;38;Verletzte in Syrien;intern;Verwundete;Verletzter,Verletztem, Verletzten, Verletztes;;;
36;39;Vermisste im Erdbebengebiet;intern;;Vermisster, Vermisstes, Vermissten, Vermisstem;;;
4;40;Erdbebenforschung;intern;Seismologie;Erdbebenforschungen, forschen;;;
41;42;Erdbebenmessung;intern;;Messungen,;;;
42;43;Seismograph;intern;Seismometer;Seismograf, Seismografen;;;
43;44;Erdbebenwelle;intern;;Erdbebenwellen;;;
44;45;P-Welle (Seismische Welle);intern;Primärwellen;P-Wellen;;;
44;46;S-Welle ( (Seismische Welle);intern;Sekundärwellen ;S-Wellen;;;
44;47;Oberflächenwelle (Seismische Welle);intern;;Oberflächenwellen;;;
42;48;Erdbebenstärke;intern;Richterskala ;erdbebenstark;;;
48;49;Intensität;intern;Stärke, Größe, Tiefe;Intensitäten;;;
49;50;Mercalliskala;intern;;Mercalliskalas, Mercalliskalen;;;
49;51;MSK-Skala (EMS-Skala);intern;;;;;
48;52;Magnitude;intern;;Magnituden;;;
52;53;Richterskala;intern;;Richterskalas, Richterskalen;;;
52;54;Moment-Magnituden-Skala;intern;;Moment-Magnituden-Skalas;;;
4;55;Erdbebengefährdung;intern;;Erdbebengefährdungen;;;
55;56;Risiko;exterm;Gefahr;Risikos, Risiken;;;
55;57;Erdbebengebiet;intern;Erdbebenrisikozone;Erdbebengebieten, Erdbebengebiets;;;
57;58;Erdbeben in Türkein;intern;;;;;
57;59;Erdbeben in Syrien;intern;;;;;
57;60;Erdbeben im Indischen Ozean 2004;intern;;;;;
57;61;Seebeben vor Java Juli 2006;intern;;;;;
57;62;Großes Alaska-Beben;intern;Karfreitagsbeben 1964;;;;
